vid,x,y,z
0,-0.00141988,0.07549454,0.15702388
1,-0.00044792,-0.32362969,0.10822619
2,-0.00022983,-0.47925633,0.04136082
3,-0.00027601,-0.42671126,0.06674923
4,0.00000000,0.60000000,0.00000000
5,-0.00058060,-0.27020617,0.12239686
6,-0.00070952,-0.21536563,0.13451795
7,-0.00102559,-0.08178123,0.15395325
8,-0.03102092,-0.19157134,0.16711890
9,-0.01925075,-0.35252678,0.11505614
10,-0.03743704,-0.06483380,0.18707746
11,-0.03459815,-0.12825481,0.17960913
12,-0.04974413,-0.00892999,0.19592214
13,-0.02668324,-0.24932005,0.15126212
14,-0.04423071,-0.57604406,0.01605133
15,-0.02344720,-0.30561419,0.13333575
16,-0.05272354,-0.53984456,0.04196490
17,-0.03758205,-0.43193915,0.09075503
18,-0.07270169,-0.31377358,0.15222479
19,-0.06182412,-0.49779617,0.06727464
20,-0.08647636,-0.26499507,0.17344647
21,-0.07239119,-0.45143191,0.09211517
22,-0.10455712,-0.15397256,0.20674437
23,-0.09770829,-0.21079010,0.19232275
24,-0.11039526,-0.10335203,0.21592660
25,-0.08906553,-0.39106489,0.12377391
26,-0.14515314,-0.58217743,0.00000000
27,-0.13813672,-0.52112302,0.04737981
28,-0.14973935,-0.46460663,0.08637276
29,-0.15824237,-0.41025723,0.12047582
30,-0.16727594,-0.35543879,0.14973490
31,-0.17419124,-0.29849737,0.17567405
32,-0.38567258,0.45962668,0.00000000
33,-0.41435122,0.30442847,0.11162135
34,-0.44983480,0.22448872,0.12727806
35,-0.57791225,-0.03486120,0.03857013
36,-0.10694259,-0.33919858,0.15053731
37,-0.02529971,0.12973752,0.16902815
38,-0.32627153,-0.22391275,0.18837278
39,-0.09593647,-0.57033789,0.01085463
40,-0.00212117,0.29137422,0.12042377
41,-0.42570655,0.07566847,0.18582181
42,-0.38828843,-0.26659785,0.14788423
43,-0.00179373,0.20353968,0.14173027
44,-0.37475418,-0.42603570,0.04347793
45,-0.12585298,0.05494274,0.22375346
46,-0.15464672,-0.55647014,0.00676034
47,-0.52573444,-0.20427918,0.06059851
48,-0.00085887,-0.15168097,0.14556639
49,-0.00031718,-0.36819467,0.09402210
50,-0.03534226,0.23698689,0.15337993
51,-0.09206224,0.10561200,0.20689352
52,-0.52468047,0.05302324,0.10812630
53,-0.54304242,-0.03711006,0.08772683
54,-0.16249156,0.15089182,0.21858824
55,-0.48969420,0.13774139,0.12552331
56,-0.46438697,-0.03486725,0.16292373
57,-0.34930871,-0.12907312,0.20769704
58,-0.41985406,-0.14125134,0.17346846
59,-0.37334456,0.37035735,0.09561360
60,-0.37582182,-0.38774366,0.08004567
61,-0.37838699,-0.34877265,0.10826011
62,-0.45532908,-0.24952257,0.11175038
63,-0.26393279,-0.20838092,0.20559572
64,-0.00010920,-0.54984742,0.01516853
65,-0.28411628,-0.06751012,0.23455004
66,-0.37327874,-0.01386754,0.21501540
67,-0.31819098,0.20610267,0.20074683
68,-0.31860922,-0.26982904,0.17348467
69,-0.27466945,-0.10747453,0.22973004
70,-0.39520539,-0.22422578,0.16107852
71,-0.56800941,-0.10891228,0.03949682
72,-0.38183528,0.17522428,0.18761665
73,-0.55685447,0.18964780,0.02110499
74,-0.30991285,-0.34049200,0.14115151
75,-0.31154861,0.03893008,0.23329388
76,0.00000000,-0.60000000,0.00000000
77,-0.00306770,0.56729966,0.01529595
78,-0.00219477,0.33740609,0.10503824
79,-0.00195779,0.25336813,0.13088077
80,-0.00174984,0.58730816,0.00614947
81,-0.04185389,0.59853845,0.00000000
82,-0.00258675,0.41506546,0.07616021
83,-0.00310679,0.48180046,0.05089784
84,-0.00163023,0.14912099,0.15040586
85,-0.00346600,0.53372616,0.02976268
86,-0.00118377,-0.01541403,0.15819967
87,-0.00808602,-0.51612604,0.04405825
88,-0.00425565,-0.56817343,0.01726896
89,-0.01757586,-0.55511700,0.02856702
90,-0.01614190,-0.46369021,0.06983613
91,-0.02497195,-0.40134178,0.09804550
92,-0.03223918,-0.50778421,0.05654926
93,-0.03561686,0.35558010,0.11113181
94,-0.03728936,0.43176253,0.07922176
95,-0.03971891,-0.34644012,0.12847359
96,-0.03989466,0.49674586,0.04935349
97,-0.04124065,0.54587570,0.02560007
98,-0.04196638,0.57712086,0.01055829
99,-0.08350386,0.59416083,0.00000000
100,-0.03990083,0.27930815,0.14250021
101,-0.04336197,0.18665218,0.17027967
102,-0.04984760,-0.28633809,0.15356468
103,-0.02683457,0.03916943,0.17878267
104,-0.05375782,0.09065884,0.19179680
105,-0.04795891,0.13606107,0.18224727
106,-0.04794485,-0.46041913,0.08260605
107,-0.05883467,-0.22903873,0.17381815
108,-0.07312160,-0.59552771,0.00000000
109,-0.06737206,-0.17167762,0.19022886
110,-0.07623129,0.47123281,0.07364416
111,-0.07597416,0.39677022,0.10965526
112,-0.07670656,0.53670971,0.03705897
113,-0.07940726,0.58092580,0.00958638
114,-0.12474702,0.58688855,0.00000000
115,-0.08077036,0.32314768,0.14322327
116,-0.06599507,-0.40880988,0.10995375
117,-0.07672021,-0.11314229,0.20324487
118,-0.07840695,-0.53031164,0.04867980
119,-0.07156627,-0.56574349,0.02214555
120,-0.09044546,0.24816535,0.17387421
121,-0.08436813,-0.48404912,0.07718588
122,-0.08923926,-0.35739110,0.13940570
123,-0.08758711,-0.05387763,0.21290391
124,-0.10149132,0.00580025,0.21873896
125,-0.07654666,0.04957483,0.20689202
126,-0.09361221,-0.42679909,0.10717605
127,-0.10290934,0.17522372,0.19842907
128,-0.10690792,-0.37204895,0.13626138
129,-0.11736369,0.51774746,0.05162516
130,-0.12083710,0.57612557,0.01325743
131,-0.11851287,0.44587307,0.09505760
132,-0.12069505,-0.31767185,0.16203266
133,-0.12309285,0.37321431,0.13313228
134,-0.13376403,-0.25131133,0.18868649
135,-0.11141141,-0.30608679,0.16496289
136,-0.13307159,0.30790687,0.16404968
137,-0.13715970,0.11363236,0.21980953
138,-0.13728910,-0.19182440,0.20659224
139,-0.14140384,-0.13089127,0.22016123
140,-0.14684833,-0.06947137,0.22935268
141,-0.12285427,-0.03036293,0.22465992
142,-0.14715284,0.25061863,0.18846404
143,-0.16538242,0.57675702,0.00000000
144,-0.16166130,0.56421893,0.02646934
145,-0.15931668,0.49826771,0.06714954
146,-0.16366824,0.42852468,0.11012348
147,-0.17298815,-0.24885729,0.19439088
148,-0.17573350,0.05527990,0.23488612
149,-0.16178061,-0.00261518,0.23509192
150,-0.17430075,0.19972305,0.20935103
151,-0.17295215,0.36371882,0.14531933
152,-0.19128574,-0.10308025,0.23224553
153,-0.18222648,-0.17164058,0.21801942
154,-0.18829043,0.31124748,0.17117124
155,-0.20521208,0.56381555,0.00000000
156,-0.20390325,0.54239538,0.04160142
157,-0.20733077,0.15326776,0.22484597
158,-0.18922074,0.10025976,0.23217375
159,-0.20412997,0.47834589,0.07877126
160,-0.21502077,-0.56014825,0.00000000
161,-0.19971819,-0.52700023,0.01682989
162,-0.21668303,0.01236785,0.24256263
163,-0.20366614,-0.04311685,0.23977888
164,-0.20267976,-0.48636922,0.06076788
165,-0.20967222,0.27117214,0.18935897
166,-0.23945780,0.22836520,0.20565781
167,-0.20712603,-0.43830788,0.09909516
168,-0.21113589,-0.38671219,0.13206995
169,-0.21197351,0.41514870,0.11792396
170,-0.22060474,-0.27373023,0.18635988
171,-0.21532886,-0.33307131,0.16051919
172,-0.22640030,-0.22393535,0.20407267
173,-0.22541369,0.36329978,0.14643646
174,-0.23763737,-0.13411938,0.22810567
175,-0.23207022,-0.17834907,0.21729753
176,-0.24404199,0.54812726,0.00000000
177,-0.24698390,0.51863636,0.05054460
178,-0.24571720,0.11255099,0.23426105
179,-0.24446612,0.32500172,0.16482557
180,-0.27145125,0.28621018,0.18003117
181,-0.25015165,0.45591632,0.08624771
182,-0.25947368,-0.01901230,0.24209368
183,-0.24773867,-0.08079122,0.23659046
184,-0.26069063,0.40670254,0.11628795
185,-0.28168292,-0.52976855,0.00000000
186,-0.28168295,0.52976855,0.00000000
187,-0.27103653,-0.49446393,0.02602084
188,-0.27221922,-0.45340115,0.07003868
189,-0.27363430,-0.40784314,0.10764216
190,-0.27479777,-0.36097671,0.13850344
191,-0.27731429,-0.30848581,0.16633530
192,-0.27682247,0.18974029,0.21415473
193,-0.26229802,0.15413624,0.22517783
194,-0.27745793,0.36875536,0.13598121
195,-0.28956124,0.48288664,0.06389910
196,-0.29025051,-0.20624276,0.20234698
197,-0.28461323,-0.24929777,0.18919025
198,-0.28999947,0.07995788,0.23548488
199,-0.27688061,0.03542784,0.23994632
200,-0.29608152,-0.16001167,0.21540206
201,-0.29455096,0.44177414,0.08369487
202,-0.30686623,0.40402021,0.10458145
203,-0.30174203,0.33336765,0.15015151
204,-0.31795157,0.50882886,0.00000000
205,-0.30858109,0.49912687,0.02505116
206,-0.30886713,0.24971833,0.18804409
207,-0.32068929,-0.04298976,0.23070018
208,-0.31052777,-0.09257670,0.22649572
209,-0.32750779,0.47446328,0.04581162
210,-0.32492625,0.16063553,0.21328187
211,-0.36199536,0.21751442,0.18292425
212,-0.33398219,0.43691922,0.07183057
213,-0.32897324,0.37038260,0.11826711
214,-0.34414587,-0.49149124,0.00000000
215,-0.34209977,-0.41656758,0.07383049
216,-0.34072598,-0.45615272,0.03080909
217,-0.34166379,0.29751357,0.15585272
218,-0.34395463,-0.36881924,0.11160502
219,-0.35267114,0.48541019,0.00000000
220,-0.35474496,0.46070659,0.03787712
221,-0.34739598,-0.31574542,0.14367832
222,-0.34902626,0.04945354,0.22318382
