face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,4245.4153,704.4508,1426.9151,4651.5993,4748.8490,201.0170,4245.4153,704.4508
1,3196.6255,-716.9381,-1060.1539,4049.1944,3465.3596,-985.6722,3196.6255,-716.9381
2,3522.0701,-278.9622,289.0416,3703.5060,3543.9240,-300.8161,3522.0701,-278.9622
3,3287.5310,-470.9013,-672.2521,3732.7577,3404.1546,-587.5249,3287.5310,-470.9013
4,2251.3248,631.2713,420.4485,2139.1824,2353.9428,528.6533,2251.3248,631.2713
5,2301.3114,1222.4697,757.1500,2386.8413,2691.5415,832.2396,2301.3114,1222.4697
6,1731.1934,1397.6599,804.1873,2114.4777,2385.7234,743.1299,1731.1934,1397.6599
7,2211.2463,493.0121,851.2022,2493.2179,2561.5205,142.7379,2211.2463,493.0121
8,1451.0942,1214.2903,836.2489,1978.9043,2177.2816,488.1029,1451.0942,1214.2903
9,1720.4432,1675.2266,1592.3160,3238.9177,3290.3114,105.3584,1720.4432,1675.2266
10,3035.2493,1370.5612,2481.4291,5040.2036,4820.2105,-414.4000,3035.2493,1370.5612
11,1505.3364,893.2673,1410.9163,2773.3284,2643.0269,-244.4231,1505.3364,893.2673
12,1185.7336,1010.8120,551.0481,1462.9126,1656.2185,540.3271,1185.7336,1010.8120
13,1329.1201,1178.5475,639.1710,1677.7133,1897.4234,610.2442,1329.1201,1178.5475
14,693.7968,842.3372,-6.1318,778.8376,842.5899,693.5441,693.7968,842.3372
15,622.8284,828.2547,34.9113,749.4778,834.0257,617.0575,622.8284,828.2547
16,640.9555,853.3007,121.2730,797.5836,908.3104,585.9458,640.9555,853.3007
17,454.5485,974.5522,145.0483,881.1936,1012.2750,416.8256,454.5485,974.5522
18,596.1953,846.9705,197.3845,827.4841,955.4262,487.7396,596.1953,846.9705
19,787.8931,778.5948,103.2538,803.4426,886.6024,679.8855,787.8931,778.5948
20,549.6204,918.2346,230.8148,894.6414,1029.2994,438.5555,549.6204,918.2346
21,2610.5243,189.8994,-304.9787,2575.6937,2648.3578,152.0659,2610.5243,189.8994
22,2893.3928,-109.0956,-403.7822,3031.2374,2946.7464,-162.4492,2893.3928,-109.0956
23,2973.3684,121.8119,86.0951,2918.1849,2975.9654,119.2148,2973.3684,121.8119
24,455.4408,728.2137,-82.8367,653.1838,751.3991,432.2554,455.4408,728.2137
25,496.5652,759.1615,-112.5861,695.6701,800.8224,454.9043,496.5652,759.1615
26,382.9822,673.3789,-79.5180,600.9923,693.7271,362.6340,382.9822,673.3789
27,1352.6294,687.9024,418.0392,1377.1744,1554.3280,486.2038,1352.6294,687.9024
28,938.1105,603.6075,334.4242,1006.8076,1144.7743,396.9437,938.1105,603.6075
29,971.9136,835.4994,513.3997,1273.3342,1421.6172,385.7958,971.9136,835.4994
30,904.8403,599.5656,363.0087,1015.3963,1145.9967,358.4093,904.8403,599.5656
31,2115.9697,721.6742,324.1304,1945.8371,2187.6363,650.0076,2115.9697,721.6742
32,2440.2863,583.5558,-13.2290,2207.2645,2440.3806,583.4616,2440.2863,583.5558
33,2192.3992,527.8040,70.4323,1985.6779,2195.3741,524.8291,2192.3992,527.8040
34,1513.4939,498.0871,329.1819,1452.5787,1610.8719,400.7092,1513.4939,498.0871
35,1539.3360,759.2670,453.9912,1547.7722,1747.8288,550.7742,1539.3360,759.2670
36,1734.6436,574.0852,365.7158,1656.4942,1840.2740,468.4548,1734.6436,574.0852
37,1874.6340,629.8656,318.4458,1741.9642,1951.3706,553.1290,1874.6340,629.8656
38,2002.1237,435.0811,151.4494,1842.6935,2016.6265,420.5783,2002.1237,435.0811
39,1687.6937,366.8241,149.5416,1559.1252,1704.4123,350.1054,1687.6937,366.8241
40,517.8332,545.5579,-566.6347,1116.4683,1098.4998,-35.1087,517.8332,545.5579
41,666.1014,416.3372,-28.8406,584.9789,669.3884,413.0502,666.1014,416.3372
42,676.5172,557.9270,-107.6874,652.9170,740.1550,494.2893,676.5172,557.9270
43,234.5589,-407.0909,263.9332,724.7136,329.1727,-501.7047,234.5589,-407.0909
44,2058.3530,377.7369,906.5865,2463.2669,2454.1747,-18.0848,2058.3530,377.7369
45,1759.9185,1446.9161,868.7217,2215.5038,2486.1234,720.7112,1759.9185,1446.9161
46,1574.4286,1140.8655,637.0601,1789.3364,2030.5808,684.7133,1574.4286,1140.8655
47,1702.5422,851.8994,442.0938,1661.4237,1890.6906,663.7510,1702.5422,851.8994
48,1215.8972,1024.9846,581.8148,1515.9977,1710.0343,530.8476,1215.8972,1024.9846
49,1131.9537,1483.8604,1380.6524,2742.6453,2699.7263,-83.9122,1131.9537,1483.8604
50,687.1293,401.4551,50.6479,604.2822,695.8430,392.7414,687.1293,401.4551
51,1217.8627,886.9050,686.7994,1613.9212,1758.8374,345.9302,1217.8627,886.9050
52,975.2097,362.0780,423.7763,1125.9625,1191.6821,145.6056,975.2097,362.0780
53,860.9631,817.3034,937.0624,1827.5208,1776.4499,-98.1834,860.9631,817.3034
54,575.5355,1396.0380,1162.1168,2351.2210,2218.1915,-246.6180,575.5355,1396.0380
55,26.8865,1575.5035,1509.4335,3045.6104,2497.6452,-895.2551,26.8865,1575.5035
56,1358.6694,438.9841,-0.1335,1200.9394,1358.6695,438.9840,1358.6694,438.9841
57,851.0765,494.5394,52.4848,745.8374,858.6421,486.9738,851.0765,494.5394
58,889.3836,525.4184,188.9202,840.7388,969.7148,445.0872,889.3836,525.4184
59,2647.8355,475.6074,9.7066,2445.0332,2647.8788,475.5640,2647.8355,475.6074
60,1158.2440,872.1683,582.1290,1452.1176,1614.6509,415.7614,1158.2440,872.1683
61,1133.4769,805.6106,599.2318,1448.4038,1590.7948,348.2927,1133.4769,805.6106
62,2438.7877,-1195.6005,-849.8654,3529.8407,2627.7007,-1384.5134,2438.7877,-1195.6005
63,1894.5743,1236.6845,675.7815,2036.1364,2317.2180,814.0409,1894.5743,1236.6845
64,1845.9024,1341.8006,733.4478,2084.4156,2369.3999,818.3031,1845.9024,1341.8006
65,1654.3884,371.1250,-327.3348,1606.9206,1733.0617,292.4517,1654.3884,371.1250
66,1643.5404,505.7686,-512.1856,1706.6863,1840.1382,309.1708,1643.5404,505.7686
67,1628.6858,696.7613,-702.3821,1866.3629,2005.6123,319.8348,1628.6858,696.7613
68,1594.2607,745.1227,-587.8805,1716.3233,1894.8554,444.5281,1594.2607,745.1227
69,1548.0930,963.0221,-738.3998,1862.4872,2049.7938,461.3213,1548.0930,963.0221
70,1623.0735,350.9745,-293.9444,1564.3220,1687.7110,286.3370,1623.0735,350.9745
71,921.0071,2682.4980,-913.4908,2841.9793,3070.6804,532.8246,921.0071,2682.4980
72,1495.9007,2279.1885,1462.3602,3230.8623,3401.4409,373.6482,1495.9007,2279.1885
73,5187.0922,-455.1960,-1732.1105,6202.8133,5676.3953,-944.4992,5187.0922,-455.1960
74,1285.1617,3270.5508,1399.1717,3744.0621,3993.4098,562.3028,1285.1617,3270.5508
75,4467.7428,13.2151,109.9442,4465.2124,4470.4547,10.5031,4467.7428,13.2151
76,4151.2208,-133.0381,250.4973,4241.5623,4165.8175,-147.6347,4151.2208,-133.0381
