face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,307.4979,638.3297,34.7987,556.2082,641.9504,303.8772,307.4979,638.3297
1,267.4763,654.7855,22.7119,571.5729,656.1128,266.1491,267.4763,654.7855
2,289.3023,640.5187,37.3973,559.3319,644.4566,285.3645,289.3023,640.5187
3,248.2779,638.1480,3.2014,557.1961,638.1743,248.2517,248.2779,638.1480
4,258.8815,673.0054,7.0891,588.1140,673.1268,258.7602,258.8815,673.0054
5,263.1730,635.6879,25.3216,554.9656,637.4013,261.4597,263.1730,635.6879
6,264.4297,657.7134,-29.6499,575.5244,659.9362,262.2070,264.4297,657.7134
7,256.2436,616.0503,-13.7163,536.5484,616.5724,255.7215,256.2436,616.0503
8,260.7612,665.7469,-3.2285,581.0729,665.7727,260.7354,260.7612,665.7469
9,287.3916,617.0509,-29.7689,537.2793,619.7176,284.7250,287.3916,617.0509
10,271.4922,621.1693,27.2475,541.4277,623.2797,269.3817,271.4922,621.1693
11,283.0554,625.2456,37.6016,546.1821,629.3287,278.9723,283.0554,625.2456
12,285.9773,670.4521,17.5752,583.5080,671.2538,285.1756,285.9773,670.4521
13,257.7712,677.1727,22.6540,593.2899,678.3928,256.5511,257.7712,677.1727
14,263.7978,662.9461,-16.5803,578.8158,663.6336,263.1103,263.7978,662.9461
15,260.5343,647.1443,-22.0102,565.2645,648.3933,259.2852,260.5343,647.1443
16,286.0165,641.5964,-16.6469,557.4725,642.3740,285.2389,286.0165,641.5964
17,232.8821,289.7790,46.9804,278.1062,316.2530,206.4081,232.8821,289.7790
18,249.7355,650.7350,-14.8723,569.1887,651.2859,249.1846,249.7355,650.7350
19,264.1314,571.1260,3.5324,495.1115,571.1667,264.0907,264.1314,571.1260
20,251.9486,654.0362,6.0485,571.4611,654.1272,251.8576,251.9486,654.0362
21,259.8192,657.1267,-11.9341,573.5980,657.4849,259.4611,259.8192,657.1267
22,262.1191,646.1046,-6.2793,562.9561,646.2073,262.0164,262.1191,646.1046
23,285.6987,658.3943,-15.5548,572.4773,659.0424,285.0507,285.6987,658.3943
24,261.4923,664.3231,-17.1259,580.4032,665.0499,260.7656,261.4923,664.3231
25,274.0364,608.7082,-15.7857,528.7352,609.4511,273.2935,274.0364,608.7082
26,283.8375,631.1963,33.8832,550.6900,634.4705,280.5632,283.8375,631.1963
27,265.9482,647.8192,32.0315,566.7362,650.4874,263.2800,265.9482,647.8192
28,274.8422,663.2832,21.7378,578.4481,664.4959,273.6295,274.8422,663.2832
29,247.7378,668.1654,-25.5273,586.7232,669.7096,246.1935,247.7378,668.1654
30,254.6317,661.1821,-2.6738,577.6354,661.1997,254.6141,254.6317,661.1821
31,282.0194,634.5155,-30.6544,553.1892,637.1615,279.3735,282.0194,634.5155
32,297.9254,643.0925,26.8212,559.3676,645.1642,295.8537,297.9254,643.0925
33,258.1633,661.9068,18.6858,578.7368,662.7697,257.3003,258.1633,661.9068
34,266.8773,665.6627,18.9196,581.1660,666.5583,265.9817,266.8773,665.6627
35,263.1571,661.4133,23.7153,578.2308,662.8205,261.7499,263.1571,661.4133
36,259.3891,633.7248,-26.7839,553.7695,635.6315,257.4824,259.3891,633.7248
37,255.4961,676.2423,-20.8345,592.5427,677.2714,254.4669,255.4961,676.2423
38,256.2893,649.2834,-12.5701,566.8534,649.6850,255.8876,256.2893,649.2834
39,271.5060,643.2078,-25.0752,560.9664,644.8918,269.8221,271.5060,643.2078
40,270.8404,606.2501,-15.6423,526.7170,606.9781,270.1125,270.8404,606.2501
41,275.4324,628.1549,-7.5140,545.5243,628.3149,275.2724,275.4324,628.1549
42,262.2351,668.7961,-16.7224,584.3907,669.4827,261.5485,262.2351,668.7961
43,259.1077,626.2148,5.5284,545.0838,626.2980,259.0244,259.1077,626.2148
44,255.3441,608.7711,-1.0802,529.4905,608.7744,255.3408,255.3441,608.7711
45,258.0123,673.9886,-2.0489,589.0214,673.9987,258.0022,258.0123,673.9886
46,289.2985,612.2406,-36.0234,534.1394,616.2101,285.3290,289.2985,612.2406
47,276.7034,626.8257,-34.4222,547.3436,630.1778,273.3513,276.7034,626.8257
48,282.4787,639.7998,-19.4746,556.3686,640.8581,281.4204,282.4787,639.7998
49,278.1445,625.7818,33.3784,546.1244,628.9576,274.9687,278.1445,625.7818
50,264.5909,675.8070,24.8788,591.4118,677.3067,263.0912,264.5909,675.8070
51,263.7962,640.9317,24.6745,559.5829,642.5392,262.1887,263.7962,640.9317
52,260.0181,664.3730,29.6658,582.1443,666.5378,257.8532,260.0181,664.3730
53,261.6762,643.6084,38.1806,564.5020,647.3878,257.8968,261.6762,643.6084
54,265.7011,585.3902,4.9278,507.7527,585.4662,265.6252,265.7011,585.3902
55,258.4059,564.0729,-10.3411,489.4006,564.4224,258.0565,258.4059,564.0729
56,252.1539,725.4702,20.2414,638.8956,726.3342,251.2899,252.1539,725.4702
57,260.9507,563.6026,35.8666,492.4732,567.7950,256.7583,260.9507,563.6026
58,280.8722,651.1998,23.1060,567.1403,652.6359,279.4361,280.8722,651.1998
59,272.1629,618.5515,32.6764,539.9398,621.6070,269.1074,272.1629,618.5515
60,284.8858,613.1475,36.0670,535.1030,617.0636,280.9698,284.8858,613.1475
61,284.1025,613.2762,33.4194,534.7329,616.6349,280.7439,284.1025,613.2762
62,254.1650,664.3266,16.2149,581.2658,664.9667,253.5250,254.1650,664.3266
63,257.2334,601.0916,20.3141,523.5430,602.2876,256.0375,257.2334,601.0916
64,255.3921,608.6053,-3.6429,529.3698,608.6429,255.3546,255.3921,608.6053
65,246.9912,674.7791,12.7436,591.7383,675.1584,246.6119,246.9912,674.7791
66,252.1799,727.0348,21.2252,640.4548,727.9817,251.2330,252.1799,727.0348
67,282.9799,555.7126,3.2845,481.3221,555.7522,282.9404,282.9799,555.7126
68,261.6797,597.9894,51.5804,526.8468,605.7225,253.9465,261.6797,597.9894
69,273.5455,535.3565,-5.9457,463.7838,535.4914,273.4105,273.5455,535.3565
70,244.8494,473.7219,36.7462,415.2397,479.4770,239.0944,244.8494,473.7219
71,280.5993,37.2026,-20.1137,266.2605,282.2503,35.5517,280.5993,37.2026
72,261.4429,552.9827,4.4200,479.1946,553.0497,261.3759,261.4429,552.9827
73,293.2457,587.7122,17.7260,509.8993,588.7754,292.1825,293.2457,587.7122
74,273.0184,558.7787,9.2553,484.2239,559.0782,272.7190,273.0184,558.7787
75,283.2940,566.9494,17.1051,491.8857,567.9772,282.2662,283.2940,566.9494
76,281.5540,573.1086,8.8833,496.5902,573.3790,281.2836,281.5540,573.1086
77,277.3551,689.8525,-1.3775,601.2436,689.8571,277.3505,277.3551,689.8525
78,240.8658,308.3510,-24.5862,283.9699,316.3582,232.8587,240.8658,308.3510
79,251.6658,512.1415,6.8116,443.7063,512.3195,251.4878,251.6658,512.1415
80,257.1819,499.3797,5.7630,432.6556,499.5168,257.0448,257.1819,499.3797
81,256.2003,504.1168,6.1097,436.7259,504.2673,256.0498,256.2003,504.1168
82,269.7975,558.7494,-1.3808,483.9918,558.7560,269.7909,269.7975,558.7494
83,273.9319,563.0390,3.1038,487.6947,563.0723,273.8986,273.9319,563.0390
84,265.6335,468.3416,35.3180,411.3877,474.3188,259.6563,265.6335,468.3416
85,257.9734,505.1292,0.3072,437.4885,505.1296,257.9730,257.9734,505.1292
