vid,x,y,z
0,0.59792328,0.02113320,0.00000000
1,0.58847582,0.11705511,0.00000000
2,0.57101029,-0.08656515,0.03077839
3,0.56942399,0.07324894,0.06168325
4,0.54842591,-0.24066152,0.00000000
5,0.54456035,-0.00018082,0.09332910
6,0.55325556,0.18303880,0.04378010
7,0.54665098,-0.07387366,0.06303130
8,0.52189037,0.05523394,0.12487656
9,0.50919082,-0.17665689,0.09265465
10,0.49715335,0.24237806,0.07513349
11,0.51861497,0.25542508,0.04116893
12,0.51619069,-0.21649172,0.07682392
13,0.51142724,-0.28739050,0.03513401
14,0.49619258,-0.02208457,0.13282341
15,0.50306614,0.16505015,0.11867400
16,0.47407659,0.10948671,0.16213380
17,0.48530506,-0.06014346,0.12386504
18,0.46859244,0.06869864,0.16976158
19,0.46336270,0.26621011,0.08219485
20,0.46203626,-0.20364147,0.13925832
21,0.46816904,-0.24236591,0.12383349
22,0.43838410,-0.03557661,0.16699717
23,0.44396499,0.13277385,0.17522049
24,0.44486969,0.37573421,0.03424168
25,0.44607413,-0.36333031,0.05509019
26,0.44152839,0.09328064,0.18629792
27,0.44612984,0.22365247,0.12699193
28,0.41597638,0.43107167,0.00000000
29,0.43242484,-0.41432756,0.00000000
30,0.43302805,0.05406485,0.19090214
31,0.44025204,0.17113219,0.16216460
32,0.41772615,-0.15733043,0.17257730
33,0.40560055,-0.23197152,0.17588159
34,0.40265580,-0.11690672,0.17342151
35,0.41409457,-0.27198563,0.16204666
36,0.41092752,0.11511260,0.19552465
37,0.41225423,-0.02061777,0.18628624
38,0.42212533,-0.33291920,0.11261991
39,0.38739769,-0.39934702,0.07723329
40,0.39470687,0.38608519,0.09052268
41,0.41279279,-0.05587259,0.17109552
42,0.38087518,0.29266250,0.13448033
43,0.36415508,0.06675023,0.21477313
44,0.41043895,0.15199761,0.18461620
45,0.36148186,-0.17089976,0.20196279
46,0.34695027,-0.26218282,0.19302706
47,0.36635438,-0.10895567,0.19178609
48,0.37761413,-0.44527091,0.02810529
49,0.34776128,-0.29415098,0.17943652
50,0.37001330,0.44035921,0.06532713
51,0.37926699,-0.00212542,0.20450209
52,0.35754001,0.35467628,0.14489336
53,0.38422956,-0.34189843,0.13299339
54,0.32799543,0.04805907,0.21892422
55,0.33389184,0.16969790,0.19995942
56,0.35051276,-0.40945573,0.08775661
57,0.33477934,0.28946827,0.17467428
58,0.31509134,0.50864238,0.00000000
59,0.34475202,-0.03305664,0.20782165
60,0.32807235,-0.23770644,0.20646812
61,0.32622699,-0.17117977,0.21259499
62,0.33871067,0.38603734,0.14527443
63,0.34844503,0.13241232,0.20951252
64,0.30905364,-0.27616883,0.19735931
65,0.30725745,-0.13711346,0.21495825
66,0.36111236,0.03085249,0.21350644
67,0.32088074,0.32017198,0.18229832
68,0.31550846,-0.31430145,0.17701632
69,0.32835799,-0.10377414,0.20765677
70,0.32791080,0.09318756,0.21977753
71,0.29877447,-0.38230609,0.12717142
72,0.27974865,0.44455328,0.13947283
73,0.29779596,0.35165794,0.18734466
74,0.29538781,0.24566728,0.19871907
75,0.28659091,-0.24044204,0.21099028
76,0.28691782,-0.17179736,0.21851994
77,0.27572534,0.28091048,0.20871375
78,0.26297495,-0.27149173,0.20298249
79,0.27058666,0.00975417,0.25379150
80,0.28212678,0.41542621,0.16765750
81,0.28666321,-0.33175946,0.16916472
82,0.26290635,-0.49858926,0.05621061
83,0.28661777,0.31665297,0.20074104
84,0.26065396,0.08412598,0.25221055
85,0.27119174,0.21411435,0.20971162
86,0.24310405,0.02090894,0.27702125
87,0.24490534,-0.48326134,0.08505192
88,0.26593798,-0.20572624,0.21797832
89,0.23695072,0.23454770,0.22005009
90,0.24912469,0.12121257,0.24592843
91,0.24303103,-0.23828589,0.21369593
92,0.23628938,0.37707941,0.20314924
93,0.24019011,0.46683558,0.13537978
94,0.23646533,-0.29963256,0.19012510
95,0.24080196,0.27348204,0.21950316
96,0.22221278,0.10178814,0.26982677
97,0.22255551,-0.11261865,0.27137911
98,0.20787834,-0.43223443,0.14661425
99,0.21056677,-0.01007922,0.28703617
100,0.22297957,0.33937772,0.21777070
101,0.20607812,0.17507296,0.25146893
102,0.23602256,0.06372317,0.27882682
103,0.21626325,-0.17649210,0.24635804
104,0.21340922,0.51720500,0.08118436
105,0.21842194,-0.26854532,0.20518727
106,0.20564329,-0.14698392,0.27410694
107,0.20693763,0.26010339,0.22442932
108,0.19050698,-0.40341567,0.16949016
109,0.17418688,0.39750539,0.19433420
110,0.21234522,0.03659803,0.29593992
111,0.17554683,0.28329086,0.22475359
112,0.19687462,0.46350822,0.14666357
113,0.19067306,-0.46205553,0.14167777
114,0.15850995,-0.07220867,0.29557960
115,0.17916451,-0.33534376,0.19145692
116,0.16550910,-0.01133123,0.29477852
117,0.18056174,0.15383248,0.27294469
118,0.17245373,0.19258840,0.26733021
119,0.18327551,-0.17738967,0.26499368
120,0.15030155,0.02369732,0.30561609
121,0.15534964,0.22731586,0.25059501
122,0.16715811,-0.14623491,0.28470364
123,0.15960351,-0.40748377,0.18428663
124,0.14620961,0.41937884,0.17675112
125,0.18212871,0.55384572,0.03263208
126,0.17854893,0.04602261,0.30129171
127,0.15121358,-0.30867552,0.20734164
128,0.13360088,-0.38675639,0.19952615
129,0.13822221,0.38329747,0.19639025
130,0.12251492,-0.00135234,0.29887509
131,0.15136258,-0.50835437,0.12266086
132,0.15205290,0.13148444,0.29036466
133,0.15065742,0.17157474,0.28894265
134,0.12748478,-0.14683280,0.28616052
135,0.11312141,0.03694326,0.30020811
136,0.16616479,0.48298908,0.12600092
137,0.12350347,-0.08816027,0.30195826
138,0.13872249,0.21122271,0.27800722
139,0.12903543,-0.46182108,0.17141127
140,0.14133777,-0.34703586,0.20492450
141,0.14174375,0.30409862,0.22132191
142,0.11995203,-0.25699713,0.23701631
143,0.11803097,0.43738465,0.15474093
144,0.13121131,-0.42629177,0.18843736
145,0.11233998,-0.05691224,0.29715450
146,0.12152733,0.15082670,0.30623919
147,0.12121623,0.18630098,0.29558206
148,0.08600106,-0.08442803,0.29625628
149,0.09334872,-0.20686943,0.27260510
150,0.10348724,-0.36370888,0.21122187
151,0.11521501,-0.52295127,0.12071887
152,0.11813582,0.11095370,0.29996961
153,0.10635996,-0.11705952,0.29452020
154,0.09132791,-0.48095565,0.17204928
155,0.08431858,-0.24142515,0.26318429
156,0.10156796,0.32292749,0.21441690
157,0.10143606,0.21384032,0.28366833
158,0.10796477,-0.32173258,0.21517822
159,0.09551873,-0.44479553,0.19152971
160,0.06911042,-0.17845070,0.28835156
161,0.08274290,0.09263002,0.30309939
162,0.08601382,0.13496733,0.30900172
163,0.08710037,0.26382281,0.24511262
164,0.07850093,-0.27065795,0.24181708
165,0.09038695,0.17644071,0.30259181
166,0.06728741,-0.05154145,0.29523226
167,0.07128832,-0.34073182,0.21692377
168,0.06535415,0.20185475,0.28514252
169,0.05584942,-0.21809796,0.28335458
170,0.06081806,-0.14362809,0.28953806
171,0.06132534,-0.58272555,0.03764977
172,0.05654483,0.52533859,0.09729665
173,0.05038097,-0.52017880,0.12978943
174,0.05680915,0.16180598,0.29745857
175,0.04369640,0.49474430,0.13197827
176,0.03641933,0.05171356,0.29604824
177,0.06138353,-0.42111510,0.19892845
178,0.04098596,0.38269972,0.19531347
179,0.02622445,-0.19509348,0.29393977
180,0.03682703,-0.11849506,0.29364974
181,0.04654958,0.08225599,0.30043122
182,0.03369585,-0.36056050,0.21299987
183,0.05131173,0.12094427,0.30200187
184,0.00222181,-0.12978295,0.29271765
185,0.04016582,-0.32583416,0.21638249
186,0.08090386,0.01072106,0.29804858
187,0.01533370,0.25341361,0.26368010
188,0.01701721,-0.22989185,0.27756819
189,0.01102747,-0.08763416,0.29324695
190,0.00325580,0.17641499,0.29586886
191,-0.00488073,-0.16848768,0.28981515
192,-0.00833826,0.59918350,0.00000000
193,-0.00076876,-0.59992903,0.00000000
194,0.00150045,-0.54840778,0.09043923
195,0.02091847,0.54518768,0.09290883
196,-0.00784324,-0.49664423,0.14020219
197,0.01144950,0.41258951,0.19587137
198,-0.00604647,0.33791072,0.22002778
199,0.01646373,-0.47070292,0.16730738
200,0.02375516,-0.43450532,0.18906257
201,-0.00527107,-0.37319564,0.20332743
202,-0.01941454,-0.23651298,0.26444534
203,-0.02021023,0.06281842,0.29489810
204,-0.01154261,-0.20398504,0.28074185
205,-0.05520202,0.26109919,0.26089500
206,-0.04881948,-0.07524859,0.29192675
207,-0.03303718,0.16707922,0.30594513
208,-0.04415687,0.32811459,0.22280982
209,-0.03579205,-0.34530161,0.20242722
210,-0.03337226,0.36732377,0.21855419
211,-0.08338078,-0.02147913,0.29268736
