face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,478.3975,915.8770,73.5792,803.6064,927.9207,466.3539,478.3975,915.8770
1,302.0682,752.5551,60.4890,664.2576,760.5358,294.0874,302.0682,752.5551
2,425.0142,903.1335,143.7650,821.2477,943.0325,385.1153,425.0142,903.1335
3,341.1734,938.4530,22.8619,823.7027,939.3268,340.2996,341.1734,938.4530
4,329.8950,977.9010,39.5448,864.4119,980.3054,327.4907,329.8950,977.9010
5,295.0246,702.2105,62.7214,620.2996,711.6529,285.5822,295.0246,702.2105
6,281.6269,947.7289,-140.6654,877.4726,976.2159,253.1399,281.6269,947.7289
7,295.4780,708.6929,-47.3832,622.0010,714.0567,290.1142,295.4780,708.6929
8,345.5710,1016.2982,-9.0807,895.1679,1016.4211,345.4481,345.5710,1016.2982
9,428.5174,912.9989,-97.3956,808.9598,931.8453,409.6711,428.5174,912.9989
10,420.6494,910.3200,67.8606,797.8208,919.5504,411.4190,420.6494,910.3200
11,380.8051,749.2555,127.2588,685.3177,788.9359,341.1247,380.8051,749.2555
12,414.1084,974.8661,85.1650,860.1795,987.5152,401.4593,414.1084,974.8661
13,235.8054,1011.4890,133.7184,945.4319,1033.8933,213.4011,235.8054,1011.4890
14,280.8428,888.6726,-79.9760,798.8885,899.0194,270.4960,280.8428,888.6726
15,252.8001,837.7515,-16.2044,744.8084,838.2000,252.3515,252.8001,837.7515
16,441.8045,933.9732,-65.3314,817.1097,942.4978,433.2799,441.8045,933.9732
17,377.1826,420.8344,28.9652,403.9231,435.2763,362.7407,377.1826,420.8344
18,287.4179,888.2186,25.1149,786.2212,889.2667,286.3698,287.4179,888.2186
19,316.0749,637.6560,39.4537,556.4452,642.4257,311.3052,316.0749,637.6560
20,228.2956,902.0543,40.9710,815.4273,904.5366,225.8133,228.2956,902.0543
21,323.3580,1028.3385,-30.2993,912.2901,1029.6384,322.0582,323.3580,1028.3385
22,315.8061,939.5598,-31.6311,829.9331,941.1597,314.2062,315.8061,939.5598
23,421.4737,939.1725,-80.6356,826.6528,951.4413,409.2049,421.4737,939.1725
24,294.4411,910.8710,-111.9780,828.1310,930.5821,274.7300,294.4411,910.8710
25,408.1949,872.9691,-43.4179,760.2709,876.9902,404.1737,408.1949,872.9691
26,443.6876,926.6888,79.2096,814.4157,939.3470,431.0294,443.6876,926.6888
27,305.5547,830.8842,124.0352,758.9505,858.6976,277.7414,305.5547,830.8842
28,338.4573,851.5745,110.8537,767.0570,874.4990,315.5327,338.4573,851.5745
29,276.9509,931.9238,-181.4578,886.4917,978.8360,230.0387,276.9509,931.9238
30,360.9039,1005.1031,-3.4410,881.9149,1005.1215,360.8855,360.9039,1005.1031
31,423.5428,925.3382,-88.4357,816.8119,940.4678,408.4132,423.5428,925.3382
32,477.7872,989.4152,75.3540,866.9070,1000.2827,466.9197,477.7872,989.4152
33,219.0664,1009.9925,114.2598,941.2680,1026.1681,202.8909,219.0664,1009.9925
34,321.1594,1037.5804,74.4372,929.0374,1045.2328,313.5070,321.1594,1037.5804
35,357.4164,975.7030,224.9541,939.5869,1048.8867,284.2327,357.4164,975.7030
36,298.1593,696.9379,-88.0378,624.5597,715.5090,279.5882,298.1593,696.9379
37,254.4744,1046.9808,-128.8692,971.7603,1067.4096,234.0456,254.4744,1046.9808
38,171.4653,756.7388,-23.6954,688.4649,757.6966,170.5075,171.4653,756.7388
39,366.6004,709.5284,-87.7867,633.1134,730.6947,345.4342,366.6004,709.5284
40,407.2411,862.6853,-47.1354,751.9412,867.5123,402.4141,407.2411,862.6853
41,442.7547,868.7113,53.2304,758.0010,875.2626,436.2034,442.7547,868.7113
42,270.9721,1039.7636,-79.1375,944.2328,1047.8253,262.9104,270.9721,1039.7636
43,272.4437,842.9535,185.6310,811.4896,898.0355,217.3616,272.4437,842.9535
44,240.3209,508.1836,98.1551,471.9966,540.3005,208.2040,240.3209,508.1836
45,383.8317,1013.6566,-4.4281,886.4602,1013.6877,383.8006,383.8317,1013.6566
46,437.8655,727.7259,-103.9714,659.6175,761.1628,404.4286,437.8655,727.7259
47,396.6494,818.5953,-124.4916,741.0992,852.5871,362.6576,396.6494,818.5953
48,443.8853,986.7202,-54.7982,861.2020,992.1968,438.4087,443.8853,986.7202
49,398.7075,881.7981,105.2441,786.2474,903.7304,376.7752,398.7075,881.7981
50,246.0299,917.7390,134.6242,855.1933,943.7159,220.0530,246.0299,917.7390
