vid,x,y,z
0,0.59792328,0.02113320,0.00000000
1,0.58847582,0.11705511,0.00000000
2,0.56886703,-0.08608104,0.02893140
3,0.56312150,0.07247370,0.05885581
4,0.54842591,-0.24066152,0.00000000
5,0.54256525,-0.00059575,0.09306744
6,0.54782643,0.18140831,0.04102774
7,0.54494745,-0.07359468,0.06177646
8,0.51806620,0.05492109,0.12359609
9,0.50714400,-0.17592387,0.09105541
10,0.49485171,0.24135514,0.07375628
11,0.51580292,0.25407934,0.03919694
12,0.51463140,-0.21526745,0.07617735
13,0.50702201,-0.28475589,0.03287726
14,0.49495962,-0.02232787,0.13308073
15,0.49938686,0.16405704,0.11738731
16,0.47315692,0.10908019,0.16361852
17,0.48341181,-0.05942712,0.12237422
18,0.46766870,0.06843720,0.17146765
19,0.46163247,0.26484498,0.08055695
20,0.46228179,-0.20291251,0.14073841
21,0.46529018,-0.24054678,0.12257772
22,0.43706983,-0.03514158,0.16634128
23,0.44281030,0.13221744,0.17598226
24,0.44247074,0.37374827,0.03244602
25,0.44202894,-0.35994533,0.05276386
26,0.44165625,0.09326457,0.18953878
27,0.44469944,0.22269670,0.12630737
28,0.41597638,0.43107167,0.00000000
29,0.43242484,-0.41432756,0.00000000
30,0.43236645,0.05403665,0.19259595
31,0.43963618,0.17124021,0.16385506
32,0.41750537,-0.15694496,0.17323353
33,0.40487521,-0.23152152,0.17702331
34,0.40143125,-0.11721139,0.17185604
35,0.41312438,-0.27117860,0.16293864
36,0.41029427,0.11469712,0.19676299
37,0.41149964,-0.02066262,0.18669355
38,0.41926014,-0.33041928,0.11126273
39,0.38594162,-0.39826786,0.07677226
40,0.39464054,0.38517900,0.09136036
41,0.41176100,-0.05535946,0.17002654
42,0.37882367,0.29221771,0.13300349
43,0.36439175,0.06671137,0.21751704
44,0.40991145,0.15194607,0.18625428
45,0.36161074,-0.17053468,0.20399086
46,0.34673000,-0.26204479,0.19551150
47,0.36545593,-0.10913700,0.19062380
48,0.37592901,-0.44320602,0.02636119
49,0.34713663,-0.29361309,0.18073253
50,0.36571838,0.43518446,0.06280162
51,0.37909383,-0.00240037,0.20608463
52,0.35886482,0.35443164,0.14802079
53,0.38235923,-0.34021612,0.13246532
54,0.32886394,0.04830828,0.22162525
55,0.33314191,0.16896555,0.19877977
56,0.34902829,-0.40735342,0.08614989
57,0.33341636,0.28904451,0.17433904
58,0.31509134,0.50864238,0.00000000
59,0.34433026,-0.03289746,0.20741330
60,0.32813154,-0.23714052,0.20866890
61,0.32591824,-0.17104215,0.21319695
62,0.33742062,0.38414199,0.14575576
63,0.34814953,0.13241305,0.21061877
64,0.30864311,-0.27535195,0.19791415
65,0.30729810,-0.13697453,0.21620173
66,0.36110579,0.03079637,0.21482858
67,0.32204400,0.31977731,0.18600152
68,0.31510102,-0.31448488,0.17913862
69,0.32788441,-0.10376667,0.20695394
70,0.32778182,0.09317366,0.22035030
71,0.29806189,-0.38032447,0.12551172
72,0.27885256,0.44277144,0.14033460
73,0.29734590,0.35081799,0.18898477
74,0.29417079,0.24544401,0.19771873
75,0.28637215,-0.23998793,0.21124823
76,0.28684260,-0.17167718,0.21955142
77,0.27603131,0.28049025,0.21160710
78,0.26264539,-0.27130761,0.20384833
79,0.27073039,0.00969180,0.25484583
80,0.28105535,0.41450199,0.16933847
81,0.28612553,-0.33034987,0.16834638
82,0.26228653,-0.49701932,0.05524443
83,0.28645635,0.31611629,0.20273012
84,0.26044230,0.08406642,0.25281636
85,0.27046097,0.21392750,0.20858469
86,0.24391773,0.02066364,0.27985088
87,0.24386808,-0.48130457,0.08386869
88,0.26588935,-0.20567679,0.21879075
89,0.23700756,0.23425935,0.22175714
90,0.24919117,0.12131287,0.24649976
91,0.24286997,-0.23806612,0.21380236
92,0.23626591,0.37687707,0.20625616
93,0.23860718,0.46384239,0.13481710
94,0.23620278,-0.29853047,0.18867674
95,0.24044430,0.27338744,0.22079877
96,0.22247548,0.10223565,0.27159386
97,0.22355070,-0.11271743,0.27427326
98,0.20725734,-0.43130027,0.14656606
99,0.21079086,-0.01063664,0.28923155
100,0.22288171,0.33938488,0.22118886
101,0.20666839,0.17527493,0.25278130
102,0.23646972,0.06380001,0.28110209
103,0.21546733,-0.17601467,0.24647360
104,0.21225047,0.51595669,0.08128480
105,0.21819468,-0.26802179,0.20427978
106,0.20604394,-0.14728383,0.27640844
107,0.20694668,0.25995437,0.22591588
108,0.19033603,-0.40274203,0.17015617
109,0.17367376,0.39763245,0.19704984
110,0.21251025,0.03668921,0.29864307
111,0.17602497,0.28360989,0.22752758
112,0.19616703,0.46434992,0.14950637
113,0.19231233,-0.46255946,0.14492934
114,0.15869301,-0.07171243,0.29771998
115,0.17841250,-0.33475370,0.19022492
116,0.16545160,-0.01142644,0.29576449
117,0.18090853,0.15377784,0.27433525
118,0.17282611,0.19283826,0.26908397
119,0.18366066,-0.17835940,0.26768305
120,0.15017768,0.02373675,0.30798854
121,0.15579554,0.22808617,0.25232498
122,0.16734181,-0.14662135,0.28746964
123,0.16059936,-0.40747050,0.18757110
124,0.14602512,0.41840472,0.17711769
125,0.18125674,0.55116479,0.03099294
126,0.17855771,0.04639998,0.30446596
127,0.15104440,-0.30829559,0.20684169
128,0.13411193,-0.38651669,0.20199899
129,0.13797770,0.38269665,0.19716333
130,0.12240457,-0.00175582,0.30055625
131,0.15040085,-0.50473024,0.12165943
132,0.15248565,0.13122473,0.29207203
133,0.15101285,0.17174472,0.29149093
134,0.12727850,-0.14705147,0.28766388
135,0.11293967,0.03697931,0.30177685
136,0.16566162,0.48212514,0.12645792
137,0.12339891,-0.08802558,0.30442280
138,0.13894022,0.21165902,0.28031238
139,0.12894605,-0.46038944,0.17245236
140,0.14181249,-0.34670497,0.20671965
141,0.14171249,0.30390822,0.22275080
142,0.12001393,-0.25676311,0.23731960
143,0.11847738,0.43544782,0.15317674
144,0.13149738,-0.42585765,0.19082549
145,0.11228701,-0.05667160,0.29873794
146,0.12158275,0.15090569,0.30865806
147,0.12152565,0.18714972,0.29951668
148,0.08570350,-0.08453302,0.29790207
149,0.09375699,-0.20698964,0.27424833
150,0.10373297,-0.36323424,0.21233504
151,0.11442548,-0.51959150,0.12016473
152,0.11836083,0.11063902,0.30145369
153,0.10608494,-0.11722090,0.29607148
154,0.09154087,-0.47953490,0.17320005
155,0.08498180,-0.24232118,0.26600709
156,0.10158287,0.32244826,0.21388175
157,0.10135531,0.21462839,0.28646725
158,0.10787440,-0.32143721,0.21468221
159,0.09535892,-0.44405866,0.19362444
160,0.06975662,-0.17834253,0.29078152
161,0.08264327,0.09239839,0.30464262
162,0.08599639,0.13480058,0.31148015
163,0.08698127,0.26411357,0.24584978
164,0.07832190,-0.26959454,0.24172821
165,0.09000170,0.17710307,0.30620216
166,0.06715139,-0.05144289,0.29683682
167,0.07134788,-0.34041734,0.21820873
168,0.06504187,0.20213792,0.28664235
169,0.05578254,-0.21819697,0.28514815
170,0.06116172,-0.14340440,0.29104206
171,0.06061849,-0.57690747,0.03498533
172,0.05610889,0.52358919,0.09574791
173,0.05011950,-0.51698338,0.12925751
174,0.05671513,0.16181573,0.29848241
175,0.04313996,0.49313152,0.13052807
176,0.03646568,0.05154978,0.29731504
177,0.06137150,-0.42102541,0.20229908
178,0.04012994,0.38190268,0.19310067
179,0.02624385,-0.19501663,0.29624481
180,0.03684389,-0.11836150,0.29521955
181,0.04622035,0.08212744,0.30240110
182,0.03400852,-0.36017813,0.21303296
183,0.05081775,0.12102924,0.30390623
184,0.00183425,-0.12967541,0.29452035
185,0.04022619,-0.32574989,0.21653916
186,0.08072835,0.01079783,0.29951536
187,0.01587178,0.25414440,0.26566774
188,0.01670786,-0.23044791,0.28028607
189,0.01108765,-0.08751654,0.29459973
190,0.00357297,0.17640379,0.29734743
191,-0.00532709,-0.16846316,0.29161630
192,-0.00833826,0.59918350,0.00000000
193,-0.00076876,-0.59992903,0.00000000
194,0.00103528,-0.54661561,0.09032846
195,0.02113472,0.54318047,0.09204474
196,-0.00843791,-0.49638329,0.14185649
197,0.01147849,0.41211732,0.19603165
198,-0.00587873,0.33779890,0.22036442
199,0.01632255,-0.46985791,0.16856875
200,0.02376418,-0.43377650,0.19045678
201,-0.00528258,-0.37282907,0.20413505
202,-0.01971372,-0.23668601,0.26575571
203,-0.02017484,0.06269866,0.29632691
204,-0.01205372,-0.20414313,0.28270324
205,-0.05539068,0.26167477,0.26286895
206,-0.04887430,-0.07512690,0.29317994
207,-0.03305560,0.16700355,0.30855707
208,-0.04388752,0.32803979,0.22421963
209,-0.03550780,-0.34478099,0.20143025
210,-0.03339537,0.36705223,0.21898434
211,-0.08330470,-0.02144183,0.29416323
