vid,x,y,z
0,0.59792328,0.02113320,0.00000000
1,0.58847582,0.11705511,0.00000000
2,0.57130723,-0.08679781,0.03088611
3,0.56804065,0.07307499,0.06026664
4,0.54842591,-0.24066152,0.00000000
5,0.54431412,-0.00049000,0.09274168
6,0.55338462,0.18332330,0.04329755
7,0.54706248,-0.07428652,0.06322597
8,0.51967900,0.05507354,0.12215453
9,0.50892666,-0.17612577,0.09194692
10,0.49734910,0.24294343,0.07521949
11,0.51901613,0.25596128,0.04119491
12,0.51606461,-0.21596331,0.07621923
13,0.51192805,-0.28741413,0.03490849
14,0.49646828,-0.02283612,0.13295802
15,0.50195915,0.16486761,0.11742910
16,0.46939691,0.10655787,0.15461470
17,0.48566128,-0.06085540,0.12426196
18,0.46676723,0.06748212,0.16681180
19,0.46346095,0.26669603,0.08240081
20,0.46126506,-0.20295842,0.13776298
21,0.46705886,-0.24150692,0.12208220
22,0.43851041,-0.03639732,0.16740538
23,0.44170545,0.13123290,0.17065835
24,0.44543924,0.37601029,0.03431087
25,0.44612568,-0.36316411,0.05461450
26,0.43711521,0.09166568,0.17810617
27,0.44588293,0.22379209,0.12672387
28,0.41597638,0.43107167,0.00000000
29,0.43242484,-0.41432756,0.00000000
30,0.43126893,0.05335988,0.18755022
31,0.43920791,0.17045064,0.16025776
32,0.41686303,-0.15705050,0.17103891
33,0.40371568,-0.23123890,0.17256433
34,0.40239044,-0.11668158,0.17291176
35,0.40795246,-0.26824227,0.15251106
36,0.40917316,0.11425900,0.19147121
37,0.41212602,-0.02130882,0.18646847
38,0.42098166,-0.33202882,0.11077683
39,0.38753908,-0.39976524,0.07711984
40,0.39513774,0.38626022,0.09044634
41,0.41289278,-0.05649373,0.17156044
42,0.38125202,0.29240311,0.13462747
43,0.36359104,0.06627655,0.21141708
44,0.40950115,0.15143965,0.18248083
45,0.36021202,-0.17031916,0.19975551
46,0.34508261,-0.26113524,0.18970073
47,0.36609894,-0.10878355,0.19167693
48,0.37788080,-0.44578785,0.02818494
49,0.34662060,-0.29366012,0.17771407
50,0.36996964,0.44042604,0.06482632
51,0.37894170,-0.00258698,0.20454356
52,0.35778272,0.35437917,0.14464990
53,0.38359814,-0.34176167,0.13196222
54,0.32933463,0.04889457,0.22117169
55,0.33377178,0.16997138,0.20012358
56,0.35054858,-0.41003622,0.08787426
57,0.33490402,0.28895719,0.17459222
58,0.31509134,0.50864238,0.00000000
59,0.34471063,-0.03319854,0.20841041
60,0.32620551,-0.23452811,0.19994283
61,0.32464685,-0.17063475,0.21059164
62,0.33834368,0.38532973,0.14423959
63,0.34820149,0.13246765,0.20893253
64,0.30796583,-0.27461936,0.19468354
65,0.30644719,-0.13643333,0.21568437
66,0.36092025,0.03050994,0.21324235
67,0.32096255,0.31953325,0.18190667
68,0.31474274,-0.31396423,0.17618832
69,0.32825811,-0.10354210,0.20800726
70,0.32804038,0.09345631,0.22001957
71,0.29852482,-0.38281851,0.12740623
72,0.27877875,0.44151633,0.13537099
73,0.29745904,0.35071720,0.18594529
74,0.29512562,0.24520860,0.19859261
75,0.28543355,-0.23959020,0.20901440
76,0.28554879,-0.17102648,0.21862496
77,0.27515524,0.28009951,0.20790635
78,0.26235210,-0.27125903,0.20244064
79,0.27060902,0.00980782,0.25306490
80,0.27758615,0.41056665,0.15998714
81,0.28616446,-0.33178394,0.16894898
82,0.26344521,-0.49905167,0.05638168
83,0.28631949,0.31564674,0.19968907
84,0.26060569,0.08406633,0.25147253
85,0.27125188,0.21384208,0.21006284
86,0.24249439,0.02044322,0.27501540
87,0.24552761,-0.48368340,0.08525386
88,0.26421577,-0.20500438,0.21786011
89,0.23651506,0.23341295,0.22071965
90,0.24898069,0.12111972,0.24538621
91,0.24244883,-0.23828901,0.21393785
92,0.23500873,0.37300692,0.19482167
93,0.23968861,0.46580855,0.13372938
94,0.23613052,-0.29980731,0.19029731
95,0.23971628,0.27281728,0.21838156
96,0.22178477,0.10107003,0.26795756
97,0.22189168,-0.11209065,0.26946707
98,0.20864989,-0.43222344,0.14673080
99,0.21041732,-0.01022428,0.28616135
100,0.22170335,0.33718357,0.21062975
101,0.20594151,0.17500434,0.25081110
102,0.23404769,0.06196852,0.27371061
103,0.21563938,-0.17623003,0.24520360
104,0.21330593,0.51810716,0.08130618
105,0.21816310,-0.26875568,0.20558090
106,0.20303899,-0.14477652,0.26878809
107,0.20649293,0.25888942,0.22520756
108,0.19122116,-0.40319865,0.16957590
109,0.17364519,0.39684577,0.19308551
110,0.20907719,0.03641237,0.28786853
111,0.17598692,0.28264643,0.22625191
112,0.19645279,0.46358520,0.14623721
113,0.19127158,-0.46200215,0.14139763
114,0.15860258,-0.07184478,0.29487109
115,0.17978490,-0.33520484,0.19200002
116,0.16553255,-0.01141979,0.29405143
117,0.18037983,0.15379573,0.27204844
118,0.17224558,0.19231700,0.26589029
119,0.18259888,-0.17674160,0.26322647
120,0.15042432,0.02432469,0.29858249
121,0.15636470,0.22910133,0.25189308
122,0.16671632,-0.14566958,0.28286512
123,0.15994681,-0.40689389,0.18342874
124,0.14568187,0.41928740,0.17651724
125,0.18213322,0.55467398,0.03276552
126,0.17809751,0.04620848,0.29909852
127,0.15150027,-0.30851334,0.20761961
128,0.13398317,-0.38608981,0.19855999
129,0.13768562,0.38301210,0.19610098
130,0.12262617,-0.00164229,0.29828117
131,0.15095688,-0.50717235,0.12072715
132,0.15191517,0.13154736,0.28935075
133,0.15027218,0.17134781,0.28707660
134,0.12743448,-0.14666978,0.28513435
135,0.11356595,0.03585286,0.29715081
136,0.16580075,0.48349574,0.12615751
137,0.12366228,-0.08811141,0.29778369
138,0.13740926,0.20890165,0.27361081
139,0.12884744,-0.45941784,0.16772510
140,0.14189173,-0.34658692,0.20479784
141,0.14138017,0.30321777,0.22279021
142,0.12001642,-0.25680741,0.23655448
143,0.11757650,0.43756334,0.15486647
144,0.13081893,-0.42470565,0.18534819
145,0.11191620,-0.05756387,0.29497221
146,0.11991701,0.15093565,0.29993497
147,0.12083615,0.18619949,0.29352966
148,0.08588351,-0.08453558,0.29550638
149,0.09290033,-0.20657777,0.27093680
150,0.10391681,-0.36263329,0.20924799
151,0.11382232,-0.51905738,0.11620924
152,0.11822802,0.11074438,0.29920263
153,0.10639294,-0.11702657,0.29348536
154,0.09084556,-0.47336004,0.16107517
155,0.08402674,-0.24084447,0.26158932
156,0.10141230,0.32283594,0.21482953
157,0.10117477,0.21342349,0.28197168
158,0.10807857,-0.32133365,0.21448873
159,0.09363747,-0.43939433,0.18124729
160,0.06925194,-0.17823159,0.28712172
161,0.08214495,0.09310742,0.30082930
162,0.08631602,0.13463370,0.30481981
163,0.08708281,0.26381754,0.24477507
164,0.07864040,-0.26998449,0.24077356
165,0.08998495,0.17664795,0.30143673
166,0.06747993,-0.05141111,0.29352640
167,0.07110757,-0.33960656,0.21356277
168,0.06520922,0.20191080,0.28453022
169,0.05436242,-0.21632938,0.27689050
170,0.06068815,-0.14347571,0.28847977
171,0.06119854,-0.58332613,0.03735582
172,0.05687913,0.52487680,0.09669434
173,0.05006414,-0.51980036,0.12886128
174,0.05679624,0.16178405,0.29665865
175,0.04398278,0.49377093,0.13071921
176,0.03687551,0.05183090,0.29430553
177,0.06111230,-0.41954095,0.19642582
178,0.04092160,0.38213639,0.19442201
179,0.02675921,-0.19347525,0.28810914
180,0.03602586,-0.11881700,0.29127681
181,0.04654388,0.08229272,0.29922903
182,0.03389922,-0.35923665,0.21046236
183,0.05119709,0.12104063,0.30130076
184,0.00188467,-0.12974201,0.29220228
185,0.04006806,-0.32453521,0.21559432
186,0.08101909,0.01127171,0.29557768
187,0.01526225,0.25322463,0.26271333
188,0.01660353,-0.22952483,0.27584567
189,0.01150539,-0.08765615,0.29093355
190,0.00332678,0.17628280,0.29496675
191,-0.00498163,-0.16836268,0.28886326
192,-0.00833826,0.59918350,0.00000000
193,-0.00076876,-0.59992903,0.00000000
194,0.00104220,-0.54911944,0.09054445
195,0.02125490,0.54442896,0.09196825
196,-0.00837816,-0.49677016,0.14005595
197,0.01109700,0.41139506,0.19378677
198,-0.00576264,0.33765808,0.22001591
199,0.01602248,-0.47004521,0.16616525
200,0.02352203,-0.43336744,0.18747649
201,-0.00525859,-0.37226253,0.20241298
202,-0.01954688,-0.23639232,0.26371492
203,-0.01988156,0.06326177,0.29337217
204,-0.01151039,-0.20375985,0.27966761
205,-0.05555073,0.26146077,0.26046670
206,-0.04933217,-0.07504386,0.28953789
207,-0.03341647,0.16639654,0.29983233
208,-0.04356651,0.32728643,0.22429815
209,-0.03597658,-0.34509386,0.20260372
210,-0.03370332,0.36628965,0.21642195
211,-0.08363772,-0.02119291,0.29082635
