face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,362.6006,679.4012,66.6775,600.0429,692.8629,349.1389,362.6006,679.4012
1,330.7508,744.8870,72.1116,658.3928,757.0843,318.5536,330.7508,744.8870
2,377.1367,701.7986,105.3200,635.1034,732.9713,345.9641,377.1367,701.7986
3,263.6524,628.3337,-9.3882,546.7345,628.5753,263.4109,263.6524,628.3337
4,251.9542,626.8838,6.0002,546.4670,626.9798,251.8582,251.9542,626.8838
5,300.0914,662.6319,80.2940,591.2928,679.6191,283.1042,300.0914,662.6319
6,332.5491,753.2171,-85.6879,670.4256,770.0016,315.7647,332.5491,753.2171
7,292.1341,649.0709,-38.1137,566.9017,653.0953,288.1097,292.1341,649.0709
8,263.2833,641.5055,-0.7967,558.5263,641.5072,263.2816,263.2833,641.5055
9,363.8127,629.1472,-84.0241,566.1045,653.5171,339.4428,363.8127,629.1472
10,354.4207,651.7435,59.5190,574.4735,663.2155,342.9487,354.4207,651.7435
11,372.1561,676.8042,109.1795,616.8045,711.8909,337.0695,372.1561,676.8042
12,344.2363,736.5886,68.2443,649.2093,748.1199,332.7051,344.2363,736.5886
13,304.3962,771.3554,68.4276,683.2975,781.1761,294.5755,304.3962,771.3554
14,330.4658,759.1924,-53.6536,665.8301,765.8050,323.8532,330.4658,759.1924
15,314.5027,716.0374,-56.2377,629.2168,723.7651,306.7750,314.5027,716.0374
16,370.9844,722.6706,-32.6777,628.4792,725.6811,367.9739,370.9844,722.6706
17,314.3225,639.3982,-27.0519,555.7400,641.6341,312.0867,314.3225,639.3982
18,309.4521,738.7126,29.9233,644.6293,740.7885,307.3763,309.4521,738.7126
19,340.7941,665.2925,50.9185,582.9280,673.0948,332.9918,340.7941,665.2925
20,271.2839,771.4884,39.8562,681.3681,774.6442,268.1280,271.2839,771.4884
21,299.4785,727.0251,-24.0680,634.2415,728.3757,298.1279,299.4785,727.0251
22,293.5524,614.2202,-20.0911,533.2398,615.4741,292.2986,293.5524,614.2202
23,342.2204,733.5161,-52.4226,642.1689,740.4175,335.3190,342.2204,733.5161
24,319.2628,733.3242,-41.7621,640.9386,737.4944,315.0927,319.2628,733.3242
25,333.0756,592.5933,-13.6094,515.0567,593.3050,332.3639,333.0756,592.5933
26,366.2418,675.1989,68.4464,597.3234,689.6834,351.7573,366.2418,675.1989
27,329.1052,713.0099,101.4098,642.5651,738.1512,303.9639,329.1052,713.0099
28,337.2124,759.1523,73.1369,670.8769,771.4698,324.8948,337.2124,759.1523
29,262.3802,768.1772,-69.2994,686.8714,777.5001,253.0573,262.3802,768.1772
30,268.5858,672.6144,12.6196,586.8318,673.0081,268.1920,268.5858,672.6144
31,349.9199,681.3665,-67.0486,601.4708,694.4160,336.8703,349.9199,681.3665
32,386.5735,697.4097,81.0319,621.2228,717.2656,366.7176,386.5735,697.4097
33,320.1746,756.3510,53.6338,664.1114,762.8492,313.6764,320.1746,756.3510
34,325.8493,737.7943,60.7492,648.9837,746.5662,317.0775,325.8493,737.7943
35,328.7746,769.3871,71.7238,680.0936,780.7685,317.3932,328.7746,769.3871
36,322.4312,675.0708,-63.0946,594.9465,686.0198,311.4822,322.4312,675.0708
37,284.5832,744.3383,-49.4929,656.1628,749.6059,279.3156,284.5832,744.3383
38,293.7524,713.7184,-32.5730,623.8677,716.2298,291.2410,293.7524,713.7184
39,353.8782,702.3307,-68.1997,619.6065,715.2033,341.0056,353.8782,702.3307
40,328.8122,597.1469,-13.4007,518.5474,597.8145,328.1447,328.8122,597.1469
41,403.1740,729.6880,78.5924,647.5592,747.6204,385.2416,403.1740,729.6880
42,309.7302,611.4067,19.9972,530.6406,612.7265,308.4104,309.7302,611.4067
43,336.0660,722.4039,79.6636,641.1484,738.1860,320.2839,336.0660,722.4039
44,285.6931,708.6265,38.3851,621.0818,712.0821,282.2376,285.6931,708.6265
45,273.2118,664.8802,13.0067,579.2795,665.3116,272.7804,273.2118,664.8802
46,394.8231,680.4405,-98.1959,615.7583,710.9430,364.3207,394.8231,680.4405
47,365.0334,692.8819,-94.0665,622.0573,717.9542,339.9611,365.0334,692.8819
48,356.8437,733.1079,-30.9732,637.2265,735.6405,354.3111,356.8437,733.1079
49,348.6587,679.2483,80.1688,604.4802,697.6636,330.2434,348.6587,679.2483
50,291.3944,703.5593,51.2455,618.6853,709.8352,285.1185,291.3944,703.5593
