face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,412.9359,818.5591,72.1404,719.8301,831.0073,400.4877,412.9359,818.5591
1,348.4774,867.5941,72.3927,766.5124,877.5005,338.5710,348.4774,867.5941
2,400.4179,839.1217,112.9034,752.7961,866.4729,373.0667,400.4179,839.1217
3,282.6806,786.3052,-2.9568,689.8821,786.3226,282.6632,282.6806,786.3052
4,278.7093,827.8597,13.9559,729.9881,828.2141,278.3549,278.7093,827.8597
5,321.6814,753.4565,70.8801,666.2392,764.7945,310.3435,321.6814,753.4565
6,342.9544,867.5390,-92.3766,773.5086,883.3307,327.1628,342.9544,867.5390
7,323.6294,696.6278,-34.4033,606.7354,699.7744,320.4828,323.6294,696.6278
8,289.4410,828.7477,-7.9559,728.6393,828.8650,289.3237,289.4410,828.7477
9,394.0633,769.9775,-89.8215,684.7884,790.3369,373.7039,394.0633,769.9775
10,374.8975,786.9846,66.2608,691.3941,797.3768,364.5053,374.8975,786.9846
11,388.1495,785.3690,112.6123,707.5793,815.0734,358.4451,388.1495,785.3690
12,373.1329,875.7173,70.4491,770.8692,885.4057,363.4446,373.1329,875.7173
13,319.3723,900.9696,75.2230,801.8576,910.5413,309.8006,319.3723,900.9696
14,352.8038,879.4358,-45.4750,770.5929,883.3337,348.9059,352.8038,879.4358
15,335.4082,799.4427,-73.5980,706.9071,810.8359,324.0150,335.4082,799.4427
16,407.2387,849.8696,-44.8596,740.3101,854.3702,402.7380,407.2387,849.8696
17,326.7291,439.5868,14.4757,396.2213,441.4140,324.9019,326.7291,439.5868
18,319.9856,874.3682,-16.2333,766.7567,874.8432,319.5106,319.9856,874.3682
19,365.1469,695.1552,30.2642,604.5552,697.9077,362.3944,365.1469,695.1552
20,287.1339,871.3390,28.3860,770.6515,872.7150,285.7579,287.1339,871.3390
21,314.8315,860.9937,-29.6950,756.3111,862.6035,313.2217,314.8315,860.9937
22,314.3286,784.3891,-20.3285,684.6550,785.2666,313.4511,314.3286,784.3891
23,374.8065,868.2838,-60.9623,761.6479,875.7033,367.3870,374.8065,868.2838
24,348.7913,877.8059,-36.9830,768.1997,880.3788,346.2184,348.7913,877.8059
25,364.2730,732.7876,-26.5881,636.2849,734.6960,362.3646,364.2730,732.7876
26,396.0641,806.6940,78.9991,711.9284,821.3678,381.3902,396.0641,806.6940
27,335.3593,839.4327,113.8692,757.9579,863.9619,310.8301,335.3593,839.4327
28,355.8533,909.5242,69.0464,802.8144,918.0049,347.3727,355.8533,909.5242
29,260.2112,878.4639,-83.2765,794.7499,889.4845,249.1906,260.2112,878.4639
30,285.2498,835.6216,-2.4388,735.7227,835.6325,285.2390,285.2498,835.6216
31,378.5885,795.1005,-80.0840,702.6653,809.9678,363.7212,378.5885,795.1005
32,423.4213,818.8651,76.7237,721.6372,833.2292,409.0572,423.4213,818.8651
33,343.3107,879.2320,53.1542,773.0055,884.4531,338.0896,343.3107,879.2320
34,343.4572,888.5576,59.7513,782.9602,895.0304,336.9844,343.4572,888.5576
35,328.1617,859.8287,82.8039,765.1157,872.4263,315.5640,328.1617,859.8287
36,322.9111,791.7567,-77.3331,702.4417,804.1829,310.4848,322.9111,791.7567
37,328.8483,904.1511,-45.4426,796.5531,907.7184,325.2810,328.8483,904.1511
38,309.1646,828.3264,-49.4369,730.0344,832.9921,304.4989,309.1646,828.3264
39,359.5382,820.7917,-80.5049,726.1569,834.4388,345.8910,359.5382,820.7917
40,356.7426,734.5622,-25.4828,637.7659,736.2731,355.0316,356.7426,734.5622
41,423.8116,856.8069,36.1862,744.6730,859.8102,420.8083,423.8116,856.8069
42,316.6412,820.3656,-18.8824,717.3350,821.0725,315.9344,316.6412,820.3656
43,346.8364,811.7324,52.1977,711.2246,817.5210,341.0478,346.8364,811.7324
44,304.8779,753.3871,20.9239,657.3926,754.3611,303.9039,304.8779,753.3871
45,287.8994,840.9415,-3.6487,740.2716,840.9656,287.8753,287.8994,840.9415
46,419.2732,769.4365,-120.5194,699.1375,806.9072,381.8025,419.2732,769.4365
47,381.4001,807.9446,-118.7352,729.6468,838.7688,350.5759,381.4001,807.9446
48,390.9155,852.8301,-53.2880,745.1634,858.8979,384.8478,390.9155,852.8301
49,373.4281,814.8418,92.9150,724.5899,833.6025,354.6674,373.4281,814.8418
50,324.9230,853.7503,66.4945,755.1993,861.9831,316.6902,324.9230,853.7503
51,355.3920,849.4637,61.5842,746.5770,857.0242,347.8314,355.3920,849.4637
52,339.4782,888.4891,78.9724,788.5085,899.6231,328.3442,339.4782,888.4891
53,307.5640,823.1923,113.3604,746.7319,847.0139,283.7424,307.5640,823.1923
54,361.7151,711.7734,-16.1810,617.0782,712.5197,360.9687,361.7151,711.7734
55,367.1786,714.5317,-95.2382,640.4887,738.9305,342.7798,367.1786,714.5317
56,289.3446,923.1107,31.0567,819.5426,924.6290,287.8264,289.3446,923.1107
57,419.0937,750.8328,-10.7050,651.9693,751.1779,418.7486,419.0937,750.8328
58,362.2458,823.5773,78.2837,727.7013,836.4994,349.3237,362.2458,823.5773
59,369.8398,786.2642,71.3515,692.4408,798.1506,357.9535,369.8398,786.2642
60,395.9876,754.5238,83.1533,669.3831,772.8703,377.6411,395.9876,754.5238
61,419.9852,764.0474,92.6940,681.9413,787.4309,396.6017,419.9852,764.0474
62,275.5375,842.4204,47.0280,748.4046,846.2953,271.6626,275.5375,842.4204
63,350.4953,657.6666,38.5348,573.8624,662.4270,345.7348,350.4953,657.6666
64,334.5480,701.7412,-20.1105,608.9419,702.8393,333.4498,334.5480,701.7412
65,286.4632,920.9134,-21.4626,817.1394,921.6386,285.7380,286.4632,920.9134
66,290.5875,929.0816,29.9681,824.8324,930.4851,289.1841,290.5875,929.0816
67,454.1411,728.4059,-48.8029,642.7794,736.8311,445.7159,454.1411,728.4059
68,403.9189,902.7386,68.2066,792.0926,911.8968,394.7607,403.9189,902.7386
69,438.3565,681.6625,-62.6880,608.1105,696.8643,423.1547,438.3565,681.6625
70,376.3887,627.6165,24.6378,548.7843,630.0099,373.9952,376.3887,627.6165
71,390.0754,268.3312,36.2146,351.3197,400.0335,258.3732,390.0754,268.3312
72,401.3241,537.9469,11.6489,484.7308,538.9330,400.3380,401.3241,537.9469
73,407.0663,677.1699,17.7332,591.2296,678.3292,405.9070,407.0663,677.1699
74,378.8194,661.5228,-31.2889,577.4564,664.9444,375.3979,378.8194,661.5228
75,403.8574,645.1285,15.0864,565.1854,646.0682,402.9177,403.8574,645.1285
76,385.8101,675.6293,-21.6377,588.2723,677.2358,384.2035,385.8101,675.6293
77,421.5037,962.7475,-4.0471,835.9400,962.7778,421.4734,421.5037,962.7475
78,375.6846,418.1868,42.1436,405.2666,444.1341,349.7373,375.6846,418.1868
79,369.5646,483.0034,70.0089,453.9527,516.3858,336.1822,369.5646,483.0034
80,351.9542,668.3250,123.2238,617.1407,710.6558,309.6234,351.9542,668.3250
81,362.7208,490.1064,54.0838,450.3043,509.9709,342.8562,362.7208,490.1064
82,344.3291,654.3096,-72.6239,580.6965,670.4807,328.1580,344.3291,654.3096
83,359.1332,713.0407,-55.9793,625.0825,721.6841,350.4898,359.1332,713.0407
84,430.5826,689.5675,65.2409,613.8062,705.0739,415.0762,430.5826,689.5675
85,412.9574,609.6605,170.7823,614.7810,708.3866,314.2313,412.9574,609.6605
86,346.8506,791.8293,172.5211,749.6287,850.8804,287.7994,346.8506,791.8293
87,233.1005,839.5274,-108.7032,773.8844,858.4239,214.2040,233.1005,839.5274
88,256.3309,785.3757,-36.4078,696.5493,787.8694,253.8372,256.3309,785.3757
89,263.1559,734.0003,57.5524,651.7575,740.9330,256.2232,263.1559,734.0003
90,523.6196,849.7932,301.4826,907.7626,1029.4732,343.9396,523.6196,849.7932
91,713.6287,413.6491,46.9771,625.9395,720.8133,406.4646,713.6287,413.6491
92,308.7685,840.6817,167.5804,791.6800,889.0754,260.3748,308.7685,840.6817
93,367.3365,606.9018,135.3937,579.0709,667.8934,306.3448,367.3365,606.9018
94,78.8128,969.7633,-26.6171,933.9957,970.5578,78.0183,78.8128,969.7633
95,248.2100,792.6569,16.1597,702.8167,793.1362,247.7308,248.2100,792.6569
96,328.4973,450.5364,76.1376,424.5990,487.0890,291.9448,328.4973,450.5364
97,777.7458,1271.1519,766.2146,1730.1263,1829.4005,219.4972,777.7458,1271.1519
98,-576.5036,1394.2177,-162.0536,1777.2886,1407.4545,-589.7404,-576.5036,1394.2177
99,-18.8727,608.2699,16.9320,618.6180,608.7267,-19.3295,-18.8727,608.2699
100,67.5411,767.3170,108.4352,759.4645,783.7346,51.1235,67.5411,767.3170
101,323.2821,678.0289,-38.5592,591.1855,682.1717,319.1393,323.2821,678.0289
102,122.5788,691.5487,-77.4391,653.0593,701.9002,112.2274,122.5788,691.5487
103,41.0791,577.1731,84.4414,576.6261,590.1591,28.0931,41.0791,577.1731
104,235.7877,265.7405,-58.5194,271.7150,311.1694,190.3587,235.7877,265.7405
105,187.1982,202.7429,-59.7466,221.1419,255.2206,134.7205,187.1982,202.7429
106,197.5743,296.8566,12.6760,262.6600,298.4495,195.9815,197.5743,296.8566
107,195.6587,83.9179,-56.1952,195.9055,219.0309,60.5456,195.6587,83.9179
108,142.8986,96.6837,74.8986,181.0558,198.1733,41.4090,142.8986,96.6837
109,237.6257,482.4897,55.9348,428.9481,494.6619,225.4535,237.6257,482.4897
110,81.1339,323.2971,-164.4760,407.4683,406.4533,-2.0223,81.1339,323.2971
111,117.7698,112.3130,45.4071,139.4356,160.5304,69.5523,117.7698,112.3130
112,300.0682,394.6482,-298.4174,628.1126,649.4993,45.2170,300.0682,394.6482
113,137.1469,220.6426,-136.9148,305.7270,322.0330,35.7565,137.1469,220.6426
114,313.2314,207.0259,-48.0784,288.2034,331.7627,188.4946,313.2314,207.0259
115,262.2558,118.7044,7.2235,227.8036,262.6184,118.3419,262.2558,118.7044
116,240.2130,-538.3339,-131.9311,727.3499,261.9622,-560.0831,240.2130,-538.3339
117,260.7066,675.6554,207.0494,690.6075,761.2937,175.0683,260.7066,675.6554
118,222.4974,177.0517,-61.6979,229.9538,265.5237,134.0254,222.4974,177.0517
119,230.3103,847.1023,-200.6962,834.4853,906.6561,170.7565,230.3103,847.1023
120,246.5401,-337.6775,-0.5531,507.9961,246.5406,-337.6780,246.5401,-337.6775
121,288.6239,618.9226,-0.0024,536.4076,618.9226,288.6239,288.6239,618.9226
122,408.6770,531.1838,275.8648,678.5240,752.5138,187.3470,408.6770,531.1838
123,239.4785,-806.0648,-20.7768,949.4317,239.8912,-806.4775,239.4785,-806.0648
124,288.7447,619.3273,0.1023,536.7610,619.3274,288.7447,288.7447,619.3273
125,311.3033,859.6213,-7.9708,753.9537,859.7371,311.1874,311.3033,859.6213
126,213.8169,669.9988,-225.5093,709.8749,762.6569,121.1589,213.8169,669.9988
127,288.6315,618.9481,0.0028,536.4299,618.9481,288.6315,288.6315,618.9481
128,70.1151,-1623.9960,129.4628,1675.2396,79.9514,-1633.8324,70.1151,-1623.9960
129,288.6268,618.9380,0.0004,536.4211,618.9380,288.6268,288.6268,618.9380
130,132.9510,-1379.5046,94.7045,1459.8021,138.8580,-1385.4115,132.9510,-1379.5046
131,212.1552,700.6852,279.6405,788.6140,827.7209,85.1195,212.1552,700.6852
132,288.6288,618.9237,0.0007,536.4084,618.9237,288.6288,288.6288,618.9237
133,504.7435,839.5079,338.8800,938.2549,1050.0892,294.1622,504.7435,839.5079
134,288.6245,618.9249,0.0017,536.4096,618.9249,288.6245,288.6245,618.9249
135,215.7048,-851.4744,-31.2305,978.8414,216.6180,-852.3876,215.7048,-851.4744
136,202.8062,769.1231,-184.5487,760.8366,823.9541,147.9751,202.8062,769.1231
137,362.6699,706.1280,46.9706,616.9875,712.4357,356.3621,362.6699,706.1280
138,343.0545,492.2619,-44.8036,444.0244,504.6817,330.6348,343.0545,492.2619
139,336.7827,444.3277,-38.5687,407.0264,456.7294,324.3811,336.7827,444.3277
140,366.0807,702.7492,-136.7988,653.2613,751.3258,317.5041,366.0807,702.7492
141,361.0957,847.4407,-223.7675,832.3187,934.7297,273.8068,361.0957,847.4407
142,550.7483,584.9445,-233.0089,697.2847,801.4817,334.2111,550.7483,584.9445
143,-508.4217,385.1489,114.3044,801.1534,399.5389,-522.8116,-508.4217,385.1489
144,171.9059,576.1804,127.2591,557.7377,612.9037,135.1826,171.9059,576.1804
145,63.4827,409.7538,-84.2767,408.9299,429.1760,44.0605,63.4827,409.7538
146,209.2505,94.7626,96.1348,246.2972,263.8939,40.1193,209.2505,94.7626
147,134.1044,-506.0961,-486.6063,1025.8382,396.4557,-768.4474,134.1044,-506.0961
148,53.4821,-254.1044,459.3464,844.9951,384.0973,-584.7195,53.4821,-254.1044
