vid,x,y,z
0,0.59792328,0.02113320,0.00000000
1,0.58847582,0.11705511,0.00000000
2,0.56890426,-0.08608904,0.02895495
3,0.56371196,0.07257098,0.05920852
4,0.54842591,-0.24066152,0.00000000
5,0.54249821,-0.00054632,0.09292469
6,0.54813222,0.18145358,0.04120011
7,0.54492872,-0.07357671,0.06172866
8,0.51828311,0.05497807,0.12361474
9,0.50674492,-0.17583056,0.09054452
10,0.49479799,0.24128000,0.07363518
11,0.51581581,0.25406107,0.03917652
12,0.51432024,-0.21513776,0.07582189
13,0.50733587,-0.28495299,0.03306412
14,0.49480075,-0.02225065,0.13278258
15,0.49952372,0.16401849,0.11731512
16,0.47303042,0.10912213,0.16332848
17,0.48337246,-0.05940719,0.12226228
18,0.46743855,0.06845909,0.17094661
19,0.46162137,0.26482562,0.08050220
20,0.46202334,-0.20277332,0.14013660
21,0.46521738,-0.24047968,0.12223344
22,0.43695660,-0.03510440,0.16607085
23,0.44258584,0.13218453,0.17545988
24,0.44249364,0.37377368,0.03242850
25,0.44275352,-0.36044000,0.05323703
26,0.44126616,0.09321401,0.18869319
27,0.44461311,0.22262263,0.12609319
28,0.41597638,0.43107167,0.00000000
29,0.43242484,-0.41432756,0.00000000
30,0.43208775,0.05403331,0.19187576
31,0.43945373,0.17115309,0.16342107
32,0.41737868,-0.15688890,0.17270279
33,0.40481379,-0.23134585,0.17636062
34,0.40135486,-0.11721262,0.17157167
35,0.41303132,-0.27094535,0.16244555
36,0.41002563,0.11466758,0.19605704
37,0.41136092,-0.02061271,0.18632573
38,0.41959651,-0.33052293,0.11136084
39,0.38595552,-0.39813650,0.07663027
40,0.39453716,0.38513235,0.09115621
41,0.41170361,-0.05534239,0.16988212
42,0.37881798,0.29219973,0.13288591
43,0.36422235,0.06672699,0.21693731
44,0.40970963,0.15188550,0.18574710
45,0.36153850,-0.17054740,0.20336095
46,0.34670068,-0.26186462,0.19471505
47,0.36543901,-0.10914149,0.19048412
48,0.37597785,-0.44322852,0.02638362
49,0.34709284,-0.29340595,0.18009439
50,0.36598151,0.43552714,0.06295960
51,0.37897074,-0.00234918,0.20565343
52,0.35871829,0.35435332,0.14761547
53,0.38239579,-0.34005395,0.13214871
54,0.32857503,0.04819951,0.22162850
55,0.33305682,0.16894787,0.19859232
56,0.34904071,-0.40724535,0.08599590
57,0.33341097,0.28900366,0.17407144
58,0.31509134,0.50864238,0.00000000
59,0.34432445,-0.03290888,0.20734662
60,0.32804904,-0.23717370,0.20783932
61,0.32594711,-0.17107467,0.21272834
62,0.33736781,0.38411885,0.14541844
63,0.34800628,0.13236351,0.21019771
64,0.30861336,-0.27527890,0.19729668
65,0.30739262,-0.13703240,0.21602074
66,0.36095646,0.03082572,0.21446095
67,0.32198461,0.31971176,0.18554768
68,0.31507959,-0.31428958,0.17857379
69,0.32789866,-0.10377687,0.20690159
70,0.32767372,0.09314275,0.22008849
71,0.29806201,-0.38024811,0.12534154
72,0.27909099,0.44316635,0.14046128
73,0.29729940,0.35069612,0.18840813
74,0.29421054,0.24542165,0.19752082
75,0.28636708,-0.23999430,0.21077621
76,0.28694955,-0.17174976,0.21935656
77,0.27604783,0.28047103,0.21112867
78,0.26264366,-0.27126816,0.20346579
79,0.27047930,0.00969535,0.25446901
80,0.28094437,0.41421464,0.16880001
81,0.28611229,-0.33024920,0.16801992
82,0.26222197,-0.49701262,0.05516663
83,0.28644344,0.31603358,0.20215168
84,0.26022164,0.08398517,0.25246144
85,0.27051322,0.21391601,0.20855464
86,0.24365645,0.02067979,0.27932775
87,0.24379519,-0.48131126,0.08374560
88,0.26598291,-0.20576858,0.21862421
89,0.23707202,0.23437654,0.22138276
90,0.24906049,0.12122690,0.24625410
91,0.24288010,-0.23809110,0.21362578
92,0.23617154,0.37656939,0.20514733
93,0.23874874,0.46393209,0.13466454
94,0.23619051,-0.29851859,0.18853798
95,0.24051098,0.27339275,0.22028803
96,0.22234449,0.10210717,0.27123475
97,0.22334135,-0.11268070,0.27384629
98,0.20715654,-0.43122044,0.14627121
99,0.21065663,-0.01053739,0.28880424
100,0.22287325,0.33926008,0.21992651
101,0.20652449,0.17518232,0.25255384
102,0.23624008,0.06372381,0.28060517
103,0.21531984,-0.17585463,0.24616382
104,0.21229523,0.51585672,0.08112556
105,0.21819146,-0.26802975,0.20420511
106,0.20595201,-0.14723528,0.27608742
107,0.20702182,0.26007985,0.22556706
108,0.19021891,-0.40265651,0.16978725
109,0.17367303,0.39748162,0.19643885
110,0.21233618,0.03665356,0.29809346
111,0.17595921,0.28360723,0.22679330
112,0.19618746,0.46411477,0.14904711
113,0.19212639,-0.46241566,0.14450891
114,0.15858314,-0.07181678,0.29720953
115,0.17838397,-0.33472216,0.19006929
116,0.16540847,-0.01133056,0.29535325
117,0.18075705,0.15373016,0.27404554
118,0.17264081,0.19267349,0.26874176
119,0.18355514,-0.17818009,0.26728221
120,0.15016132,0.02373557,0.30741518
121,0.15538140,0.22741600,0.25157188
122,0.16725126,-0.14647479,0.28694644
123,0.16044803,-0.40735026,0.18701717
124,0.14603118,0.41829717,0.17673523
125,0.18128972,0.55119734,0.03098748
126,0.17847576,0.04632660,0.30388712
127,0.15102011,-0.30828358,0.20670837
128,0.13399040,-0.38643654,0.20139976
129,0.13798477,0.38262425,0.19675857
130,0.12243027,-0.00165261,0.30006932
131,0.15043584,-0.50510141,0.12173514
132,0.15237101,0.13122929,0.29177687
133,0.15084043,0.17163434,0.29102930
134,0.12729491,-0.14690874,0.28727324
135,0.11299870,0.03693562,0.30130055
136,0.16570155,0.48194832,0.12614043
137,0.12337584,-0.08800560,0.30395349
138,0.13887710,0.21163193,0.28008410
139,0.12883802,-0.46024768,0.17188184
140,0.14171151,-0.34667226,0.20627471
141,0.14173704,0.30409353,0.22256527
142,0.11994141,-0.25661925,0.23709988
143,0.11847714,0.43540251,0.15300812
144,0.13137133,-0.42570035,0.19014255
145,0.11232301,-0.05669141,0.29834237
146,0.12162116,0.15079898,0.30848590
147,0.12144975,0.18696311,0.29901396
148,0.08581241,-0.08446513,0.29736617
149,0.09364031,-0.20689108,0.27390982
150,0.10365106,-0.36323276,0.21175376
151,0.11460568,-0.52038990,0.12065892
152,0.11821596,0.11076311,0.30097841
153,0.10614554,-0.11710599,0.29562861
154,0.09138975,-0.47926188,0.17258228
155,0.08485953,-0.24210544,0.26557537
156,0.10156080,0.32247862,0.21383714
157,0.10133143,0.21441304,0.28602850
158,0.10785275,-0.32144435,0.21447510
159,0.09525410,-0.44382042,0.19269283
160,0.06959965,-0.17828500,0.29030089
161,0.08270496,0.09245030,0.30422151
162,0.08592553,0.13484267,0.31111328
163,0.08694393,0.26397738,0.24563471
164,0.07824853,-0.26940466,0.24144747
165,0.09006791,0.17691678,0.30562233
166,0.06721219,-0.05150477,0.29640618
167,0.07133870,-0.34051909,0.21783170
168,0.06512767,0.20197959,0.28627620
169,0.05576103,-0.21804358,0.28475750
170,0.06106041,-0.14341866,0.29066237
171,0.06070233,-0.57737533,0.03523306
172,0.05598398,0.52315067,0.09519309
173,0.05015312,-0.51711046,0.12910785
174,0.05679879,0.16173917,0.29809201
175,0.04299545,0.49259866,0.12975367
176,0.03642909,0.05162755,0.29701349
177,0.06131613,-0.42094774,0.20158544
178,0.04008945,0.38171870,0.19266215
179,0.02621692,-0.19492405,0.29577198
180,0.03681735,-0.11838460,0.29477460
181,0.04632704,0.08216940,0.30188861
182,0.03397440,-0.36022003,0.21264823
183,0.05096349,0.12098518,0.30338383
184,0.00193565,-0.12967630,0.29400127
185,0.04020708,-0.32583856,0.21649947
186,0.08081848,0.01082416,0.29905152
187,0.01579871,0.25398841,0.26535751
188,0.01676105,-0.23020981,0.27974532
189,0.01108352,-0.08757890,0.29419137
190,0.00346558,0.17635292,0.29692442
191,-0.00521516,-0.16840250,0.29115723
192,-0.00833826,0.59918350,0.00000000
193,-0.00076876,-0.59992903,0.00000000
194,0.00109615,-0.54657036,0.09015440
195,0.02111438,0.54271615,0.09150868
196,-0.00839099,-0.49624695,0.14147404
197,0.01148016,0.41189343,0.19537430
198,-0.00584618,0.33774640,0.21998164
199,0.01630378,-0.46974479,0.16811590
200,0.02372543,-0.43369887,0.18994340
201,-0.00530686,-0.37283859,0.20384053
202,-0.01963032,-0.23653252,0.26541922
203,-0.02017632,0.06277348,0.29595432
204,-0.01195332,-0.20403281,0.28231040
205,-0.05532079,0.26136703,0.26243205
206,-0.04888015,-0.07518546,0.29279998
207,-0.03305202,0.16696102,0.30796809
208,-0.04389457,0.32813929,0.22405804
209,-0.03553560,-0.34479862,0.20140809
210,-0.03329675,0.36696356,0.21833772
211,-0.08334838,-0.02147843,0.29378514
