face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,-633.9766,-1387.8027,1.1743,1203.3671,-633.9748,-1387.8045,-633.9766,-1387.8027
1,-634.5181,-1388.4071,0.1432,1203.8763,-634.5181,-1388.4071,-634.5181,-1388.4071
2,-635.3215,-1388.3994,-1.0467,1203.8312,-635.3200,-1388.4009,-635.3215,-1388.3994
3,-635.9645,-1388.4316,-1.7731,1203.8311,-635.9603,-1388.4357,-635.9645,-1388.4316
4,-636.1811,-1388.9552,-2.0376,1204.2875,-636.1756,-1388.9607,-636.1811,-1388.9552
5,-636.2193,-1389.5383,-2.1650,1204.8048,-636.2131,-1389.5445,-636.2193,-1389.5383
6,-639.9218,-1377.9912,9.1001,1194.4880,-639.8096,-1378.1034,-639.9218,-1377.9912
7,-639.8183,-1377.5602,9.3608,1194.1165,-639.6995,-1377.6790,-639.8183,-1377.5602
8,-639.6029,-1376.4430,9.6476,1193.1427,-639.4766,-1376.5693,-639.6029,-1376.4430
9,-639.4500,-1374.7305,9.6695,1191.6330,-639.3228,-1374.8576,-639.4500,-1374.7305
10,-639.4617,-1372.5484,9.5313,1189.6978,-639.3378,-1372.6723,-639.4617,-1372.5484
11,-639.0480,-1369.1644,10.0131,1186.7319,-638.9107,-1369.3017,-639.0480,-1369.1644
12,-637.5775,-1363.6735,11.6560,1181.9774,-637.3904,-1363.8606,-637.5775,-1363.6735
13,-635.4785,-1356.7536,13.9974,1176.0159,-635.2070,-1357.0251,-635.4785,-1356.7536
14,-640.6953,-1324.8533,-2.7236,1147.5721,-640.6844,-1324.8641,-640.6953,-1324.8533
15,-639.2429,-1311.9542,-3.4636,1136.3247,-639.2251,-1311.9721,-639.2429,-1311.9542
16,-637.9596,-1298.4995,-4.1089,1124.6127,-637.9341,-1298.5250,-637.9596,-1298.4995
17,-637.4618,-1287.8468,-5.1434,1115.3624,-637.4211,-1287.8875,-637.4618,-1287.8468
18,-638.1425,-1282.4430,-6.9628,1110.6980,-638.0672,-1282.5183,-638.1425,-1282.4430
19,-639.1232,-1277.3352,-8.4505,1106.3016,-639.0113,-1277.4471,-639.1232,-1277.3352
20,-639.6145,-1268.8181,-8.3693,1098.9367,-639.5032,-1268.9294,-639.6145,-1268.8181
21,-640.0339,-1262.6297,-7.8695,1093.5891,-639.9344,-1262.7292,-640.0339,-1262.6297
22,-615.3007,-1341.4594,-38.4945,1164.9690,-613.2658,-1343.4943,-615.3007,-1341.4594
23,-615.1537,-1341.4829,-37.2519,1164.8757,-613.2482,-1343.3884,-615.1537,-1341.4829
24,-614.2832,-1342.7156,-33.8512,1165.7011,-612.7135,-1344.2853,-614.2832,-1342.7156
25,-612.4040,-1349.1616,-28.5452,1171.1056,-611.2997,-1350.2659,-612.4040,-1349.1616
26,-608.6110,-1357.4402,-21.8793,1178.2760,-607.9723,-1358.0789,-608.6110,-1357.4402
27,-602.6411,-1358.8468,-14.6321,1179.5704,-602.3581,-1359.1298,-602.6411,-1358.8468
28,-595.6053,-1353.6202,-7.8292,1175.1570,-595.5244,-1353.7011,-595.6053,-1353.6202
29,-588.9882,-1348.2331,-2.3986,1170.7107,-588.9807,-1348.2407,-588.9882,-1348.2331
30,-602.0126,-1286.9264,32.3081,1116.6845,-600.4920,-1288.4470,-602.0126,-1286.9264
31,-601.2240,-1281.6940,33.2195,1112.1759,-599.6061,-1283.3119,-601.2240,-1281.6940
32,-601.7178,-1284.5391,32.6125,1114.6146,-600.1637,-1286.0932,-601.7178,-1284.5391
33,-602.0260,-1287.3666,32.5228,1117.0913,-600.4861,-1288.9065,-602.0260,-1287.3666
34,-602.8661,-1293.0978,31.9271,1122.0707,-601.3925,-1294.5715,-602.8661,-1293.0978
35,-606.5442,-1309.6435,27.8912,1136.2390,-605.4395,-1310.7482,-606.5442,-1309.6435
36,-612.6194,-1332.4360,20.9703,1155.7384,-612.0090,-1333.0464,-612.6194,-1332.4360
37,-619.0822,-1352.0652,13.9033,1172.5543,-618.8186,-1352.3288,-619.0822,-1352.0652
38,-634.0740,-1334.9979,9.1171,1156.7330,-633.9554,-1335.1165,-634.0740,-1334.9979
39,-636.1981,-1351.5642,8.3127,1171.2466,-636.1015,-1351.6608,-636.1981,-1351.5642
40,-637.7442,-1361.7298,6.8787,1180.1409,-637.6789,-1361.7952,-637.7442,-1361.7298
41,-638.6601,-1364.6218,5.4616,1182.6408,-638.6190,-1364.6629,-638.6601,-1364.6218
42,-639.5100,-1364.1902,4.0938,1182.2119,-639.4869,-1364.2134,-639.5100,-1364.1902
43,-640.5974,-1364.3468,2.7696,1182.3000,-640.5868,-1364.3574,-640.5974,-1364.3468
44,-641.6516,-1365.1436,1.7365,1182.9608,-641.6474,-1365.1478,-641.6516,-1365.1436
45,-642.5410,-1365.4064,1.0539,1183.1599,-642.5395,-1365.4080,-642.5410,-1365.4064
46,-641.0569,-1371.9032,-4.7740,1188.9797,-641.0257,-1371.9344,-641.0569,-1371.9032
47,-641.2178,-1372.5111,-5.3422,1189.5184,-641.1788,-1372.5501,-641.2178,-1372.5111
48,-641.3647,-1372.3242,-5.8971,1189.3555,-641.3171,-1372.3718,-641.3647,-1372.3242
49,-641.5728,-1370.4801,-6.7304,1187.7308,-641.5106,-1370.5422,-641.5728,-1370.4801
50,-641.8799,-1367.5458,-7.5693,1185.1426,-641.8010,-1367.6247,-641.8799,-1367.5458
51,-642.0939,-1365.0237,-7.9315,1182.9158,-642.0069,-1365.1108,-642.0939,-1365.0237
52,-642.1195,-1363.2839,-7.8419,1181.3779,-642.0343,-1363.3692,-642.1195,-1363.2839
53,-642.0847,-1361.8682,-7.6334,1180.1262,-642.0037,-1361.9491,-642.0847,-1361.8682
54,-635.1376,-1382.6310,-5.4840,1198.7483,-635.0973,-1382.6712,-635.1376,-1382.6310
55,-635.0924,-1381.7252,-5.8988,1197.9516,-635.0458,-1381.7718,-635.0924,-1381.7252
56,-635.1452,-1380.8291,-6.4006,1197.1610,-635.0902,-1380.8840,-635.1452,-1380.8291
57,-635.4502,-1379.2490,-7.3755,1195.7608,-635.3771,-1379.3221,-635.4502,-1379.2490
58,-635.9941,-1376.9530,-8.4682,1193.7208,-635.8973,-1377.0498,-635.9941,-1376.9530
59,-636.4745,-1375.0221,-9.0963,1192.0014,-636.3625,-1375.1341,-636.4745,-1375.0221
60,-636.7835,-1373.9944,-9.3370,1191.0829,-636.6653,-1374.1126,-636.7835,-1373.9944
61,-637.1115,-1373.4293,-9.5205,1190.5727,-636.9885,-1373.5524,-637.1115,-1373.4293
