vid,x,y,z
0,-0.00002982,0.00013396,5.51315044
1,0.51515554,0.00238025,5.47371326
2,0.51553545,0.05404074,5.47340946
3,0.50909376,0.10431713,5.47330396
4,0.49586856,0.15261787,5.47342481
5,0.47623002,0.19844309,5.47375350
6,0.45083487,0.24076793,5.47426929
7,0.42070992,0.27822715,5.47496518
8,0.39440521,0.32415901,5.47436835
9,0.36268559,0.36602589,5.47390734
10,0.32642508,0.40282416,5.47360310
11,0.28631846,0.43382024,5.47349443
12,0.24281285,0.45862300,5.47360909
13,0.19652239,0.47713923,5.47392880
14,0.14863662,0.48910954,5.47443293
15,0.10084736,0.49429560,5.47511484
16,0.04976884,0.50817327,5.47450532
17,-0.00226521,0.51534818,5.47402893
18,-0.05392608,0.51572793,5.47370710
19,-0.10420278,0.50928574,5.47357901
20,-0.15250371,0.49605972,5.47367289
21,-0.19832899,0.47642011,5.47397074
22,-0.24065373,0.45102374,5.47445276
23,-0.27811273,0.42089749,5.47511336
24,-0.32404391,0.39459214,5.47448000
25,-0.36590992,0.36287182,5.47398008
26,-0.40270715,0.32661060,5.47363576
27,-0.43370212,0.28650332,5.47348691
28,-0.45850376,0.24299709,5.47356201
29,-0.47701892,0.19670611,5.47384349
30,-0.48898828,0.14881992,5.47431178
31,-0.49417358,0.10103033,5.47496155
32,-0.50804972,0.04995216,5.47431378
33,-0.51522326,-0.00208141,5.47380223
34,-0.51560190,-0.05374173,5.47344930
35,-0.50915891,-0.10401788,5.47329484
36,-0.49593246,-0.15231833,5.47336738
37,-0.47629277,-0.19814324,5.47364893
38,-0.45089667,-0.24046777,5.47411978
39,-0.42077100,-0.27792675,5.47477443
40,-0.39446553,-0.32385718,5.47412900
41,-0.36274542,-0.36572264,5.47362215
42,-0.32648469,-0.40251957,5.47327596
43,-0.28637816,-0.43351452,5.47313008
44,-0.24287291,-0.45831644,5.47321277
45,-0.19658306,-0.47683213,5.47350600
46,-0.14869810,-0.48880227,5.47398966
47,-0.10090976,-0.49398852,5.47465771
48,-0.04983242,-0.50786506,5.47402533
49,0.00220030,-0.51503918,5.47353241
50,0.05385978,-0.51541854,5.47320077
51,0.10413513,-0.50897639,5.47306982
52,0.15243483,-0.49575084,5.47316789
53,0.19825906,-0.47611208,5.47347666
54,0.24058300,-0.45071689,5.47397585
55,0.27804150,-0.42059205,5.47465907
56,0.32397174,-0.39428702,5.47404322
57,0.36583711,-0.36256726,5.47356679
58,0.40263405,-0.32630678,5.47325121
59,0.43362908,-0.28620038,5.47313574
60,0.45843112,-0.24269516,5.47324845
61,0.47694698,-0.19640523,5.47357118
62,0.48891729,-0.14852009,5.47408326
63,0.49410370,-0.10073150,5.47477781
64,0.50798083,-0.04965338,5.47417645
65,1.10579223,0.00210917,5.40435423
66,1.10783119,0.11204793,5.40329396
67,1.09499734,0.21782437,5.40293068
68,1.06736971,0.31971958,5.40332394
69,1.02503874,0.41802898,5.40443149
70,0.96936830,0.51076530,5.40611132
71,0.90326515,0.59310650,5.40835055
72,0.84788889,0.69266831,5.40633262
73,0.78054474,0.78350524,5.40478025
74,0.70424859,0.86268757,5.40372960
75,0.62037687,0.92840917,5.40336959
76,0.52879011,0.98092528,5.40375858
77,0.42934126,1.02050686,5.40485396
78,0.32439876,1.04671479,5.40651328
79,0.21943018,1.05819539,5.40872403
80,0.10987167,1.08943729,5.40668243
81,-0.00198106,1.10604748,5.40509721
82,-0.11192258,1.10808555,5.40400611
83,-0.21770134,1.09524923,5.40359893
84,-0.31959821,1.06761766,5.40393502
85,-0.41790844,1.02528151,5.40497215
86,-0.51064459,0.96960505,5.40657048
87,-0.59298466,0.90349558,5.40872207
88,-0.69254393,0.84811530,5.40661558
89,-0.78337708,0.78076689,5.40496648
90,-0.86255467,0.70446666,5.40381594
91,-0.92827098,0.62059127,5.40335621
92,-0.98078153,0.52900138,5.40364676
93,-1.02035757,0.42955010,5.40464599
94,-1.04656032,0.32460606,5.40621457
95,-1.05803667,0.21963679,5.40834553
96,-1.08927152,0.11007983,5.40621064
97,-1.10587559,-0.00177047,5.40454198
98,-1.10790886,-0.11170900,5.40338049
99,-1.09506935,-0.21748459,5.40291763
100,-1.06743625,-0.31937844,5.40321227
101,-1.02510020,-0.41768600,5.40422150
102,-0.96942534,-0.51042008,5.40580505
103,-0.90331881,-0.59275898,5.40795485
