vid,x,y,z
0,0.00375110,-0.01588390,4.59680237
1,0.50821950,-0.02979885,4.59708243
2,0.51008214,0.02152132,4.59572714
3,0.50518070,0.07142851,4.59391363
4,0.49366970,0.11915113,4.59583964
5,0.47581314,0.16441711,4.59728623
6,0.45233100,0.20612382,4.59822542
7,0.42444555,0.24262796,4.59866628
8,0.39955779,0.28913299,4.59838100
9,0.36919040,0.33180550,4.59749548
10,0.33433168,0.36945310,4.59606425
11,0.29568976,0.40130161,4.59416978
12,0.25390313,0.42692835,4.59607947
13,0.20936638,0.44631309,4.59750484
14,0.16336703,0.45918673,4.59841847
15,0.11792844,0.46525394,4.59883074
16,0.06754912,0.48051926,4.59851208
17,0.01600379,0.48918389,4.59758856
18,-0.03516627,0.49110510,4.59611607
19,-0.08491285,0.48623913,4.59417828
20,-0.13251114,0.47473617,4.59608466
21,-0.17764502,0.45686955,4.59750583
22,-0.21921483,0.43336234,4.59841473
23,-0.25558307,0.40544076,4.59882228
24,-0.30192635,0.38053276,4.59849804
25,-0.34443230,0.35013520,4.59756992
26,-0.38191407,0.31524105,4.59609444
27,-0.41360218,0.27656235,4.59415570
28,-0.43910272,0.23470633,4.59602469
29,-0.45837543,0.19010663,4.59741239
30,-0.47115553,0.14405641,4.59829293
31,-0.47715305,0.09858497,4.59867862
32,-0.49231246,0.04818017,4.59833237
33,-0.50089227,-0.00337913,4.59738966
34,-0.50275250,-0.05455197,4.59590758
35,-0.49785014,-0.10429596,4.59397003
36,-0.48633178,-0.15190574,4.59577635
37,-0.46847007,-0.19706308,4.59710914
38,-0.44498498,-0.23867190,4.59794283
39,-0.41709672,-0.27510091,4.59829005
40,-0.39219872,-0.32159244,4.59789123
41,-0.36182549,-0.36429360,4.59689776
42,-0.32696654,-0.40201252,4.59536579
43,-0.28832909,-0.43397348,4.59337870
44,-0.24653352,-0.45976437,4.59515864
45,-0.20199845,-0.47932291,4.59646693
46,-0.15601006,-0.49236077,4.59727941
47,-0.11058670,-0.49857111,4.59761099
48,-0.06022645,-0.51398985,4.59717774
49,-0.00869416,-0.52277269,4.59615800
50,0.04247079,-0.52477397,4.59461037
51,0.09221587,-0.51995395,4.59262019
52,0.13979601,-0.50848690,4.59454808
53,0.18491686,-0.49063311,4.59601223
54,0.22648386,-0.46711773,4.59698342
55,0.26285834,-0.43917242,4.59746873
56,0.30920929,-0.41426434,4.59721018
57,0.35173071,-0.38385166,4.59636614
58,0.38923336,-0.34892536,4.59499031
59,0.42094507,-0.31019749,4.59316473
60,0.44644199,-0.26832123,4.59513064
61,0.46571037,-0.22367713,4.59662581
62,0.47848472,-0.17755444,4.59762091
63,0.48447364,-0.13198261,4.59812259
64,0.49963629,-0.08148168,4.59789846
65,1.10258861,-0.03792631,4.57989887
66,1.10682587,0.07224699,4.57616442
67,1.09602189,0.17807886,4.57151192
68,1.07094945,0.27990358,4.57639595
69,1.03102592,0.37817266,4.58033365
70,0.97769794,0.47080724,4.58315023
71,0.91404859,0.55266351,4.58479762
72,0.86022121,0.65463646,4.58349763
73,0.79450031,0.74749465,4.58080204
74,0.71982265,0.82845745,4.57689293
75,0.63757315,0.89567761,4.57205618
76,0.54804665,0.94996038,4.57690369
77,0.45053157,0.99119284,4.58079315
78,0.34751689,1.01893179,4.58355091
79,0.24481318,1.03172495,4.58513248
80,0.13485729,1.06570915,4.58375911
81,0.02292758,1.08480878,4.58098159
82,-0.08693646,1.08914074,4.57698555
83,-0.19245029,1.07838406,4.57205912
84,-0.29399277,1.05331688,4.57690448
85,-0.39196908,1.01335907,4.58078888
86,-0.48430499,0.95996255,4.58353916
87,-0.56587177,0.89621862,4.58511231
88,-0.66750106,0.84234569,4.58372873
89,-0.76001643,0.77655167,4.58094330
90,-0.84065142,0.70178423,4.57694272
91,-0.90756815,0.61943331,4.57201588
92,-0.96159040,0.52977143,4.57678254
93,-1.00259212,0.43211125,4.58059429
94,-1.03013687,0.32895050,4.58328038
95,-1.04278434,0.22612259,4.58480187
96,-1.07654330,0.11608363,4.58336698
97,-1.09546255,0.00408279,4.58054600
98,-1.09966296,-0.10583738,4.57652774
99,-1.08882347,-0.21140033,4.57160159
100,-1.06370453,-0.31302338,4.57622177
101,-1.02373498,-0.41111231,4.57990525
102,-0.97036316,-0.50359936,4.58248223
103,-0.90668327,-0.58533280,4.58391647
104,-0.85281701,-0.68722399,4.58236653
105,-0.78708060,-0.78006621,4.57943862
106,-0.71239811,-0.86110962,4.57531758
107,-0.63014543,-0.92851145,4.57028982
108,-0.54060229,-0.98308070,4.57484463
109,-0.44309335,-1.02464146,4.57846490
110,-0.34011497,-1.05270952,4.58098442
111,-0.23746661,-1.06579158,4.58237541
112,-0.12756041,-1.10005290,4.58073882
113,-0.01566565,-1.11936093,4.57774549
114,0.09416468,-1.12383849,4.57358555
115,0.19963628,-1.11317089,4.56855100
