face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,5976.9779,12361.6662,-364.9015,10726.0948,12382.4536,5956.1905,5976.9779,12361.6662
1,5940.8314,12427.5179,-90.1256,10767.1379,12428.7699,5939.5795,5940.8314,12427.5179
2,5922.6197,12318.0527,183.3239,10675.0891,12323.3033,5917.3691,5922.6197,12318.0527
3,5943.9215,12211.3040,458.4699,10606.3047,12244.6643,5910.5612,5943.9215,12211.3040
4,5998.2261,12027.0941,722.8232,10490.7531,12112.5449,5912.7753,5998.2261,12027.0941
5,6080.2124,11779.2514,959.5703,10337.3944,11936.4804,5922.9834,6080.2124,11779.2514
6,6166.1860,11939.2170,-927.4619,10465.5567,12084.5586,6020.8444,6166.1860,11939.2170
7,6052.9632,12171.5567,-667.0705,10604.0615,12243.4386,5981.0813,6052.9632,12171.5567
8,5980.3397,12310.2562,-400.3887,10684.9563,12335.4816,5955.1143,5980.3397,12310.2562
9,5943.9919,12375.3818,-123.7888,10722.3093,12377.7635,5941.6102,5943.9919,12375.3818
10,5926.9087,12272.8065,151.1455,10633.8496,12276.4045,5923.3107,5926.9087,12272.8065
11,5948.6984,12166.3319,428.2501,10563.2855,12195.6898,5919.3405,5948.6984,12166.3319
12,6003.7184,11982.9459,694.4624,10447.0200,12062.5451,5924.1192,6003.7184,11982.9459
13,6086.7442,11736.2651,933.0203,10293.8968,11886.3658,5936.6436,6086.7442,11736.2651
14,6178.3375,11881.4767,-913.0462,10413.1902,12024.0852,6035.7290,6178.3375,11881.4767
15,6065.0869,12117.8850,-651.4355,10554.8802,12187.2023,5995.7697,6065.0869,12117.8850
16,5992.7649,12260.6434,-383.5693,10639.6818,12284.0290,5969.3793,5992.7649,12260.6434
17,5956.9092,12329.9398,-105.6668,10681.6360,12331.6913,5955.1577,5956.9092,12329.9398
18,5941.8486,12242.6358,170.2026,10608.0496,12247.2302,5937.2543,5941.8486,12242.6358
19,5964.4616,12140.5807,448.1312,10543.1940,12172.9271,5932.1152,5964.4616,12140.5807
20,6020.4558,11961.5020,714.9659,10432.7970,12046.3322,5935.6256,6020.4558,11961.5020
21,6104.4698,11719.1503,954.0892,10285.6548,11876.8472,5946.7728,6104.4698,11719.1503
22,6168.1670,11903.5507,-889.8074,10425.5929,12038.4267,6033.2910,6168.1670,11903.5507
23,6056.0795,12144.0540,-629.1774,10573.3808,12208.3979,5991.7356,6056.0795,12144.0540
24,5984.7697,12290.6512,-362.4108,10663.7181,12311.4113,5964.0096,5984.7697,12290.6512
25,5949.6794,12364.0759,-85.7922,10711.1555,12365.2232,5948.5321,5949.6794,12364.0759
26,5936.1959,12289.4736,188.6139,10650.0509,12295.0681,5930.6014,5936.1959,12289.4736
27,5959.0787,12191.4492,464.9031,10589.6484,12225.9378,5924.5901,5959.0787,12191.4492
28,6015.0318,12016.1877,730.1712,10482.8944,12103.7513,5927.4683,6015.0318,12016.1877
29,6098.6077,11777.4943,967.8400,10338.5789,11937.9097,5938.1923,6098.6077,11777.4943
30,6169.2294,11952.8411,-912.5474,10473.2140,12093.4079,6028.6626,6169.2294,11952.8411
31,6057.8982,12193.0672,-654.3145,10620.2185,12262.0736,5988.8918,6057.8982,12193.0672
32,5986.7804,12339.2629,-389.8516,10708.9889,12363.0986,5962.9447,5986.7804,12339.2629
33,5951.4394,12411.7914,-115.3760,10753.7950,12413.8513,5949.3795,5951.4394,12411.7914
34,5936.7000,12330.5747,157.6139,10684.5254,12334.4577,5932.8171,5936.7000,12330.5747
35,5958.4429,12229.8331,432.3255,10618.9365,12259.4956,5928.7803,5958.4429,12229.8331
36,6012.6934,12051.4719,695.9714,10506.2734,12130.6448,5933.5205,6012.6934,12051.4719
37,6094.3074,11809.3114,932.1451,10355.5554,11957.5060,5946.1128,6094.3074,11809.3114
38,6205.7240,11932.3242,-935.5111,10462.7054,12081.2771,6056.7711,6205.7240,11932.3242
39,6093.3284,12167.5825,-677.5168,10602.5811,12242.2346,6018.6762,6093.3284,12167.5825
40,6021.2699,12309.3009,-413.1723,10684.9937,12336.3333,5994.2375,6021.2699,12309.3009
41,5985.1967,12377.4069,-138.2418,10723.7540,12380.3952,5982.2084,5985.1967,12377.4069
42,5969.6576,12288.1230,135.6666,10645.8493,12291.0346,5966.7460,5969.6576,12288.1230
43,5991.5192,12183.8178,411.3698,10576.0018,12211.0265,5964.3104,5991.5192,12183.8178
44,6046.2432,12002.6513,675.9332,10460.4208,12078.3930,5970.5015,6046.2432,12002.6513
45,6128.8450,11758.0632,913.2376,10307.9316,11902.5126,5984.3955,6128.8450,11758.0632
46,6224.8092,11897.9581,-899.9021,10424.8074,12037.2832,6085.4841,6224.8092,11897.9581
47,6112.2951,12133.7208,-639.6503,10566.4520,12200.9203,6045.0956,6112.2951,12133.7208
48,6040.3046,12275.6173,-373.1469,10651.0707,12297.8685,6018.0534,6040.3046,12275.6173
49,6004.3586,12344.2018,-96.0379,10693.0022,12345.6562,6002.9041,6004.3586,12344.2018
50,5987.6568,12244.8107,179.2229,10609.7155,12249.9400,5982.5276,5987.6568,12244.8107
51,6009.9065,12141.5768,456.4127,10544.7645,12175.3638,5976.1195,6009.9065,12141.5768
52,6065.2699,11961.2752,722.0057,10434.3240,12048.4021,5978.1430,6065.2699,11961.2752
53,6148.3950,11717.7174,959.7112,10287.1592,11878.4566,5987.6558,6148.3950,11717.7174
54,6194.0476,11940.2222,-860.1408,10449.7059,12066.2136,6068.0562,6194.0476,11940.2222
