face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,303.0090,649.8020,20.7947,564.3213,651.0445,301.7665,303.0090,649.8020
1,274.9354,663.1211,3.0727,577.0892,663.1454,274.9111,274.9354,663.1211
2,280.5717,656.1936,7.8496,570.4261,656.3575,280.4078,280.5717,656.1936
3,273.3446,665.8336,4.4948,579.7501,665.8850,273.2931,273.3446,665.8336
4,281.8428,700.2778,5.4257,610.3642,700.3481,281.7725,281.8428,700.2778
5,279.0886,656.1184,4.4926,570.3746,656.1719,279.0351,279.0886,656.1184
6,274.0233,664.3902,-4.7004,578.3693,664.4468,273.9667,274.0233,664.3902
7,273.0274,642.2787,-2.9945,558.3306,642.3029,273.0032,273.0274,642.2787
8,280.7478,688.2980,-2.6736,599.4637,688.3155,280.7303,280.7478,688.2980
9,281.3993,645.3534,-8.1638,560.5930,645.5364,281.2163,281.3993,645.3534
10,265.6823,635.0739,13.1581,552.8992,635.5421,265.2142,265.6823,635.0739
11,276.0507,644.3016,7.5387,560.0349,644.4559,275.8965,276.0507,644.3016
12,283.8895,671.2782,0.1308,583.6427,671.2782,283.8894,283.8895,671.2782
13,273.1281,677.9543,0.9855,590.8093,677.9567,273.1257,273.1281,677.9543
14,274.2405,667.8715,-1.6750,581.4733,667.8786,274.2334,274.2405,667.8715
15,272.7783,660.4439,-5.1161,574.9069,660.5114,272.7108,272.7783,660.4439
16,279.8404,644.2249,-12.7257,559.9483,644.6688,279.3965,279.8404,644.2249
17,227.6096,250.8467,64.9075,265.0925,305.1673,173.2890,227.6096,250.8467
18,260.5628,637.9191,-22.4045,556.8856,639.2446,259.2373,260.5628,637.9191
19,260.1828,579.5647,-13.7566,503.3540,580.1561,259.5914,260.1828,579.5647
20,272.3015,645.8816,-4.7127,561.6968,645.9410,272.2421,272.3015,645.8816
21,268.9127,659.8919,-6.6066,574.8470,660.0035,268.8011,268.9127,659.8919
22,272.8366,675.3176,-1.5322,588.4295,675.3234,272.8308,272.8366,675.3176
23,283.9192,657.1834,-2.7095,570.9073,657.2031,283.8995,283.9192,657.1834
24,272.0704,660.6616,-6.9641,575.2348,660.7864,271.9456,272.0704,660.6616
25,272.9967,639.5747,-14.0244,556.3913,640.1105,272.4610,272.9967,639.5747
26,275.4943,639.9732,17.6728,556.8580,640.8281,274.6394,275.4943,639.9732
27,272.4651,654.0532,3.5134,569.0810,654.0855,272.4327,272.4651,654.0532
28,275.4055,656.0865,1.6060,570.6273,656.0932,275.3987,275.4055,656.0865
29,275.9835,668.7497,-5.8639,582.1789,668.8372,275.8959,275.9835,668.7497
30,272.9309,673.6662,-6.1850,586.9991,673.7617,272.8354,272.9309,673.6662
31,280.3525,647.7044,-12.1404,563.0054,648.1052,279.9517,280.3525,647.7044
32,284.7153,650.5382,6.8999,564.9667,650.6683,284.5852,284.7153,650.5382
33,272.6294,662.5805,3.9398,576.8425,662.6203,272.5896,272.6294,662.5805
34,273.8293,663.8676,1.9470,577.8648,663.8774,273.8196,273.8293,663.8676
35,269.7786,658.0566,2.5819,572.9829,658.0737,269.7614,269.7786,658.0566
36,268.6481,651.6084,-5.9714,567.2909,651.7015,268.5550,268.6481,651.6084
37,277.5953,681.7482,-5.7723,593.8768,681.8306,277.5129,277.5953,681.7482
38,270.5022,652.8323,-2.9334,568.1502,652.8548,270.4797,270.5022,652.8323
39,270.7552,650.9202,-5.8066,566.4509,651.0088,270.6666,270.7552,650.9202
40,272.0441,634.1685,-14.7213,551.6394,634.7660,271.4466,272.0441,634.1685
41,245.6701,617.4196,-27.8259,540.5571,619.4908,243.5989,245.6701,617.4196
42,264.6210,695.3651,-18.6719,608.7648,696.1730,263.8131,264.6210,695.3651
43,259.7805,622.3061,-14.8650,541.9878,622.9146,259.1720,259.7805,622.3061
44,266.7024,617.5440,-6.8712,536.5929,617.6785,266.5679,266.7024,617.5440
45,275.9227,689.6999,-5.4969,601.3369,689.7729,275.8497,275.9227,689.6999
46,275.0480,628.9923,-8.8292,546.3639,629.2124,274.8278,275.0480,628.9923
47,271.6715,638.4359,-8.0377,555.1169,638.6120,271.4955,271.6715,638.4359
48,277.8472,635.7567,-14.2322,552.5850,636.3218,277.2821,277.8472,635.7567
49,274.6818,646.1464,10.0332,561.9365,646.4172,274.4110,274.6818,646.1464
50,275.7741,689.1473,11.4364,601.0980,689.4635,275.4580,275.7741,689.1473
51,272.5744,646.1467,5.9747,561.9487,646.2422,272.4788,272.5744,646.1467
52,273.7824,656.4945,8.4335,571.3305,656.6803,273.5967,273.7824,656.4945
53,274.6433,647.9518,12.1956,563.7030,648.3498,274.2453,274.6433,647.9518
54,262.1179,597.2034,15.5517,519.1778,597.9237,261.3977,262.1179,597.2034
55,247.2436,581.8865,25.4527,507.7373,583.8114,245.3188,247.2436,581.8865
56,264.5893,736.0812,14.4067,646.2867,736.5210,264.1495,264.5893,736.0812
57,225.9159,571.4807,62.3180,510.0708,582.3755,215.0212,225.9159,571.4807
58,284.6336,656.8642,5.5640,570.6261,656.9473,284.5504,284.6336,656.8642
59,267.3854,631.0034,17.6837,549.4336,631.8614,266.5274,267.3854,631.0034
60,279.4789,637.8831,11.4644,554.1866,638.2495,279.1126,279.4789,637.8831
61,273.5273,632.1391,6.4496,549.2126,632.2550,273.4113,273.5273,632.1391
62,275.6204,664.6432,6.9966,578.5109,664.7690,275.4946,275.6204,664.6432
63,268.6502,626.2083,3.5345,544.1657,626.2433,268.6153,268.6502,626.2083
64,263.5783,630.3043,9.5744,548.5413,630.5541,263.3285,263.5783,630.3043
65,255.9944,663.0216,31.2791,581.6667,665.4113,253.6047,255.9944,663.0216
66,262.0147,739.5882,16.6452,650.1466,740.1676,261.4352,262.0147,739.5882
67,245.1056,574.1220,29.0489,501.5016,576.6671,242.5606,245.1056,574.1220
68,229.0574,559.1761,50.4069,494.6558,566.7014,221.5322,229.0574,559.1761
69,241.0421,556.6944,24.3205,485.3840,558.5572,239.1793,241.0421,556.6944
70,212.5668,486.7883,53.0957,432.5851,496.7099,202.6452,212.5668,486.7883
71,272.2779,-77.0432,-42.2902,326.2108,277.3249,-82.0901,272.2779,-77.0432
72,261.0570,588.8524,9.9695,511.3434,589.1554,260.7540,261.0570,588.8524
73,277.6045,628.2156,7.4615,545.4270,628.3743,277.4458,277.6045,628.2156
74,265.2534,605.6641,5.0674,525.9381,605.7395,265.1780,265.2534,605.6641
75,272.1953,616.8743,6.6235,535.5796,617.0015,272.0680,272.1953,616.8743
76,267.5825,614.4281,5.5268,533.6700,614.5161,267.4945,267.5825,614.4281
77,242.2318,665.0734,7.1316,583.1376,665.1936,242.1116,242.2318,665.0734
78,215.6949,251.4816,-40.6111,245.9101,277.9665,189.2100,215.6949,251.4816
79,258.6564,563.2473,6.0149,488.4380,563.3660,258.5377,258.6564,563.2473
80,254.7819,530.3136,10.7641,459.7604,530.7335,254.3620,254.7819,530.3136
81,253.9811,557.5247,12.5229,483.9524,558.0405,253.4654,253.9811,557.5247
82,260.5839,604.3384,3.7039,525.0611,604.3783,260.5440,260.5839,604.3384
83,262.2367,599.0996,4.6902,520.2389,599.1649,262.1714,262.2367,599.0996
84,221.3721,454.6033,35.6717,398.5608,459.9372,216.0383,221.3721,454.6033
85,258.9197,551.4175,5.2809,477.9241,551.5128,258.8244,258.9197,551.4175
86,261.5231,539.4058,7.6486,467.3985,539.6161,261.3127,261.5231,539.4058
87,256.7213,594.2107,2.8226,516.2069,594.2343,256.6977,256.7213,594.2107
88,244.4410,585.0874,5.2987,509.0614,585.1698,244.3586,244.4410,585.0874
89,255.3318,499.5189,10.3080,433.0002,499.9532,254.8974,255.3318,499.5189
90,266.4990,571.7606,1.0188,495.5415,571.7640,266.4956,266.4990,571.7606
91,268.7217,582.9809,-1.4006,505.3953,582.9872,268.7155,268.7217,582.9809
92,275.8039,576.9934,-3.3959,499.8867,577.0317,275.7656,275.8039,576.9934
93,266.8660,554.9106,1.1760,480.6876,554.9154,266.8612,266.8660,554.9106
