vid,x,y,z
0,0.59792328,0.02113320,0.00000000
1,0.58847582,0.11705511,0.00000000
2,0.57162587,-0.08688005,0.03113529
3,0.56824130,0.07318682,0.06029653
4,0.54842591,-0.24066152,0.00000000
5,0.54490808,-0.00052522,0.09315534
6,0.55417574,0.18365412,0.04367970
7,0.54749120,-0.07443159,0.06358150
8,0.51942337,0.05515266,0.12170238
9,0.51014725,-0.17637425,0.09304040
10,0.49802961,0.24341937,0.07584336
11,0.51967156,0.25637135,0.04167027
12,0.51728316,-0.21642268,0.07714425
13,0.51253595,-0.28775303,0.03517679
14,0.49733638,-0.02315247,0.13379067
15,0.50258123,0.16510595,0.11790397
16,0.46843957,0.10546614,0.15220494
17,0.48623793,-0.06119472,0.12487187
18,0.46722271,0.06728073,0.16694346
19,0.46382187,0.26703868,0.08282238
20,0.46213248,-0.20335009,0.13873279
21,0.46755499,-0.24187346,0.12257702
22,0.43937813,-0.03689364,0.16848693
23,0.44168686,0.13075194,0.16967166
24,0.44593880,0.37638385,0.03466434
25,0.44586559,-0.36289518,0.05433688
26,0.43637820,0.09112569,0.17602378
27,0.44634865,0.22413451,0.12727102
28,0.41597638,0.43107167,0.00000000
29,0.43242484,-0.41432756,0.00000000
30,0.43173629,0.05322100,0.18755043
31,0.43955806,0.17038045,0.16031905
32,0.41760096,-0.15728384,0.17186117
33,0.40400621,-0.23183420,0.17265572
34,0.40299467,-0.11663612,0.17365585
35,0.40581779,-0.26729328,0.14939602
36,0.40948898,0.11411643,0.19111003
37,0.41308708,-0.02177391,0.18768143
38,0.42060359,-0.33185072,0.11030659
39,0.38794439,-0.40043948,0.07765150
40,0.39582070,0.38681525,0.09104499
41,0.41342488,-0.05688566,0.17231711
42,0.38184514,0.29255757,0.13517551
43,0.36432721,0.06624480,0.21077833
44,0.41000140,0.15146598,0.18271503
45,0.36100207,-0.17073242,0.20010326
46,0.34534415,-0.26153112,0.18979629
47,0.36665328,-0.10879188,0.19232347
48,0.37818457,-0.44623738,0.02849330
49,0.34706197,-0.29444634,0.17856130
50,0.37038813,0.44101017,0.06514437
51,0.38006103,-0.00289236,0.20577479
52,0.35867083,0.35496438,0.14556968
53,0.38391038,-0.34245580,0.13249852
54,0.33117649,0.04942037,0.22139380
55,0.33410819,0.17023235,0.20079920
56,0.35086465,-0.41082729,0.08853803
57,0.33586590,0.28933998,0.17567149
58,0.31509134,0.50864238,0.00000000
59,0.34523282,-0.03323597,0.20911063
60,0.32631185,-0.23376113,0.19752868
61,0.32548115,-0.17126905,0.21064314
62,0.33891958,0.38589854,0.14484107
63,0.34871358,0.13268870,0.20965849
64,0.30829773,-0.27476072,0.19444312
65,0.30773421,-0.13714734,0.21672771
66,0.36221966,0.03050787,0.21396057
67,0.32208159,0.32021754,0.18324010
68,0.31508532,-0.31478603,0.17720481
69,0.32872949,-0.10372756,0.20866269
70,0.32857963,0.09362452,0.22042760
71,0.29864242,-0.38356889,0.12814430
72,0.27848626,0.44060912,0.13392150
73,0.29846243,0.35165185,0.18719432
74,0.29588212,0.24561787,0.19954428
75,0.28614330,-0.24028227,0.20935384
76,0.28695343,-0.17192232,0.21985745
77,0.27616039,0.28096697,0.20919409
78,0.26272165,-0.27190805,0.20343367
79,0.27118662,0.00979944,0.25409780
80,0.27658374,0.40983673,0.15851380
81,0.28636655,-0.33259661,0.16994506
82,0.26379437,-0.49946722,0.05681514
83,0.28738491,0.31652164,0.20102738
84,0.26113704,0.08423624,0.25239258
85,0.27165917,0.21423260,0.21075326
86,0.24261076,0.02022681,0.27606197
87,0.24595276,-0.48410206,0.08579543
88,0.26577783,-0.20614335,0.21948238
89,0.23754272,0.23478948,0.22180523
90,0.24930502,0.12130472,0.24605905
91,0.24290069,-0.23872686,0.21496227
92,0.23548468,0.37305566,0.19332934
93,0.23987626,0.46626192,0.13384756
94,0.23624608,-0.30028060,0.19105581
95,0.24058497,0.27420247,0.21929094
96,0.22193404,0.10104385,0.26847944
97,0.22242819,-0.11218801,0.27078722
98,0.20925859,-0.43267345,0.14761386
99,0.21068350,-0.01069001,0.28759264
100,0.22222745,0.33801095,0.20998842
101,0.20636523,0.17527836,0.25158727
102,0.23350723,0.06124684,0.27288522
103,0.21594326,-0.17668095,0.24610603
104,0.21354577,0.51919058,0.08197650
105,0.21833695,-0.26901620,0.20622161
106,0.20227384,-0.14410964,0.26813689
107,0.20765772,0.26066532,0.22644109
108,0.19183457,-0.40360877,0.17056629
109,0.17393972,0.39804952,0.19411241
110,0.20716795,0.03612177,0.28487558
111,0.17728955,0.28453534,0.22770111
112,0.19665832,0.46469559,0.14711289
113,0.19175886,-0.46252196,0.14221484
114,0.15889502,-0.07141672,0.29637365
115,0.18018454,-0.33539820,0.19279397
116,0.16567221,-0.01177881,0.29509684
117,0.18081728,0.15393237,0.27300286
118,0.17289912,0.19283859,0.26721455
119,0.18280108,-0.17715331,0.26442079
120,0.15064509,0.02453699,0.29589724
121,0.15686871,0.23003300,0.25317261
122,0.16690188,-0.14601721,0.28447668
123,0.16034819,-0.40727594,0.18419458
124,0.14568526,0.42039434,0.17758981
125,0.18225254,0.55532539,0.03311972
126,0.17815544,0.04634949,0.30052016
127,0.15164411,-0.30864085,0.20813640
128,0.13446916,-0.38655843,0.19962956
129,0.13771506,0.38421969,0.19740263
130,0.12275251,-0.00196762,0.29935640
131,0.15061282,-0.50642672,0.11995346
132,0.15224664,0.13154844,0.29021736
133,0.15083778,0.17170577,0.28870882
134,0.12734367,-0.14705657,0.28622175
135,0.11377002,0.03534060,0.29646541
136,0.16582705,0.48450327,0.12695838
137,0.12373450,-0.08810645,0.29747951
138,0.13713805,0.20825729,0.27310998
139,0.12858454,-0.45891963,0.16696614
140,0.14230826,-0.34687602,0.20580518
141,0.14218245,0.30477631,0.22421640
142,0.12027189,-0.25722023,0.23733211
143,0.11744979,0.43825311,0.15552354
144,0.13067713,-0.42451736,0.18467598
145,0.11170864,-0.05772809,0.29531356
146,0.11875906,0.15110488,0.29574739
147,0.12114494,0.18682549,0.29527672
148,0.08560364,-0.08475848,0.29684406
149,0.09304556,-0.20679081,0.27167721
150,0.10427263,-0.36294583,0.20967479
151,0.11294111,-0.51650117,0.11374500
152,0.11844462,0.11061072,0.29996870
153,0.10624533,-0.11733475,0.29457049
154,0.09083399,-0.47081486,0.15672485
155,0.08430588,-0.24145312,0.26299381
156,0.10160314,0.32333060,0.21567825
157,0.10123866,0.21389075,0.28319087
158,0.10813829,-0.32149879,0.21463026
159,0.09287757,-0.43711948,0.17727189
160,0.06956958,-0.17835939,0.28824959
161,0.08180210,0.09324999,0.30088936
162,0.08633282,0.13453704,0.30395263
163,0.08714522,0.26423218,0.24543109
164,0.07894777,-0.27065083,0.24184010
165,0.08980950,0.17710486,0.30314523
166,0.06742552,-0.05128506,0.29434025
167,0.07118499,-0.33985004,0.21199759
168,0.06496247,0.20233359,0.28561932
169,0.05392390,-0.21621317,0.27620567
170,0.06088469,-0.14340284,0.28935979
171,0.06121031,-0.58393195,0.03760697
172,0.05708386,0.52581790,0.09761191
173,0.05000687,-0.52025730,0.12917378
174,0.05636594,0.16213044,0.29790303
175,0.04423336,0.49490535,0.13202500
176,0.03705327,0.05172315,0.29483305
177,0.06133031,-0.42009383,0.19700613
178,0.04097987,0.38259741,0.19521215
179,0.02683083,-0.19325642,0.28804063
180,0.03580746,-0.11889367,0.29169169
181,0.04629432,0.08221901,0.30046705
182,0.03433275,-0.36024147,0.21004645
183,0.05071612,0.12122484,0.30274621
184,0.00149022,-0.12974153,0.29366794
185,0.04014729,-0.32589489,0.21586570
186,0.08093815,0.01148446,0.29588129
187,0.01541472,0.25365662,0.26361901
188,0.01635639,-0.23015448,0.27760440
189,0.01162871,-0.08758138,0.29161117
190,0.00362404,0.17629465,0.29593908
191,-0.00538956,-0.16849649,0.29018718
192,-0.00833826,0.59918350,0.00000000
193,-0.00076876,-0.59992903,0.00000000
194,0.00083478,-0.54998164,0.09121707
195,0.02128128,0.54574389,0.09307482
196,-0.00860671,-0.49752381,0.14083091
197,0.01094532,0.41208129,0.19479475
198,-0.00591396,0.33825719,0.22115657
199,0.01600495,-0.47062117,0.16663828
200,0.02358111,-0.43407703,0.18809633
201,-0.00524892,-0.37325852,0.20308075
202,-0.01983492,-0.23679749,0.26480892
203,-0.01970686,0.06336044,0.29382537
204,-0.01188064,-0.20403384,0.28091549
205,-0.05589192,0.26219113,0.26157130
206,-0.04947155,-0.07492402,0.29006056
207,-0.03356708,0.16578102,0.29726750
208,-0.04384431,0.32867196,0.22582274
209,-0.03601628,-0.34560626,0.20326113
210,-0.03419934,0.36726945,0.21727907
211,-0.08365891,-0.02105078,0.29150531
