vid,x,y,z
0,-0.00000000,-0.00000000,4.94600488
1,0.52364905,-0.00465647,4.94655983
2,0.52451666,0.04754112,4.94491521
3,0.51855792,0.09855863,4.94273942
4,0.50587060,0.14780202,4.94490118
5,0.48666761,0.19484322,4.94651567
6,0.46156775,0.23866543,4.94754045
7,0.43138250,0.27814775,4.94797413
8,0.40519308,0.32458200,4.94759489
9,0.37356865,0.36698341,4.94655983
10,0.33727318,0.40450587,4.94491523
11,0.29698405,0.43636727,4.94273943
12,0.25319245,0.46221695,4.94490117
13,0.20635047,0.48190115,4.94651567
14,0.15761511,0.49513940,4.94754045
15,0.10835313,0.50171390,4.94797412
16,0.05700107,0.51602851,4.94759490
17,0.00465647,0.52364905,4.94655983
18,-0.04754112,0.52451666,4.94491521
19,-0.09855863,0.51855792,4.94273942
20,-0.14780202,0.50587060,4.94490118
21,-0.19484322,0.48666761,4.94651567
22,-0.23866543,0.46156775,4.94754045
23,-0.27814775,0.43138250,4.94797413
24,-0.32458200,0.40519308,4.94759489
25,-0.36698341,0.37356865,4.94655983
26,-0.40450587,0.33727318,4.94491523
27,-0.43636727,0.29698405,4.94273943
28,-0.46221695,0.25319245,4.94490117
29,-0.48190115,0.20635047,4.94651567
30,-0.49513940,0.15761511,4.94754045
31,-0.50171390,0.10835313,4.94797412
32,-0.51602851,0.05700107,4.94759490
33,-0.52364905,0.00465647,4.94655983
34,-0.52451666,-0.04754112,4.94491521
35,-0.51855792,-0.09855863,4.94273942
36,-0.50587060,-0.14780202,4.94490118
37,-0.48666761,-0.19484322,4.94651567
38,-0.46156775,-0.23866543,4.94754045
39,-0.43138250,-0.27814775,4.94797413
40,-0.40519308,-0.32458200,4.94759489
41,-0.37356865,-0.36698341,4.94655983
42,-0.33727318,-0.40450587,4.94491523
43,-0.29698405,-0.43636727,4.94273943
44,-0.25319245,-0.46221695,4.94490117
45,-0.20635047,-0.48190115,4.94651567
46,-0.15761511,-0.49513940,4.94754045
47,-0.10835313,-0.50171390,4.94797412
48,-0.05700107,-0.51602851,4.94759490
49,-0.00465647,-0.52364905,4.94655983
50,0.04754112,-0.52451666,4.94491521
51,0.09855863,-0.51855792,4.94273942
52,0.14780202,-0.50587060,4.94490118
53,0.19484322,-0.48666761,4.94651567
54,0.23866543,-0.46156775,4.94754045
55,0.27814775,-0.43138250,4.94797413
56,0.32458200,-0.40519308,4.94759489
57,0.36698341,-0.37356865,4.94655983
58,0.40450587,-0.33727318,4.94491523
59,0.43636727,-0.29698405,4.94273943
60,0.46221695,-0.25319245,4.94490117
61,0.48190115,-0.20635047,4.94651567
62,0.49513940,-0.15761511,4.94754045
63,0.50171390,-0.10835313,4.94797412
64,0.51602851,-0.05700107,4.94759490
65,1.13406218,-0.00611719,4.92900268
66,1.13636406,0.10633901,4.92449035
67,1.12354250,0.21459831,4.91886856
68,1.09637221,0.31937074,4.92446230
69,1.05400247,0.42113582,4.92891106
70,0.99785506,0.51775789,4.93198191
71,0.93100999,0.60405119,4.93359992
72,0.87494639,0.70478341,4.93210111
73,0.80622883,0.79757777,4.92900269
74,0.72833831,0.87872384,4.92449037
75,0.64272001,0.94620832,4.91886859
76,0.54942325,1.00108186,4.92446225
77,0.44750516,1.04308001,4.92891100
78,0.33947980,1.07169978,4.93198189
79,0.23119436,1.08545269,4.93359986
80,0.12032370,1.11703710,4.93210111
81,0.00611719,1.13406218,4.92900268
82,-0.10633901,1.13636406,4.92449035
83,-0.21459831,1.12354250,4.91886856
84,-0.31937074,1.09637221,4.92446230
85,-0.42113582,1.05400247,4.92891106
86,-0.51775789,0.99785506,4.93198191
87,-0.60405119,0.93100999,4.93359992
88,-0.70478341,0.87494639,4.93210111
89,-0.79757777,0.80622883,4.92900269
90,-0.87872384,0.72833831,4.92449037
91,-0.94620832,0.64272001,4.91886859
92,-1.00108186,0.54942325,4.92446225
93,-1.04308001,0.44750516,4.92891100
94,-1.07169978,0.33947980,4.93198189
95,-1.08545269,0.23119436,4.93359986
96,-1.11703710,0.12032370,4.93210111
97,-1.13406218,0.00611719,4.92900268
98,-1.13636406,-0.10633901,4.92449035
99,-1.12354250,-0.21459831,4.91886856
100,-1.09637221,-0.31937074,4.92446230
101,-1.05400247,-0.42113582,4.92891106
102,-0.99785506,-0.51775789,4.93198191
103,-0.93100999,-0.60405119,4.93359992
104,-0.87494639,-0.70478341,4.93210111
105,-0.80622883,-0.79757777,4.92900269
106,-0.72833831,-0.87872384,4.92449037
107,-0.64272001,-0.94620832,4.91886859
108,-0.54942325,-1.00108186,4.92446225
109,-0.44750516,-1.04308001,4.92891100
110,-0.33947980,-1.07169978,4.93198189
111,-0.23119436,-1.08545269,4.93359986
112,-0.12032370,-1.11703710,4.93210111
113,-0.00611719,-1.13406218,4.92900268
114,0.10633901,-1.13636406,4.92449035
115,0.21459831,-1.12354250,4.91886856
116,0.31937074,-1.09637221,4.92446230
117,0.42113582,-1.05400247,4.92891106
118,0.51775789,-0.99785506,4.93198191
119,0.60405119,-0.93100999,4.93359992
120,0.70478341,-0.87494639,4.93210111
121,0.79757777,-0.80622883,4.92900269
122,0.87872384,-0.72833831,4.92449037
123,0.94620832,-0.64272001,4.91886859
124,1.00108186,-0.54942325,4.92446225
125,1.04308001,-0.44750516,4.92891100
126,1.07169978,-0.33947980,4.93198189
127,1.08545269,-0.23119436,4.93359986
128,1.11703710,-0.12032370,4.93210111
129,1.77509592,-0.00589286,4.87764500
130,1.77632924,0.16973688,4.86990502
131,1.75528991,0.33629969,4.86068083
132,1.71452558,0.49814817,4.86984622
133,1.65020661,0.65836600,4.87749774
134,1.56316001,0.81475010,4.88305095
135,1.45992941,0.95084889,4.88655158
136,1.37175207,1.10538664,4.88325855
137,1.25934964,1.25101594,4.87764493
138,1.13603287,1.37607718,4.86990493
139,1.00337708,1.47897645,4.86068094
140,0.86010790,1.56459702,4.86984627
141,0.70133740,1.63240730,4.87749773
142,0.52920487,1.68143655,4.88305098
143,0.35997451,1.70467859,4.88655149
144,0.18834882,1.75160077,4.88325864
145,0.00589286,1.77509592,4.87764500
146,-0.16973688,1.77632924,4.86990502
147,-0.33629969,1.75528991,4.86068083
148,-0.49814817,1.71452558,4.86984622
149,-0.65836600,1.65020661,4.87749774
150,-0.81475010,1.56316001,4.88305095
151,-0.95084889,1.45992941,4.88655158
152,-1.10538664,1.37175207,4.88325855
153,-1.25101594,1.25934964,4.87764493
154,-1.37607718,1.13603287,4.86990493
155,-1.47897645,1.00337708,4.86068094
156,-1.56459702,0.86010790,4.86984627
157,-1.63240730,0.70133740,4.87749773
158,-1.68143655,0.52920487,4.88305098
159,-1.70467859,0.35997451,4.88655149
160,-1.75160077,0.18834882,4.88325864
161,-1.77509592,0.00589286,4.87764500
162,-1.77632924,-0.16973688,4.86990502
163,-1.75528991,-0.33629969,4.86068083
164,-1.71452558,-0.49814817,4.86984622
165,-1.65020661,-0.65836600,4.87749774
166,-1.56316001,-0.81475010,4.88305095
167,-1.45992941,-0.95084889,4.88655158
168,-1.37175207,-1.10538664,4.88325855
169,-1.25934964,-1.25101594,4.87764493
