face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,5422.9965,11098.3014,-365.2059,9633.0297,11121.7059,5399.5920,5422.9965,11098.3014
1,5392.9934,11167.8673,-113.4199,9675.5359,11170.0940,5390.7667,5392.9934,11167.8673
2,5384.0430,11116.2327,137.3899,9631.4538,11119.5238,5380.7519,5384.0430,11116.2327
3,5406.8978,11029.4397,391.7210,9576.4485,11056.5996,5379.7379,5406.8978,11029.4397
4,5460.5461,10873.7059,634.9218,9480.9308,10947.1801,5387.0720,5460.5461,10873.7059
5,5541.7500,10662.6161,854.9267,9354.4386,10801.5750,5402.7911,5541.7500,10662.6161
6,5581.0362,10746.1106,-840.5632,9421.8928,10879.4609,5447.6859,5581.0362,10746.1106
7,5484.4721,10963.6207,-605.3724,9552.4954,11029.7090,5418.3837,5484.4721,10963.6207
8,5422.9980,11098.3008,-365.2061,9633.0292,11121.7053,5399.5935,5422.9980,11098.3008
9,5392.9935,11167.8656,-113.4131,9675.5342,11170.0921,5390.7670,5392.9935,11167.8656
10,5384.0442,11116.2379,137.3844,9631.4580,11119.5287,5380.7533,5384.0442,11116.2379
11,5406.9005,11029.4401,391.7286,9576.4497,11056.6010,5379.7396,5406.9005,11029.4401
12,5460.5489,10873.7033,634.9292,9480.9301,10947.1792,5387.0730,5460.5489,10873.7033
13,5541.7490,10662.6249,854.9225,9354.4448,10801.5822,5402.7917,5541.7490,10662.6249
14,5581.0330,10746.1155,-840.5587,9421.8958,10879.4642,5447.6843,5581.0330,10746.1155
15,5484.4710,10963.6212,-605.3736,9552.4961,11029.7098,5418.3823,5484.4710,10963.6212
16,5422.9965,11098.3014,-365.2059,9633.0297,11121.7059,5399.5920,5422.9965,11098.3014
17,5392.9934,11167.8673,-113.4199,9675.5359,11170.0940,5390.7667,5392.9934,11167.8673
18,5384.0430,11116.2327,137.3899,9631.4538,11119.5238,5380.7519,5384.0430,11116.2327
19,5406.8978,11029.4397,391.7210,9576.4485,11056.5996,5379.7379,5406.8978,11029.4397
20,5460.5461,10873.7059,634.9218,9480.9308,10947.1801,5387.0720,5460.5461,10873.7059
21,5541.7500,10662.6161,854.9267,9354.4386,10801.5750,5402.7911,5541.7500,10662.6161
22,5581.0362,10746.1106,-840.5632,9421.8928,10879.4609,5447.6859,5581.0362,10746.1106
23,5484.4721,10963.6207,-605.3724,9552.4954,11029.7090,5418.3837,5484.4721,10963.6207
24,5422.9980,11098.3008,-365.2061,9633.0292,11121.7053,5399.5935,5422.9980,11098.3008
25,5392.9935,11167.8656,-113.4131,9675.5342,11170.0921,5390.7670,5392.9935,11167.8656
26,5384.0442,11116.2379,137.3844,9631.4580,11119.5287,5380.7533,5384.0442,11116.2379
27,5406.9005,11029.4401,391.7286,9576.4497,11056.6010,5379.7396,5406.9005,11029.4401
28,5460.5489,10873.7033,634.9292,9480.9301,10947.1792,5387.0730,5460.5489,10873.7033
29,5541.7490,10662.6249,854.9225,9354.4448,10801.5822,5402.7917,5541.7490,10662.6249
30,5581.0330,10746.1155,-840.5587,9421.8958,10879.4642,5447.6843,5581.0330,10746.1155
31,5484.4710,10963.6212,-605.3736,9552.4961,11029.7098,5418.3823,5484.4710,10963.6212
32,5422.9965,11098.3014,-365.2059,9633.0297,11121.7059,5399.5920,5422.9965,11098.3014
33,5392.9934,11167.8673,-113.4199,9675.5359,11170.0940,5390.7667,5392.9934,11167.8673
34,5384.0430,11116.2327,137.3899,9631.4538,11119.5238,5380.7519,5384.0430,11116.2327
35,5406.8978,11029.4397,391.7210,9576.4485,11056.5996,5379.7379,5406.8978,11029.4397
36,5460.5461,10873.7059,634.9218,9480.9308,10947.1801,5387.0720,5460.5461,10873.7059
37,5541.7500,10662.6161,854.9267,9354.4386,10801.5750,5402.7911,5541.7500,10662.6161
38,5581.0362,10746.1106,-840.5632,9421.8928,10879.4609,5447.6859,5581.0362,10746.1106
39,5484.4721,10963.6207,-605.3724,9552.4954,11029.7090,5418.3837,5484.4721,10963.6207
40,5422.9980,11098.3008,-365.2061,9633.0292,11121.7053,5399.5935,5422.9980,11098.3008
41,5392.9935,11167.8656,-113.4131,9675.5342,11170.0921,5390.7670,5392.9935,11167.8656
42,5384.0442,11116.2379,137.3844,9631.4580,11119.5287,5380.7533,5384.0442,11116.2379
43,5406.9005,11029.4401,391.7286,9576.4497,11056.6010,5379.7396,5406.9005,11029.4401
44,5460.5489,10873.7033,634.9292,9480.9301,10947.1792,5387.0730,5460.5489,10873.7033
45,5541.7490,10662.6249,854.9225,9354.4448,10801.5822,5402.7917,5541.7490,10662.6249
46,5581.0330,10746.1155,-840.5587,9421.8958,10879.4642,5447.6843,5581.0330,10746.1155
47,5484.4710,10963.6212,-605.3736,9552.4961,11029.7098,5418.3823,5484.4710,10963.6212
48,5422.9965,11098.3014,-365.2059,9633.0297,11121.7059,5399.5920,5422.9965,11098.3014
49,5392.9934,11167.8673,-113.4199,9675.5359,11170.0940,5390.7667,5392.9934,11167.8673
50,5384.0430,11116.2327,137.3899,9631.4538,11119.5238,5380.7519,5384.0430,11116.2327
51,5406.8978,11029.4397,391.7210,9576.4485,11056.5996,5379.7379,5406.8978,11029.4397
52,5460.5461,10873.7059,634.9218,9480.9308,10947.1801,5387.0720,5460.5461,10873.7059
53,5541.7500,10662.6161,854.9267,9354.4386,10801.5750,5402.7911,5541.7500,10662.6161
54,5581.0362,10746.1106,-840.5632,9421.8928,10879.4609,5447.6859,5581.0362,10746.1106
55,5484.4721,10963.6207,-605.3724,9552.4954,11029.7090,5418.3837,5484.4721,10963.6207
56,5422.9980,11098.3008,-365.2061,9633.0292,11121.7053,5399.5935,5422.9980,11098.3008
57,5392.9935,11167.8656,-113.4131,9675.5342,11170.0921,5390.7670,5392.9935,11167.8656
58,5384.0442,11116.2379,137.3844,9631.4580,11119.5287,5380.7533,5384.0442,11116.2379
59,5406.9005,11029.4401,391.7286,9576.4497,11056.6010,5379.7396,5406.9005,11029.4401
60,5460.5489,10873.7033,634.9292,9480.9301,10947.1792,5387.0730,5460.5489,10873.7033
61,5541.7490,10662.6249,854.9225,9354.4448,10801.5822,5402.7917,5541.7490,10662.6249
