vid,x,y,z
0,0.59792328,0.02113320,0.00000000
1,0.58847582,0.11705511,0.00000000
2,0.57051359,-0.08654106,0.03019472
3,0.56442102,0.07262416,0.05715979
4,0.54842591,-0.24066152,0.00000000
5,0.54134557,-0.00020794,0.08936839
6,0.55120764,0.18259516,0.04178502
7,0.54599266,-0.07383596,0.06200973
8,0.51528942,0.05474966,0.11658409
9,0.50862124,-0.17666986,0.09190209
10,0.49565822,0.24173570,0.07314820
11,0.51752749,0.25505135,0.03998425
12,0.51478141,-0.21608222,0.07510801
13,0.51050096,-0.28681212,0.03406527
14,0.49513036,-0.02252529,0.13043956
15,0.49848944,0.16352252,0.11293272
16,0.46533750,0.10461185,0.14844004
17,0.48506791,-0.06046884,0.12297187
18,0.46369651,0.06652211,0.16128019
19,0.46267465,0.26575788,0.08103099
20,0.45944109,-0.20305613,0.13554087
21,0.46438659,-0.24083677,0.11873474
22,0.43801072,-0.03616310,0.16574352
23,0.43865248,0.12976922,0.16480964
24,0.44412788,0.37519378,0.03353334
25,0.44267331,-0.36042206,0.05122563
26,0.43440183,0.09065664,0.17283974
27,0.44460692,0.22243744,0.12407218
28,0.41597638,0.43107167,0.00000000
29,0.43242484,-0.41432756,0.00000000
30,0.42886933,0.05290327,0.18223604
31,0.43699087,0.16890331,0.15571845
32,0.41478625,-0.15738040,0.16849464
33,0.39939414,-0.22990857,0.16569683
34,0.40110895,-0.11697950,0.17141491
35,0.40378834,-0.26678654,0.14668306
36,0.40693448,0.11342291,0.18619573
37,0.41127999,-0.02105215,0.18407215
38,0.41693136,-0.32929093,0.10534366
39,0.38593365,-0.39815344,0.07483006
40,0.39264919,0.38442342,0.08771099
41,0.41249972,-0.05615909,0.17042835
42,0.38059643,0.29255070,0.13391389
43,0.36268663,0.06599961,0.20642763
44,0.40776523,0.15033724,0.17816567
45,0.35771650,-0.17000855,0.19579661
46,0.34210418,-0.25927022,0.18452580
47,0.36491547,-0.10886253,0.18983822
48,0.37716493,-0.44482605,0.02745289
49,0.34419389,-0.29212573,0.17320099
50,0.36746840,0.43783573,0.06238747
51,0.37792480,-0.00228204,0.20146433
52,0.35584609,0.35317216,0.14166280
53,0.38109057,-0.34004243,0.12787380
54,0.32999254,0.04960238,0.21600292
55,0.33319077,0.16906776,0.19771932
56,0.34980653,-0.40914343,0.08644178
57,0.33401082,0.28895315,0.17333574
58,0.31509134,0.50864238,0.00000000
59,0.34406585,-0.03282295,0.20677232
60,0.32415892,-0.23171460,0.19537947
61,0.32281237,-0.17015475,0.20799945
62,0.33614538,0.38310560,0.14035035
63,0.34716309,0.13156982,0.20513053
64,0.30634158,-0.27283108,0.19093637
65,0.30545968,-0.13618719,0.21492377
66,0.36010472,0.03069194,0.20894543
67,0.31967460,0.31889049,0.17949565
68,0.31349805,-0.31276658,0.17344272
69,0.32749442,-0.10347278,0.20666463
70,0.32731576,0.09300305,0.21603450
71,0.29837557,-0.38259315,0.12682312
72,0.27582507,0.43601824,0.12887509
73,0.29620161,0.34917171,0.18256887
74,0.29373872,0.24509903,0.19666760
75,0.28415817,-0.23818882,0.20560462
76,0.28460542,-0.17063098,0.21802149
77,0.27371061,0.27941292,0.20532079
78,0.26158335,-0.26992746,0.19973932
79,0.27168325,0.00978354,0.25509543
80,0.27479150,0.40792459,0.15495705
81,0.28578348,-0.33123625,0.16777006
82,0.26249863,-0.49771868,0.05498298
83,0.28534034,0.31462525,0.19713865
84,0.26167634,0.08446439,0.25346168
85,0.27013558,0.21355197,0.20830231
86,0.24372332,0.02078934,0.27794857
87,0.24449342,-0.48220810,0.08328459
88,0.26345385,-0.20428137,0.21618945
89,0.23557001,0.23269537,0.22036571
90,0.24961378,0.12150025,0.24668573
91,0.24188305,-0.23731520,0.21168904
92,0.23363208,0.37034438,0.19063885
93,0.23767296,0.46131562,0.12834392
94,0.23591564,-0.29890730,0.18875318
95,0.23825842,0.27204936,0.21540698
96,0.22247462,0.10194656,0.27031345
97,0.22295602,-0.11266288,0.27217190
98,0.20808139,-0.43136266,0.14467602
99,0.21079836,-0.01030410,0.28764093
100,0.22048455,0.33562642,0.20706478
101,0.20648986,0.17535964,0.25205919
102,0.23622100,0.06357271,0.27901290
103,0.21705613,-0.17720292,0.24760339
104,0.21240767,0.51542867,0.07884533
105,0.21785732,-0.26799976,0.20400993
106,0.20529487,-0.14670233,0.27378853
107,0.20592518,0.25822673,0.22418725
108,0.19070165,-0.40255716,0.16761596
109,0.17320391,0.39498684,0.18975193
110,0.21220051,0.03663859,0.29563644
111,0.17632789,0.28258478,0.22274813
112,0.19563495,0.46064534,0.14233102
113,0.18982493,-0.45960988,0.13719238
114,0.15865638,-0.07201101,0.29619974
115,0.17950315,-0.33502101,0.19109370
116,0.16559737,-0.01154727,0.29528534
117,0.18087824,0.15394801,0.27343911
118,0.17300023,0.19310390,0.26818118
119,0.18348253,-0.17780066,0.26577909
120,0.15039695,0.02380702,0.30527669
121,0.15666325,0.22934592,0.25285804
122,0.16726437,-0.14652335,0.28562049
123,0.15898008,-0.40549384,0.17968594
124,0.14553497,0.41819813,0.17460864
125,0.18183273,0.55336329,0.03204267
126,0.17861389,0.04617744,0.30181941
127,0.15116920,-0.30815588,0.20625558
128,0.13314268,-0.38455975,0.19417345
129,0.13754477,0.38202005,0.19429515
130,0.12250634,-0.00157495,0.29950973
131,0.14907895,-0.50177221,0.11398966
132,0.15230785,0.13146042,0.29080214
133,0.15093653,0.17176846,0.28957104
134,0.12740966,-0.14710519,0.28673136
135,0.11312988,0.03681964,0.30051771
136,0.16547051,0.48172719,0.12383679
137,0.12352995,-0.08820085,0.30180633
138,0.13862983,0.21102108,0.27787423
139,0.12828887,-0.45634780,0.16213546
140,0.14144189,-0.34581787,0.20237290
141,0.14114024,0.30222634,0.22138310
142,0.12022767,-0.25749747,0.23775887
143,0.11762599,0.43710839,0.15404554
144,0.12954281,-0.42217311,0.17962801
145,0.11226560,-0.05694374,0.29746575
146,0.12129740,0.15099022,0.30567401
147,0.12128460,0.18661716,0.29617829
148,0.08584955,-0.08452593,0.29686882
149,0.09353361,-0.20701129,0.27302236
150,0.10361826,-0.36108001,0.20506171
151,0.11182223,-0.51144182,0.10755844
152,0.11839429,0.11073226,0.30060745
153,0.10622373,-0.11726580,0.29508202
154,0.09079805,-0.46866233,0.15444794
155,0.08452952,-0.24187692,0.26397139
156,0.10147071,0.32202887,0.21315883
157,0.10143354,0.21428305,0.28439624
158,0.10774292,-0.32072836,0.21221935
159,0.09255226,-0.43587825,0.17442270
160,0.06943787,-0.17846706,0.28899765
161,0.08261811,0.09262755,0.30340790
162,0.08613486,0.13493223,0.30867794
163,0.08722085,0.26437422,0.24579654
164,0.07882643,-0.27163915,0.24298076
165,0.09021630,0.17678490,0.30333026
166,0.06728271,-0.05149849,0.29540174
167,0.07082786,-0.33829988,0.21008970
168,0.06514252,0.20220331,0.28576151
169,0.05557282,-0.21796761,0.28273029
170,0.06096129,-0.14355968,0.28996140
171,0.06097226,-0.58109939,0.03623078
172,0.05611605,0.52532557,0.09706733
173,0.04988745,-0.51590283,0.12392925
174,0.05659156,0.16198214,0.29801091
175,0.04316151,0.49520436,0.13216267
176,0.03653425,0.05171186,0.29589370
177,0.06081244,-0.41755972,0.19217740
178,0.04015097,0.38177322,0.19375223
179,0.02635125,-0.19486028,0.29326712
180,0.03668498,-0.11854677,0.29389007
181,0.04642708,0.08221188,0.30096765
182,0.03434783,-0.35780179,0.20662254
183,0.05109441,0.12101858,0.30263705
184,0.00196859,-0.12977823,0.29347571
185,0.04002874,-0.32386187,0.21362569
186,0.08088584,0.01081734,0.29805043
187,0.01545943,0.25377758,0.26419739
188,0.01678758,-0.23035026,0.27841701
189,0.01114249,-0.08762086,0.29312434
190,0.00349161,0.17648433,0.29641003
191,-0.00515156,-0.16855439,0.29043499
192,-0.00833826,0.59918350,0.00000000
193,-0.00076876,-0.59992903,0.00000000
194,0.00128803,-0.54646630,0.08790196
195,0.02030023,0.54448468,0.09181876
196,-0.00782834,-0.49486082,0.13704824
197,0.01002072,0.41074876,0.19267026
198,-0.00657257,0.33689478,0.21841085
199,0.01619226,-0.46821171,0.16273349
200,0.02370094,-0.43167318,0.18387796
201,-0.00451837,-0.37092364,0.19907502
202,-0.01968126,-0.23688320,0.26513714
203,-0.02015035,0.06287734,0.29486169
204,-0.01181549,-0.20417936,0.28135822
205,-0.05556124,0.26256506,0.26251038
206,-0.04895530,-0.07517887,0.29176047
207,-0.03312697,0.16707950,0.30575581
208,-0.04388410,0.32626604,0.22275583
209,-0.03554320,-0.34433603,0.20074999
210,-0.03469457,0.36501473,0.21367764
211,-0.08341240,-0.02143491,0.29273887
