face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,311.7039,669.0910,21.6752,581.1138,670.4008,310.3942,311.7039,669.0910
1,284.1961,683.9466,3.1523,595.1515,683.9715,284.1712,284.1961,683.9466
2,289.6473,675.9767,7.7139,587.5574,676.1306,289.4934,289.6473,675.9767
3,282.8308,685.6682,4.3329,596.8772,685.7148,282.7842,282.8308,685.6682
4,291.3320,721.3935,5.0652,628.6453,721.4532,291.2723,291.3320,721.3935
5,288.8600,677.2652,4.5928,588.6906,677.3195,288.8057,288.8600,677.2652
6,283.2701,685.4973,-4.8252,596.6887,685.5552,283.2122,283.2701,685.4973
7,282.7637,663.4388,-3.3047,576.6652,663.4675,282.7350,282.7637,663.4388
8,290.0292,709.1522,-2.0839,617.5370,709.1625,290.0188,290.0292,709.1522
9,290.0275,664.2939,-8.2529,577.0123,664.4758,289.8456,290.0275,664.2939
10,272.9387,653.6398,13.6951,569.1218,654.1318,272.4467,272.9387,653.6398
11,285.2437,664.5409,7.1451,577.5601,664.6754,285.1091,285.2437,664.5409
12,292.9085,692.1967,-0.4497,601.8155,692.1972,292.9080,292.9085,692.1967
13,282.4445,699.7417,0.8532,609.7354,699.7434,282.4427,282.4445,699.7417
14,283.5363,688.8569,-1.7436,599.6747,688.8644,283.5288,283.5363,688.8569
15,281.9047,680.9701,-5.0803,592.7050,681.0347,281.8400,281.9047,680.9701
16,287.9193,663.8490,-12.7723,577.0160,664.2824,287.4858,287.9193,663.8490
17,233.2125,255.3334,67.6272,271.5816,312.7986,175.7473,233.2125,255.3334
18,269.2555,657.3310,-23.3325,573.7820,658.7288,267.8577,269.2555,657.3310
19,268.8022,597.9733,-14.2366,519.3247,598.5879,268.1876,268.8022,597.9733
20,281.2460,666.2015,-5.1976,579.3430,666.2716,281.1759,281.2460,666.2015
21,278.1395,680.2917,-6.6339,592.5153,680.4011,278.0301,278.1395,680.2917
22,282.0805,695.3244,-1.4762,605.7347,695.3297,282.0753,282.0805,695.3244
23,292.7675,677.4338,-2.1084,588.4829,677.4454,292.7559,292.7675,677.4338
24,281.1227,680.9417,-7.0644,592.8179,681.0664,280.9979,281.1227,680.9417
25,280.9067,657.8839,-14.4186,572.3107,658.4346,280.3560,280.9067,657.8839
26,283.2227,658.6680,18.4815,573.1785,659.5756,282.3151,283.2227,658.6680
27,281.4893,674.3120,3.4860,586.6496,674.3429,281.4583,281.4893,674.3120
28,284.4363,676.5214,1.4553,588.3573,676.5268,284.4309,284.4363,676.5214
29,285.1491,689.9735,-5.6854,600.6039,690.0533,285.0693,285.1491,689.9735
30,281.5821,694.0481,-5.7679,604.6979,694.1287,281.5015,281.5821,694.0481
31,288.5573,667.4458,-12.3981,580.1844,667.8510,288.1521,288.5573,667.4458
32,293.0600,670.4010,7.5981,582.2603,670.5539,292.9070,293.0600,670.4010
33,281.6444,683.7674,3.8844,595.2541,683.8049,281.6069,281.6444,683.7674
34,282.7796,684.1931,1.6931,595.4975,684.2003,282.7725,282.7796,684.1931
35,278.4848,679.4205,2.4799,591.5878,679.4358,278.4695,278.4848,679.4205
36,277.5797,673.1033,-5.9892,585.9917,673.1940,277.4891,277.5797,673.1033
37,287.1028,703.0432,-6.0914,612.3426,703.1324,287.0136,287.1028,703.0432
38,279.2428,674.0341,-3.1193,586.6077,674.0588,279.2182,279.2428,674.0341
39,279.7190,671.7475,-5.9736,584.5460,671.8385,279.6280,279.7190,671.7475
40,279.7936,652.2022,-15.2000,567.3299,652.8215,279.1742,279.7936,652.2022
41,253.1969,636.6515,-28.7763,557.4225,638.7990,251.0494,253.1969,636.6515
42,273.4465,716.0184,-19.4843,626.7388,716.8745,272.5904,273.4465,716.0184
43,268.1701,641.9751,-15.3861,559.1054,642.6073,267.5378,268.1701,641.9751
44,274.8818,637.7101,-6.4723,554.1344,637.8255,274.7663,274.8818,637.7101
45,284.6700,710.7872,-5.0263,619.6704,710.8465,284.6107,284.6700,710.7872
46,283.6504,649.2446,-9.1718,563.9769,649.4745,283.4204,283.6504,649.2446
47,280.4095,658.4469,-8.2130,572.4940,658.6252,280.2312,280.4095,658.4469
48,285.8286,655.0611,-14.4202,569.3783,655.6234,285.2663,285.8286,655.0611
49,283.5930,665.4444,9.8609,578.6342,665.6989,283.3386,283.5930,665.4444
50,285.2268,710.9692,11.5976,620.0384,711.2849,284.9111,285.2268,710.9692
51,281.6791,666.6017,6.0741,579.6929,666.6975,281.5833,281.6791,666.6017
52,283.0129,676.4450,8.3836,588.5936,676.6236,282.8344,283.0129,676.4450
53,283.5388,668.6530,11.9265,581.6603,669.0220,283.1698,283.5388,668.6530
54,270.7609,615.7988,16.0210,535.3087,616.5411,270.0186,270.7609,615.7988
55,255.1906,599.5659,26.8738,523.2251,601.6504,253.1061,255.1906,599.5659
56,273.1662,758.6123,15.5642,666.0419,759.1108,272.6677,273.1662,758.6123
57,232.1069,587.5401,64.7295,524.6662,598.9613,220.6857,232.1069,587.5401
58,293.6933,677.3568,4.9924,588.3941,677.4218,293.6283,293.6933,677.3568
59,274.7406,649.2733,18.4088,565.3964,650.1759,273.8380,274.7406,649.2733
60,288.1880,657.9196,11.4634,571.5770,658.2747,287.8329,288.1880,657.9196
61,282.4261,651.6559,6.5003,566.1290,651.7703,282.3117,282.4261,651.6559
62,285.0674,685.2095,7.1648,596.3209,685.3377,284.9392,285.0674,685.2095
63,277.9762,646.7770,3.5802,561.9974,646.8118,277.9414,277.9762,646.7770
64,272.2396,651.5614,9.8489,567.0598,651.8170,271.9841,272.2396,651.5614
65,264.4771,683.4131,32.8914,599.5832,685.9798,261.9104,264.4771,683.4131
66,270.5839,762.3079,17.9860,670.0979,762.9649,269.9269,270.5839,762.3079
67,252.3634,591.5462,30.5480,516.8453,594.2755,249.6342,252.3634,591.5462
68,235.5131,573.7315,52.4316,507.7009,581.6731,227.5715,235.5131,573.7315
69,248.3861,573.2406,25.9092,499.9293,575.2941,246.3326,248.3861,573.2406
70,218.2357,500.4122,55.6512,445.1096,510.9912,207.6567,218.2357,500.4122
71,279.8453,-84.1954,-44.2140,338.8637,285.1383,-89.4884,279.8453,-84.1954
72,269.4018,609.4066,10.0579,529.2277,609.7039,269.1045,269.4018,609.4066
73,285.4211,647.0968,6.9156,561.8255,647.2290,285.2890,285.4211,647.0968
74,273.2056,621.8729,2.8393,539.9002,621.8960,273.1825,273.2056,621.8729
75,280.5850,634.6430,5.3764,550.9220,634.7246,280.5034,280.5850,634.6430
76,274.7131,631.8268,4.1462,548.7739,631.8749,274.6650,274.7131,631.8268
77,248.9683,684.6786,7.6052,600.4000,684.8113,248.8356,248.9683,684.6786
78,221.0958,253.0288,-41.8400,249.4295,281.8453,192.2793,221.0958,253.0288
79,269.0696,581.9434,7.0150,504.5997,582.1006,268.9124,269.0696,581.9434
80,264.6292,546.0212,14.4821,473.6072,546.7646,263.8858,264.6292,546.0212
81,262.9337,575.2967,13.5378,499.3850,575.8823,262.3480,262.9337,575.2967
82,267.0412,620.0984,1.2731,538.7449,620.1030,267.0366,267.0412,620.0984
83,268.3883,614.3286,1.8732,533.4452,614.3387,268.3782,268.3883,614.3286
84,226.8249,466.5175,37.2698,409.1912,472.1788,221.1636,226.8249,466.5175
85,270.5819,569.9678,8.4507,494.0335,570.2061,270.3436,270.5819,569.9678
86,273.4136,555.2940,14.0517,481.5328,555.9928,272.7149,273.4136,555.2940
87,261.5473,606.3247,-4.2499,526.7905,606.3770,261.4950,261.5473,606.3247
88,245.7397,596.8999,0.0934,519.6109,596.8999,245.7397,245.7397,596.8999
89,258.5098,509.6849,15.4716,442.2280,510.6343,257.5604,258.5098,509.6849
90,282.1798,590.1097,4.8782,511.2820,590.1870,282.1026,282.1798,590.1097
91,287.5591,604.1393,-1.6330,523.4088,604.1477,287.5507,287.5591,604.1393
92,292.3302,594.4280,10.3759,515.1265,594.7840,291.9743,292.3302,594.4280
93,281.4887,574.4552,4.0670,497.5757,574.5116,281.4323,281.4887,574.4552
94,271.3089,620.8069,-21.1294,540.2950,622.0797,270.0362,271.3089,620.8069
95,254.4062,659.7792,-22.2779,577.6402,660.9999,253.1855,254.4062,659.7792
96,231.0587,452.7203,-30.9000,395.7313,456.9472,226.8318,231.0587,452.7203
97,303.7399,613.6365,-0.0999,531.4337,613.6365,303.7399,303.7399,613.6365
98,328.5655,630.8927,-16.9567,547.3152,631.8408,327.6175,328.5655,630.8927
99,319.6160,634.1230,9.2162,549.4045,634.3929,319.3462,319.6160,634.1230
100,314.6733,601.5522,3.7864,521.1861,601.6022,314.6233,314.6733,601.5522
101,272.8872,592.7569,12.6905,514.3497,593.2596,272.3845,272.8872,592.7569
102,287.9949,591.3268,-1.9105,512.1721,591.3388,287.9829,287.9949,591.3268
103,288.4601,582.0099,-7.8865,504.2269,582.2217,288.2484,288.4601,582.0099
104,263.6040,505.8213,-8.2885,438.4197,506.1046,263.3207,263.6040,505.8213
105,271.2244,542.1054,-15.4769,470.2418,542.9868,270.3430,271.2244,542.1054
106,277.6813,522.3799,8.9704,452.9613,522.7083,277.3529,277.6813,522.3799
107,263.8951,537.3587,7.1165,465.5541,537.5438,263.7100,263.8951,537.3587
108,259.4610,480.4336,2.2173,416.5302,480.4558,259.4388,259.4610,480.4336
109,293.4308,575.8476,26.3946,500.8200,578.2932,290.9852,293.4308,575.8476
110,278.4398,554.8752,8.6292,480.7694,555.1443,278.1707,278.4398,554.8752
111,245.7137,455.3838,4.0180,394.8469,455.4608,245.6367,245.7137,455.3838
112,252.5410,481.3916,-1.6493,417.0754,481.4035,252.5291,252.5410,481.3916
113,255.5970,507.8883,-5.9818,439.9693,508.0301,255.4553,255.5970,507.8883
114,239.1502,449.4792,10.4851,389.9501,450.0006,238.6288,239.1502,449.4792
115,236.6222,458.8800,11.8550,397.9967,459.5106,235.9916,236.6222,458.8800
116,231.5175,449.2914,-2.4039,389.1807,449.3179,231.4910,231.5175,449.2914
