vid,x,y,z
0,0.60763139,-0.01585658,0.00000000
1,0.56069916,-0.23469938,0.00000000
2,0.57205994,-0.11928859,0.02994986
3,0.54317183,0.07301392,0.06516887
4,0.53058540,-0.03089854,0.08059902
5,0.52327404,-0.24447018,0.03483416
6,0.52090575,-0.11073333,0.07974502
7,0.47792345,0.17385704,0.09648118
8,0.49618850,0.06227138,0.10358210
9,0.47714943,-0.02852584,0.11867676
10,0.48588020,-0.32112532,0.02805849
11,0.46696275,0.30521011,0.05217835
12,0.45642602,-0.24341691,0.08735069
13,0.43086513,0.14664752,0.13031398
14,0.44975859,-0.32314706,0.05503535
15,0.41720343,-0.44205052,0.00000000
16,0.43580967,0.42371842,0.00000000
17,0.41902769,-0.25405074,0.10453056
18,0.38250188,-0.35744346,0.07695092
19,0.38882795,-0.44145106,0.02186875
20,0.38464954,0.10685275,0.15693714
21,0.38967933,-0.00778388,0.16095364
22,0.36865150,0.35966579,0.08551884
23,0.37340829,-0.42116031,0.04578730
24,0.37107162,-0.11979859,0.15753894
25,0.34668960,0.21424187,0.14969595
26,0.34073605,-0.26735053,0.12959414
27,0.34085099,-0.35310862,0.09592543
28,0.34223542,0.28850437,0.12833973
29,0.31791270,-0.41321570,0.07404752
30,0.30381349,0.03498102,0.18297911
31,0.33269862,-0.19406015,0.15232660
32,0.31424944,-0.03293415,0.17962251
33,0.32262106,0.13001964,0.17270705
34,0.29139662,-0.50979236,0.02060007
35,0.30400877,0.46956856,0.04672833
36,0.29626231,-0.10929643,0.17439866
37,0.28687894,0.25199099,0.15702698
38,0.29846700,-0.34571143,0.11028666
39,0.27168425,-0.27677284,0.13791153
40,0.28236539,-0.41173569,0.08458045
41,0.25113804,0.01226889,0.18852923
42,0.28160111,-0.47839155,0.04705356
43,0.28296314,0.35609764,0.12061526
44,0.25737751,0.08466315,0.18789550
45,0.25934735,-0.20213412,0.15884731
46,0.28646120,-0.06598713,0.18056348
47,0.24420123,-0.47641529,0.05776974
48,0.25197867,0.32616660,0.14089249
49,0.24327167,-0.16613179,0.16677199
50,0.24327628,-0.41259381,0.09025701
51,0.22018792,-0.35498216,0.11361791
52,0.23261209,-0.56156832,0.00000000
53,0.21588987,0.56820679,0.00000000
54,0.21801159,-0.31883268,0.12534098
55,0.23273892,-0.02034934,0.18710732
