vid,x,y,z
0,0.60763139,-0.01585658,0.00000000
1,0.56069916,-0.23469938,0.00000000
2,0.57072020,-0.11807259,0.02781404
3,0.54242483,0.07278214,0.06432115
4,0.52798789,-0.03012011,0.07859570
5,0.52239303,-0.24364257,0.03337819
6,0.51851919,-0.10865702,0.07664675
7,0.47891647,0.17332464,0.09628507
8,0.49500314,0.06237126,0.10250592
9,0.47454122,-0.02720227,0.11664928
10,0.48623505,-0.31943128,0.02711087
11,0.47119089,0.30521285,0.05112987
12,0.45559015,-0.24006018,0.08555528
13,0.43155069,0.14667188,0.12956051
14,0.45013643,-0.31996889,0.05448513
15,0.41720343,-0.44205052,0.00000000
16,0.43580967,0.42371842,0.00000000
17,0.41873166,-0.24988319,0.10339973
18,0.38373127,-0.35328314,0.07708122
19,0.38888875,-0.44013630,0.02093505
20,0.38501405,0.10723034,0.15606669
21,0.38803838,-0.00635327,0.15972942
22,0.37262236,0.36147505,0.08261252
23,0.37398366,-0.41894264,0.04449848
24,0.36928485,-0.11657673,0.15634857
25,0.35141571,0.21551363,0.14810320
26,0.34158719,-0.26276607,0.13043848
27,0.34264646,-0.34892115,0.09658698
28,0.34877369,0.29039784,0.12597503
29,0.31937099,-0.41067636,0.07331728
30,0.30362883,0.03572732,0.18277050
31,0.33224324,-0.19004167,0.15268475
32,0.31306934,-0.03144054,0.17935026
33,0.32452304,0.13072733,0.17222765
34,0.29218121,-0.50875298,0.01927118
35,0.30527855,0.46977506,0.04605817
36,0.29487332,-0.10672156,0.17460769
37,0.29412136,0.25425758,0.15559423
38,0.30049287,-0.34207011,0.11173839
39,0.27317562,-0.27275268,0.14052118
40,0.28413712,-0.40960996,0.08424456
41,0.25093037,0.01272435,0.18900865
42,0.28245638,-0.47669339,0.04546115
43,0.28737168,0.35830219,0.11890800
44,0.25849230,0.08521095,0.18823787
45,0.25923055,-0.19902586,0.16062956
46,0.28514539,-0.06427668,0.18077742
47,0.24530851,-0.47497803,0.05640930
48,0.25649130,0.32853011,0.13986328
49,0.24244049,-0.16378824,0.16821106
50,0.24512038,-0.41124648,0.09055773
51,0.22188766,-0.35357260,0.11587633
52,0.23261209,-0.56156832,0.00000000
53,0.21588987,0.56820679,0.00000000
54,0.21984005,-0.31683829,0.12832756
55,0.23222427,-0.01999774,0.18782744
