vid,x,y,z
0,0.60763139,-0.01585658,0.00000000
1,0.56069916,-0.23469938,0.00000000
2,0.57030880,-0.11821354,0.02672587
3,0.54088450,0.07300853,0.06167092
4,0.52749910,-0.02991248,0.07485202
5,0.52253139,-0.24269830,0.03179263
6,0.51808721,-0.10863980,0.07288550
7,0.47639691,0.17329555,0.09425777
8,0.49338203,0.06250755,0.09841510
9,0.47408580,-0.02698525,0.11136451
10,0.48557126,-0.31907989,0.02627005
11,0.46748221,0.30578133,0.05497700
12,0.45549372,-0.23962203,0.08063081
13,0.42916151,0.14667854,0.12728109
14,0.44919986,-0.31960546,0.05135940
15,0.41720343,-0.44205052,0.00000000
16,0.43580967,0.42371842,0.00000000
17,0.41868129,-0.24975750,0.09708754
18,0.38278282,-0.35282643,0.07121303
19,0.38829070,-0.43950227,0.01938455
20,0.38302139,0.10738145,0.15296455
21,0.38758432,-0.00619249,0.15388027
22,0.37046369,0.36325825,0.08760740
23,0.37306104,-0.41803402,0.04097902
24,0.37019337,-0.11663253,0.14906706
25,0.34734938,0.21632308,0.14989268
26,0.34217481,-0.26292660,0.12207717
27,0.34203360,-0.34844877,0.08911447
28,0.34455700,0.29217424,0.13122268
29,0.31849328,-0.40966115,0.06737581
30,0.30289732,0.03613178,0.17889669
31,0.33333014,-0.19026129,0.14457550
32,0.31337774,-0.03127238,0.17381765
33,0.32192150,0.13124949,0.17080359
34,0.29115937,-0.50722063,0.01867038
35,0.30481497,0.47130133,0.04868367
36,0.29624299,-0.10683770,0.16817617
37,0.28976595,0.25586634,0.16017311
38,0.30044912,-0.34177343,0.10334741
39,0.27421430,-0.27301263,0.13223128
40,0.28351012,-0.40862104,0.07757266
41,0.25073669,0.01326841,0.18586572
42,0.28136467,-0.47539460,0.04211805
43,0.28482489,0.36064855,0.12524850
44,0.25680627,0.08598013,0.18662960
45,0.26079325,-0.19939638,0.15359042
46,0.28604592,-0.06419122,0.17529653
47,0.24448288,-0.47400074,0.05186074
48,0.25372786,0.33075904,0.14669878
49,0.24419665,-0.16402522,0.16239299
50,0.24482072,-0.41028165,0.08368947
51,0.22247471,-0.35320862,0.10868311
52,0.23261209,-0.56156832,0.00000000
53,0.21588987,0.56820679,0.00000000
54,0.22082744,-0.31677779,0.12137092
55,0.23254560,-0.01958246,0.18465858
