face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,1553.2560,179.0120,-266.7719,1542.7571,1603.2255,129.0425,1553.2560,179.0120
1,3628.9531,17047.5986,-4127.9061,17118.5224,18215.7513,2460.8003,3628.9531,17047.5986
2,1914.7050,553.8403,-17.5335,1706.8438,1914.9308,553.6144,1914.7050,553.8403
3,3760.2466,826.0718,-3038.0115,6277.2731,5666.8604,-1080.5419,3760.2466,826.0718
4,861.6287,26.6784,35.8602,850.8741,863.1660,25.1411,861.6287,26.6784
5,1945.2940,134.8214,-211.0290,1916.6841,1969.5662,110.5493,1945.2940,134.8214
6,1571.8194,439.5059,-111.8270,1417.9118,1582.7578,428.5675,1571.8194,439.5059
7,1918.0880,163.5811,-309.9513,1918.4022,1971.2342,110.4349,1918.0880,163.5811
8,717.7577,582.1486,22.1938,661.5959,721.2975,578.6087,717.7577,582.1486
9,1025.0183,311.4103,221.4789,987.7228,1088.1690,248.2596,1025.0183,311.4103
10,1436.3830,940.5199,-219.4740,1319.5959,1519.5690,857.3338,1436.3830,940.5199
11,1472.5880,1665.8451,264.0093,1643.0321,1850.3535,1288.0795,1472.5880,1665.8451
12,1430.4818,675.7770,-43.7326,1241.7744,1433.0075,673.2513,1430.4818,675.7770
13,1433.5584,537.1895,-117.8311,1270.9139,1448.7889,521.9590,1433.5584,537.1895
14,1545.7584,436.9973,25.2222,1380.8519,1546.3318,436.4239,1545.7584,436.9973
15,1452.0807,-21.1230,-294.9300,1549.3895,1508.9308,-77.9731,1452.0807,-21.1230
16,405.4172,1751.5833,-121.7109,1602.1005,1762.4991,394.5015,405.4172,1751.5833
17,241.3527,1787.7017,-40.8016,1681.5636,1788.7775,240.2769,241.3527,1787.7017
18,318.4306,1697.3645,0.0864,1562.6745,1697.3645,318.4306,318.4306,1697.3645
19,277.3486,1733.7428,-40.3126,1614.5620,1734.8578,276.2336,277.3486,1733.7428
20,218.0358,1942.2351,-20.5832,1843.2609,1942.4807,217.7901,218.0358,1942.2351
21,302.3508,1867.8945,-68.6997,1740.6451,1870.9034,299.3418,302.3508,1867.8945
22,319.5468,1726.1295,-7.7674,1590.6713,1726.1724,319.5039,319.5468,1726.1295
23,1203.3190,187.0936,218.5948,1183.7223,1248.3448,142.0678,1203.3190,187.0936
24,1530.8393,280.5637,352.7943,1538.2062,1623.5184,187.8847,1530.8393,280.5637
25,1560.7992,254.8787,359.9348,1578.5759,1653.4327,162.2451,1560.7992,254.8787
26,1851.2442,11.0763,421.7758,1985.0459,1943.3111,-80.9905,1851.2442,11.0763
27,2654.1744,1360.3450,1185.1248,3081.9069,3357.4521,657.0673,2654.1744,1360.3450
28,1588.7995,510.5612,92.9357,1414.1034,1596.7512,502.6095,1588.7995,510.5612
29,1477.7392,376.3820,126.5816,1348.0545,1492.1003,362.0210,1477.7392,376.3820
30,1259.2243,771.6015,37.0262,1101.5934,1262.0197,768.8061,1259.2243,771.6015
31,1387.0513,153.0282,296.9839,1414.0966,1454.8045,85.2751,1387.0513,153.0282
32,1374.1259,465.0926,105.5932,1224.2905,1386.2304,452.9881,1374.1259,465.0926
33,1477.8433,802.7432,240.3233,1347.3510,1554.6546,725.9319,1477.8433,802.7432
34,82.0026,1689.1369,-188.4953,1681.6615,1710.9488,60.1907,82.0026,1689.1369
35,209.0403,2201.0213,112.4243,2113.2932,2207.3463,202.7154,209.0403,2201.0213
36,1387.5815,303.0234,118.5734,1280.2011,1400.3936,290.2113,1387.5815,303.0234
37,306.1538,1640.8494,40.3252,1512.8261,1642.0666,304.9366,306.1538,1640.8494
38,301.6456,1677.4284,61.6922,1552.4770,1680.1892,298.8848,301.6456,1677.4284
39,249.0969,1775.4767,144.9888,1683.7952,1789.1269,235.4467,249.0969,1775.4767
40,257.7771,1936.7654,-73.2806,1826.0246,1939.9578,254.5848,257.7771,1936.7654
41,302.4736,1793.7117,6.7566,1663.2735,1793.7424,302.4430,302.4736,1793.7117
42,1855.7725,-85.7959,-239.8607,1945.0115,1884.9658,-114.9893,1855.7725,-85.7959
43,1438.8434,101.4724,-220.3146,1442.2828,1474.2025,66.1133,1438.8434,101.4724
44,1347.1270,47.7068,99.2777,1335.0387,1354.6682,40.1656,1347.1270,47.7068
45,1399.0513,178.8493,-291.8645,1412.3268,1465.2698,112.6308,1399.0513,178.8493
46,1509.7799,230.9784,-236.8968,1467.1128,1552.2541,188.5043,1509.7799,230.9784
47,1486.1132,192.6322,-319.0857,1504.9297,1560.5446,118.2007,1486.1132,192.6322
48,1557.1891,180.0799,-64.4646,1479.6334,1560.2002,177.0688,1557.1891,180.0799
49,1478.2878,186.2431,-154.1569,1419.8569,1496.4260,168.1049,1478.2878,186.2431
50,1591.7530,140.0479,48.4785,1528.8623,1593.3701,138.4308,1591.7530,140.0479
51,1358.6912,331.4292,-250.3595,1301.3903,1416.4591,273.6614,1358.6912,331.4292
52,1469.9047,323.4546,-277.0516,1421.2910,1533.3464,260.0129,1469.9047,323.4546
53,1544.0552,383.7100,-201.8196,1435.6405,1578.1556,349.6096,1544.0552,383.7100
54,1522.9448,368.1489,-185.1753,1413.1856,1551.9116,339.1821,1522.9448,368.1489
55,1551.9857,408.4578,-202.7214,1436.9637,1586.8600,373.5835,1551.9857,408.4578
56,1535.1921,241.9626,-127.7789,1446.6804,1547.6966,229.4581,1535.1921,241.9626
57,1515.5616,353.7729,-79.0088,1380.0887,1520.9101,348.4245,1515.5616,353.7729
58,1572.7277,327.0359,-148.7940,1460.3101,1590.2541,309.5095,1572.7277,327.0359
59,1678.4978,364.3004,-122.8349,1543.9746,1689.8803,352.9180,1678.4978,364.3004
60,1725.0806,265.6667,-86.8288,1615.7979,1730.2283,260.5190,1725.0806,265.6667
61,1538.5804,318.4471,-94.9343,1416.2342,1545.9228,311.1048,1538.5804,318.4471
62,1586.7248,326.2693,-121.1478,1466.4508,1598.2632,314.7309,1586.7248,326.2693
63,1591.7279,185.3675,-98.4003,1517.2185,1598.5794,178.5161,1591.7279,185.3675
64,1632.4699,37.5669,-220.7498,1658.6843,1662.4598,7.5769,1632.4699,37.5669
65,1596.2121,499.0366,-254.5862,1481.4874,1652.4075,442.8412,1596.2121,499.0366
66,1543.5831,576.9792,-120.9616,1367.0529,1558.4904,562.0719,1543.5831,576.9792
67,1506.4443,453.9945,-215.1656,1389.4087,1548.7340,411.7048,1506.4443,453.9945
68,1451.9087,540.4808,-83.8185,1279.2600,1459.5529,532.8366,1451.9087,540.4808
69,1433.8171,584.6731,-72.9620,1255.1216,1440.0407,578.4496,1433.8171,584.6731
70,1410.1423,600.9705,-72.8741,1232.1302,1416.6529,594.4599,1410.1423,600.9705
71,1484.3235,550.6354,-54.0394,1303.0178,1487.4408,547.5182,1484.3235,550.6354
72,1464.9323,605.6467,-80.0764,1282.5131,1472.3308,598.2482,1464.9323,605.6467
73,1433.2026,590.3868,-82.7659,1255.7997,1441.2534,582.3359,1433.2026,590.3868
74,1454.6642,601.7426,-141.5714,1289.5488,1477.5488,578.8580,1454.6642,601.7426
75,1470.4128,570.3341,-81.2717,1291.7366,1477.6923,563.0546,1470.4128,570.3341
76,1486.2416,586.3330,-156.7720,1324.7643,1512.7706,559.8040,1486.2416,586.3330
77,1440.2927,643.1088,-127.3106,1269.0119,1460.1306,623.2709,1440.2927,643.1088
78,1502.1553,536.6025,-142.4885,1341.3655,1522.7436,516.0142,1502.1553,536.6025
79,1935.0315,623.6902,-151.1886,1730.6213,1952.2368,606.4849,1935.0315,623.6902
80,1597.4438,573.9173,-147.1155,1424.5477,1618.1696,553.1915,1597.4438,573.9173
81,1546.7553,710.9721,-98.0609,1351.6957,1558.1064,699.6209,1546.7553,710.9721
82,1508.9804,711.0867,-97.5467,1318.4068,1520.7329,699.3343,1508.9804,711.0867
83,1439.4016,712.8794,-80.9027,1254.4281,1448.3015,703.9795,1439.4016,712.8794
84,1463.7267,605.9313,-96.9209,1284.8781,1474.5413,595.1167,1463.7267,605.9313
85,1425.3649,704.2818,-100.1885,1246.5683,1439.0264,690.6203,1425.3649,704.2818
86,1400.1037,700.5774,-94.7849,1223.5892,1412.7194,687.9617,1400.1037,700.5774
87,1376.5818,640.8905,-100.0163,1205.6076,1389.9365,627.5358,1376.5818,640.8905
88,1395.5697,635.5064,-62.0724,1214.9686,1400.6056,630.4704,1395.5697,635.5064
89,1393.5311,664.0350,-100.2273,1219.6945,1407.0510,650.5151,1393.5311,664.0350
90,1397.8273,557.9979,-88.8527,1228.4065,1407.1249,548.7004,1397.8273,557.9979
91,1401.6335,636.0517,-95.5856,1226.7993,1413.3872,624.2980,1401.6335,636.0517
92,1393.7553,562.4513,-94.3723,1225.4404,1404.3341,551.8725,1393.7553,562.4513
93,1419.1307,628.9635,-67.4737,1237.1757,1424.8509,623.2432,1419.1307,628.9635
94,1432.5297,608.1521,-85.9110,1254.1677,1441.3876,599.2942,1432.5297,608.1521
95,1421.3694,410.3229,-183.5517,1306.3342,1453.6612,378.0312,1421.3694,410.3229
96,1395.6588,650.3533,-82.8367,1218.0876,1404.7546,641.2575,1395.6588,650.3533
97,1633.7768,780.6902,86.8745,1423.3313,1642.5338,771.9332,1633.7768,780.6902
98,1724.5146,735.0914,2.3669,1498.8833,1724.5203,735.0858,1724.5146,735.0914
99,1476.1310,603.9633,-118.8692,1301.7662,1492.0417,588.0527,1476.1310,603.9633
100,1466.2265,592.6996,-108.7970,1291.3526,1479.5732,579.3530,1466.2265,592.6996
101,1434.9469,619.1531,-121.4677,1264.2130,1452.6488,601.4512,1434.9469,619.1531
102,1423.3948,663.2427,-73.8871,1240.2682,1430.5100,656.1274,1423.3948,663.2427
103,1410.8757,594.1403,-129.5885,1247.2747,1430.9439,574.0721,1410.8757,594.1403
104,1427.9282,560.5253,-131.2860,1266.6830,1447.3635,541.0899,1427.9282,560.5253
105,1274.7923,500.9499,-262.4411,1201.6926,1355.4001,420.3421,1274.7923,500.9499
106,1428.1618,451.3952,-126.3060,1283.1983,1444.2301,435.3268,1428.1618,451.3952
107,1418.6897,513.3624,-106.0424,1257.6384,1430.9447,501.1074,1418.6897,513.3624
108,1396.4029,400.8848,-86.2717,1254.2653,1403.8239,393.4638,1396.4029,400.8848
109,1289.3264,967.0777,143.7661,1188.5828,1344.1413,912.2628,1289.3264,967.0777
110,1240.4695,642.2333,-58.7789,1079.3156,1246.1900,636.5128,1240.4695,642.2333
111,336.7714,1486.7521,26.7727,1351.0372,1487.3751,336.1484,336.7714,1486.7521
112,327.6699,1650.4595,150.5040,1535.7515,1667.3674,310.7620,327.6699,1650.4595
113,1318.5952,586.6899,-133.8055,1167.4774,1342.2901,562.9950,1318.5952,586.6899
114,1434.6874,518.5153,-155.4025,1286.7512,1460.3294,492.8734,1434.6874,518.5153
115,342.4932,1601.6301,65.4492,1465.2044,1605.0230,339.1003,342.4932,1601.6301
116,1402.7088,536.7240,-77.8843,1233.2863,1409.6577,529.7751,1402.7088,536.7240
117,337.4708,1739.4578,50.6426,1600.0868,1741.2847,335.6439,337.4708,1739.4578
118,1357.3051,425.7938,-141.1832,1226.9652,1378.2332,404.8658,1357.3051,425.7938
119,308.3832,1769.0424,35.5734,1637.9453,1769.9083,307.5174,308.3832,1769.0424
120,285.1808,1616.7099,55.6485,1497.7699,1619.0316,282.8591,285.1808,1616.7099
121,253.4988,1427.6438,-107.4027,1332.3395,1437.3874,243.7552,253.4988,1427.6438
122,316.2563,1687.2671,-11.3592,1553.5979,1687.3612,316.1622,316.2563,1687.2671
123,293.2713,1698.9459,-58.9639,1576.2624,1701.4149,290.8023,293.2713,1698.9459
124,206.8560,1670.8298,408.9751,1729.3416,1777.3329,100.3529,206.8560,1670.8298
125,419.5041,1695.4851,269.0003,1598.8977,1749.8768,365.1125,419.5041,1695.4851
126,228.0913,2291.1977,115.8171,2195.2793,2297.6790,221.6100,228.0913,2291.1977
127,280.3951,2064.4013,165.0115,1960.4113,2079.5356,265.2608,280.3951,2064.4013
128,266.1744,2002.2075,103.1125,1891.7304,2008.3105,260.0714,266.1744,2002.2075
129,257.4767,1869.4319,3.8809,1754.9301,1869.4412,257.4674,257.4767,1869.4319
130,264.5598,1954.4161,62.9354,1839.7166,1956.7568,262.2191,264.5598,1954.4161
131,289.0121,1751.8812,112.0094,1638.2733,1760.4079,280.4855,289.0121,1751.8812
132,287.5357,1815.8306,49.4619,1692.6727,1817.4297,285.9366,287.5357,1815.8306
133,270.4484,1839.2555,40.1198,1721.4553,1840.2809,269.4230,270.4484,1839.2555
134,297.1678,1777.5592,38.4731,1650.5249,1778.5583,296.1687,297.1678,1777.5592
135,293.9138,1807.2960,29.2782,1680.5019,1807.8622,293.3476,293.9138,1807.2960
136,293.7424,1789.7017,27.4649,1663.0900,1790.2058,293.2383,293.7424,1789.7017
137,305.8944,1822.8767,11.3879,1690.9264,1822.9622,305.8089,305.8944,1822.8767
138,297.5899,1715.7612,-20.6702,1588.4221,1716.0624,297.2887,297.5899,1715.7612
139,799.5790,776.3528,252.4121,901.3492,1040.6450,535.2868,799.5790,776.3528
140,188.0883,1833.0678,-248.3364,1798.8188,1869.7406,151.4154,188.0883,1833.0678
