face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,957.6861,832.9740,-86.3374,914.1352,1001.8309,788.8292,957.6861,832.9740
1,1051.3916,622.6293,7.1347,915.7604,1051.5103,622.5106,1051.3916,622.6293
2,1020.1928,821.4913,-42.7683,939.7070,1029.0072,812.6769,1020.1928,821.4913
3,1262.5802,739.6388,9.5087,1098.9050,1262.7530,739.4660,1262.5802,739.6388
4,683.0726,820.0209,-12.5323,761.1569,821.1583,681.9352,683.0726,820.0209
5,1035.5599,809.6354,-87.4073,955.1900,1065.4280,779.7673,1035.5599,809.6354
6,975.3183,905.5021,-119.4214,964.7857,1064.8290,815.9913,975.3183,905.5021
7,1062.8343,773.2148,-152.5762,987.6827,1128.3798,707.6692,1062.8343,773.2148
8,720.1480,1061.0245,27.4905,939.4459,1063.2272,717.9453,720.1480,1061.0245
9,813.6276,943.9689,90.8451,899.8814,990.6018,766.9946,813.6276,943.9689
10,952.6149,1168.0810,-93.4184,1088.7323,1202.9432,917.7527,952.6149,1168.0810
11,988.5094,1607.9164,206.1997,1449.3655,1670.2809,926.1449,988.5094,1607.9164
12,941.2899,1127.4838,30.8700,1048.2443,1132.4685,936.3052,941.2899,1127.4838
13,973.6254,1073.9715,21.6680,1028.1653,1078.4504,969.1465,973.6254,1073.9715
14,1014.0246,1217.2908,134.2834,1153.1592,1284.0659,947.2496,1014.0246,1217.2908
15,956.8455,928.4461,61.1132,948.8891,1005.3870,879.9046,956.8455,928.4461
16,316.7795,851.4183,-10.0270,745.5549,851.6063,316.5915,316.7795,851.4183
17,960.6794,934.6952,46.4733,951.3658,995.9425,899.4321,960.6794,934.6952
18,1160.0207,1111.3351,14.5260,1136.7388,1164.0253,1107.3305,1160.0207,1111.3351
19,561.7512,1545.5908,-165.7332,1385.1283,1572.7592,534.5828,561.7512,1545.5908
20,605.6605,1545.6627,90.6178,1358.0817,1554.3187,597.0045,605.6605,1545.6627
21,570.5517,1185.3340,157.0108,1062.1717,1223.1120,532.7738,570.5517,1185.3340
22,386.8047,1745.2626,45.8087,1589.5846,1746.8056,385.2617,386.8047,1745.2626
23,857.8176,817.8870,87.2748,852.0815,927.3816,748.3230,857.8176,817.8870
24,973.3066,911.6965,153.6590,980.8105,1099.2179,785.7851,973.3066,911.6965
25,970.3141,849.0482,166.0342,959.8182,1086.4401,732.9222,970.3141,849.0482
26,1095.2352,751.8026,165.9720,1011.9223,1162.3352,684.7027,1095.2352,751.8026
