face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,2705.3484,1111.7507,-448.2549,2479.9242,2822.7819,994.3172,2705.3484,1111.7507
1,3504.9947,822.4400,-2.2465,3174.7067,3504.9966,822.4381,3504.9947,822.4400
2,3089.9376,1249.1174,-190.5492,2712.4234,3109.4550,1229.5999,3089.9376,1249.1174
3,4453.7885,1245.5807,61.7315,3981.4046,4454.9759,1244.3933,4453.7885,1245.5807
4,1265.8072,871.5172,-206.5099,1177.5298,1354.1661,783.1583,1265.8072,871.5172
5,3128.0189,830.5574,-388.2460,2885.9199,3191.8546,766.7217,3128.0189,830.5574
6,2527.3719,1078.9387,-353.0977,2280.1035,2608.8647,997.4459,2527.3719,1078.9387
7,2978.2466,860.9735,-540.6301,2814.9386,3108.3036,730.9166,2978.2466,860.9735
8,1550.9061,1530.8206,-28.7268,1541.7646,1571.2950,1510.4317,1550.9061,1530.8206
9,1999.4195,1127.1452,240.4967,1785.5012,2061.3329,1065.2318,1999.4195,1127.1452
10,2363.0318,1876.5784,-228.3227,2197.1448,2453.4074,1786.2028,2363.0318,1876.5784
11,2598.9578,3160.0344,695.5382,3158.9434,3629.4795,2129.5127,2598.9578,3160.0344
12,2312.3909,1477.0997,72.0049,2031.9688,2318.5525,1470.9381,2312.3909,1477.0997
13,2344.6586,1350.9867,135.1830,2051.7821,2362.7211,1332.9243,2344.6586,1350.9867
14,2673.0153,1987.7351,599.8070,2619.5726,3021.1507,1639.5998,2673.0153,1987.7351
15,2310.1499,1063.4476,385.0931,2110.8956,2419.5084,954.0891,2310.1499,1063.4476
16,882.7882,3491.6804,-1052.9577,3635.2294,3863.6291,510.8395,882.7882,3491.6804
17,2679.1708,1030.3719,284.8948,2392.1905,2727.0096,982.5332,2679.1708,1030.3719
18,2673.8332,1084.2901,-53.3191,2331.1772,2675.6197,1082.5036,2673.8332,1084.2901
19,783.5448,3784.9917,-600.8877,3613.5291,3900.8192,667.7173,783.5448,3784.9917
20,4210.3275,1415.0381,-171.9215,3722.9138,4220.8616,1404.5039,4210.3275,1415.0381
21,634.8561,4628.1015,-310.0791,4378.6567,4652.0360,610.9216,634.8561,4628.1015
22,651.0178,4513.9034,88.4694,4228.9475,4515.9285,648.9927,651.0178,4513.9034
23,2094.0840,1029.2701,427.6336,1959.0350,2244.5589,878.7951,2094.0840,1029.2701
24,2605.8016,1376.6399,829.7317,2676.4628,3023.7731,958.6684,2605.8016,1376.6399
25,2681.5594,1302.0599,844.7865,2745.0979,3082.4145,901.2048,2681.5594,1302.0599
26,3291.7803,1131.1479,963.3860,3343.0765,3658.9432,763.9850,3291.7803,1131.1479
27,4882.5191,2923.2026,2134.3819,5637.2220,6251.3319,1554.3898,4882.5191,2923.2026
28,2722.3569,1251.0347,320.2400,2424.5026,2789.0367,1184.3549,2722.3569,1251.0347
29,2523.5273,1207.4681,329.1873,2259.2440,2601.2743,1129.7210,2523.5273,1207.4681
30,2271.1572,1617.6110,-22.8753,2025.4731,2271.9569,1616.8113,2271.1572,1617.6110
31,2471.8149,1248.9125,164.5061,2159.5735,2493.5579,1227.1696,2471.8149,1248.9125
32,2290.9248,1254.7852,-127.5980,1999.2618,2306.4069,1239.3032,2290.9248,1254.7852
33,2522.1382,1567.3935,253.4168,2248.8620,2585.2327,1504.2990,2522.1382,1567.3935
34,980.0650,833.7880,-162.9524,958.2400,1085.5398,728.3131,980.0650,833.7880
35,2362.5363,1076.2254,-310.7417,2118.2301,2433.6703,1005.0915,2362.5363,1076.2254
36,2337.5416,1156.2449,-149.3947,2040.8794,2356.1421,1137.6443,2337.5416,1156.2449
37,1712.7133,515.0667,-497.5061,1749.0157,1892.4153,335.3647,1712.7133,515.0667
38,796.3228,3179.6075,625.9389,3063.8927,3334.0005,641.9299,796.3228,3179.6075
39,2572.5133,912.7104,-376.6883,2351.2948,2654.0011,831.2226,2572.5133,912.7104
40,4113.9971,1386.0084,486.0453,3721.9184,4198.0085,1301.9970,4113.9971,1386.0084
41,590.7845,4285.6169,263.0551,4048.6117,4304.2513,572.1502,590.7845,4285.6169
42,3390.8549,1254.9279,-157.8747,2981.9852,3402.4610,1243.3218,3390.8549,1254.9279
43,2464.5524,1026.7489,-412.5936,2260.1893,2574.5373,916.7639,2464.5524,1026.7489
44,2272.7156,855.6510,178.0866,2011.9314,2294.7535,833.6131,2272.7156,855.6510
45,2441.9069,994.4237,-527.3625,2314.6990,2613.6614,822.6693,2441.9069,994.4237
46,2326.4893,1173.7876,-760.4078,2407.1114,2704.2874,795.9895,2326.4893,1173.7876
47,2609.4975,1070.4583,-538.6306,2456.0880,2779.2772,900.6786,2609.4975,1070.4583
48,2434.4471,920.9743,-116.4208,2138.5333,2443.3502,912.0713,2434.4471,920.9743
49,2408.0650,918.5011,-246.3984,2147.7308,2447.7653,878.8009,2408.0650,918.5011
50,2426.5609,936.7795,-8.5512,2119.6274,2426.6100,936.7304,2426.5609,936.7795
51,2437.2771,951.0317,-553.9059,2333.9426,2621.0001,767.3086,2437.2771,951.0317
52,2468.1930,1014.3976,-532.8299,2338.5836,2642.5655,840.0251,2468.1930,1014.3976
53,2365.5697,1069.1223,-590.3597,2292.4731,2594.1119,840.5800,2365.5697,1069.1223
54,2414.5980,1148.9459,-632.7936,2361.6522,2676.7002,886.8437,2414.5980,1148.9459
55,2393.0478,1069.9844,-578.1584,2305.1729,2610.0896,852.9426,2393.0478,1069.9844
56,2332.2626,1076.6127,-602.9037,2275.5392,2574.8726,834.0027,2332.2626,1076.6127
57,2273.2585,968.6971,-380.0999,2082.6443,2375.9255,866.0300,2273.2585,968.6971
58,2443.4915,972.8384,-166.6789,2150.1834,2462.1457,954.1842,2443.4915,972.8384
59,2529.9095,893.7957,-156.6081,2238.6756,2544.7650,878.9402,2529.9095,893.7957
60,2596.6272,914.6813,-109.4827,2289.1019,2603.7238,907.5847,2596.6272,914.6813
61,2271.2849,834.0109,-102.8117,1997.9348,2278.6020,826.6938,2271.2849,834.0109
62,2492.5699,958.7225,-323.5081,2248.6314,2558.0099,893.2824,2492.5699,958.7225
63,2430.1626,784.4674,-179.8730,2170.6586,2449.5932,765.0369,2430.1626,784.4674
64,2597.7891,676.0584,-412.8018,2441.4181,2682.7094,591.1382,2597.7891,676.0584
65,2662.2148,977.9189,-367.6939,2417.8253,2738.9858,901.1480,2662.2148,977.9189
66,2350.6182,1086.4754,-388.8657,2146.0651,2460.6592,976.4344,2350.6182,1086.4754
67,2300.4711,1069.5857,-553.9834,2212.7636,2513.0787,856.9781,2300.4711,1069.5857
68,2173.5720,1087.9213,-348.8558,1976.9709,2276.0061,985.4872,2173.5720,1087.9213
69,2180.5650,1065.8445,-288.4450,1953.5472,2250.7802,995.6292,2180.5650,1065.8445
70,2169.7879,1124.1637,-255.9287,1931.0684,2229.0686,1064.8830,2169.7879,1124.1637
71,2285.6025,1109.7389,-81.1560,1984.6501,2291.1773,1104.1641,2285.6025,1109.7389
72,2247.0166,1221.8602,-352.6257,2041.9403,2356.5970,1112.2798,2247.0166,1221.8602
73,2232.4735,1187.9081,-309.6946,2007.6909,2317.3893,1102.9924,2232.4735,1187.9081
74,2287.8066,1227.8296,-142.8391,1998.4487,2306.7178,1208.9185,2287.8066,1227.8296
75,2179.1800,1057.8849,-55.7443,1889.9594,2181.9444,1055.1204,2179.1800,1057.8849
76,2359.7275,1185.2791,-162.9296,2062.9840,2381.9115,1163.0951,2359.7275,1185.2791
77,2307.7053,1311.8397,-98.8483,2012.0638,2317.4221,1302.1230,2307.7053,1311.8397
78,2350.3478,1192.6312,-172.2756,2057.2901,2375.4397,1167.5393,2350.3478,1192.6312
79,3265.5546,1141.2154,11.4777,2870.5250,3265.6167,1141.1534,3265.5546,1141.2154
80,2518.1338,1091.3839,-457.4186,2326.2762,2652.1876,957.3300,2518.1338,1091.3839
81,2392.4972,1169.7636,-376.4482,2172.2968,2499.1016,1063.1592,2392.4972,1169.7636
82,2383.4028,1153.1360,-328.2730,2141.3159,2465.5157,1071.0232,2383.4028,1153.1360
83,2226.7833,1117.7113,-240.8558,1973.0626,2276.8312,1067.6634,2226.7833,1117.7113
84,2239.5215,1087.6527,-334.1845,2024.2680,2329.4547,997.7195,2239.5215,1087.6527
85,2246.8198,1117.9290,-263.4219,1998.5877,2305.2626,1059.4862,2246.8198,1117.9290
86,2162.8809,1113.8837,-231.5662,1915.8448,2211.7248,1065.0398,2162.8809,1113.8837
87,2174.6279,1156.1782,84.2874,1890.1879,2181.5564,1149.2497,2174.6279,1156.1782
88,2139.8066,1091.2452,-225.7400,1894.0461,2186.3401,1044.7117,2139.8066,1091.2452
89,2120.1280,1092.3725,-236.8795,1881.6447,2172.0968,1040.4038,2120.1280,1092.3725
90,2254.7382,1160.1906,97.3399,1960.2004,2263.3274,1151.6014,2254.7382,1160.1906
91,2240.0669,1218.2928,79.1749,1947.2765,2246.1656,1212.1941,2240.0669,1218.2928
92,2166.9373,1124.2001,-250.2190,1926.4476,2223.8720,1067.2653,2166.9373,1124.2001
93,2265.3369,1331.3564,42.3543,1973.2390,2267.2537,1329.4396,2265.3369,1331.3564
94,2301.2016,1364.5154,116.1039,2014.4097,2315.3783,1350.3387,2301.2016,1364.5154
95,2345.4524,1224.1516,73.7430,2035.8829,2350.2814,1219.3226,2345.4524,1224.1516
96,2239.4898,1233.5496,18.8194,1943.0645,2239.8417,1233.1976,2239.4898,1233.5496
97,2739.5269,1303.3961,81.5248,2377.6247,2744.1400,1298.7830,2739.5269,1303.3961
98,2783.7759,1215.5479,66.4490,2419.9997,2786.5865,1212.7374,2783.7759,1215.5479
99,2477.4967,1021.9243,68.3435,2159.7494,2480.6986,1018.7224,2477.4967,1021.9243
100,2358.5929,1033.1963,-241.5019,2090.1041,2401.2259,990.5633,2358.5929,1033.1963
101,2298.6705,1000.3524,-222.0398,2032.9819,2335.5939,963.4289,2298.6705,1000.3524
102,2247.1543,1061.2309,-204.0782,1978.9158,2281.2903,1027.0949,2247.1543,1061.2309
103,2391.6942,1103.1529,80.4858,2078.0224,2396.7021,1098.1450,2391.6942,1103.1529
104,2302.2332,1080.2626,144.1314,2010.6094,2319.0034,1063.4925,2302.2332,1080.2626
105,2401.5032,1020.3160,190.5782,2113.5114,2427.3170,994.5022,2401.5032,1020.3160
106,2284.0802,1122.4736,162.6603,1998.1303,2306.4276,1100.1261,2284.0802,1122.4736
107,2271.9666,1124.2898,153.6221,1985.5252,2292.1739,1104.0826,2271.9666,1124.2898
108,2244.4680,1206.5728,215.6041,1981.1098,2287.4739,1163.5669,2244.4680,1206.5728
109,2793.9920,1224.4911,44.0804,2427.0107,2795.2291,1223.2541,2793.9920,1224.4911
110,2825.5652,1200.3432,-12.9915,2456.3185,2825.6690,1200.2394,2825.5652,1200.3432
111,2793.2933,1084.8858,102.2843,2445.4952,2799.3954,1078.7837,2793.2933,1084.8858
112,3043.6402,1153.7032,71.4687,2664.3278,3046.3389,1151.0044,3043.6402,1153.7032
113,2796.5411,1122.9370,22.3571,2437.7838,2796.8397,1122.6384,2796.5411,1122.9370
114,2557.7400,1013.9467,127.5022,2241.7582,2568.1995,1003.4871,2557.7400,1013.9467
115,2839.8959,1041.8124,115.2947,2496.3216,2847.2585,1034.4497,2839.8959,1041.8124
116,2489.2503,1039.1630,101.3223,2172.6225,2496.2958,1032.1176,2489.2503,1039.1630
117,2611.7875,1006.9956,52.8531,2283.3738,2613.5263,1005.2568,2611.7875,1006.9956
