vid,x,y,z
0,0.60763139,-0.01585658,0.00000000
1,0.56069916,-0.23469938,0.00000000
2,0.57090691,-0.11807021,0.02782907
3,0.54146888,0.07305374,0.06302451
4,0.52818249,-0.02948041,0.07781177
5,0.52309081,-0.24315442,0.03352662
6,0.51932702,-0.10831030,0.07626574
7,0.47633755,0.17316453,0.09532234
8,0.49423418,0.06285662,0.10128044
9,0.47536793,-0.02643755,0.11588552
10,0.48668802,-0.31936742,0.02759918
11,0.46731219,0.30428699,0.05329884
12,0.45713953,-0.23992017,0.08581095
13,0.42948685,0.14648290,0.12971418
14,0.45100353,-0.32014818,0.05501232
15,0.41720343,-0.44205052,0.00000000
16,0.43580967,0.42371842,0.00000000
17,0.42083634,-0.24996473,0.10366453
18,0.38478218,-0.35389686,0.07773615
19,0.38911939,-0.44040414,0.02122510
20,0.38407607,0.10722692,0.15694708
21,0.38936623,-0.00575304,0.16015581
22,0.36922765,0.35850453,0.08750679
23,0.37446685,-0.41944197,0.04510835
24,0.37093091,-0.11661008,0.15713844
25,0.34652554,0.21383552,0.15152126
26,0.34292047,-0.26337978,0.13124990
27,0.34390382,-0.34965746,0.09736397
28,0.34235613,0.28758166,0.13036755
29,0.32007270,-0.41139683,0.07431769
30,0.30333702,0.03574029,0.18498570
31,0.33344828,-0.19050183,0.15363399
32,0.31356171,-0.03155651,0.18112642
33,0.32223586,0.13036678,0.17473525
34,0.29215995,-0.50886768,0.02006759
35,0.30537258,0.46951607,0.04706537
36,0.29535426,-0.10713657,0.17607402
37,0.28735808,0.25128961,0.15976118
38,0.30147298,-0.34285190,0.11262488
39,0.27347501,-0.27346729,0.14131549
40,0.28477160,-0.41037546,0.08541911
41,0.24984030,0.01249150,0.19138855
42,0.28268615,-0.47726573,0.04656961
43,0.28403998,0.35450977,0.12290249
44,0.25641908,0.08506734,0.19115607
45,0.25921839,-0.19969019,0.16141868
46,0.28531774,-0.06458291,0.18253479
47,0.24540039,-0.47573938,0.05759746
48,0.25287417,0.32485714,0.14380362
49,0.24204151,-0.16435544,0.16902596
50,0.24527203,-0.41198480,0.09172468
51,0.22135194,-0.35418370,0.11657305
52,0.23261209,-0.56156832,0.00000000
53,0.21588987,0.56820679,0.00000000
54,0.21915204,-0.31746108,0.12876651
55,0.23144542,-0.02031619,0.18974588
