vid,x,y,z
0,0.60763139,-0.01585658,0.00000000
1,0.56069916,-0.23469938,0.00000000
2,0.57147231,-0.11796637,0.02811392
3,0.54237029,0.07348910,0.06371178
4,0.52940768,-0.02914931,0.07873147
5,0.52374155,-0.24319830,0.03394877
6,0.52075130,-0.10801033,0.07714633
7,0.47726703,0.17416503,0.09639825
8,0.49556494,0.06351853,0.10243829
9,0.47719932,-0.02594110,0.11721558
10,0.48727353,-0.31942987,0.02792088
11,0.46768302,0.30546510,0.05371836
12,0.45895776,-0.23976846,0.08705945
13,0.43056307,0.14770201,0.13111732
14,0.45207181,-0.32026333,0.05593325
15,0.41720343,-0.44205052,0.00000000
16,0.43580967,0.42371842,0.00000000
17,0.42330579,-0.24968279,0.10519466
18,0.38581483,-0.35418846,0.07945716
19,0.38935250,-0.44065441,0.02168285
20,0.38527272,0.10844812,0.15856125
21,0.39221945,-0.00494062,0.16169833
22,0.36901735,0.36189766,0.08744154
23,0.37491225,-0.41984382,0.04614130
24,0.37278167,-0.11618926,0.15953579
25,0.34683540,0.21620341,0.15257117
26,0.34423471,-0.26328499,0.13397249
27,0.34481696,-0.34995012,0.09963956
28,0.34241934,0.29076313,0.13078944
29,0.32045897,-0.41190506,0.07611906
30,0.30368870,0.03656902,0.18689492
31,0.33456287,-0.19033641,0.15643038
32,0.31420509,-0.03103561,0.18342917
33,0.32286995,0.13203398,0.17610812
34,0.29234010,-0.50922622,0.02039213
35,0.30459448,0.47048064,0.04714789
36,0.29553922,-0.10697561,0.17861285
37,0.28700027,0.25460741,0.15997923
38,0.30255822,-0.34305077,0.11520939
39,0.27380303,-0.27350178,0.14407445
40,0.28487465,-0.41089468,0.08751698
41,0.24869500,0.01293120,0.19294122
42,0.28298010,-0.47769713,0.04765882
43,0.28353531,0.35973179,0.12161460
44,0.25560507,0.08619336,0.19237798
45,0.25885562,-0.19975563,0.16385858
46,0.28528417,-0.06434456,0.18482492
47,0.24567449,-0.47615321,0.05910582
48,0.25215394,0.32955052,0.14273758
49,0.24080885,-0.16461193,0.17100544
50,0.24532794,-0.41241706,0.09394729
51,0.22076796,-0.35470494,0.11872829
52,0.23261209,-0.56156832,0.00000000
53,0.21588987,0.56820679,0.00000000
54,0.21876072,-0.31769763,0.13090185
55,0.23004601,-0.02014554,0.19112818
