face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,1363.2347,382.6877,-203.3747,1267.7734,1403.7430,342.1794,1363.2347,382.6877
1,1617.2342,50.7601,7.3322,1592.5117,1617.2686,50.7258,1617.2342,50.7601
2,1491.4758,370.6482,-96.2182,1355.3011,1499.6757,362.4483,1491.4758,370.6482
3,2107.1477,289.8126,21.2127,1978.5688,2107.3952,289.5650,2107.1477,289.8126
4,754.9765,400.7102,8.3328,654.4003,755.1724,400.5144,754.9765,400.7102
5,1598.6812,414.3666,-116.0647,1451.0183,1609.9485,403.0992,1598.6812,414.3666
6,1379.5519,636.5619,-143.3058,1221.3984,1406.2341,609.8797,1379.5519,636.5619
7,1585.0248,363.2589,-232.8172,1493.6860,1627.8863,320.3974,1585.0248,363.2589
8,809.9514,864.6101,57.9335,844.5997,901.3369,773.2246,809.9514,864.6101
9,1021.7835,633.0702,192.3087,953.3659,1100.8443,554.0093,1021.7835,633.0702
10,1269.3708,1077.3125,-145.4448,1211.5519,1347.6281,999.0552,1269.3708,1077.3125
11,1356.1614,1837.7972,395.2983,1786.9261,2059.8551,1134.1035,1356.1614,1837.7972
12,1266.8056,925.6772,47.9181,1138.3805,1273.4088,919.0740,1266.8056,925.6772
13,1308.9807,813.3975,48.7600,1147.8053,1313.7326,808.6456,1308.9807,813.3975
14,1428.8987,1085.9324,282.0700,1381.3051,1587.5216,927.3096,1428.8987,1085.9324
15,1298.3349,581.7015,156.4651,1158.5554,1331.0069,549.0294,1298.3349,581.7015
16,977.8430,208.7727,387.5513,1116.3351,1139.2596,47.3562,977.8430,208.7727
17,1310.7254,494.7075,248.5313,1224.5874,1380.4602,424.9726,1310.7254,494.7075
18,1573.4599,668.3388,102.1865,1379.1935,1584.8531,656.9455,1573.4599,668.3388
19,350.6267,1763.3741,-349.1523,1726.2280,1844.9541,269.0467,350.6267,1763.3741
20,2210.9396,549.4891,-103.2466,2001.8203,2217.3310,543.0977,2210.9396,549.4891
21,247.5981,2318.8052,-195.8907,2231.4009,2337.1693,229.2340,247.5981,2318.8052
22,282.0704,2280.2043,80.1167,2157.5387,2283.4115,278.8632,282.0704,2280.2043
23,1150.0828,351.9171,218.2642,1088.4484,1205.8696,296.1304,1150.0828,351.9171
24,1412.0668,576.8297,321.9632,1350.2311,1521.7675,467.1290,1412.0668,576.8297
25,1446.0591,489.4133,336.6373,1401.0232,1552.6443,382.8281,1446.0591,489.4133
26,1747.6323,329.3555,374.2212,1734.1355,1840.3160,236.6717,1747.6323,329.3555
27,2264.1154,1260.6565,894.2065,2502.0026,2787.7335,737.0384,2264.1154,1260.6565
28,1455.3601,644.7962,132.7902,1283.8708,1476.5599,623.5963,1455.3601,644.7962
29,1354.1406,583.0812,113.4611,1192.7811,1370.4897,566.7321,1354.1406,583.0812
30,1180.4898,970.2784,-14.1861,1090.9612,1181.4428,969.3254,1180.4898,970.2784
31,1287.1086,667.8066,135.2657,1139.2827,1315.3637,639.5515,1287.1086,667.8066
