vid,x,y,z
0,0.60763139,-0.01585658,0.00000000
1,0.56069916,-0.23469938,0.00000000
2,0.57190921,-0.11863696,0.02858054
3,0.54299720,0.07369049,0.06536285
4,0.53037780,-0.03020690,0.07981800
5,0.52389362,-0.24343030,0.03410754
6,0.52134149,-0.10937944,0.07758056
7,0.47776976,0.17348280,0.09754137
8,0.49610095,0.06285956,0.10363638
9,0.47763640,-0.02751719,0.11759771
10,0.48705852,-0.32000885,0.02789463
11,0.46762377,0.30517443,0.05537602
12,0.45839562,-0.24107275,0.08582176
13,0.43061723,0.14628755,0.13168775
14,0.45146065,-0.32128365,0.05464962
15,0.41720343,-0.44205052,0.00000000
16,0.43580967,0.42371842,0.00000000
17,0.42186018,-0.25124967,0.10300375
18,0.38456151,-0.35515537,0.07607459
19,0.38875210,-0.44081031,0.02085493
20,0.38467695,0.10688502,0.15790348
21,0.39142682,-0.00645227,0.16008184
22,0.36839874,0.36109404,0.08773213
23,0.37367881,-0.42016672,0.04425734
24,0.37306436,-0.11789633,0.15607438
25,0.34568318,0.21404412,0.15236356
26,0.34383982,-0.26449443,0.12874104
27,0.34362615,-0.35100933,0.09459044
28,0.34125794,0.28903867,0.13101594
29,0.31877581,-0.41212756,0.07211650
30,0.30285855,0.03515637,0.18355350
31,0.33581178,-0.19185680,0.15104951
32,0.31380714,-0.03213932,0.17951035
33,0.32204579,0.12992758,0.17421986
34,0.29124747,-0.50899940,0.01980030
35,0.30450703,0.47019442,0.04471039
36,0.29530644,-0.10801583,0.17395093
37,0.28516944,0.25203420,0.15895619
38,0.30205839,-0.34438906,0.10870849
39,0.27324843,-0.27412392,0.13783972
40,0.28321709,-0.41089969,0.08246124
41,0.24738936,0.01136888,0.18899485
42,0.28151615,-0.47741213,0.04523790
43,0.28265733,0.35774324,0.12024243
44,0.25466745,0.08408732,0.18906189
45,0.25882040,-0.20013168,0.15844487
46,0.28485708,-0.06532289,0.18038785
47,0.24408505,-0.47557767,0.05558063
48,0.25110414,0.32689896,0.14114295
49,0.24127830,-0.16480469,0.16627860
50,0.24382891,-0.41203683,0.08815215
51,0.22018718,-0.35444008,0.11256486
52,0.23261209,-0.56156832,0.00000000
53,0.21588987,0.56820679,0.00000000
54,0.21816746,-0.31728997,0.12514682
55,0.22902620,-0.02088445,0.18717862
