face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,895.3358,1041.5064,-61.1323,982.3825,1063.7029,873.1393,895.3358,1041.5064
1,967.4359,885.8597,5.8709,929.3926,967.8563,885.4394,967.4359,885.8597
2,948.2082,1040.3433,-29.7908,998.8060,1049.1366,939.4149,948.2082,1040.3433
3,1116.2318,971.8616,6.7122,1051.5706,1116.5432,971.5502,1116.2318,971.8616
4,687.0708,974.0539,-34.9469,869.0611,978.2482,682.8765,687.0708,974.0539
5,933.7872,952.3509,-98.3794,958.4744,1041.8853,844.2528,933.7872,952.3509
6,896.5168,1006.9854,-122.5698,979.8228,1086.1913,817.3108,896.5168,1006.9854
7,961.4162,922.9427,-144.4355,975.3959,1087.8904,796.4685,961.4162,922.9427
8,725.1608,1130.9345,11.9467,992.5673,1131.2859,724.8094,725.1608,1130.9345
9,792.3445,1044.3173,60.5983,949.7188,1058.1334,778.5285,792.3445,1044.3173
10,898.1428,1217.3400,-72.3852,1100.4321,1232.9879,882.4949,898.1428,1217.3400
11,924.5434,1570.7103,166.3521,1397.4050,1611.0219,884.2318,924.5434,1570.7103
12,880.7952,1196.4020,36.8048,1075.8515,1200.6372,876.5600,880.7952,1196.4020
13,908.5894,1170.1980,30.4274,1065.1038,1173.6904,905.0971,908.5894,1170.1980
14,931.7560,1306.2561,121.4687,1183.9030,1342.2038,895.8083,931.7560,1306.2561
15,890.2570,1066.6436,65.4362,996.7672,1088.2681,868.6325,890.2570,1066.6436
16,405.0949,783.1910,2.4310,678.4107,783.2067,405.0793,405.0949,783.1910
17,887.5339,1087.3601,31.1364,1003.9462,1092.0994,882.7947,887.5339,1087.3601
18,1083.1439,1283.7905,26.6373,1197.0453,1287.2665,1079.6679,1083.1439,1283.7905
19,614.9066,1381.7967,-146.7771,1225.7353,1408.9288,587.7745,614.9066,1381.7967
20,684.0337,1443.4167,55.8882,1254.3439,1447.5078,679.9425,684.0337,1443.4167
21,686.5802,1117.6943,153.1554,1011.7391,1166.5639,637.7106,686.5802,1117.6943
22,493.1770,1629.5712,34.3359,1448.6530,1630.6077,492.1405,493.1770,1629.5712
23,812.5483,1030.3173,57.1524,945.7299,1044.4052,798.4603,812.5483,1030.3173
24,889.6568,1067.5426,132.9352,1017.0572,1138.5454,818.6541,889.6568,1067.5426
25,878.5519,1020.5371,144.1964,989.5112,1110.2696,788.8194,878.5519,1020.5371
26,965.8545,952.0394,138.3989,988.5267,1097.5181,820.3758,965.8545,952.0394
27,1122.5030,1216.2400,300.0383,1282.2202,1473.0483,865.6946,1122.5030,1216.2400
28,921.6344,1013.5784,119.3051,992.6246,1095.4623,839.7505,921.6344,1013.5784
29,887.2348,1059.4423,98.6080,999.3999,1104.2484,842.4286,887.2348,1059.4423
30,867.9564,1193.0879,-13.4150,1068.5498,1193.6404,867.4038,867.9564,1193.0879
31,899.5623,1115.2314,32.9289,1026.1512,1120.1470,894.6467,899.5623,1115.2314
32,895.5683,1137.7375,-26.5113,1039.0747,1140.6059,892.7000,895.5683,1137.7375
33,916.7770,1132.5541,91.2776,1053.4962,1165.9863,883.3449,916.7770,1132.5541
34,661.9957,893.7169,-5.9848,803.3922,893.8714,661.8412,661.9957,893.7169
35,904.5920,1090.5677,-63.1579,1016.4018,1109.9883,885.1714,904.5920,1090.5677
36,878.8181,1074.5627,-42.3252,993.9997,1083.3226,870.0582,878.8181,1074.5627
37,517.4092,861.7074,-64.1284,759.4300,873.2640,505.8526,517.4092,861.7074
38,607.7338,1345.8054,77.1166,1174.9391,1353.7767,599.7625,607.7338,1345.8054
39,913.1455,1008.6733,-53.6256,968.9263,1032.7223,889.0965,913.1455,1008.6733
40,716.6136,1532.5201,39.7299,1329.9111,1534.4502,714.6836,716.6136,1532.5201
41,642.4714,1270.0058,-55.4794,1104.0723,1274.8729,637.6043,642.4714,1270.0058
42,966.1679,1039.3673,-22.3865,1005.5173,1045.6709,959.8644,966.1679,1039.3673
43,860.1567,1022.8124,-71.0344,959.8820,1049.4665,833.5026,860.1567,1022.8124
44,818.2128,1000.2523,61.9655,929.0193,1019.3431,799.1221,818.2128,1000.2523
45,863.9640,1087.7629,-69.7233,1002.2265,1107.7074,844.0195,863.9640,1087.7629
46,842.2250,1082.0568,-120.6298,1006.2352,1132.2332,792.0487,842.2250,1082.0568
47,885.3354,1062.1533,-68.6338,992.8536,1085.6673,861.8214,885.3354,1062.1533
48,848.0389,1038.4482,-63.6237,963.8694,1057.7508,828.7363,848.0389,1038.4482
49,857.9659,1051.8794,-63.7242,975.8388,1070.9458,838.8995,857.9659,1051.8794
50,845.6205,1049.2523,-51.2331,967.7860,1061.4159,833.4569,845.6205,1049.2523
51,848.4131,1073.1527,-100.6969,995.6929,1111.6698,809.8960,848.4131,1073.1527
52,878.6273,1111.4430,-79.0436,1024.4467,1135.7429,854.3274,878.6273,1111.4430
53,833.7189,1011.1430,-82.6269,946.0285,1043.6623,801.1996,833.7189,1011.1430
54,826.2037,1091.9421,-86.4961,997.6113,1117.6156,800.5302,826.2037,1091.9421
55,847.8782,950.9193,-79.3197,914.1969,993.9820,804.8155,847.8782,950.9193
56,834.4034,1059.4588,-105.0013,983.7387,1100.8394,793.0228,834.4034,1059.4588
57,827.4183,936.4721,-53.5514,891.8241,958.3712,805.5192,827.4183,936.4721
58,833.8073,1107.6605,-104.2771,1015.4764,1142.8462,798.6217,833.8073,1107.6605
59,847.2248,1000.6120,-91.7935,946.8627,1043.5343,804.3025,847.2248,1000.6120
60,841.9154,990.0086,-86.6970,937.0081,1029.9764,801.9476,841.9154,990.0086
61,795.6064,1000.4312,-69.1598,923.1749,1021.5962,774.4414,795.6064,1000.4312
