vid,x,y,z
0,0.60763139,-0.01585658,0.00000000
1,0.56069916,-0.23469938,0.00000000
2,0.57062796,-0.11819975,0.02738971
3,0.54108428,0.07346155,0.06187371
4,0.52790871,-0.02940880,0.07617769
5,0.52297549,-0.24281941,0.03276320
6,0.51871242,-0.10849039,0.07462465
7,0.47616338,0.17423497,0.09346241
8,0.49375208,0.06330304,0.09919587
9,0.47462591,-0.02641218,0.11340231
10,0.48602672,-0.31932823,0.02720154
11,0.46690246,0.30534530,0.05261280
12,0.45615321,-0.23997258,0.08307566
13,0.42931036,0.14764838,0.12747303
14,0.44986667,-0.32007877,0.05317809
15,0.41720343,-0.44205052,0.00000000
16,0.43580967,0.42371842,0.00000000
17,0.41916741,-0.25025588,0.10003262
18,0.38336032,-0.35355425,0.07376165
19,0.38859708,-0.43986853,0.02016005
20,0.38351725,0.10820050,0.15448995
21,0.38840231,-0.00572031,0.15670257
22,0.36930186,0.36272213,0.08731011
23,0.37354074,-0.41868684,0.04260169
24,0.37095863,-0.11666623,0.15230507
25,0.34665613,0.21629496,0.15038837
26,0.34252380,-0.26346142,0.12527261
27,0.34238442,-0.34921709,0.09205119
28,0.34261811,0.29138989,0.13012531
29,0.31887356,-0.41047415,0.06979552
30,0.30394098,0.03661265,0.18191454
31,0.33384269,-0.19057142,0.14779179
32,0.31440120,-0.03104625,0.17701239
33,0.32228990,0.13186504,0.17283124
34,0.29136822,-0.50764533,0.01941004
35,0.30495906,0.47253118,0.04874938
36,0.29698872,-0.10689126,0.17122962
37,0.28765044,0.25521450,0.16010077
38,0.30060735,-0.34241402,0.10627162
39,0.27440457,-0.27338853,0.13496535
40,0.28371358,-0.40939195,0.08010984
41,0.25177611,0.01354652,0.18879777
42,0.28168282,-0.47606755,0.04371182
43,0.28447003,0.36164125,0.12368847
44,0.25753823,0.08646780,0.18950353
45,0.26111091,-0.19960192,0.15611442
46,0.28691824,-0.06411522,0.17834330
47,0.24470270,-0.47464691,0.05365282
48,0.25359692,0.33103684,0.14557490
49,0.24457924,-0.16414170,0.16466676
50,0.24494340,-0.41085365,0.08602940
51,0.22264363,-0.35348963,0.11078836
52,0.23261209,-0.56156832,0.00000000
53,0.21588987,0.56820679,0.00000000
54,0.22094659,-0.31699249,0.12336177
55,0.23347050,-0.01939772,0.18724785
