face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,1549.5542,849.0695,-216.3953,1395.2917,1611.0115,787.6122,1549.5542,849.0695
1,1831.5128,570.4247,8.3894,1623.3590,1831.5686,570.3689,1831.5128,570.4247
2,1707.0556,892.5501,-97.7512,1488.5287,1718.6227,880.9830,1707.0556,892.5501
3,2303.0765,803.6261,22.8080,2025.0245,2303.4233,803.2792,2303.0765,803.6261
4,922.1446,748.2984,-69.3982,857.1524,946.4498,723.9932,922.1446,748.2984
5,1725.4882,716.9331,-159.8242,1526.7201,1750.2093,692.2119,1725.4882,716.9331
6,1514.6595,886.2235,-182.2294,1355.3159,1563.6776,837.2053,1514.6595,886.2235
7,1722.3597,683.0368,-269.2436,1572.9284,1787.9676,617.4289,1722.3597,683.0368
8,1020.9559,1157.1135,24.0884,1096.1941,1161.2495,1016.8200,1020.9559,1157.1135
9,1227.8061,927.9579,156.4028,1141.3355,1294.5362,861.2278,1227.8061,927.9579
10,1427.3343,1339.1290,-143.0626,1407.3257,1532.9379,1233.5255,1427.3343,1339.1290
11,1532.6378,2098.6199,380.8378,1992.9557,2290.0984,1341.1593,1532.6378,2098.6199
12,1403.5731,1187.6374,43.1614,1311.1647,1411.8807,1179.3298,1403.5731,1187.6374
13,1434.2225,1074.8419,57.5774,1296.4036,1443.2218,1065.8427,1434.2225,1074.8419
14,1568.4291,1337.3584,291.0612,1550.8370,1766.0471,1139.7404,1568.4291,1337.3584
15,1396.2353,807.3936,167.4030,1248.2457,1440.4993,763.1296,1396.2353,807.3936
16,165.8151,1593.3877,-286.4894,1596.3708,1648.7353,110.4674,165.8151,1593.3877
17,1480.9573,796.6468,171.5043,1317.6957,1521.5343,756.0699,1480.9573,796.6468
18,1710.5303,1128.4090,76.3514,1512.1282,1720.3780,1118.5613,1710.5303,1128.4090
19,767.2223,1566.9771,-388.2338,1514.5969,1724.4393,609.7602,767.2223,1566.9771
20,2417.6410,1088.8180,-70.7717,2100.7540,2421.3996,1085.0594,2417.6410,1088.8180
21,479.2131,2544.5773,-198.8811,2367.2316,2563.5539,460.2365,479.2131,2544.5773
22,551.8108,2585.7775,149.3522,2372.9304,2596.6858,540.9025,551.8108,2585.7775
23,1299.0144,819.2799,209.5804,1194.2251,1377.6754,740.6189,1299.0144,819.2799
24,1562.1776,952.8538,379.9976,1514.2645,1744.5650,770.4663,1562.1776,952.8538
25,1584.1816,883.7342,393.3708,1534.5500,1760.6430,707.2727,1584.1816,883.7342
26,1868.1770,738.6285,420.4421,1784.9603,2007.4919,599.3136,1868.1770,738.6285
27,2426.4341,1547.3860,893.7041,2631.2500,2982.8460,990.9741,2426.4341,1547.3860
28,1603.4606,931.4730,171.7276,1426.0500,1644.8024,890.1311,1603.4606,931.4730
29,1505.6268,920.2535,162.7970,1344.5181,1547.8556,878.0247,1505.6268,920.2535
30,1354.1637,1239.1919,-13.5547,1300.7069,1355.7401,1237.6155,1354.1637,1239.1919
31,1458.1850,972.7221,109.6909,1300.0689,1481.8192,949.0879,1458.1850,972.7221
32,1416.2930,1018.8625,-53.3434,1268.6589,1423.3283,1011.8273,1416.2930,1018.8625
33,1500.2508,1173.1352,168.0815,1397.0525,1571.2192,1102.1668,1500.2508,1173.1352
34,734.8994,691.9427,-73.8306,725.7454,790.3124,636.5297,734.8994,691.9427
35,1448.7245,883.4905,-155.7947,1293.1511,1488.8215,843.3934,1448.7245,883.4905
36,1414.1468,939.0098,-64.4451,1251.4441,1422.7326,930.4240,1414.1468,939.0098
37,880.9260,563.7589,-259.0762,893.6366,1026.1010,418.5839,880.9260,563.7589
