vid,x,y,z
0,0.60763139,-0.01585658,0.00000000
1,0.56069916,-0.23469938,0.00000000
2,0.57043094,-0.11815039,0.02944430
3,0.54093167,0.07348568,0.06567477
4,0.52652538,-0.02955398,0.08164542
5,0.52217802,-0.24374290,0.03546604
6,0.51711072,-0.10865121,0.08045351
7,0.47587737,0.17479002,0.09823234
8,0.49268981,0.06339489,0.10530525
9,0.47165472,-0.02668265,0.12131860
10,0.48612084,-0.31969023,0.02905103
11,0.46739834,0.30638474,0.05446866
12,0.45383164,-0.24077357,0.09061715
13,0.42806851,0.14823521,0.13337641
14,0.44961552,-0.32072339,0.05802707
15,0.41720343,-0.44205052,0.00000000
16,0.43580967,0.42371842,0.00000000
17,0.41547039,-0.25085440,0.10963502
18,0.38266114,-0.35461349,0.08181716
19,0.38894690,-0.44083026,0.02224922
20,0.38095088,0.10845273,0.16123131
21,0.38429217,-0.00609510,0.16549285
22,0.36816096,0.36485742,0.08707939
23,0.37384139,-0.42016761,0.04732628
24,0.36689712,-0.11707403,0.16199634
25,0.34531532,0.21787597,0.15367040
26,0.33924418,-0.26396798,0.13614736
27,0.34051211,-0.35026135,0.10222897
28,0.34128201,0.29349605,0.13109525
29,0.31850380,-0.41216911,0.07787265
30,0.30227027,0.03624952,0.18796361
31,0.33051025,-0.19102296,0.15802539
32,0.31214644,-0.03152374,0.18449492
33,0.32077890,0.13231001,0.17757815
34,0.29221848,-0.50942374,0.02075215
35,0.30353394,0.47130263,0.04727763
36,0.29463877,-0.10739470,0.17934754
37,0.28588726,0.25741469,0.16023608
38,0.29827177,-0.34328324,0.11734680
39,0.27219237,-0.27385588,0.14522911
40,0.28281591,-0.41101675,0.08940695
41,0.25207614,0.01293056,0.19340800
42,0.28252576,-0.47792723,0.04864909
43,0.28234154,0.36498395,0.11980179
44,0.25746111,0.08617834,0.19293545
45,0.25934228,-0.19993516,0.16464820
46,0.28530522,-0.06471798,0.18546134
47,0.24539695,-0.47636742,0.06035144
48,0.25100997,0.33394621,0.14194255
49,0.24360240,-0.16460417,0.17179590
50,0.24426917,-0.41237304,0.09565980
51,0.22239140,-0.35443015,0.12031895
52,0.23261209,-0.56156832,0.00000000
53,0.21588987,0.56820679,0.00000000
54,0.22013218,-0.31759215,0.13226080
55,0.23415716,-0.02003694,0.19170358
