face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,909.7888,1180.6560,-54.8207,1075.4221,1191.3305,899.1143,909.7888,1180.6560
1,981.3463,1049.0796,5.2216,1016.9464,1049.4797,980.9461,981.3463,1049.0796
2,963.8950,1188.4482,-26.0458,1094.5312,1191.4296,960.9136,963.8950,1188.4482
3,1113.1032,1126.3330,4.8427,1119.8081,1127.9161,1111.5200,1113.1032,1126.3330
4,723.2451,1078.9414,-46.9727,955.7606,1085.0400,717.1465,723.2451,1078.9414
5,936.6782,1048.3591,-105.7451,1013.9003,1112.1020,872.9353,936.6782,1048.3591
6,903.5737,1083.0255,-122.7535,1027.6193,1145.3494,841.2497,903.5737,1083.0255
7,965.5686,1023.8612,-141.6061,1025.7500,1139.2894,850.1404,965.5686,1023.8612
8,761.1947,1191.4722,9.8455,1045.1659,1191.6974,760.9695,761.1947,1191.4722
9,820.7142,1112.8433,56.0333,1004.0343,1123.2223,810.3352,820.7142,1112.8433
10,909.0856,1270.8644,-54.7226,1138.0651,1278.9605,900.9895,909.0856,1270.8644
11,934.2573,1598.8514,167.1991,1421.0175,1638.5448,894.5639,934.2573,1598.8514
12,885.7639,1250.4388,53.7414,1117.6967,1258.1937,878.0091,885.7639,1250.4388
13,910.8404,1232.2835,51.0749,1110.6598,1240.2037,902.9201,910.8404,1232.2835
14,926.8223,1381.3466,148.5791,1246.2273,1425.6058,882.5631,926.8223,1381.3466
15,891.0357,1147.3053,102.1739,1057.9616,1183.0548,855.2862,891.0357,1147.3053
16,591.1701,737.9754,235.3394,789.9207,911.0938,418.0518,591.1701,737.9754
17,848.6220,1128.1922,106.8095,1034.3080,1164.3279,812.4862,848.6220,1128.1922
18,1103.9375,1408.3065,67.3720,1288.7745,1422.5524,1089.6915,1103.9375,1408.3065
19,633.2893,1199.9525,-161.6125,1076.7451,1242.8040,590.4379,633.2893,1199.9525
20,1434.9499,1448.6711,20.1612,1442.2823,1463.1070,1420.5139,1434.9499,1448.6711
21,622.7324,1491.3103,-34.5340,1298.7273,1492.6812,621.3615,622.7324,1491.3103
22,665.1406,1633.2587,34.5710,1423.7924,1634.4916,663.9077,665.1406,1633.2587
23,826.4259,1170.5021,49.0519,1045.4377,1177.3584,819.5697,826.4259,1170.5021
24,896.9649,1179.6764,135.4474,1092.2876,1234.0946,842.5466,896.9649,1179.6764
25,883.6941,1140.9942,145.9914,1066.9741,1206.9317,817.7566,883.6941,1140.9942
26,960.9969,1086.0724,138.2598,1056.7419,1175.2803,871.7891,960.9969,1086.0724
27,1102.7789,1268.2489,278.8589,1288.1247,1476.3873,894.6404,1102.7789,1268.2489
28,924.4031,1082.7034,127.6294,1036.7166,1153.7332,853.3733,924.4031,1082.7034
29,895.2448,1155.8007,106.8465,1066.2375,1194.0116,857.0339,895.2448,1155.8007
30,885.7255,1244.1969,-21.3493,1109.9036,1245.4639,884.4584,885.7255,1244.1969
31,910.2430,1196.0069,10.0448,1081.9522,1196.3595,909.8903,910.2430,1196.0069
32,896.5995,1202.4217,-40.7057,1084.7067,1207.7469,891.2743,896.5995,1202.4217
33,926.9612,1183.7324,79.5265,1087.2805,1206.3677,904.3259,926.9612,1183.7324
34,672.1334,1037.7752,-44.2861,914.9323,1043.0626,666.8459,672.1334,1037.7752
35,905.2621,1171.5212,-91.7756,1075.4980,1200.0897,876.6937,905.2621,1171.5212
36,880.9224,1135.6005,-61.6666,1037.6151,1149.7464,866.7764,880.9224,1135.6005
37,604.4873,943.0168,175.9546,881.7732,1017.9048,529.5993,604.4873,943.0168
38,629.2139,1238.5813,162.8291,1109.1443,1279.3617,588.4335,629.2139,1238.5813
39,878.3058,1082.5742,-114.5958,1015.8510,1133.9443,826.9357,878.3058,1082.5742
40,1461.5279,1457.7679,19.6659,1460.0489,1479.4034,1439.8924,1461.5279,1457.7679
41,635.2711,1502.0305,27.8960,1306.8294,1502.9274,634.3742,635.2711,1502.0305
42,981.1492,1188.8889,-19.9420,1100.3755,1190.7859,979.2522,981.1492,1188.8889
43,872.1698,1159.0240,-67.7246,1052.0984,1174.2095,856.9843,872.1698,1159.0240
44,830.2678,1143.9168,60.1686,1029.0742,1155.0631,819.1215,830.2678,1143.9168
45,881.8313,1205.1994,-60.0003,1085.4260,1215.9734,871.0573,881.8313,1205.1994
46,873.2598,1126.6340,-71.9484,1031.2965,1145.6390,854.2547,873.2598,1126.6340
47,903.0941,1192.4625,-59.6778,1082.2774,1204.2870,891.2696,903.0941,1192.4625
48,857.0361,1144.9329,-66.6227,1038.0025,1159.6026,842.3663,857.0361,1144.9329
49,867.3743,1160.3907,-64.8120,1051.1677,1174.0863,853.6787,867.3743,1160.3907
50,854.3893,1165.5071,-58.3745,1050.1494,1176.0992,843.7972,854.3893,1165.5071
51,876.8310,1155.4280,-83.1713,1054.2693,1178.3686,853.8904,876.8310,1155.4280
52,881.3174,1174.9320,-84.4001,1069.1434,1197.4639,858.7855,881.3174,1174.9320
53,842.9396,1051.9139,-67.6801,971.6542,1071.9184,822.9351,842.9396,1051.9139
54,831.4536,1132.7288,-70.3143,1023.4307,1148.3313,815.8511,831.4536,1132.7288
55,866.0183,997.5955,-53.5709,943.3229,1016.6478,846.9660,866.0183,997.5955
56,832.8597,1122.3038,-82.3702,1019.2419,1144.1030,811.0606,832.8597,1122.3038
57,833.0582,986.0525,-39.0936,921.6459,995.4630,823.6477,833.0582,986.0525
58,839.8002,1162.1346,-88.0671,1050.2989,1184.6265,817.3083,839.8002,1162.1346
59,851.1757,1080.1468,-91.8130,998.5546,1112.4147,818.9078,851.1757,1080.1468
60,843.7281,1073.8606,-89.5314,991.4913,1104.5891,812.9996,843.7281,1073.8606
61,801.1883,1079.5795,-69.9278,978.3240,1096.1572,784.6106,801.1883,1079.5795
62,874.7177,1060.9955,-108.6527,999.0932,1110.9659,824.7473,874.7177,1060.9955
63,844.2788,1064.6730,-90.2520,985.8452,1096.9148,812.0370,844.2788,1064.6730
64,879.8694,1040.1733,-103.6951,986.4948,1091.0824,828.9603,879.8694,1040.1733
65,887.8152,1039.7911,-61.2996,978.5254,1061.4342,866.1722,887.8152,1039.7911
66,857.1881,1034.2704,-45.5050,961.3191,1045.2794,846.1791,857.1881,1034.2704
67,826.5650,1070.8220,-97.5893,986.5782,1105.0234,792.3636,826.5650,1070.8220
68,820.0395,1082.8760,-54.4452,982.8413,1093.7076,809.2079,820.0395,1082.8760
69,839.7559,1028.4351,-3.9996,948.3049,1028.5198,839.6711,839.7559,1028.4351
70,849.7806,1064.4989,7.5369,975.1230,1064.7631,849.5163,849.7806,1064.4989
71,849.6235,1110.7251,-37.9134,1008.0597,1116.1189,844.2296,849.6235,1110.7251
72,859.7505,1142.9006,-55.7643,1035.4285,1153.4871,849.1639,859.7505,1142.9006
73,870.8684,1081.1462,-35.4216,994.7446,1086.9527,865.0619,870.8684,1081.1462
74,880.3206,1121.6816,-38.5360,1024.7681,1127.6850,874.3172,880.3206,1121.6816
75,824.8393,1094.9617,-26.4910,989.0596,1097.5352,822.2658,824.8393,1094.9617
76,903.3421,1121.0002,-34.1442,1031.2707,1126.2307,898.1116,903.3421,1121.0002
77,884.4998,1111.9528,-12.1131,1017.6921,1112.5961,883.8566,884.4998,1111.9528
78,884.9688,1122.2668,-33.3098,1026.0653,1126.8539,880.3817,884.9688,1122.2668
79,950.5297,1032.5222,-48.2648,997.5742,1054.8520,928.2000,950.5297,1032.5222
80,884.1586,1016.3236,-50.9949,961.1765,1033.7120,866.7703,884.1586,1016.3236
81,891.0462,1079.5649,-46.8774,1002.0349,1090.5781,880.0330,891.0462,1079.5649
82,902.3857,1079.4343,-32.8714,1004.3176,1085.3403,896.4797,902.3857,1079.4343
83,868.3231,1114.2066,-9.8154,1014.0212,1114.5978,867.9319,868.3231,1114.2066
84,849.9201,1021.1715,-23.6712,948.1151,1024.3832,846.7084,849.9201,1021.1715
85,883.1457,1120.6972,-3.7386,1022.8448,1120.7560,883.0869,883.1457,1120.6972
86,855.5783,1128.1012,-6.2075,1019.5898,1128.2426,855.4369,855.5783,1128.1012
87,874.1550,1217.2322,43.3459,1089.6734,1222.6240,868.7632,874.1550,1217.2322
88,827.1847,1072.4639,6.6399,973.3550,1072.6435,827.0051,827.1847,1072.4639
