vid,x,y,z
0,0.60763139,-0.01585658,0.00000000
1,0.56069916,-0.23469938,0.00000000
2,0.56313317,-0.11668493,0.01279938
3,0.52552004,0.07130885,0.02923459
4,0.50997033,-0.02877235,0.03735984
5,0.51513240,-0.23915358,0.01576371
6,0.50173027,-0.10545786,0.03705502
7,0.45628847,0.16743841,0.04449780
8,0.47241537,0.06054845,0.04951559
9,0.45253184,-0.02569136,0.05925260
10,0.47979497,-0.31534522,0.01331995
11,0.45549042,0.29772542,0.02241189
12,0.44092831,-0.23276924,0.04324475
13,0.40648614,0.14059040,0.06515773
14,0.43956405,-0.31329855,0.02700611
15,0.41720343,-0.44205052,0.00000000
16,0.43580967,0.42371842,0.00000000
17,0.40363377,-0.24225568,0.05446243
18,0.37275281,-0.34475842,0.04019110
19,0.38503033,-0.43610218,0.01030555
20,0.36071376,0.10270693,0.08612864
21,0.36656954,-0.00591398,0.09193718
22,0.35730109,0.35145292,0.03681577
23,0.36699606,-0.41190194,0.02245714
24,0.35266046,-0.11193763,0.09297659
25,0.32647506,0.20556940,0.07941548
26,0.32978605,-0.25491053,0.07693872
27,0.33217452,-0.33987426,0.05373842
28,0.32537178,0.27878089,0.06271852
29,0.31131461,-0.40174794,0.04050605
30,0.28662983,0.03541809,0.12057683
31,0.31971845,-0.18371672,0.09529167
32,0.29798252,-0.02943660,0.11867745
33,0.30221418,0.12539299,0.10312184
34,0.28879545,-0.50357300,0.01101282
35,0.30276963,0.45975042,0.01974354
36,0.28410160,-0.10276616,0.12025048
37,0.27122523,0.24304158,0.08602391
38,0.29213018,-0.33370210,0.06746361
39,0.26628783,-0.26614270,0.09510877
40,0.27707135,-0.40071425,0.04973933
41,0.23974319,0.01408464,0.14070269
42,0.27718714,-0.46940230,0.02552355
43,0.27306773,0.34789509,0.05700234
44,0.24257526,0.08362873,0.13159362
45,0.25307563,-0.19414775,0.11743077
46,0.27384923,-0.06131458,0.12736312
47,0.24067811,-0.46789701,0.03379405
48,0.24229755,0.31679696,0.07232921
49,0.23771911,-0.15984326,0.12998935
50,0.23987287,-0.40310736,0.05823720
51,0.21865179,-0.34714152,0.08403085
52,0.23261209,-0.56156832,0.00000000
53,0.21588987,0.56820679,0.00000000
54,0.21693304,-0.31141473,0.09686759
55,0.22421740,-0.01789868,0.14830331
