face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,1975.9325,2629.6922,-135.6546,2383.0028,2656.7228,1948.9019,1975.9325,2629.6922
1,2195.7463,2479.5623,9.0064,2350.5924,2479.8478,2195.4608,2195.7463,2479.5623
2,2126.5191,2727.8997,-62.9629,2484.8506,2734.4210,2119.9977,2126.5191,2727.8997
3,2490.0409,2640.4633,11.0711,2568.6293,2641.2738,2489.2305,2490.0409,2640.4633
4,1527.4158,2326.8007,-182.1602,2071.8483,2366.3535,1487.8630,1527.4158,2326.8007
5,1930.5263,2215.1881,-227.5068,2124.3327,2341.2178,1804.4966,1930.5263,2215.1881
6,1800.5733,2172.0622,-245.9613,2056.8063,2294.5352,1678.1003,1800.5733,2172.0622
7,2003.2908,2164.3294,-309.7445,2156.2791,2403.8492,1763.7710,2003.2908,2164.3294
8,1612.5938,2289.9400,-75.8475,2041.7638,2298.3293,1604.2045,1612.5938,2289.9400
9,1746.0488,2115.9282,26.5701,1957.9179,2117.8271,1744.1499,1746.0488,2115.9282
10,1789.8982,2395.7646,-107.2213,2165.5803,2414.1800,1771.4828,1789.8982,2395.7646
11,1922.8986,2989.3854,324.8683,2683.7096,3080.5521,1831.7319,1922.8986,2989.3854
12,1699.8751,2262.1753,93.2625,2046.3848,2277.2401,1684.8103,1699.8751,2262.1753
13,1723.1298,2214.5391,115.1525,2024.1546,2240.1846,1697.4844,1723.1298,2214.5391
14,1862.4868,2571.2278,352.7426,2380.0155,2716.8631,1716.8516,1862.4868,2571.2278
15,1691.6758,2094.1636,230.6250,1965.7584,2199.0031,1586.8364,1691.6758,2094.1636
16,1038.9094,2148.3579,-511.0775,2060.6857,2347.9009,839.3663,1038.9094,2148.3579
17,1704.7710,2002.4788,234.4793,1915.0299,2131.3622,1575.8876,1704.7710,2002.4788
18,1913.4137,2323.2648,8.5547,2147.9209,2323.4433,1913.2352,1913.4137,2323.2648
19,1207.7127,2368.4129,-303.8600,2117.6827,2443.1484,1132.9772,1207.7127,2368.4129
20,2707.4207,2606.6053,120.1302,2666.5773,2787.2904,2526.7356,2707.4207,2606.6053
21,1286.9721,3012.1838,-175.4828,2635.4003,3029.8524,1269.3035,1286.9721,3012.1838
22,1499.7791,2951.5265,138.7580,2567.4831,2964.6700,1486.6356,1499.7791,2951.5265
23,1740.9507,2604.5933,102.9381,2304.8071,2616.6930,1728.8510,1740.9507,2604.5933
24,1908.7269,2568.7649,368.5456,2397.1230,2733.4564,1744.0355,1908.7269,2568.7649
25,1903.9557,2550.5819,367.6797,2383.2510,2716.8806,1737.6570,1903.9557,2550.5819
26,2075.9428,2464.6697,354.9093,2376.0269,2674.9515,1865.6611,2075.9428,2464.6697
27,2434.0541,2657.6444,662.3148,2799.0759,3217.5330,1874.1655,2434.0541,2657.6444
28,1911.3592,2232.7487,268.7589,2141.8613,2385.1899,1758.9180,1911.3592,2232.7487
29,1849.4561,2441.2057,228.4305,2240.8954,2519.1255,1771.5363,1849.4561,2441.2057
30,1797.3960,2374.2588,-15.5754,2144.9899,2374.6790,1796.9758,1797.3960,2374.2588
31,1860.1670,2299.9396,19.3746,2114.8990,2300.7915,1859.3151,1860.1670,2299.9396
32,1695.0991,2226.8121,-77.5585,2018.7699,2237.8942,1684.0170,1695.0991,2226.8121
33,1890.3219,2297.5861,146.4267,2138.5425,2344.7663,1843.1417,1890.3219,2297.5861
34,1373.3659,1960.3862,-239.8031,1791.4901,2045.8928,1287.8592,1373.3659,1960.3862
35,1703.7299,2153.7878,-196.1919,1996.8722,2227.3042,1630.2136,1703.7299,2153.7878
36,1704.5311,2126.8099,-113.6620,1960.1761,2155.4598,1675.8812,1704.5311,2126.8099
37,1091.0436,1916.2259,298.5938,1743.2976,2012.9379,994.3316,1091.0436,1916.2259
38,1151.3105,2368.8356,274.9415,2106.2790,2428.0436,1092.1025,1151.3105,2368.8356
39,1692.1524,2017.2029,-210.4161,1910.9938,2120.5524,1588.8029,1692.1524,2017.2029
40,2810.3549,2981.8378,93.3574,2904.4063,3022.8528,2769.3399,2810.3549,2981.8378
41,1091.7456,2773.5215,-6.2700,2420.0141,2773.5449,1091.7222,1091.7456,2773.5215
42,2180.5634,2728.9602,-51.3460,2501.8631,2733.7263,2175.7974,2180.5634,2728.9602
43,1870.9991,2567.6747,-147.3369,2314.0005,2597.5530,1841.1208,1870.9991,2567.6747
44,1770.4740,2553.2563,89.7499,2270.9881,2563.4147,1760.3156,1770.4740,2553.2563
45,1907.5250,2537.7623,-151.9811,2303.7662,2572.4979,1872.7894,1907.5250,2537.7623
46,1869.5411,2249.6741,-111.3732,2094.6530,2279.9012,1839.3140,1869.5411,2249.6741
47,1958.9903,2592.2521,-153.0976,2355.7449,2627.3228,1923.9196,1958.9903,2592.2521
48,1814.1181,2385.2748,-90.3433,2162.8398,2399.2243,1800.1687,1814.1181,2385.2748
49,1846.9130,2413.3543,-105.3492,2193.4918,2432.3131,1827.9542,1846.9130,2413.3543
50,1795.8945,2464.6926,-85.3301,2212.5692,2475.4079,1785.1791,1795.8945,2464.6926
51,1792.9547,1862.9591,-353.5769,1928.7695,2183.2621,1472.6517,1792.9547,1862.9591
52,1976.9207,2190.4999,-184.7227,2116.2297,2297.0797,1870.3409,1976.9207,2190.4999
53,1722.0453,2321.7334,32.1475,2088.2663,2323.4518,1720.3269,1722.0453,2321.7334
54,1735.4395,2245.9555,36.0355,2040.1574,2248.4866,1732.9085,1735.4395,2245.9555
55,1659.5423,2089.1539,-91.2513,1917.4425,2107.7327,1640.9636,1659.5423,2089.1539
56,1802.3481,2247.4264,-104.0259,2069.1069,2270.5395,1779.2349,1802.3481,2247.4264
57,1587.3223,2044.3906,-92.1218,1865.3357,2062.2591,1569.4538,1587.3223,2044.3906
58,1765.6897,2301.2323,-77.3368,2089.9787,2312.1767,1754.7453,1765.6897,2301.2323
59,1695.0161,2162.7901,-135.0014,1984.8055,2198.9559,1658.8503,1695.0161,2162.7901
60,1738.2792,2205.6324,-113.3746,2022.6184,2231.6836,1712.2280,1738.2792,2205.6324
61,1553.1683,2145.6209,-105.8406,1927.9827,2163.9614,1534.8278,1553.1683,2145.6209
62,1717.2534,2185.6348,-218.8052,2028.8660,2271.9453,1630.9430,1717.2534,2185.6348
63,1656.3692,2165.0619,-166.5469,1981.9495,2214.7385,1606.6926,1656.3692,2165.0619
64,1755.4858,2181.2885,-225.3608,2040.3165,2278.4105,1658.3638,1755.4858,2181.2885
65,1687.2548,2488.3678,-494.5243,2360.9226,2724.2073,1451.4154,1687.2548,2488.3678
66,1685.8317,1845.0760,-95.9253,1778.6094,1890.1188,1640.7889,1685.8317,1845.0760
67,1605.1527,2276.4975,-211.4737,2058.8816,2337.5581,1544.0921,1605.1527,2276.4975
68,1535.2642,2006.2152,-110.2822,1827.1157,2030.7606,1510.7188,1535.2642,2006.2152
69,1553.5688,1842.4903,-24.1460,1716.8751,1844.4944,1551.5647,1553.5688,1842.4903
70,1539.1441,1913.3803,-13.3885,1756.5758,1913.8587,1538.6657,1539.1441,1913.3803
71,1596.8688,2038.9501,-88.2777,1864.0683,2055.9261,1579.8928,1596.8688,2038.9501
72,1594.1360,2063.4366,-123.7223,1885.6201,2094.0559,1563.5167,1594.1360,2063.4366
73,1590.8132,1968.1327,-85.4670,1815.2728,1986.5891,1572.3568,1590.8132,1968.1327
74,1644.1685,2058.6006,-95.6242,1893.1118,2079.6004,1623.1687,1644.1685,2058.6006
75,1537.4258,1994.6941,-55.0078,1812.4199,2001.2183,1530.9016,1537.4258,1994.6941
76,1717.0676,2031.0824,-89.6737,1900.0619,2054.8863,1693.2638,1717.0676,2031.0824
77,1688.4900,2056.4056,-57.2213,1901.9476,2065.0996,1679.7959,1688.4900,2056.4056
78,1674.1168,2069.3785,-104.2632,1911.3413,2095.1951,1648.3002,1674.1168,2069.3785
79,2050.7088,1839.3290,14.0040,1953.7650,2051.6325,1838.4052,2050.7088,1839.3290
80,1779.4450,1807.7882,-116.3030,1805.0601,1910.7798,1676.4533,1779.4450,1807.7882
81,1725.0418,1915.9080,-59.6055,1830.8767,1932.9929,1707.9569,1725.0418,1915.9080
82,1717.6144,1913.7506,-37.3699,1824.7587,1920.6294,1710.7355,1717.6144,1913.7506
83,1592.0599,1974.0769,5.7956,1813.5288,1974.1648,1591.9720,1592.0599,1974.0769
84,1602.0546,1817.1067,-46.6120,1721.5893,1826.7751,1592.3862,1602.0546,1817.1067
85,1608.2960,1975.6696,-3.6417,1820.0177,1975.7057,1608.2599,1608.2960,1975.6696
86,1535.7142,1986.9823,-9.1743,1804.2539,1987.1687,1535.5278,1535.7142,1986.9823
87,1575.0661,2140.2366,70.5159,1924.9284,2148.9020,1566.4007,1575.0661,2140.2366
88,1511.1741,1907.4589,2.2152,1743.4331,1907.4713,1511.1617,1511.1741,1907.4589
89,1512.8919,1964.0514,-18.0392,1782.1107,1964.7715,1512.1718,1512.8919,1964.0514
90,1583.6196,2122.1174,101.5468,1918.7345,2140.6301,1565.1070,1583.6196,2122.1174
91,1597.1663,2166.2914,76.8588,1949.7572,2176.4883,1586.9695,1597.1663,2166.2914
92,1548.1019,1895.5227,-29.9184,1748.6706,1898.0803,1545.5443,1548.1019,1895.5227
93,1641.8094,2156.6088,61.8086,1953.7707,2163.9257,1634.4924,1641.8094,2156.6088
94,1682.7214,2229.7810,109.3932,2021.7010,2250.8449,1661.6575,1682.7214,2229.7810
95,1711.7625,2160.8911,48.4316,1976.7867,2166.0544,1706.5993,1711.7625,2160.8911
96,1598.5834,2137.9288,29.1566,1926.4219,2139.5004,1597.0118,1598.5834,2137.9288
97,1915.6659,2017.0894,36.1329,1969.3331,2028.6453,1904.1099,1915.6659,2017.0894
98,1922.6215,1934.3676,30.9679,1929.2671,1960.0145,1896.9746,1922.6215,1934.3676
99,1755.4949,2180.0111,-10.3727,2001.8829,2180.2644,1755.2416,1755.4949,2180.0111
100,1723.6780,2207.4251,32.1048,2010.4710,2209.5465,1721.5566,1723.6780,2207.4251
101,1662.8435,2063.9755,8.4106,1895.5704,2064.1517,1662.6673,1662.8435,2063.9755
102,1602.5515,2023.2094,43.1200,1850.6292,2027.5840,1598.1769,1602.5515,2023.2094
103,1682.8022,2193.3801,10.5752,1987.9764,2193.5990,1682.5832,1682.8022,2193.3801
104,1630.4459,2136.3835,43.4387,1935.1722,2140.0859,1626.7434,1630.4459,2136.3835
105,1704.8283,2131.8456,72.4811,1957.6862,2143.8131,1692.8609,1704.8283,2131.8456
106,1624.7028,2186.0574,73.7137,1970.5618,2195.5756,1615.1845,1624.7028,2186.0574
107,1598.2715,2102.4042,81.2351,1906.3473,2115.1710,1585.5048,1598.2715,2102.4042
108,1610.8200,2191.5288,116.8472,1976.9525,2214.1584,1588.1905,1610.8200,2191.5288
109,2016.7481,2204.1882,22.2198,2117.0516,2206.7862,2014.1501,2016.7481,2204.1882
110,2029.0581,2375.8878,-55.2344,2224.9175,2384.4717,2020.4742,2029.0581,2375.8878
111,1985.8835,2291.7537,-22.0455,2155.4977,2293.3344,1984.3028,1985.8835,2291.7537
112,2169.3864,2367.6623,-21.4099,2275.3160,2369.9478,2167.1008,2169.3864,2367.6623
113,1992.4266,2326.9988,-57.9875,2181.3759,2336.7641,1982.6613,1992.4266,2326.9988
114,1826.7775,2242.1132,53.0083,2068.0366,2248.7718,1820.1190,1826.7775,2242.1132
115,1998.5544,2233.9286,-47.2286,2127.6091,2243.0515,1989.4314,1998.5544,2233.9286
116,1753.9800,2226.0088,-47.8267,2033.2359,2230.8059,1749.1829,1753.9800,2226.0088
117,1835.9824,2202.8477,-90.0362,2050.1950,2223.7532,1815.0769,1835.9824,2202.8477
118,1695.5277,2105.1715,32.7372,1934.0113,2107.7712,1692.9280,1695.5277,2105.1715
119,1433.9997,1771.7582,80.5313,1635.3096,1789.9765,1415.7814,1433.9997,1771.7582
120,1831.8071,2100.4151,-11.1411,1979.9187,2100.8764,1831.3458,1831.8071,2100.4151
