vid,x,y,z
0,0.60763139,-0.01585658,0.00000000
1,0.56069916,-0.23469938,0.00000000
2,0.57099037,-0.11806320,0.02799360
3,0.54168304,0.07316700,0.06330162
4,0.52834899,-0.02940250,0.07819384
5,0.52320191,-0.24316036,0.03373288
6,0.51946964,-0.10825597,0.07667218
7,0.47670710,0.17345983,0.09573066
8,0.49449336,0.06302926,0.10169763
9,0.47550436,-0.02633281,0.11641252
10,0.48676529,-0.31941906,0.02779468
11,0.46764081,0.30472445,0.05349031
12,0.45731289,-0.23994137,0.08630217
13,0.42982607,0.14682758,0.13020629
14,0.45110961,-0.32026190,0.05537448
15,0.41720343,-0.44205052,0.00000000
16,0.43580967,0.42371842,0.00000000
17,0.42096703,-0.24998613,0.10424675
18,0.38475585,-0.35410741,0.07822187
19,0.38912484,-0.44049385,0.02136233
20,0.38421838,0.10756693,0.15745758
21,0.38984710,-0.00554037,0.16052320
22,0.36977973,0.35977841,0.08777407
23,0.37444621,-0.41960967,0.04539563
24,0.37120479,-0.11649337,0.15763536
25,0.34687004,0.21453302,0.15195250
26,0.34295655,-0.26346696,0.13180331
27,0.34368838,-0.34987671,0.09792956
28,0.34288103,0.28861404,0.13075646
29,0.31988926,-0.41161416,0.07473506
30,0.30352270,0.03606669,0.18530407
31,0.33362307,-0.19049371,0.15411745
32,0.31384064,-0.03133453,0.18149074
33,0.32251528,0.13090327,0.17502996
34,0.29216195,-0.50892290,0.02019666
35,0.30569801,0.46989724,0.04724161
36,0.29564721,-0.10705756,0.17644686
37,0.28760452,0.25226581,0.15993687
38,0.30144213,-0.34304164,0.11312099
39,0.27366083,-0.27351502,0.14169640
40,0.28445757,-0.41058081,0.08585336
41,0.25003620,0.01276628,0.19158315
42,0.28268073,-0.47736307,0.04683826
43,0.28468808,0.35638363,0.12274260
44,0.25652984,0.08554616,0.19126450
45,0.25944124,-0.19970237,0.16172927
46,0.28561283,-0.06444167,0.18286687
47,0.24545485,-0.47581748,0.05791462
48,0.25338374,0.32627117,0.14368924
49,0.24218444,-0.16443587,0.16926545
50,0.24518158,-0.41206951,0.09212895
51,0.22144744,-0.35443578,0.11678913
52,0.23261209,-0.56156832,0.00000000
53,0.21588987,0.56820679,0.00000000
54,0.21948904,-0.31753209,0.12900831
55,0.23149473,-0.02013276,0.18993850
