face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,1364.5866,392.8617,-202.4323,1266.2068,1405.0712,352.3772,1364.5866,392.8617
1,1620.3781,63.2287,7.3597,1589.7582,1620.4129,63.1940,1620.3781,63.2287
2,1494.2819,382.4681,-95.6112,1354.6474,1502.4441,374.3059,1494.2819,382.4681
3,2109.3080,301.9386,21.1451,1976.0585,2109.5554,301.6912,2109.3080,301.9386
4,752.4268,408.2287,2.3800,652.4198,752.4433,408.2122,752.4268,408.2287
5,1593.0580,423.6737,-120.0062,1444.1609,1605.2464,411.4853,1593.0580,423.6737
6,1372.7972,642.4838,-151.1434,1218.1505,1402.8414,612.4396,1372.7972,642.4838
7,1575.0896,365.3084,-244.5942,1489.4438,1622.6704,317.7276,1575.0896,365.3084
8,804.0678,855.2355,40.6572,833.8132,877.6885,781.6148,804.0678,855.2355
9,1014.9220,621.4637,172.7660,935.4629,1080.0143,556.3714,1014.9220,621.4637
10,1262.8303,1073.5161,-168.4355,1215.1626,1361.3842,974.9623,1262.8303,1073.5161
11,1357.9690,1825.0579,370.2995,1762.9263,2029.3087,1153.7182,1357.9690,1825.0579
12,1266.4018,928.3039,18.7051,1136.2067,1267.4335,927.2722,1266.4018,928.3039
13,1310.8258,808.5208,10.9522,1145.6440,1311.0645,808.2821,1310.8258,808.5208
14,1458.9770,1078.3765,245.8515,1378.2279,1579.5741,957.7794,1458.9770,1078.3765
15,1323.0432,610.9385,84.9174,1156.2976,1333.0295,600.9523,1323.0432,610.9385
16,1486.3317,364.5171,248.5171,1409.0932,1538.9207,311.9281,1486.3317,364.5171
17,1333.1010,546.8819,157.8890,1192.4664,1363.6234,516.3594,1333.1010,546.8819
18,1407.3283,588.6173,-50.1877,1227.2823,1410.3934,585.5522,1407.3283,588.6173
19,1480.5592,476.6704,-50.6772,1311.9589,1483.1110,474.1186,1480.5592,476.6704
20,2209.4377,417.5596,-148.6744,2049.3197,2221.6896,405.3077,2209.4377,417.5596
21,2000.8825,360.8606,-12.3248,1847.2052,2000.9751,360.7680,2000.8825,360.8606
22,977.9262,1670.4464,-0.8469,1453.6711,1670.4474,977.9251,977.9262,1670.4464
23,1148.1018,361.4691,215.4633,1083.0825,1203.2519,306.3189,1148.1018,361.4691
24,1409.1399,593.4328,323.0616,1347.1133,1521.5875,480.9851,1409.1399,593.4328
25,1442.6261,505.6178,336.7965,1395.5994,1551.1212,397.1228,1442.6261,505.6178
26,1743.0936,343.5484,373.7378,1725.2837,1836.6442,249.9978,1743.0936,343.5484
27,2258.0447,1272.7384,900.8120,2505.8164,2792.1191,738.6640,2258.0447,1272.7384
28,1450.0136,660.2808,139.5103,1280.4232,1473.9343,636.3601,1450.0136,660.2808
29,1348.9002,598.3897,116.1013,1187.8016,1366.4503,580.8396,1348.9002,598.3897
30,1179.7255,968.8301,7.5835,1089.7720,1179.9978,968.5578,1179.7255,968.8301
31,1295.3602,657.0844,163.8856,1157.2089,1334.9805,617.4640,1295.3602,657.0844
32,1293.0532,756.0217,-1.8710,1125.1620,1293.0597,756.0151,1293.0532,756.0217
33,1323.9923,906.1695,189.2690,1217.2944,1396.9793,833.1825,1323.9923,906.1695
34,641.7680,509.7372,76.5213,601.7738,676.8146,474.6905,641.7680,509.7372
35,1334.7466,650.1217,-48.8203,1159.1416,1338.2104,646.6579,1334.7466,650.1217
36,1296.1296,684.5472,1.7306,1123.0778,1296.1345,684.5423,1296.1296,684.5472
37,1302.9222,295.4542,70.9195,1189.5521,1307.8900,290.4864,1302.9222,295.4542
38,466.2425,1903.1657,393.9992,1848.7269,2004.1078,365.3004,466.2425,1903.1657
39,1365.6523,517.2555,-96.2425,1205.8011,1376.4331,506.4747,1365.6523,517.2555
40,3232.7253,808.3770,1651.0607,4082.7356,4068.8109,-27.7085,3232.7253,808.3770
41,144.3940,1626.4918,149.0443,1580.5417,1641.3315,129.5542,144.3940,1626.4918
42,1584.6640,366.6561,-77.9032,1443.1829,1589.6265,361.6936,1584.6640,366.6561
43,1287.9692,370.3881,-186.6285,1193.1027,1324.4755,333.8818,1287.9692,370.3881
44,1226.8974,274.6611,115.1950,1132.9363,1240.6348,260.9237,1226.8974,274.6611
45,1243.2741,476.3903,-232.6304,1158.7688,1308.3236,411.3408,1243.2741,476.3903
46,1312.1810,564.1597,-187.1489,1185.2804,1356.3912,519.9495,1312.1810,564.1597
47,1308.5720,430.7948,-244.8803,1230.4949,1372.2663,367.1005,1308.5720,430.7948
48,1321.8689,496.2575,-61.5720,1161.4624,1326.4355,491.6909,1321.8689,496.2575
49,1293.8572,486.7132,-131.4733,1154.5884,1314.7326,465.8378,1293.8572,486.7132
50,1330.4239,468.1066,18.3313,1169.3500,1330.8134,467.7171,1330.4239,468.1066
51,1204.0970,699.0761,-264.2093,1142.9004,1317.0563,586.1168,1204.0970,699.0761
52,1308.4362,703.0430,-237.0149,1206.1990,1390.1889,621.2903,1308.4362,703.0430
53,1269.9714,710.8243,-279.6930,1204.1829,1385.8590,594.9367,1269.9714,710.8243
54,1261.8702,739.9310,-279.5918,1200.2633,1383.3620,618.4392,1261.8702,739.9310
55,1287.0349,711.0865,-273.6022,1213.0475,1396.2852,601.8362,1287.0349,711.0865
56,1251.0092,611.8606,-265.1326,1176.7923,1346.6734,516.1964,1251.0092,611.8606
57,1261.5833,639.1042,-186.7307,1139.4597,1313.3016,587.3859,1261.5833,639.1042
58,1329.3360,627.1903,-105.7630,1166.3245,1344.9210,611.6053,1329.3360,627.1903
59,1379.2030,612.1918,-106.4148,1211.0389,1393.6932,597.7017,1379.2030,612.1918
60,1405.8105,554.7552,-77.8149,1233.8319,1412.8669,547.6989,1405.8105,554.7552
61,1283.5048,590.8600,-89.6169,1123.4865,1294.9119,579.4529,1283.5048,590.8600
62,1355.7114,544.4338,-130.4944,1203.0598,1376.1848,523.9603,1355.7114,544.4338
63,1338.3057,491.9118,-91.4573,1183.1333,1348.0754,482.1421,1338.3057,491.9118
64,1400.5284,356.6278,-156.7803,1289.5488,1423.5663,333.5898,1400.5284,356.6278
65,1331.0483,763.1026,-344.4546,1301.6281,1493.4941,600.6569,1331.0483,763.1026
66,1280.9118,735.2053,-213.1745,1172.9700,1354.3131,661.8039,1280.9118,735.2053
67,1265.5847,783.8948,-317.6762,1235.6638,1423.3931,626.0864,1265.5847,783.8948
68,1222.5836,753.1912,-187.6039,1116.5814,1288.3496,687.4252,1222.5836,753.1912
69,1226.5104,724.0207,-148.6370,1098.5416,1267.1849,683.3461,1226.5104,724.0207
70,1219.9663,736.2939,-126.6594,1086.4256,1251.1271,705.1331,1219.9663,736.2939
71,1250.9237,787.5173,-177.1764,1137.5605,1310.9016,727.5394,1250.9237,787.5173
72,1281.9257,802.5033,-66.0804,1127.6947,1290.8670,793.5620,1281.9257,802.5033
73,1236.6076,748.9028,-149.5387,1109.5225,1278.8073,706.7031,1236.6076,748.9028
74,1254.0175,745.3855,-98.9704,1105.8112,1272.5967,726.8063,1254.0175,745.3855
75,1276.7708,774.8849,-68.0367,1120.3244,1285.8304,765.8252,1276.7708,774.8849
76,1293.5952,740.0735,-96.3617,1136.4852,1309.8909,723.7778,1293.5952,740.0735
77,1254.4053,796.4137,-85.6458,1109.4086,1269.8972,780.9217,1254.4053,796.4137
78,1284.0678,716.7668,-84.8516,1124.1917,1296.4872,704.3474,1284.0678,716.7668
79,1580.5285,671.9693,-106.6217,1386.2363,1592.8731,659.6247,1580.5285,671.9693
80,1327.8115,726.2135,-237.0269,1222.5956,1409.9769,644.0480,1327.8115,726.2135
81,1315.4476,764.5197,-196.1591,1193.5838,1378.1534,701.8140,1315.4476,764.5197
82,1310.6176,753.0117,-181.0406,1181.5929,1364.2403,699.3890,1310.6176,753.0117
83,1251.6254,766.1370,-145.1383,1121.5217,1291.7061,726.0563,1251.6254,766.1370
84,1244.6147,726.1798,-180.7122,1127.1910,1301.3887,669.4059,1244.6147,726.1798
85,1260.2913,768.8305,-143.5708,1127.9724,1299.1588,729.9629,1260.2913,768.8305
86,1227.7055,779.3574,-135.2183,1101.2217,1265.3290,741.7338,1227.7055,779.3574
87,1258.4760,809.6103,-12.1826,1104.8985,1258.8064,809.2799,1258.4760,809.6103
88,1202.8119,745.5399,-127.2738,1074.4477,1235.8494,712.5024,1202.8119,745.5399
89,1205.6534,772.2248,-136.7686,1083.9801,1245.2021,732.6761,1205.6534,772.2248
90,1269.3103,772.1639,19.1108,1108.3167,1270.0439,771.4303,1269.3103,772.1639
91,1272.8210,836.1123,-0.0571,1120.2392,1272.8210,836.1123,1272.8210,836.1123
92,1226.0511,713.3454,-132.1147,1090.7924,1258.0922,681.3043,1226.0511,713.3454
93,1271.1022,847.1753,-5.3080,1121.0017,1271.1686,847.1088,1271.1022,847.1753
94,1300.5546,864.0398,19.4331,1146.9128,1301.4181,863.1763,1300.5546,864.0398
95,1302.0459,713.3233,-38.3726,1131.2786,1304.5364,710.8327,1302.0459,713.3233
96,1234.8476,848.9362,-103.7350,1108.8360,1260.9646,822.8192,1234.8476,848.9362
97,1393.2320,688.8562,13.6169,1206.8298,1393.4952,688.5930,1393.2320,688.8562
98,1439.3136,728.9967,-39.2556,1248.3701,1441.4765,726.8338,1439.3136,728.9967
99,1301.2883,662.4824,25.0017,1127.8425,1302.2653,661.5054,1301.2883,662.4824
