vid,x,y,z
0,0.60763139,-0.01585658,0.00000000
1,0.56069916,-0.23469938,0.00000000
2,0.57258765,-0.11835269,0.02787698
3,0.54560081,0.07430638,0.06256322
4,0.53301616,-0.02923733,0.07744570
5,0.52574217,-0.24346807,0.03241206
6,0.52344957,-0.10889116,0.07547987
7,0.48383187,0.17718742,0.09317453
8,0.50031412,0.06461917,0.09997662
9,0.48127566,-0.02578605,0.11438520
10,0.48693179,-0.31965089,0.02688036
11,0.47039340,0.30774036,0.05152640
12,0.46148696,-0.24090523,0.08186941
13,0.43868771,0.15114974,0.12688288
14,0.45151068,-0.32048437,0.05212399
15,0.41720343,-0.44205052,0.00000000
16,0.43580967,0.42371842,0.00000000
17,0.42471384,-0.25115232,0.09828211
18,0.38468736,-0.35349357,0.07104551
19,0.38852750,-0.43931051,0.01921249
20,0.39350718,0.11166936,0.15359222
21,0.39590772,-0.00422845,0.15641516
22,0.37096938,0.36277847,0.08566095
23,0.37366065,-0.41792792,0.04047037
24,0.37756391,-0.11650256,0.15151905
25,0.35429313,0.21908620,0.14832864
26,0.34752736,-0.26392743,0.12255773
27,0.34412780,-0.34911278,0.08857206
28,0.34698448,0.29259572,0.12848991
29,0.31928405,-0.40974979,0.06627876
30,0.31230861,0.03938616,0.18007869
31,0.34045606,-0.19093644,0.14546223
32,0.32082797,-0.02958994,0.17564194
33,0.33277194,0.13551276,0.17013526
34,0.29077457,-0.50642854,0.01848232
35,0.30493156,0.47063225,0.04761493
36,0.30235986,-0.10641498,0.16980257
37,0.29220681,0.25622982,0.15795226
38,0.30260760,-0.34240626,0.10245694
39,0.27799802,-0.27360847,0.13195628
40,0.28426758,-0.40871649,0.07615385
41,0.25886337,0.01620190,0.18641186
42,0.28124764,-0.47489459,0.04102362
43,0.28555041,0.35982409,0.12214831
44,0.26531342,0.08924029,0.18657742
45,0.26604038,-0.19967592,0.15364942
46,0.29227711,-0.06302328,0.17684650
47,0.24437106,-0.47365127,0.05025053
48,0.25470526,0.33035444,0.14324705
49,0.24844640,-0.16411633,0.16265820
50,0.24545237,-0.41032077,0.08202279
51,0.22372519,-0.35354955,0.10740048
52,0.23261209,-0.56156832,0.00000000
53,0.21588987,0.56820679,0.00000000
54,0.22266456,-0.31724556,0.12053815
55,0.23856664,-0.01753550,0.18510332
