face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,918.4249,1202.8067,-69.9927,1095.5627,1219.1000,902.1316,918.4249,1202.8067
1,399.1164,-1270.9139,861.2277,2122.9457,763.6693,-1635.4668,399.1164,-1270.9139
2,971.9204,1220.1363,-28.8187,1118.0242,1223.4384,968.6183,971.9204,1220.1363
3,635.5018,-960.1197,-772.5070,1930.3242,948.2175,-1272.8354,635.5018,-960.1197
4,696.2960,1071.5972,-82.8577,952.6783,1089.0761,678.8170,696.2960,1071.5972
5,900.5638,1064.9189,-105.6084,1009.7026,1116.5557,848.9270,900.5638,1064.9189
6,852.9066,1006.4034,-171.5085,984.9746,1117.5526,741.7574,852.9066,1006.4034
7,838.7857,836.6706,-259.1411,950.3968,1096.8714,578.5849,838.7857,836.6706
8,-122.2224,1102.3234,234.9916,1237.1124,1145.8700,-165.7690,-122.2224,1102.3234
9,946.2778,1035.4050,227.6243,1069.1879,1222.7869,758.8959,946.2778,1035.4050
10,838.1986,1145.6100,-79.7831,1036.2657,1165.0828,818.7258,838.1986,1145.6100
11,865.0852,1353.6519,52.5973,1190.8069,1359.2502,859.4869,865.0852,1353.6519
12,806.1804,1096.5531,-20.6370,984.6895,1098.0124,804.7210,806.1804,1096.5531
13,797.2094,1043.7891,-104.8216,962.2280,1082.3261,758.6724,797.2094,1043.7891
14,415.9572,892.2313,-209.2743,854.0224,971.1195,337.0690,415.9572,892.2313
15,642.3452,1212.0787,94.7948,1063.0745,1227.4370,626.9869,642.3452,1212.0787
16,900.1375,1223.0505,141.1076,1124.6868,1276.0224,847.1656,900.1375,1223.0505
17,726.3683,1254.9391,97.2460,1104.2217,1272.2626,709.0448,726.3683,1254.9391
18,783.0055,1359.4971,1.2735,1181.8804,1359.5000,783.0027,783.0055,1359.4971
19,879.5311,1210.8997,-41.4404,1086.2693,1216.0036,874.4272,879.5311,1210.8997
20,907.6520,725.4857,-289.0183,970.7049,1119.5998,513.5379,907.6520,725.4857
21,932.6996,1167.7563,-126.3613,1091.9337,1222.7971,877.6588,932.6996,1167.7563
22,332.4884,888.0099,132.4489,810.2378,917.9727,302.5257,332.4884,888.0099
23,803.7503,1187.1942,108.0673,1065.9608,1215.5537,775.3908,803.7503,1187.1942
24,896.1837,1209.5938,185.8191,1133.9446,1295.9633,809.8142,896.1837,1209.5938
25,914.5529,1156.6742,186.8491,1105.0793,1258.2529,812.9742,914.5529,1156.6742
26,1023.8233,1183.0717,154.0497,1143.5954,1276.8584,930.0366,1023.8233,1183.0717
27,973.3053,989.2778,464.6238,1269.1533,1445.9839,516.5991,973.3053,989.2778
28,861.7449,935.7593,215.8438,975.5150,1117.7454,679.7588,861.7449,935.7593
29,846.5625,1101.3671,150.8931,1032.2827,1171.4491,776.4805,846.5625,1101.3671
30,845.0092,1102.7233,59.4662,1004.4086,1115.7830,831.9495,845.0092,1102.7233
31,839.2993,830.3088,266.8938,954.2826,1101.7357,567.8724,839.2993,830.3088
32,749.3021,1027.8697,125.6373,946.1178,1076.1617,701.0100,749.3021,1027.8697
33,900.9295,1113.4661,130.8890,1048.6763,1175.7946,838.6010,900.9295,1113.4661
34,928.8178,1262.4511,-16.6487,1133.4592,1263.2799,927.9891,928.8178,1262.4511
35,692.5641,1207.2223,-73.4822,1056.9535,1217.5084,682.2780,692.5641,1207.2223
36,676.2643,915.2015,97.3494,839.3091,949.8421,641.6237,676.2643,915.2015
37,831.4072,1257.2336,58.1054,1112.0836,1265.0199,823.6208,831.4072,1257.2336
38,837.5896,1249.9039,36.5118,1104.9475,1253.1122,834.3813,837.5896,1249.9039
39,778.5468,1214.0202,-62.8133,1070.8152,1222.8995,769.6676,778.5468,1214.0202
40,888.8479,713.8730,415.8876,1088.1306,1226.3505,376.3704,888.8479,713.8730
41,823.0420,1280.4542,111.4472,1140.3310,1306.1630,797.3331,823.0420,1280.4542
42,1016.4845,1210.8867,-7.9369,1126.4230,1211.2102,1016.1610,1016.4845,1210.8867
43,869.0783,1190.5925,-100.8337,1081.0142,1219.5992,840.0717,869.0783,1190.5925
44,801.6122,1165.7579,113.9529,1051.6861,1198.4775,768.8926,801.6122,1165.7579
45,874.7234,1250.7398,-51.3086,1115.0504,1257.6153,867.8479,874.7234,1250.7398
46,774.2494,1170.8759,-70.7164,1038.6843,1183.1071,762.0182,774.2494,1170.8759
47,907.3762,1225.2035,-61.5538,1106.3911,1236.7082,895.8715,907.3762,1225.2035
48,794.4190,1186.1491,-92.2286,1058.9004,1206.7770,773.7910,794.4190,1186.1491
49,816.4182,1246.5588,-95.4651,1109.0874,1266.7943,796.1827,816.4182,1246.5588
50,795.6162,1283.5787,-118.4980,1140.8193,1310.8328,768.3620,795.6162,1283.5787
51,798.2761,1118.1520,-96.8025,1011.4478,1145.1655,771.2625,798.2761,1118.1520
52,801.7903,1164.5586,-90.0743,1043.8740,1185.6926,780.6563,801.7903,1164.5586
53,748.5705,1155.2844,-58.5526,1020.0555,1163.5461,740.3088,748.5705,1155.2844
54,786.0676,1147.7244,-63.0811,1022.2144,1158.4114,775.3806,786.0676,1147.7244
55,748.6784,1099.9390,-61.1719,978.8312,1110.2872,738.3302,748.6784,1099.9390
56,777.4738,1132.2162,-85.6348,1013.9579,1151.8066,757.8834,777.4738,1132.2162
57,750.2033,1005.3958,-119.6110,928.5983,1052.6926,702.9065,750.2033,1005.3958
58,774.1593,1146.9272,-88.8672,1024.9646,1167.0290,754.0575,774.1593,1146.9272
59,811.8317,1104.3369,-118.6513,1012.0916,1146.4137,769.7549,811.8317,1104.3369
60,803.0220,1111.5132,-105.3587,1010.4641,1144.0620,770.4732,803.0220,1111.5132
61,778.5872,1071.0642,-138.7475,988.5405,1126.4108,723.2406,778.5872,1071.0642
62,830.8654,985.9893,-159.4977,958.9611,1085.7840,731.0707,830.8654,985.9893
63,809.0995,1051.8918,-130.4789,980.3609,1108.7140,752.2773,809.0995,1051.8918
64,844.0888,1040.2759,-127.1161,982.3696,1102.7465,781.6182,844.0888,1040.2759
65,769.5765,1191.7268,-104.5080,1062.1213,1216.1822,745.1211,769.5765,1191.7268
66,680.2990,1134.7120,-87.3644,1000.6659,1150.9297,664.0813,680.2990,1134.7120
67,747.6256,1108.8635,-192.6917,1034.8420,1192.3531,664.1360,747.6256,1108.8635
68,624.6418,1114.7082,-85.8868,979.0751,1129.3244,610.0256,624.6418,1114.7082
69,661.6417,1115.7721,-66.1854,978.5792,1125.2214,652.1924,661.6417,1115.7721
70,676.5475,1069.4613,-60.6444,942.8446,1078.6086,667.4003,676.5475,1069.4613
71,665.0475,1250.5291,-124.0211,1104.8048,1275.7166,639.8600,665.0475,1250.5291
