face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,932.9000,1183.2981,-73.8594,1087.6413,1203.4607,912.7374,932.9000,1183.2981
1,395.8864,-1378.6823,894.9277,2237.4046,768.8279,-1751.6238,395.8864,-1378.6823
2,988.7804,1200.2832,-30.8579,1111.0385,1204.6933,984.3702,988.7804,1200.2832
3,643.8639,-1058.6730,-807.4589,2042.7825,965.9018,-1380.7109,643.8639,-1058.6730
4,696.0874,1057.9314,-86.0725,943.1698,1077.3622,676.6566,696.0874,1057.9314
5,913.3488,1052.5866,-108.0630,1007.8684,1111.5150,854.4204,913.3488,1052.5866
6,862.0071,994.6719,-177.4065,984.5981,1117.7413,738.9377,862.0071,994.6719
7,847.3812,816.2770,-271.3082,955.7665,1103.5827,560.0755,847.3812,816.2770
8,-161.0761,1113.3733,246.1697,1275.4145,1159.2700,-206.9728,-161.0761,1113.3733
9,962.4085,1031.6571,243.0289,1083.9096,1242.5158,751.5499,962.4085,1031.6571
10,847.2799,1142.8127,-81.6568,1037.1236,1163.8739,826.2187,847.2799,1142.8127
11,874.7373,1360.1629,54.2995,1197.6095,1366.1627,868.7375,874.7373,1360.1629
12,813.6650,1091.7862,-22.4439,983.4687,1093.5857,811.8654,813.6650,1091.7862
13,802.1569,1036.9632,-110.9125,961.1691,1081.0688,758.0513,802.1569,1036.9632
14,396.4226,885.9820,-227.1955,863.5653,975.1707,307.2339,396.4226,885.9820
15,636.2896,1213.5635,101.4080,1065.9614,1230.8593,618.9938,636.2896,1213.5635
16,909.9346,1213.1520,147.0399,1122.8054,1272.7445,850.3421,909.9346,1213.1520
17,727.0243,1249.2515,101.0132,1100.7127,1268.1093,708.1665,727.0243,1249.2515
18,785.3461,1353.6232,-0.1586,1177.2857,1353.6232,785.3460,785.3461,1353.6232
19,888.1830,1197.0195,-44.7079,1079.1426,1203.3613,881.8412,888.1830,1197.0195
20,920.3802,695.1792,-305.8901,985.5207,1133.7362,481.8232,920.3802,695.1792
21,947.0219,1153.9272,-137.9454,1092.1039,1222.9025,878.0466,947.0219,1153.9272
22,307.7746,887.3344,148.6526,821.7551,923.2384,271.8706,307.7746,887.3344
23,812.0340,1166.2888,114.1989,1054.3656,1199.9113,778.4115,812.0340,1166.2888
24,909.5726,1200.0957,195.1059,1135.8595,1298.0773,811.5911,909.5726,1200.0957
25,930.8324,1145.0235,194.9199,1107.1062,1260.3312,815.5246,930.8324,1145.0235
26,1047.6112,1171.2699,160.3156,1148.6645,1281.2659,937.6152,1047.6112,1171.2699
27,994.8395,983.5095,491.9763,1305.6357,1481.1834,497.1656,994.8395,983.5095
28,872.3400,923.2313,224.1685,979.1405,1123.3938,672.1776,872.3400,923.2313
29,855.5943,1089.5547,156.0522,1029.5684,1167.6044,777.5446,855.5943,1089.5547
30,853.0119,1098.3733,61.6753,1004.2605,1113.0039,838.3813,853.0119,1098.3733
31,847.8833,812.3749,283.2393,964.7453,1113.9243,546.3340,847.8833,812.3749
32,751.7579,1021.3309,132.2201,944.9389,1075.3553,697.7335,751.7579,1021.3309
33,914.3510,1110.4781,134.4142,1052.6320,1178.7985,846.0306,914.3510,1110.4781
34,942.6102,1257.3730,-16.7813,1133.6371,1258.2651,941.7181,942.6102,1257.3730
35,691.1978,1208.1680,-77.8415,1058.5458,1219.6345,679.7314,691.1978,1208.1680
36,673.6405,911.8241,103.9750,838.6927,950.8261,634.6385,673.6405,911.8241
37,838.5360,1248.5796,62.8237,1107.6801,1257.9891,829.1266,838.5360,1248.5796
38,844.2996,1238.5804,39.1575,1098.0848,1242.4316,840.4483,844.2996,1238.5804
39,782.6781,1208.7803,-67.5950,1068.3428,1219.2463,772.2121,782.6781,1208.7803
40,899.5279,688.5103,439.7681,1115.3701,1246.2669,341.7713,899.5279,688.5103
41,828.4848,1271.8402,119.7768,1137.2351,1302.1297,798.1952,828.4848,1271.8402
42,1036.0877,1190.4966,-8.5600,1121.3923,1190.9697,1035.6146,1036.0877,1190.4966
43,880.8225,1171.8343,-105.0234,1072.3598,1205.7772,846.8796,880.8225,1171.8343
44,809.0968,1144.7780,118.1997,1039.6305,1182.2216,771.6532,809.0968,1144.7780
45,885.9143,1235.7866,-54.7500,1107.3411,1244.1541,877.5468,885.9143,1235.7866
46,781.9195,1162.1453,-75.4445,1034.5779,1176.5679,767.4969,781.9195,1162.1453
47,920.5135,1207.1931,-65.8747,1098.3812,1221.6056,906.1010,920.5135,1207.1931
48,802.2716,1175.1521,-93.6746,1052.6898,1197.3621,780.0616,802.2716,1175.1521
49,824.6470,1234.5575,-97.9864,1102.2272,1256.7762,802.4283,824.6470,1234.5575
50,803.6400,1274.1139,-120.0392,1135.1224,1302.9713,774.7826,803.6400,1274.1139
51,804.3753,1105.0293,-103.7679,1005.7606,1137.3659,772.0387,804.3753,1105.0293
52,809.9823,1155.2537,-96.8230,1040.7072,1180.5518,784.6842,809.9823,1155.2537
53,755.5692,1150.0117,-61.3311,1017.7342,1159.3279,746.2530,755.5692,1150.0117
54,794.5178,1140.0814,-65.0651,1018.7883,1151.9263,782.6729,794.5178,1140.0814
55,755.1123,1093.5551,-65.4640,976.2976,1105.7762,742.8911,755.1123,1093.5551
56,786.0158,1123.7416,-88.8499,1010.4555,1145.6901,764.0673,786.0158,1123.7416
57,756.9433,996.7648,-123.7877,926.2715,1049.1966,704.5115,756.9433,996.7648
58,782.6280,1137.6479,-91.7138,1020.6020,1159.9409,760.3350,782.6280,1137.6479
59,821.3325,1094.3679,-121.7303,1008.8820,1140.7582,774.9422,821.3325,1094.3679
60,813.7637,1101.9029,-107.2885,1007.0974,1137.4631,778.2035,813.7637,1101.9029
61,786.5810,1060.3778,-142.2954,984.7749,1120.9361,726.0227,786.5810,1060.3778
62,839.9194,972.3619,-164.6669,956.8658,1083.6243,728.6570,839.9194,972.3619
63,818.3200,1039.1835,-134.0528,976.2560,1102.4334,755.0701,818.3200,1039.1835
64,854.7881,1025.2281,-131.4515,978.3869,1096.6667,783.3494,854.7881,1025.2281
65,774.7747,1186.3870,-110.2987,1060.7095,1214.0803,747.0814,774.7747,1186.3870
66,681.2452,1130.7534,-95.7304,999.9354,1150.2916,661.7070,681.2452,1130.7534
67,753.8773,1102.4021,-198.1093,1034.5469,1191.9856,664.2938,753.8773,1102.4021
68,625.6543,1112.8136,-93.2075,979.6038,1130.0379,608.4301,625.6543,1112.8136
69,663.4467,1111.5683,-71.8414,976.6079,1122.8040,652.2110,663.4467,1111.5683
70,679.1774,1066.2599,-64.6705,941.5728,1076.7787,668.6587,679.1774,1066.2599
71,666.0704,1249.7066,-130.9481,1106.5559,1277.7404,638.0366,666.0704,1249.7066
72,655.2649,1163.8653,-85.5843,1021.4149,1177.8807,641.2495,655.2649,1163.8653
73,673.1772,1088.6427,-82.2820,962.1705,1104.3450,657.4749,673.1772,1088.6427
74,707.9967,1152.7617,-51.3999,1010.8873,1158.6245,702.1339,707.9967,1152.7617
75,640.2479,1167.2276,-86.4430,1023.4450,1181.0449,626.4306,640.2479,1167.2276
76,709.0710,1145.2532,-57.4205,1006.0875,1152.6856,701.6386,709.0710,1145.2532
77,773.1289,1056.9920,-64.4014,954.0503,1070.9197,759.2012,773.1289,1056.9920
78,667.7125,1155.9196,-46.0893,1008.2365,1160.2325,663.3996,667.7125,1155.9196
79,980.8343,1298.0211,-106.1765,1186.4111,1330.2818,948.5735,980.8343,1298.0211
80,713.0670,1124.3181,-100.6912,1000.6286,1147.6479,689.7372,713.0670,1124.3181
81,725.0143,1395.4178,-153.4567,1237.6533,1428.8747,691.5575,725.0143,1395.4178
82,739.3163,1272.7583,-194.4350,1157.1284,1336.1055,675.9690,739.3163,1272.7583
83,697.4878,1146.7536,-134.8320,1027.7282,1184.1123,660.1291,697.4878,1146.7536
84,672.8979,1140.8647,-91.6012,1005.9079,1158.1561,655.6066,672.8979,1140.8647
85,743.8966,1163.6916,-154.8215,1055.3687,1214.6133,692.9749,743.8966,1163.6916
86,708.8637,1148.7023,-117.2607,1024.1980,1178.0109,679.5551,708.8637,1148.7023
87,725.9462,1075.9378,-82.1292,961.1466,1094.2520,707.6321,725.9462,1075.9378
88,655.9356,1104.9367,-78.1728,971.9580,1118.1576,642.7147,655.9356,1104.9367
89,711.4072,1134.0787,-100.5892,1007.8678,1156.7964,688.6896,711.4072,1134.0787
90,742.1242,994.2423,-61.0289,901.4368,1008.2383,728.1282,742.1242,994.2423
91,747.8958,1092.2786,-80.4797,977.2108,1110.1578,730.0165,747.8958,1092.2786
92,710.1303,1044.3060,-76.9025,933.2785,1061.1539,693.2824,710.1303,1044.3060
93,777.8750,1082.0718,-46.1629,969.8687,1088.9228,771.0239,777.8750,1082.0718
94,799.1622,1083.3882,-77.1375,982.0580,1102.9734,779.5771,799.1622,1083.3882
95,766.6931,999.3631,-181.7925,958.8982,1098.8576,667.1986,766.6931,999.3631
96,724.5582,1112.1955,-75.0709,986.4177,1126.2261,710.5276,724.5582,1112.1955
97,328.7784,1439.7733,-238.2728,1370.4006,1488.7189,279.8328,328.7784,1439.7733
98,846.7232,1625.5393,-325.2750,1516.6898,1743.5192,728.7434,846.7232,1625.5393
99,753.4135,1343.1312,27.8051,1167.0559,1344.4393,752.1054,753.4135,1343.1312
100,757.7651,1332.6791,30.3627,1158.9433,1334.2782,756.1661,757.7651,1332.6791
101,727.9298,1324.9212,46.6737,1152.1213,1328.5481,724.3028,727.9298,1324.9212
102,754.6293,955.0353,-98.5860,888.8295,995.4020,714.2626,754.6293,955.0353
103,738.4030,1298.9974,57.8349,1132.9097,1304.9019,732.4986,738.4030,1298.9974
104,702.6571,918.7063,-42.4646,835.2380,926.7530,694.6104,702.6571,918.7063
105,734.6221,1224.4980,30.1583,1068.7611,1226.3476,732.7725,734.6221,1224.4980
106,708.9118,1374.4576,35.7704,1192.1237,1376.3746,706.9948,708.9118,1374.4576
107,763.7449,975.0725,-94.1004,903.2888,1010.8997,727.9176,763.7449,975.0725
108,722.7330,983.4085,-70.9026,890.9405,1001.4456,704.6959,722.7330,983.4085
109,822.9031,1521.1496,-92.4731,1328.5182,1533.1888,810.8639,822.9031,1521.1496
110,824.3274,1535.7299,-17.3532,1331.5183,1536.1529,823.9044,824.3274,1535.7299
111,768.4884,1507.1413,-42.4084,1307.3730,1509.5682,766.0615,768.4884,1507.1413
112,794.5810,1612.8799,-66.4640,1401.5810,1618.2431,789.2178,794.5810,1612.8799
113,783.1291,1525.1711,-10.7287,1321.1274,1525.3262,782.9741,783.1291,1525.1711
114,776.7351,1366.5206,-11.7918,1187.3031,1366.7563,776.4994,776.7351,1366.5206
115,760.5718,1491.1116,-53.1458,1294.7043,1494.9576,756.7257,760.5718,1491.1116
116,733.3965,1368.6844,26.5690,1187.2223,1369.7936,732.2873,733.3965,1368.6844
117,742.0120,1421.1780,-7.6662,1231.2489,1421.2645,741.9255,742.0120,1421.1780
118,728.5579,1252.0503,12.3419,1089.3541,1252.3411,728.2671,728.5579,1252.0503
119,787.0294,1372.2919,-83.4666,1201.4434,1383.9626,775.3587,787.0294,1372.2919
120,730.6475,1332.9873,22.5450,1156.8414,1333.8300,729.8049,730.6475,1332.9873
121,725.0897,1254.5720,3.6911,1090.9031,1254.5978,725.0640,725.0897,1254.5720
122,812.6634,1322.7164,5.9964,1155.5021,1322.7869,812.5929,812.6634,1322.7164
123,779.7196,1288.7434,51.4122,1127.7825,1293.8842,774.5788,779.7196,1288.7434
124,808.7356,1617.6320,-158.8767,1427.6818,1647.7182,778.6494,808.7356,1617.6320
125,833.5123,1753.0019,-108.8464,1530.4092,1765.7111,820.8031,833.5123,1753.0019
126,952.1882,1538.1983,-258.7598,1417.3680,1636.1006,854.2859,952.1882,1538.1983
127,833.0767,1525.4056,-183.2223,1360.4449,1570.9045,787.5777,833.0767,1525.4056
128,823.0124,1442.7253,-185.7137,1294.1768,1494.1175,771.6202,823.0124,1442.7253
129,839.5288,1570.2820,-102.8237,1372.5944,1584.4746,825.3362,839.5288,1570.2820
130,841.7442,1345.4452,-171.7506,1214.3847,1398.4339,788.7555,841.7442,1345.4452
131,794.8538,1425.7022,-131.6672,1258.2540,1452.0801,768.4759,794.8538,1425.7022
132,813.4472,1304.9674,-110.0696,1157.3505,1328.4903,789.9242,813.4472,1304.9674
133,844.0080,1267.4214,-143.3960,1144.8493,1311.4140,800.0153,844.0080,1267.4214
134,788.5718,1327.8723,-91.5843,1167.5319,1343.0008,773.4433,788.5718,1327.8723
135,757.6623,1243.7186,-99.6928,1099.2659,1263.3716,738.0094,757.6623,1243.7186
136,710.4319,1165.7179,-110.9798,1035.5666,1191.3294,684.8204,710.4319,1165.7179
137,788.4774,1278.5477,-96.2489,1129.6311,1296.7730,770.2521,788.4774,1278.5477
138,795.8143,1263.8259,-73.8865,1114.0840,1275.2135,784.4267,795.8143,1263.8259
139,834.2680,1628.5856,48.2439,1413.0108,1631.5050,831.3486,834.2680,1628.5856
140,822.9746,1523.3123,273.2300,1402.8842,1617.2976,728.9894,822.9746,1523.3123
141,861.3725,1712.3547,303.2043,1573.1956,1809.3341,764.3930,861.3725,1712.3547
142,654.0717,1394.2429,127.1922,1228.1375,1415.4899,632.8247,654.0717,1394.2429
143,773.6284,1459.7450,61.7506,1269.4470,1465.2583,768.1152,773.6284,1459.7450
144,841.4365,1404.9575,153.7248,1253.2488,1444.1648,802.2293,841.4365,1404.9575
145,803.6403,1416.3359,115.6489,1246.4929,1437.4384,782.5379,803.6403,1416.3359
146,787.8943,1371.7748,98.6833,1204.5518,1388.0025,771.6666,787.8943,1371.7748
147,787.0435,1305.2429,122.4866,1157.9389,1332.7364,759.5500,787.0435,1305.2429
148,771.5830,1241.9102,114.1519,1103.8734,1268.1516,745.3416,771.5830,1241.9102
149,789.8373,1357.2033,119.8551,1198.7367,1381.4834,765.5572,789.8373,1357.2033
150,740.9862,1158.9635,114.8712,1035.8895,1188.4526,711.4971,740.9862,1158.9635
151,799.7226,1247.0759,64.3605,1099.9393,1256.1513,790.6472,799.7226,1247.0759
152,797.6687,1120.0550,201.5810,1057.9558,1216.9668,700.7569,797.6687,1120.0550
153,745.1222,1254.2031,120.3687,1112.2787,1281.2287,718.0966,745.1222,1254.2031
154,912.6520,1192.0350,43.1453,1082.3828,1198.5462,906.1408,912.6520,1192.0350
155,836.9968,1199.6568,41.5700,1068.0896,1204.3607,832.2929,836.9968,1199.6568
156,848.7681,1215.1124,77.8342,1087.9942,1230.9634,832.9171,848.7681,1215.1124
157,883.8382,1209.0716,59.6561,1088.6124,1219.6688,873.2410,883.8382,1209.0716
158,792.5917,1146.0568,81.5912,1026.2866,1163.9818,774.6668,792.5917,1146.0568
159,831.7116,1218.7084,90.6455,1089.9680,1238.8879,811.5321,831.7116,1218.7084
160,809.3428,1207.1812,109.6377,1082.2939,1235.3947,781.1293,809.3428,1207.1812
161,845.9928,1192.5141,99.3246,1076.3510,1218.9648,819.5421,845.9928,1192.5141
162,827.5634,1192.0072,105.3866,1073.5920,1220.2874,799.2831,827.5634,1192.0072
163,745.4094,1100.0897,58.2865,977.7562,1109.4226,736.0764,745.4094,1100.0897
164,840.2178,1175.3002,96.1530,1061.8496,1200.9311,814.5869,840.2178,1175.3002
165,904.6174,1215.6483,37.5957,1095.7541,1220.1281,900.1375,904.6174,1215.6483
166,771.9715,1111.8924,88.3055,998.6436,1133.4637,750.4002,771.9715,1111.8924
167,804.6664,1105.7284,123.2040,1012.8763,1149.7194,760.6754,804.6664,1105.7284
168,753.8409,978.7960,170.0373,935.5209,1070.1907,662.4462,753.8409,978.7960
169,784.8534,1089.1132,90.4809,985.8644,1113.9870,759.9796,784.8534,1089.1132
170,827.4551,1074.1239,139.2053,1003.8771,1136.7721,764.8070,827.4551,1074.1239
171,746.2804,914.6021,139.3301,876.9951,993.2169,667.6656,746.2804,914.6021
172,775.3594,1066.4630,114.2033,975.0696,1105.9186,735.9039,775.3594,1066.4630
173,852.7954,1068.1981,128.9481,1003.6112,1128.5062,792.4873,852.7954,1068.1981
174,765.5851,1015.8079,150.6442,953.0896,1086.5192,694.8738,765.5851,1015.8079
175,837.0546,930.2089,211.1937,959.7509,1099.9006,667.3629,837.0546,930.2089
176,871.1575,1185.8629,210.4493,1124.7131,1291.2815,765.7389,871.1575,1185.8629
177,764.6727,882.5963,215.8854,910.2872,1047.4268,599.8422,764.6727,882.5963
178,767.8627,1189.5706,96.0160,1057.7909,1210.4027,747.0306,767.8627,1189.5706
179,942.6359,1139.5107,9.4164,1055.0684,1139.9600,942.1866,942.6359,1139.5107
180,682.2841,1105.7859,80.5665,976.3640,1120.5949,667.4750,682.2841,1105.7859
