vid,x,y,z
0,0.60763139,-0.01585658,0.00000000
1,0.56069916,-0.23469938,0.00000000
2,0.57126444,-0.11835882,0.02717370
3,0.54308171,0.07324311,0.06296344
4,0.52984959,-0.03017020,0.07634412
5,0.52338525,-0.24317798,0.03339338
6,0.52010776,-0.10898309,0.07429321
7,0.47930772,0.17398044,0.09532433
8,0.49649926,0.06261515,0.10035997
9,0.47698129,-0.02742912,0.11347153
10,0.48582804,-0.31975612,0.02721063
11,0.46723767,0.30558098,0.05320585
12,0.45680283,-0.24041639,0.08288937
13,0.43271078,0.14716061,0.12881385
14,0.44936334,-0.32055503,0.05271167
15,0.41720343,-0.44205052,0.00000000
16,0.43580967,0.42371842,0.00000000
17,0.41957162,-0.25067772,0.09916229
18,0.38217987,-0.35342681,0.07194887
19,0.38808598,-0.43953694,0.01927746
20,0.38684658,0.10760085,0.15494549
21,0.39061195,-0.00681267,0.15626859
22,0.36853126,0.36001074,0.08522406
23,0.37251307,-0.41818320,0.04092135
24,0.37184552,-0.11744048,0.15075451
25,0.34799718,0.21462879,0.14952007
26,0.34212608,-0.26340827,0.12308942
27,0.34108620,-0.34878178,0.08948165
28,0.34258246,0.28875953,0.12875387
29,0.31753462,-0.40959823,0.06700136
30,0.30596434,0.03586660,0.18070416
31,0.33431774,-0.19083598,0.14546867
32,0.31547208,-0.03198972,0.17548202
33,0.32505254,0.13082432,0.17146111
34,0.29092900,-0.50692288,0.01834679
35,0.30443240,0.46923066,0.04775546
36,0.29711965,-0.10749470,0.16900475
37,0.28753497,0.25188003,0.15811004
38,0.29931060,-0.34177447,0.10321653
39,0.27356793,-0.27307597,0.13200769
40,0.28241491,-0.40835394,0.07692381
41,0.25325712,0.01322176,0.18687067
42,0.28086706,-0.47496502,0.04146225
43,0.28332125,0.35626462,0.12213389
44,0.25954157,0.08552574,0.18710798
45,0.26136184,-0.19946676,0.15361672
46,0.28731889,-0.06491109,0.17626418
47,0.24380596,-0.47345805,0.05109285
48,0.25226613,0.32615138,0.14334930
49,0.24461579,-0.16421175,0.16241315
50,0.24377838,-0.40982791,0.08280181
51,0.22150384,-0.35271943,0.10787329
52,0.23261209,-0.56156832,0.00000000
53,0.21588987,0.56820679,0.00000000
54,0.21983827,-0.31623300,0.12057368
55,0.23419901,-0.01974368,0.18528558
