vid,x,y,z
0,0.60763139,-0.01585658,0.00000000
1,0.56069916,-0.23469938,0.00000000
2,0.57124437,-0.11871412,0.02861774
3,0.54222197,0.07220784,0.06750470
4,0.52921280,-0.03134478,0.08061250
5,0.52442185,-0.24469379,0.03236668
6,0.51987168,-0.11058910,0.07805718
7,0.47588342,0.17439760,0.09600591
8,0.49446227,0.06160100,0.10530033
9,0.47570133,-0.02846747,0.11876419
10,0.48711716,-0.32160667,0.02910458
11,0.46608417,0.30530585,0.05144027
12,0.45733614,-0.24470391,0.08603308
13,0.42855427,0.14722292,0.12901273
14,0.45063648,-0.32429198,0.05531152
15,0.41720343,-0.44205052,0.00000000
16,0.43580967,0.42371842,0.00000000
17,0.42026218,-0.25594291,0.10390735
18,0.38389686,-0.35968299,0.07657692
19,0.38914556,-0.44207439,0.02030040
20,0.38230864,0.10737870,0.15571765
21,0.38826055,-0.00706070,0.16099585
22,0.36650801,0.36069162,0.08338303
23,0.37409606,-0.42305309,0.04341803
24,0.37130206,-0.11931495,0.15793273
25,0.34407033,0.21597154,0.14720825
26,0.34230625,-0.26968045,0.13054861
27,0.34268425,-0.35528102,0.09600102
28,0.33970130,0.29039419,0.12670152
29,0.31900584,-0.41567311,0.07221711
30,0.30265723,0.03591132,0.18274585
31,0.33399802,-0.19468975,0.15367225
32,0.31363359,-0.03167851,0.18025842
33,0.32089006,0.13124356,0.17089991
34,0.29198416,-0.50952775,0.01930682
35,0.30367176,0.47037845,0.04149403
36,0.29663138,-0.10858514,0.17602502
37,0.28384125,0.25479281,0.15548218
38,0.30021795,-0.34795608,0.11081821
39,0.27326474,-0.27861299,0.13974241
40,0.28344150,-0.41408719,0.08296913
41,0.25051231,0.01328861,0.18908840
42,0.28212068,-0.47842167,0.04516961
43,0.28085750,0.35837687,0.11783993
44,0.25618584,0.08589932,0.18747442
45,0.26043953,-0.20321651,0.16114293
46,0.28630351,-0.06501900,0.18189566
47,0.24469077,-0.47599214,0.05603434
48,0.24966435,0.32895994,0.13928374
49,0.24405605,-0.16636146,0.16926548
50,0.24406855,-0.41465518,0.08889745
51,0.22120652,-0.35694465,0.11393177
52,0.23261209,-0.56156832,0.00000000
53,0.21588987,0.56820679,0.00000000
54,0.21934175,-0.32032751,0.12657704
55,0.23241100,-0.01947262,0.18820645
