face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,1349.5280,232.0368,-215.7924,1304.4639,1389.7507,191.8141,1349.5280,232.0368
1,1441.2544,-128.9255,7.8181,1509.9118,1441.2933,-128.9644,1441.2544,-128.9255
2,1380.2245,205.1456,-122.7234,1307.3410,1392.9047,192.4654,1380.2245,205.1456
3,1886.5133,88.8355,26.9240,1844.2910,1886.9164,88.4324,1886.5133,88.8355
4,1995.9355,951.8783,-1060.0825,2522.1554,2655.5535,292.2602,1995.9355,951.8783
5,1806.9766,338.8288,-262.5851,1724.6931,1852.5278,293.2775,1806.9766,338.8288
6,1412.6318,493.5568,-457.0793,1472.6429,1601.2425,304.9461,1412.6318,493.5568
7,1326.6823,95.8933,-600.3023,1650.1970,1570.9814,-148.4059,1326.6823,95.8933
8,516.1865,1142.8128,-155.3168,1027.1003,1179.1973,479.8020,516.1865,1142.8128
9,550.0817,1050.0462,-210.8288,980.2663,1127.0806,473.0473,550.0817,1050.0462
10,960.2504,1021.3061,-196.0738,1048.7002,1189.2143,792.3422,960.2504,1021.3061
11,1019.1889,1249.2031,143.3710,1178.0264,1317.9945,950.3975,1019.1889,1249.2031
12,1032.1369,859.5777,-149.9250,992.1750,1118.8362,772.8785,1032.1369,859.5777
13,860.9947,998.3049,-482.4486,1255.6509,1416.9589,442.3407,860.9947,998.3049
14,295.4722,651.8667,624.9321,1221.1658,1123.5113,-176.1723,295.4722,651.8667
15,737.1958,786.9128,457.0779,1099.7005,1219.8076,304.3010,737.1958,786.9128
16,872.0472,1209.0171,506.9244,1392.4028,1574.7227,506.3416,872.0472,1209.0171
17,882.5597,969.7236,343.0000,1102.8978,1271.8993,580.3839,882.5597,969.7236
18,1109.5647,1140.9443,277.4081,1223.8472,1403.1059,847.4030,1109.5647,1140.9443
19,1585.7137,927.0414,266.6403,1455.0473,1680.1220,832.6331,1585.7137,927.0414
20,1690.0060,694.3079,66.3328,1475.8047,1694.4056,689.9083,1690.0060,694.3079
21,1610.0988,905.2319,129.2612,1415.7950,1633.0555,882.2751,1610.0988,905.2319
22,1540.8219,1084.3826,-23.9013,1371.4558,1542.0701,1083.1344,1540.8219,1084.3826
23,1236.9334,177.9923,221.5059,1220.1293,1281.4000,133.5256,1236.9334,177.9923
24,1614.3937,161.1321,206.4105,1581.1122,1643.1420,132.3838,1614.3937,161.1321
25,1545.3031,192.6419,259.3718,1526.1729,1593.3321,144.6129,1545.3031,192.6419
26,1827.3279,115.8286,297.4166,1845.6047,1877.5386,65.6179,1827.3279,115.8286
27,1824.2399,615.1873,1220.8868,2656.2664,2582.0706,-142.6434,1824.2399,615.1873
28,1274.0859,202.0202,527.3355,1496.9851,1489.9932,-13.8871,1274.0859,202.0202
29,1328.5724,298.4467,884.3345,1950.3357,1836.9045,-209.8855,1328.5724,298.4467
30,836.8491,966.4711,179.7548,960.4831,1092.7419,710.5783,836.8491,966.4711
31,368.0539,747.4246,479.4694,1052.9422,1073.3664,42.1120,368.0539,747.4246
32,808.3281,729.4735,211.9200,854.7527,984.4573,553.3443,808.3281,729.4735
33,908.1886,999.8317,280.7515,1073.7311,1238.4764,669.5439,908.1886,999.8317
34,2057.0572,552.5385,5.6599,1843.9837,2057.0785,552.5172,2057.0572,552.5385
35,806.3148,858.6464,-408.4255,1093.3948,1241.7434,423.2178,806.3148,858.6464
36,512.4823,1073.8041,369.1587,1128.8145,1256.8766,329.4098,512.4823,1073.8041
37,1372.6993,1036.4284,-301.1041,1344.5347,1549.4308,859.6969,1372.6993,1036.4284
38,1333.5851,1235.9408,-466.5792,1520.1497,1753.8895,815.6364,1333.5851,1235.9408
39,883.9959,756.3649,-347.5885,1023.4093,1173.5785,466.7823,883.9959,756.3649
40,1648.1972,785.4760,-21.2588,1428.3778,1648.7207,784.9524,1648.1972,785.4760
41,1483.9790,1077.4548,-208.2413,1376.3269,1571.7151,989.7188,1483.9790,1077.4548
42,1400.2494,186.4855,-69.3210,1322.4088,1404.1956,182.5393,1400.2494,186.4855
43,1331.2536,210.0045,-174.3200,1275.9041,1357.7299,183.5282,1331.2536,210.0045
44,1339.9423,104.7139,62.2937,1295.2765,1343.0758,101.5803,1339.9423,104.7139
45,1315.9127,351.6780,-322.0486,1305.2479,1413.5819,254.0088,1315.9127,351.6780
46,1364.8576,634.4398,-117.5626,1200.3720,1383.3133,615.9841,1364.8576,634.4398
47,1279.3864,283.2343,-293.3567,1269.9841,1359.3570,203.2637,1279.3864,283.2343
48,1370.1830,457.0002,-31.7056,1209.5836,1371.2825,455.9007,1370.1830,457.0002
49,1367.4130,439.3437,-84.9361,1218.0802,1375.1222,431.6344,1367.4130,439.3437
50,1362.7107,345.1715,40.4218,1229.0878,1364.3139,343.5682,1362.7107,345.1715
51,1060.1119,343.3185,212.7008,1006.7143,1118.4763,284.9541,1060.1119,343.3185
52,1424.4359,639.3178,-200.8390,1283.7783,1472.8291,590.9245,1424.4359,639.3178
53,1210.8680,715.3112,-118.7701,1074.2639,1237.8631,688.3161,1210.8680,715.3112
54,1235.3841,685.9981,-121.2306,1092.4224,1260.9462,660.4361,1235.3841,685.9981
55,1194.2721,724.6801,-146.7616,1072.6597,1236.3662,682.5860,1194.2721,724.6801
56,1287.7169,612.0232,-156.3447,1148.0442,1322.1389,577.6011,1287.7169,612.0232
57,1114.4422,646.9118,-144.0613,1000.8953,1155.2673,606.0867,1114.4422,646.9118
58,1292.1720,675.1445,-162.4343,1154.2446,1332.3209,634.9956,1292.1720,675.1445
59,1374.3316,649.7150,-239.4642,1260.9609,1446.3163,577.7303,1374.3316,649.7150
60,1410.9472,571.4976,-190.5944,1272.7950,1452.1943,530.2504,1410.9472,571.4976
61,1219.8385,603.9282,-237.3904,1133.6238,1300.7157,523.0511,1219.8385,603.9282
62,1362.2172,314.7811,-397.9598,1414.5807,1496.2625,180.7358,1362.2172,314.7811
63,1325.5655,435.2273,-247.4223,1246.3057,1389.7031,371.0897,1325.5655,435.2273
64,1465.0906,300.2148,-306.0052,1441.4212,1540.5837,224.7218,1465.0906,300.2148
65,1314.9186,832.5076,-209.1819,1207.7547,1392.9891,754.4371,1314.9186,832.5076
66,1061.1720,750.9420,-101.0169,961.1111,1091.1653,720.9487,1061.1720,750.9420
67,1105.6945,760.7112,-195.6339,1036.7958,1194.0208,672.3849,1105.6945,760.7112
68,1038.1858,792.2203,-183.8116,992.1346,1136.3624,694.0437,1038.1858,792.2203
69,979.8941,786.8087,-87.3173,911.6710,1013.5236,753.1792,979.8941,786.8087
70,970.9137,877.1574,-122.5112,951.5574,1055.2094,792.8618,970.9137,877.1574
71,1069.1901,888.8925,-216.3226,1059.8531,1213.3963,744.6863,1069.1901,888.8925
