face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,904.9187,1231.8062,-65.7109,1111.0777,1244.5209,892.2041,904.9187,1231.8062
1,407.6088,-1133.9893,820.8368,1983.8397,762.8223,-1489.2028,407.6088,-1133.9893
2,955.8757,1250.1330,-26.5465,1132.9931,1252.5087,953.5000,955.8757,1250.1330
3,630.5916,-834.3544,-731.2056,1795.5264,933.0961,-1136.8588,630.5916,-834.3544
4,699.2445,1091.4661,-79.8104,967.5477,1107.0842,683.6263,699.2445,1091.4661
5,888.5039,1083.1063,-103.1842,1015.9504,1127.6307,843.9795,888.5039,1083.1063
6,844.6552,1023.1998,-165.0143,988.8470,1121.5422,746.3128,844.6552,1023.1998
7,831.3355,863.6957,-245.6182,948.7113,1093.6662,601.3650,831.3355,863.6957
8,-73.9655,1092.0144,220.5310,1193.5827,1132.3311,-114.2822,-73.9655,1092.0144
9,930.3350,1042.5172,209.0229,1055.2473,1202.8442,770.0080,930.3350,1042.5172
10,829.9000,1151.5389,-77.8096,1037.9194,1169.3734,812.0655,829.9000,1151.5389
11,856.4511,1348.7172,50.4498,1185.3573,1353.8344,851.3339,856.4511,1348.7172
12,799.4283,1104.4037,-18.6345,988.4044,1105.5381,798.2939,799.4283,1104.4037
13,793.2799,1053.8683,-97.7500,965.7039,1086.4594,760.6887,793.2799,1053.8683
14,440.6000,901.2693,-188.2650,845.9590,968.4204,373.4489,440.6000,901.2693
15,651.3320,1212.7837,86.9873,1062.0044,1225.9521,638.1637,651.3320,1212.7837
16,891.4107,1237.5109,134.1383,1129.9978,1283.4115,845.5101,891.4107,1237.5109
17,727.5203,1264.4902,92.8045,1110.9081,1280.0771,711.9333,727.5203,1264.4902
18,782.0490,1369.4226,2.9612,1189.9537,1369.4376,782.0341,782.0490,1369.4226
19,871.8808,1230.3317,-37.5960,1097.9208,1234.2325,867.9800,871.8808,1230.3317
20,895.6077,763.9529,-268.8769,958.3420,1106.5980,552.9626,895.6077,763.9529
21,918.8336,1186.7481,-112.7371,1095.5962,1227.8742,877.7075,918.8336,1186.7481
22,363.7004,890.9748,113.2526,800.3403,914.2709,340.4043,363.7004,890.9748
23,796.9262,1217.8952,101.2340,1085.6024,1240.9745,773.8469,796.9262,1217.8952
24,883.6259,1225.2766,175.8606,1136.7463,1299.6211,809.2814,883.6259,1225.2766
25,898.7066,1175.2276,178.3243,1108.1730,1262.6118,811.3224,898.7066,1175.2276
26,999.4979,1202.0912,147.5612,1143.6147,1279.7787,921.8103,999.4979,1202.0912
27,951.6518,999.0710,433.7259,1231.8160,1409.7348,540.9879,951.6518,999.0710
28,851.9717,953.3560,206.7221,975.0452,1115.5105,689.8171,851.9717,953.3560
29,838.7054,1119.1532,145.4839,1039.6093,1180.9895,776.8691,838.7054,1119.1532
30,838.2122,1110.1499,57.1345,1007.1168,1121.6662,826.6958,838.2122,1110.1499
31,831.8861,853.5068,247.8718,945.9436,1090.8039,594.5890,831.8861,853.5068
32,748.1147,1037.6771,118.0018,949.6953,1079.6739,706.1180,748.1147,1037.6771
33,887.8935,1119.4231,127.1053,1046.9010,1175.5805,831.7361,887.8935,1119.4231
34,915.7290,1271.2038,-16.1146,1136.3184,1271.9328,915.0000,915.7290,1271.2038
35,695.9713,1208.6070,-68.4262,1057.3541,1217.5833,686.9950,695.9713,1208.6070
36,681.1086,920.9775,89.5536,841.9515,950.7231,651.3630,681.1086,920.9775
37,825.2222,1270.3279,52.6170,1120.1462,1276.4634,819.0868,825.2222,1270.3279
38,831.8524,1266.2877,33.3610,1115.9917,1268.8347,829.3055,831.8524,1266.2877
39,775.9189,1222.9299,-57.1354,1076.3394,1230.1172,768.7316,775.9189,1222.9299
40,879.0564,746.6128,387.4740,1060.3133,1205.9267,419.7425,879.0564,746.6128
41,818.8910,1293.4099,101.7542,1146.9052,1314.3092,797.9916,818.8910,1293.4099
42,997.5166,1241.4961,-7.2227,1139.3399,1241.7097,997.3030,997.5166,1241.4961
43,858.5193,1218.4696,-96.3045,1097.0267,1242.6160,834.3729,858.5193,1218.4696
44,795.7702,1196.4823,109.2467,1071.6807,1224.3309,767.9215,795.7702,1196.4823
45,864.9296,1273.6398,-47.3195,1129.3229,1279.0468,859.5226,864.9296,1273.6398
46,767.9680,1185.3569,-65.1128,1047.4964,1195.2787,758.0463,767.9680,1185.3569
47,895.4525,1252.1209,-56.6345,1121.6281,1260.8978,886.6756,895.4525,1252.1209
48,787.9393,1203.8190,-90.7165,1070.5983,1222.7458,769.0125,787.9393,1203.8190
49,809.6732,1265.7004,-92.6630,1121.8395,1283.8100,791.5636,809.6732,1265.7004
50,788.9187,1299.7647,-117.1214,1152.1826,1325.3370,763.3465,788.9187,1299.7647
51,794.2476,1137.0102,-88.6158,1021.8180,1158.5649,772.6928,794.2476,1137.0102
52,795.1296,1179.2206,-82.1352,1051.3790,1196.0475,778.3028,795.1296,1179.2206
53,742.7217,1164.6414,-55.1161,1025.7359,1171.7225,735.6406,742.7217,1164.6414
54,778.7826,1159.9747,-60.6687,1029.4258,1169.3975,769.3598,778.7826,1159.9747
55,743.5056,1110.3140,-55.9334,984.6110,1118.6535,735.1661,743.5056,1110.3140
56,770.0170,1146.0194,-81.9565,1021.7548,1163.1068,752.9297,770.0170,1146.0194
57,744.3693,1018.2812,-114.7341,934.0754,1059.9894,702.6611,744.3693,1018.2812
58,766.6197,1161.4907,-85.4988,1033.5738,1179.2082,748.9022,766.6197,1161.4907
59,802.9696,1119.3835,-115.1750,1019.1882,1156.8669,765.4862,802.9696,1119.3835
60,792.8396,1126.5138,-103.2383,1018.0656,1155.8724,763.4809,792.8396,1126.5138
61,771.3621,1086.8201,-134.8077,996.1751,1136.5798,721.6024,771.3621,1086.8201
62,822.5819,1005.3046,-153.9549,965.1110,1092.9656,734.9209,822.5819,1005.3046
63,800.5632,1070.2374,-126.6455,988.7538,1120.3872,750.4134,800.5632,1070.2374
64,834.0516,1061.5882,-122.5701,991.0916,1115.0523,780.5876,834.0516,1061.5882
65,766.2485,1200.8952,-97.4812,1066.5878,1221.7567,745.3870,766.2485,1200.8952
66,681.3822,1141.6448,-77.7108,1003.9198,1154.4114,668.6156,681.3822,1141.6448
67,742.5203,1119.2925,-186.3043,1037.8740,1195.8566,665.9562,742.5203,1119.2925
68,625.1698,1119.3222,-77.4223,980.7832,1131.1686,613.3235,625.1698,1119.3222
69,661.2819,1122.9833,-59.6593,983.0841,1130.5677,653.6975,661.2819,1122.9833
70,675.0411,1075.4149,-56.0214,946.3951,1083.1058,667.3502,675.0411,1075.4149
71,665.6002,1254.1812,-116.1452,1105.2963,1276.2711,643.5102,665.6002,1254.1812
72,653.8795,1169.3982,-72.8873,1022.9090,1179.5053,643.7723,653.8795,1169.3982
73,669.6292,1095.6492,-73.7315,965.1325,1108.0490,657.2293,669.6292,1095.6492
74,703.2934,1155.6410,-49.5626,1012.2956,1161.0078,697.9266,703.2934,1155.6410
75,641.0618,1173.6463,-72.9860,1025.6739,1183.4673,631.2409,641.0618,1173.6463
76,707.3233,1149.3247,-54.6795,1008.6024,1155.9886,700.6594,707.3233,1149.3247
77,761.4341,1065.5315,-61.0724,956.5546,1077.3384,749.6272,761.4341,1065.5315
78,669.3772,1156.2765,-43.3302,1008.3098,1160.1025,665.5512,669.3772,1156.2765
79,946.4017,1309.9399,-95.4560,1182.8884,1333.4800,922.8616,946.4017,1309.9399
80,711.3523,1140.7030,-85.4707,1008.8109,1157.0920,694.9632,711.3523,1140.7030
81,723.5929,1402.1120,-140.8725,1238.7419,1430.1971,695.5078,723.5929,1402.1120
82,735.9267,1286.2183,-181.4593,1161.1053,1340.6672,681.4778,735.9267,1286.2183
83,694.2678,1164.0255,-124.8365,1037.0970,1195.1396,663.1537,694.2678,1164.0255
84,671.4564,1154.7985,-79.3719,1013.8620,1167.4989,658.7561,671.4564,1154.7985
85,738.7354,1180.6099,-146.7487,1063.9628,1224.9054,694.4399,738.7354,1180.6099
86,703.8331,1165.0739,-110.1686,1034.0077,1190.0369,678.8701,703.8331,1165.0739
87,721.0321,1091.1644,-77.1568,970.3721,1106.6043,705.5923,721.0321,1091.1644
88,652.3735,1115.8934,-68.4164,978.1986,1125.7809,642.4860,652.3735,1115.8934
