vid,x,y,z
0,0.60763139,-0.01585658,0.00000000
1,0.56069916,-0.23469938,0.00000000
2,0.57132304,-0.11838860,0.02727340
3,0.54320034,0.07323371,0.06323610
4,0.52997792,-0.03022017,0.07664357
5,0.52342708,-0.24324537,0.03356540
6,0.52022013,-0.10904588,0.07458277
7,0.47941935,0.17396570,0.09577339
8,0.49663751,0.06258025,0.10077940
9,0.47711147,-0.02750386,0.11391089
10,0.48588105,-0.31982494,0.02734526
11,0.46730081,0.30560031,0.05346225
12,0.45685929,-0.24053308,0.08327614
13,0.43279498,0.14712157,0.12937604
14,0.44943540,-0.32067044,0.05296684
15,0.41720343,-0.44205052,0.00000000
16,0.43580967,0.42371842,0.00000000
17,0.41961168,-0.25080814,0.09959967
18,0.38223857,-0.35356848,0.07228574
19,0.38811555,-0.43960083,0.01937386
20,0.38688668,0.10753676,0.15555321
21,0.39067617,-0.00690491,0.15682249
22,0.36862957,0.36008684,0.08556608
23,0.37256035,-0.41829659,0.04112615
24,0.37186681,-0.11754970,0.15126076
25,0.34802878,0.21462491,0.15010855
26,0.34210866,-0.26353538,0.12354458
27,0.34112034,-0.34892395,0.08986337
28,0.34265811,0.28881390,0.12926502
29,0.31757294,-0.40973101,0.06730347
30,0.30591952,0.03576900,0.18124772
31,0.33427519,-0.19094265,0.14593910
32,0.31545275,-0.03208803,0.17598495
33,0.32501134,0.13075506,0.17206948
34,0.29095690,-0.50698910,0.01843159
35,0.30449761,0.46931762,0.04796023
36,0.29707648,-0.10758614,0.16943518
37,0.28757476,0.25190706,0.15867491
38,0.29931224,-0.34189789,0.10359859
39,0.27351468,-0.27317019,0.13237048
40,0.28243641,-0.40847794,0.07724075
41,0.25316846,0.01312739,0.18729923
42,0.28090396,-0.47506499,0.04165900
43,0.28341390,0.35636187,0.12261015
44,0.25947897,0.08544813,0.18760647
45,0.26128342,-0.19953669,0.15395977
46,0.28727573,-0.06500472,0.17669441
47,0.24383050,-0.47355380,0.05132062
48,0.25234321,0.32622564,0.14387855
49,0.24455062,-0.16427003,0.16271381
50,0.24378158,-0.40993082,0.08309753
51,0.22147575,-0.35278652,0.10813824
52,0.23261209,-0.56156832,0.00000000
53,0.21588987,0.56820679,0.00000000
54,0.21979072,-0.31628425,0.12081766
55,0.23411897,-0.01982317,0.18562861
