face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,265.7360,476.5733,114.2953,458.5687,526.6426,215.6667,265.7360,476.5733
1,392.9563,650.7365,-26.8136,569.4897,653.4960,390.1968,392.9563,650.7365
2,319.3153,631.5744,-37.0097,550.7143,635.9009,314.9888,319.3153,631.5744
3,359.9849,642.0783,-0.0260,557.4183,642.0783,359.9849,359.9849,642.0783
4,342.5048,524.3367,-17.0725,462.0877,525.9258,340.9157,342.5048,524.3367
5,254.0560,303.3911,92.3484,324.1866,374.3097,183.1374,254.0560,303.3911
6,244.4997,467.9179,-24.4611,407.5740,470.5647,241.8529,244.4997,467.9179
7,341.3332,455.1494,-63.3333,424.6706,483.3862,313.0965,341.3332,455.1494
8,268.7195,432.5858,-77.6015,401.4504,463.5023,237.8030,268.7195,432.5858
9,203.2345,409.1301,-84.8391,383.5823,439.5837,172.7809,203.2345,409.1301
10,131.0060,389.5398,64.0537,360.8052,404.5394,116.0065,131.0060,389.5398
11,336.3314,483.0626,-84.2594,453.0984,521.4206,297.9734,336.3314,483.0626
12,242.3718,711.2042,-19.1901,627.1239,711.9883,241.5877,242.3718,711.2042
13,255.3461,746.7953,-38.4750,660.7984,749.7892,252.3521,255.3461,746.7953
14,240.8587,753.0394,44.2741,670.5116,756.8384,237.0597,240.8587,753.0394
15,272.9326,788.5504,-1.4368,693.6058,788.5544,272.9286,272.9326,788.5504
16,246.3854,725.7646,6.0894,639.3227,725.8420,246.3081,246.3854,725.7646
17,248.9100,718.4867,78.7781,646.4973,731.3504,236.0463,248.9100,718.4867
18,349.2779,1339.8762,-143.1515,1229.1262,1360.1482,329.0059,349.2779,1339.8762
19,255.9593,1202.5170,-423.5258,1319.8065,1364.3499,94.1264,255.9593,1202.5170
20,325.2851,579.4062,-124.9256,547.6029,630.5332,274.1581,325.2851,579.4062
21,327.1454,905.5064,0.3646,794.1877,905.5066,327.1452,327.1454,905.5064
22,350.4229,972.2814,-61.4927,859.5125,978.3038,344.4005,350.4229,972.2814
23,333.6822,897.6923,41.9542,789.2603,900.7960,330.5785,333.6822,897.6923
24,219.0816,485.4514,38.9849,426.4572,491.0398,213.4932,219.0816,485.4514
25,285.9396,554.7912,43.4053,486.3847,561.6252,279.1056,285.9396,554.7912
26,300.8788,781.4735,43.2788,686.8182,785.3397,297.0125,300.8788,781.4735
27,288.9408,660.5522,25.9379,575.3032,662.3539,287.1391,288.9408,660.5522
28,369.0141,299.3241,12.5468,340.2701,371.2041,297.1340,369.0141,299.3241
29,358.1738,543.3264,115.7553,518.7337,598.9718,302.5284,358.1738,543.3264
30,282.3342,639.6520,-36.7902,558.8669,643.4007,278.5855,282.3342,639.6520
31,363.3996,734.5382,-55.4543,643.3508,742.6468,355.2910,363.3996,734.5382
32,435.4418,612.1807,-75.4249,561.1350,639.9925,407.6301,435.4418,612.1807
33,244.0676,795.0354,42.8703,709.3106,798.3512,240.7519,244.0676,795.0354
34,258.9092,510.6089,72.1044,459.5120,529.8013,239.7169,258.9092,510.6089
