run,geometry,factor,sign,value,perturbed,mesh,radius_m,sf_wale,sf_course,pressure,E1,r_ratio,nu,crown_height,h_over_R,max_stress,mean_stress,stress_ratio,boundary_reaction_mean,L_pos,L_pos_max,L_pos_shape,L_target,L_target_max,H_apex,k_min,k_max,k_ratio,fit_rms_mm
A0,2part,baseline,0,nan,nan,2part_opt_simu_m.off,0.5719629579059113,1.1170873855879464,1.1170873855879464,1000.0,5000.0,2.5014,0.198,0.38615626,0.67514207810556,1633.75851647,1012.95790696,1.6128592365432954,43.77567963,0.0,0.0,0.0,0.024591967188114103,0.0918125693388024,1.1812951177577657,0.1997658666207347,2.162824368894797,10.826796416632202,2.126268809224932
A1,2part,s_wale,1,1.1170873855879464,1.1670873855879464,2part_opt_simu_m.off,0.5719629579059113,1.1670873855879464,1.1170873855879464,1000.0,5000.0,2.5014,0.198,0.37118397,0.6489650507420801,1790.73218521,1026.68986605,1.7441802480232047,44.78373807,0.010438101775953097,0.017080519080663187,0.01824961150311098,0.02601384700238625,0.0751120679960311,1.1067867690121997,0.053309303789119244,2.1602642342352802,40.52321228543606,2.3226455256884693
A2,2part,s_wale,-1,1.1170873855879464,1.0670873855879464,2part_opt_simu_m.off,0.5719629579059113,1.0670873855879464,1.1170873855879464,1000.0,5000.0,2.5014,0.198,0.40155326,0.7020616535556418,1787.026669,1015.38632162,1.7599475499619543,46.69614443,0.01083590663008131,0.01730932128474715,0.018945119575145334,0.027611039458566727,0.10891156393850428,1.2397283963937742,0.3254527906323128,2.1540040021552356,6.618483737596115,1.960587451684191
A3,2part,s_course,1,1.1170873855879464,1.1670873855879464,2part_opt_simu_m.off,0.5719629579059113,1.1170873855879464,1.1670873855879464,1000.0,5000.0,2.5014,0.198,0.36516943,0.6384494396926853,2472.62817692,1118.05049799,2.2115532181822037,57.88492884,0.016025229361068847,0.02166498694921601,0.028017949658385083,0.02942753536276417,0.07258813277458306,1.2232627938873277,0.25037657757775644,2.196149010196899,8.771383615206048,1.9242087175606475
A4,2part,s_course,-1,1.1170873855879464,1.0670873855879464,2part_opt_simu_m.off,0.5719629579059113,1.1170873855879464,1.0670873855879464,1000.0,5000.0,2.5014,0.198,0.40746492,0.7123973928168763,1608.07503207,928.64759269,1.7316310780625752,33.56054274,0.016498173348774254,0.022196029589649557,0.02884482835947608,0.029484642907328214,0.11128808622224037,1.1315991615217105,0.13559615890433507,2.127602164139086,15.69072591237734,2.370709633931303
A5,2part,pressure,1,1000.0,1050.0,2part_opt_simu_m.off,0.5719629579059113,1.1170873855879464,1.1170873855879464,1050.0,5000.0,2.5014,0.198,0.38909505,0.6802801555970809,1665.91641051,1054.65415451,1.5795855005037145,44.94298621,0.00221732135012275,0.0037379481139390293,0.0038766869767945756,0.024944946665737513,0.09540233246917239,1.20433399769111,0.2585586620388418,2.1501093333433783,8.315750539505729,2.034054010389358
A6,2part,pressure,-1,1000.0,950.0,2part_opt_simu_m.off,0.5719629579059113,1.1170873855879464,1.1170873855879464,950.0,5000.0,2.5014,0.198,0.38317984,0.6699382096402012,1610.40189033,971.33665001,1.6579235328075193,42.59336312,0.0022603720285352897,0.003863536317274602,0.0039519552748853454,0.02442547432129571,0.08810603435188988,1.1553058467546962,0.1346280472243313,2.175983646285061,16.16292957632528,2.230863645959949
A7,2part,E1,1,5000.0,5500.0,2part_opt_simu_m.off,0.5719629579059113,1.1170873855879464,1.1170873855879464,1000.0,5500.0,2.5014,0.198,0.38071497,0.665628717275478,1750.23593994,1031.08848617,1.6974643431828906,45.77483043,0.004144509178079934,0.007131421026730898,0.00724611466668041,0.024437874770697053,0.08497450597811324,1.1314773164211156,0.07589392360110825,2.187060709241123,28.817336164303754,2.3274521918329296
A8,2part,E1,-1,5000.0,4500.0,2part_opt_simu_m.off,0.5719629579059113,1.1170873855879464,1.1170873855879464,1000.0,4500.0,2.5014,0.198,0.39263872,0.6864757840919299,1566.57095231,995.12385421,1.5742472112214165,41.7168414,0.004873739291601194,0.00815851162848349,0.008521075052561236,0.025605419924848983,0.09969582038789643,1.2291159922955086,0.3230425093234577,2.1351894752675595,6.609623853341313,1.9352250304610408
A9,2part,r,1,2.5014,2.75154,2part_opt_simu_m.off,0.5719629579059113,1.1170873855879464,1.1170873855879464,1000.0,5000.0,2.75154,0.198,0.38388831,0.6711768737708188,1726.6604576,1039.15264363,1.6616042582236776,46.43571059,0.0021992496787206473,0.0034660308488817485,0.003845091099557582,0.024765654755172582,0.08995647195858285,1.19899486530977,0.20822031508704453,2.189769415532495,10.516598318550631,2.1208431563907046
