run,geometry,factor,sign,value,perturbed,mesh,radius_m,sf_wale,sf_course,pressure,E1,r_ratio,nu,crown_height,h_over_R,max_stress,mean_stress,stress_ratio,boundary_reaction_mean,L_pos,L_pos_max,L_pos_shape,L_target,L_target_max,H_apex,k_min,k_max,k_ratio,fit_rms_mm
A0,2part_cable,baseline,0,nan,nan,2part_opt_simu_m.off,0.5719629579059113,1.299156,0.960304,1000.0,5000.0,2.5014,0.198,0.37884003,0.6623506378577748,2850.78730713,931.68632031,3.0598144944120866,62.75937869,0.0,0.0,0.0,0.010262419619134875,0.022488212454559415,1.9829377065020002,1.7122359706437749,2.2536394423602255,1.3161967631791378,16.991634931617302
A1,2part_cable,s_wale,1,1.299156,1.349156,2part_opt_simu_m.off,0.5719629579059113,1.349156,0.960304,1000.0,5000.0,2.5014,0.198,0.37282805,0.6518395026227043,3330.50885439,1028.55887446,3.238034241003986,73.26785593,0.005827406660790494,0.008674918811533615,0.010188433674316917,0.01273138883161938,0.029045597243549656,2.005842818555674,1.7372464803767687,2.274439156734579,1.3092207596479377,16.228213098559078
A2,2part_cable,s_wale,-1,1.299156,1.249156,2part_opt_simu_m.off,0.5719629579059113,1.249156,0.960304,1000.0,5000.0,2.5014,0.198,0.38472996,0.6726483851482015,2361.75947349,841.64437928,2.806125165964288,52.35258073,0.005876527322388972,0.008787900729850116,0.010274314518381216,0.010763349152607423,0.017162812762306766,1.9538118749350897,1.6835096749882688,2.2241140748819106,1.3211174892103954,17.74444246120814
A3,2part_cable,s_course,1,0.960304,1.010304,2part_opt_simu_m.off,0.5719629579059113,1.299156,1.010304,1000.0,5000.0,2.5014,0.198,0.36104403,0.631236734843574,2656.4222404,946.19682738,2.8074732059243743,57.79007494,0.014262878175774946,0.020454982985781234,0.02493671658037899,0.01906123935427206,0.039824973648945494,2.0230393426442017,1.8202569255432444,2.225821759745159,1.2228063678872565,13.629351122039482
A4,2part_cable,s_course,-1,0.960304,0.910304,2part_opt_simu_m.off,0.5719629579059113,1.299156,0.910304,1000.0,5000.0,2.5014,0.198,0.39732016,0.6946606497992125,2977.48477143,928.37882646,3.207187288817694,68.50013176,0.014679514805166992,0.02079361294558745,0.02566514946861609,0.016094627346232432,0.026712303776829132,1.892549340503769,1.5959377832534634,2.189160897754075,1.371708171036137,20.70842792656087
A5,2part_cable,pressure,1,1000.0,1050.0,2part_opt_simu_m.off,0.5719629579059113,1.299156,0.960304,1050.0,5000.0,2.5014,0.198,0.37970131,0.6638564696395276,2847.96082759,949.94084462,2.9980401871542384,63.03240314,0.0012770691242401338,0.001921386303714065,0.0022327829216699244,0.010281463337056235,0.021568808337379227,1.9752962980412279,1.7032191328491468,2.247373463233309,1.3194858018497597,17.0519613924262
A6,2part_cable,pressure,-1,1000.0,950.0,2part_opt_simu_m.off,0.5719629579059113,1.299156,0.960304,950.0,5000.0,2.5014,0.198,0.37798244,0.6608512575427631,2853.42203385,914.04580582,3.121749496230296,62.47521705,0.0013147691644016272,0.001984479547412842,0.002298696351272993,0.010395050246165388,0.02342656415468134,1.9903599029497063,1.7206737321515506,2.260046073747862,1.3134657846620776,16.93816022426339
A7,2part_cable,E1,1,5000.0,5500.0,2part_opt_simu_m.off,0.5719629579059113,1.299156,0.960304,1000.0,5500.0,2.5014,0.198,0.37734446,0.6597358356589128,3142.52124944,990.38840227,3.17301903196488,68.46866623,0.00239461731614653,0.0036349684382948775,0.004186665033193374,0.010607035331732602,0.02416787741695579,1.9964634177193945,1.7278855794631511,2.265041255975638,1.3108745642054491,16.882972012615785
A8,2part_cable,E1,-1,5000.0,4500.0,2part_opt_simu_m.off,0.5719629579059113,1.299156,0.960304,1000.0,4500.0,2.5014,0.198,0.38065623,0.6655260183171136,2557.76456485,875.37157334,2.9219186945845084,57.00195713,0.002746719235519018,0.004155858117801914,0.004802267695053873,0.010496011955009486,0.020529931232473746,1.9652605104714165,1.6902389514763903,2.2402820694664425,1.3254232885294712,17.16011048560526
A9,2part_cable,r,1,2.5014,2.75154,2part_opt_simu_m.off,0.5719629579059113,1.299156,0.960304,1000.0,5000.0,2.75154,0.198,0.37813486,0.6611177433315598,2928.48965115,937.76532253,3.122838497854899,64.65627843,0.0008408367342835779,0.0015433385998541947,0.001470089492092423,0.010401853783373473,0.02312116137368755,1.9928954663252,1.7317992599568848,2.253991672693515,1.3015317218403426,16.869955890286963
