vid,x,y,z
0,-0.34171405,0.28914514,0.18091617
1,-0.33850715,0.21802338,0.23206093
2,-0.13226676,0.20703241,0.31568618
3,-0.18610609,-0.05136494,0.38162497
4,-0.33834951,-0.13831556,0.30856849
5,-0.12175794,-0.09309521,0.38443509
6,-0.06818371,-0.49101026,0.11362335
7,-0.06525075,-0.53138741,0.05103836
8,-0.23591387,-0.36804318,0.21676869
9,-0.33909735,-0.41368586,0.07342154
10,-0.32374423,-0.38503054,0.13343136
11,-0.27565340,-0.49448310,0.00000000
12,-0.21911179,-0.48805334,0.06135506
13,-0.20879980,-0.52514210,0.00000000
14,-0.12022223,0.35659951,0.22768764
15,-0.21542932,0.10050129,0.34562219
16,-0.17142277,0.15775867,0.33241705
17,-0.07733767,0.31319122,0.26461005
18,-0.29481208,0.44773863,0.06081788
19,-0.17782079,0.36255377,0.20827988
20,-0.28793339,0.34426700,0.17324553
21,-0.34914354,0.40448218,0.06505002
22,-0.51922141,-0.17273512,0.06312671
23,-0.50458530,-0.12839360,0.12022453
24,-0.50990705,-0.04526528,0.13391104
25,-0.48843440,-0.28809390,0.00000000
26,-0.46336717,-0.03665970,0.20280940
27,-0.34659379,0.06797002,0.29633338
28,-0.49585280,0.22522895,0.05509824
29,-0.50428450,0.26743460,0.00000000
30,-0.44904167,0.25649316,0.09927904
31,-0.41293628,0.31679668,0.08935981
32,-0.44347363,0.09396885,0.20232155
33,-0.48382617,0.08227710,0.15479925
34,-0.54126236,0.07022768,0.06010095
35,-0.55876270,0.11120940,0.00000000
36,-0.39477323,-0.38309525,0.04405473
37,-0.50571489,0.11301036,0.11000816
38,-0.48064667,0.18592978,0.10835291
39,-0.25034732,0.04542064,0.35162251
40,-0.23867708,-0.21117474,0.33273915
41,-0.17673371,-0.19867017,0.35366294
42,-0.38571815,-0.22440772,0.23036533
43,-0.16041389,0.31478436,0.24853908
44,-0.28185335,-0.14357143,0.34015215
45,-0.47908758,-0.20776358,0.11704243
46,-0.48547745,-0.24993649,0.06385235
47,-0.06347073,-0.39499330,0.23083836
48,-0.12455981,-0.01917934,0.38615626
49,-0.30278671,-0.35264498,0.19144069
50,-0.31308930,-0.06671992,0.33667884
51,-0.55190260,-0.13759440,0.00000000
52,-0.14422014,-0.52427921,0.03943877
53,-0.36826033,-0.32680565,0.15900800
54,-0.23589508,0.44070659,0.10901391
55,-0.56651810,-0.05534892,0.00000000
56,-0.18649160,-0.26435628,0.31902422
57,-0.18593801,0.47526555,0.09265200
58,-0.33155067,0.14797069,0.27509322
59,-0.39974755,0.16419713,0.21531216
60,-0.52402873,0.15029868,0.05762675
61,-0.39050399,-0.15012796,0.26222859
62,-0.42954786,-0.09377811,0.23735300
63,-0.39629141,-0.27169881,0.18162184
64,-0.06103809,0.01527368,0.38176838
65,0.00000000,0.05563606,0.37299727
66,-0.11799426,0.04464022,0.37692869
67,-0.29145265,-0.45907722,0.04878976
68,-0.27236871,-0.43837302,0.10220499
69,-0.54463764,-0.01158716,0.06628036
70,-0.05907166,0.49945361,0.09828312
71,-0.34327899,-0.29401983,0.21630220
72,-0.34975220,-0.19683551,0.27690228
73,-0.28735300,0.49593610,0.00000000
74,-0.06642722,0.09008914,0.36684363
75,-0.46852363,-0.16490978,0.16131664
76,-0.47369784,-0.10221148,0.17941237
77,-0.13205202,-0.45758611,0.14790156
78,-0.14039009,-0.49462481,0.09079781
79,0.00000000,-0.47281957,0.14293365
80,-0.06516650,-0.44634387,0.17406177
81,-0.35971667,-0.01187435,0.30389931
82,-0.39204212,0.03230376,0.27023385
83,-0.30603875,0.01702913,0.33374459
84,-0.43559851,-0.22239829,0.17277512
85,-0.44328653,-0.31828633,0.06009696
86,-0.38809144,-0.35306511,0.10166756
87,-0.22822320,0.33013930,0.21503311
88,-0.45896661,0.29792533,0.04731287
89,-0.10304187,0.52892816,0.05119643
90,-0.21703807,0.26980732,0.26054852
91,-0.19895980,-0.32611100,0.27169656
92,-0.12587303,-0.36126220,0.25687438
93,-0.25079781,-0.02025876,0.36355333
94,-0.07763996,0.44712783,0.15618271
95,-0.13732565,0.40445782,0.18508059
96,-0.43099975,0.21214341,0.15450643
97,-0.06292139,-0.27587256,0.32195286
98,0.00000000,-0.23988214,0.33799396
99,0.00000000,-0.30593369,0.30214207
100,0.00000000,0.52607106,0.06738323
101,-0.29314141,0.39711983,0.12022000
102,-0.43377635,-0.28225929,0.12290987
103,-0.20280510,-0.45503969,0.12382188
104,-0.52568750,-0.21598770,0.00000000
105,-0.46147370,0.33737290,0.00000000
106,-0.27407673,0.21357504,0.27115895
107,-0.41384142,-0.02875259,0.25847250
108,-0.43609689,0.03097174,0.22840848
109,-0.07023758,0.23937247,0.30662792
110,-0.12407004,-0.41387687,0.20393052
111,-0.18961227,-0.41776552,0.18026081
112,-0.18596099,0.02983652,0.37361680
113,-0.27592976,-0.31502522,0.24674071
114,-0.44503120,-0.34986910,0.00000000
115,-0.51668269,0.03480088,0.11695502
116,-0.35526371,0.34903851,0.11872249
117,-0.16859391,0.51338873,0.05051935
118,-0.53676180,0.19235820,0.00000000
119,-0.45858565,0.14548840,0.16163241
120,-0.39310304,0.09656704,0.25103794
