face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,605.0562,1311.0098,61.9299,1141.5389,1316.4014,599.6645,605.0562,1311.0098
1,681.0479,1658.0321,-4.0555,1443.5189,1658.0489,681.0310,681.0479,1658.0321
2,655.5515,1350.1402,88.2413,1179.3640,1361.1752,644.5165,655.5515,1350.1402
3,804.0382,953.3505,-32.1298,889.8997,959.9709,797.4179,804.0382,953.3505
4,598.3358,952.6885,116.0326,857.8952,987.3022,563.7221,598.3358,952.6885
5,534.5069,636.4866,12.1577,592.4946,637.9160,533.0776,534.5069,636.4866
6,747.7138,1099.3962,81.2005,982.5960,1117.2394,729.8706,747.7138,1099.3962
7,752.0550,933.4388,-128.3400,885.6133,999.8971,685.5967,752.0550,933.4388
8,745.3180,1163.5700,107.6465,1037.7513,1189.6491,719.2389,745.3180,1163.5700
9,1125.7526,740.5841,56.9473,995.8907,1133.9959,732.3409,1125.7526,740.5841
10,780.7918,995.8986,-125.8716,933.4834,1053.9090,722.7813,780.7918,995.8986
11,760.2852,900.0706,75.1056,848.9835,932.7735,727.5824,760.2852,900.0706
12,1487.3811,988.9298,-238.2898,1374.6692,1582.9677,893.3433,1487.3811,988.9298
13,529.6899,713.3824,2.3661,641.5849,713.4129,529.6594,529.6899,713.3824
14,677.4098,1402.5425,115.4592,1231.2213,1420.4826,659.4696,677.4098,1402.5425
15,748.2265,1018.3501,-149.2243,949.5930,1084.5582,682.0184,748.2265,1018.3501
16,796.1118,964.7146,-54.3060,897.3823,980.6921,780.1342,796.1118,964.7146
17,793.7277,962.3641,-78.4437,900.4185,993.2109,762.8810,793.7277,962.3641
18,812.6752,1217.4623,36.1229,1075.7177,1220.6606,809.4769,812.6752,1217.4623
19,639.9487,1405.5258,78.6407,1226.4281,1413.5204,631.9541,639.9487,1405.5258
20,1069.7523,1173.7036,25.4946,1126.2007,1179.6196,1063.8364,1069.7523,1173.7036
21,677.3009,1277.6491,91.7972,1118.5039,1291.3718,663.5781,677.3009,1277.6491
22,705.3634,1152.7684,-168.5703,1048.1124,1209.1708,648.9610,705.3634,1152.7684
23,630.0554,1241.6713,38.0647,1077.3776,1244.0312,627.6954,630.0554,1241.6713
24,656.2769,1148.5406,139.3403,1026.8064,1185.2454,619.5720,656.2769,1148.5406
25,624.2082,849.0852,-75.3606,773.0545,872.0041,601.2892,624.2082,849.0852
26,687.7383,966.5889,-136.8355,893.6944,1022.5181,631.8091,687.7383,966.5889
27,798.8726,966.8823,-14.5482,895.1413,968.1327,797.6221,798.8726,966.8823
28,710.2827,1228.0325,120.7870,1088.1560,1254.8247,683.4904,710.2827,1228.0325
29,716.1867,1115.2873,-187.1473,1031.0710,1189.3141,642.1599,716.1867,1115.2873
30,770.6430,936.5375,-116.7653,888.9091,996.8187,710.3618,770.6430,936.5375
31,774.7306,1090.3630,82.2893,982.1792,1110.5285,754.5651,774.7306,1090.3630
32,539.5643,631.5997,11.8563,591.3382,633.1026,538.0615,539.5643,631.5997
33,614.1704,720.0817,6.9767,673.5103,720.5393,613.7128,614.1704,720.0817
34,728.5189,1124.3535,121.4652,1009.9798,1158.6539,694.2185,728.5189,1124.3535
35,629.9215,1136.5013,-110.6647,1004.6242,1159.6213,606.8015,629.9215,1136.5013
36,728.9809,985.0365,-88.9454,898.5383,1012.9009,701.1164,728.9809,985.0365
37,677.8403,897.7316,-104.7194,830.5235,939.6220,635.9499,677.8403,897.7316
38,753.8473,974.7621,98.1619,901.4058,1012.0768,716.5326,753.8473,974.7621
39,696.5575,1356.4555,31.4395,1176.1293,1357.9500,695.0630,696.5575,1356.4555
40,781.0182,931.0714,-88.4381,879.2972,972.0202,740.0694,781.0182,931.0714
41,691.3979,1251.7177,-205.2657,1142.7140,1318.8669,624.2487,691.3979,1251.7177
42,826.2501,1190.7497,-94.6569,1069.3909,1213.8652,803.1346,826.2501,1190.7497
43,643.3626,765.9420,106.2510,735.9837,827.3132,581.9914,643.3626,765.9420
44,945.2872,1491.4254,-156.0447,1334.5943,1532.8665,903.8461,945.2872,1491.4254
