vid,x,y,z
0,-0.34085770,0.28813264,0.17919291
1,-0.33756360,0.21715684,0.23004469
2,-0.13178753,0.20599665,0.31264346
3,-0.18550554,-0.05112435,0.37913958
4,-0.33746196,-0.13782303,0.30679794
5,-0.12131298,-0.09266335,0.38151539
6,-0.06802838,-0.48968340,0.11234740
7,-0.06517515,-0.53062781,0.05039980
8,-0.23525597,-0.36666378,0.21507207
9,-0.33862821,-0.41293173,0.07278657
10,-0.32306619,-0.38395533,0.13235471
11,-0.27565340,-0.49448310,0.00000000
12,-0.21882773,-0.48720109,0.06070398
13,-0.20879980,-0.52514210,0.00000000
14,-0.11982216,0.35505997,0.22520746
15,-0.21472753,0.10005428,0.34295688
16,-0.17082269,0.15698601,0.32948670
17,-0.07705619,0.31172452,0.26176414
18,-0.29444602,0.44700563,0.06008223
19,-0.17727629,0.36107499,0.20604473
20,-0.28719377,0.34305367,0.17146802
21,-0.34870814,0.40381152,0.06431537
22,-0.51864198,-0.17250638,0.06267507
23,-0.50367164,-0.12811903,0.11938151
24,-0.50892219,-0.04517999,0.13295439
25,-0.48843440,-0.28809390,0.00000000
26,-0.46225502,-0.03656961,0.20143606
27,-0.34562516,0.06770243,0.29429093
28,-0.49538432,0.22494187,0.05460301
29,-0.50428450,0.26743460,0.00000000
30,-0.44833709,0.25594391,0.09836375
31,-0.41232198,0.31615736,0.08847291
32,-0.44240280,0.09363793,0.20080759
33,-0.48282566,0.08202528,0.15362283
34,-0.54071375,0.07012167,0.05963134
35,-0.55876270,0.11120940,0.00000000
36,-0.39443424,-0.38266585,0.04369244
37,-0.50488587,0.11274662,0.10913385
38,-0.47985955,0.18550897,0.10742955
39,-0.24959372,0.04525706,0.34924588
40,-0.23798482,-0.21036961,0.33070290
41,-0.17615830,-0.19784657,0.35128327
42,-0.38473833,-0.22366104,0.22889045
43,-0.15987603,0.31336611,0.24596071
44,-0.28109133,-0.14304226,0.33823230
45,-0.47822684,-0.20730327,0.11622165
46,-0.48492422,-0.24958537,0.06339067
47,-0.06325096,-0.39336708,0.22858194
48,-0.12410432,-0.01908029,0.38317984
49,-0.30202216,-0.35144725,0.19000268
50,-0.31225161,-0.06645843,0.33474875
51,-0.55190260,-0.13759440,0.00000000
52,-0.14409248,-0.52365413,0.03896642
53,-0.36743455,-0.32584176,0.15784071
54,-0.23541833,0.43952740,0.10772642
55,-0.56651810,-0.05534892,0.00000000
56,-0.18589627,-0.26326724,0.31678637
57,-0.18559247,0.47411828,0.09148873
58,-0.33058708,0.14735350,0.27293150
59,-0.39872131,0.16359605,0.21357719
60,-0.52351995,0.15009780,0.05714669
61,-0.38949799,-0.14962049,0.26063770
62,-0.42846293,-0.09348160,0.23584725
63,-0.39536229,-0.27086773,0.18037273
64,-0.06080236,0.01517642,0.37826022
65,0.00000000,0.05531375,0.36925567
66,-0.11756185,0.04443026,0.37382322
67,-0.29115870,-0.45846230,0.04831927
68,-0.27187164,-0.43729699,0.10127567
69,-0.54402354,-0.01158912,0.06578530
70,-0.05894429,0.49820053,0.09695775
71,-0.34240127,-0.29301825,0.21482257
72,-0.34883694,-0.19614736,0.27523734
73,-0.28735300,0.49593610,0.00000000
