vid,x,y,z
0,-0.35164628,0.28999954,0.20152561
1,-0.34569433,0.21781980,0.25300163
2,-0.12816865,0.20163151,0.31062501
3,-0.16974381,-0.04717903,0.37884003
4,-0.33099158,-0.13300050,0.32497734
5,-0.10299974,-0.08441132,0.36188164
6,-0.06277072,-0.48556862,0.11456470
7,-0.06163776,-0.53329707,0.05668164
8,-0.23444016,-0.36102617,0.23507027
9,-0.34494038,-0.41519687,0.08285818
10,-0.32950250,-0.38397490,0.14874496
11,-0.27565340,-0.49448310,0.00000000
12,-0.22451277,-0.49392687,0.07361868
13,-0.20879980,-0.52514210,0.00000000
14,-0.11700589,0.35170351,0.23184030
15,-0.20937682,0.09794164,0.35405287
16,-0.16668137,0.15415178,0.33491053
17,-0.07320009,0.30355819,0.25302761
18,-0.30172729,0.45383661,0.07179701
19,-0.17865446,0.36210904,0.22382538
20,-0.29658256,0.34694146,0.19472885
21,-0.35695057,0.40902695,0.07551530
22,-0.52096632,-0.17213027,0.06803651
23,-0.50641397,-0.12738814,0.12882797
24,-0.51212677,-0.04452467,0.14346972
25,-0.48843440,-0.28809390,0.00000000
26,-0.46449815,-0.03569101,0.21671939
27,-0.34601743,0.06619225,0.31510945
28,-0.50026867,0.22525687,0.06073201
29,-0.50428450,0.26743460,0.00000000
30,-0.45723196,0.25612193,0.11031529
31,-0.42238130,0.31677057,0.10122853
32,-0.44763604,0.09279132,0.21855554
33,-0.48812957,0.08189207,0.16718966
34,-0.54380164,0.07044006,0.06480352
35,-0.55876270,0.11120940,0.00000000
36,-0.39787038,-0.38399008,0.04863127
37,-0.51035987,0.11258955,0.11908798
38,-0.48693740,0.18542817,0.11866219
39,-0.24256128,0.04449186,0.36282093
40,-0.22597229,-0.19992426,0.34346556
41,-0.15923341,-0.18547849,0.35148841
42,-0.38473439,-0.21868768,0.24705328
43,-0.15926218,0.31208524,0.25836278
44,-0.27076855,-0.13652141,0.35317057
45,-0.48151368,-0.20539101,0.12615912
46,-0.48773182,-0.24920962,0.06943152
47,-0.05450193,-0.37426021,0.21023322
48,-0.10791955,-0.01585057,0.36611615
49,-0.30543823,-0.34782475,0.20998376
50,-0.30435793,-0.06356993,0.35172887
51,-0.55190260,-0.13759440,0.00000000
52,-0.14581703,-0.53071959,0.04972468
53,-0.37232421,-0.32331507,0.17409204
54,-0.24213657,0.44797192,0.12643856
55,-0.56651810,-0.05534892,0.00000000
56,-0.17229134,-0.24994545,0.32376279
57,-0.18927142,0.48266530,0.10786747
58,-0.33540140,0.14591745,0.29544332
59,-0.40616359,0.16325767,0.23426861
60,-0.52741272,0.15023172,0.06269168
61,-0.38715016,-0.14551773,0.27888755
62,-0.42820386,-0.09131440,0.25303221
63,-0.39839336,-0.26721676,0.19669709
64,-0.04881836,0.01673076,0.33501434
65,0.00000000,0.05233111,0.29005616
66,-0.10492419,0.04383569,0.35713021
67,-0.29662250,-0.46193392,0.05676215
68,-0.27893628,-0.44068187,0.11735186
69,-0.54663636,-0.01108405,0.07135522
70,-0.05491305,0.50042348,0.10050436
71,-0.34382471,-0.28787601,0.23421635
72,-0.34515442,-0.18994983,0.29418502
73,-0.28735300,0.49593610,0.00000000
74,-0.05756294,0.08571307,0.32872251
75,-0.46981617,-0.16237307,0.17311380
76,-0.47459054,-0.10068370,0.19190299
77,-0.12839890,-0.45353400,0.16015999
78,-0.14052931,-0.49807929,0.10596914
79,0.00000000,-0.45012736,0.11191033
80,-0.05792855,-0.43196586,0.16477845
81,-0.35552801,-0.01100489,0.32138278
82,-0.39188333,0.03159305,0.28824957
83,-0.30019599,0.01705291,0.34938496
84,-0.43719501,-0.21852909,0.18620355
85,-0.44598129,-0.31840151,0.06587878
86,-0.39279846,-0.35246205,0.11207501
87,-0.23262887,0.33092532,0.23500560
88,-0.46465327,0.29745897,0.05315625
89,-0.10221044,0.53486820,0.05963668
90,-0.21925964,0.26834314,0.27691316
91,-0.19005500,-0.31408514,0.28380848
92,-0.11477934,-0.34561424,0.25465906
93,-0.23947719,-0.01842572,0.37309250
94,-0.07255604,0.44452468,0.15849340
95,-0.13524403,0.40352905,0.19727978
96,-0.43926025,0.21176886,0.16995152
97,-0.04991937,-0.25240867,0.28211620
98,0.00000000,-0.20908765,0.25226006
99,0.00000000,-0.27143540,0.22737134
100,0.00000000,0.51821113,0.05437144
101,-0.30195782,0.40278400,0.13819767
102,-0.43728700,-0.27977963,0.13362065
103,-0.20641918,-0.45628306,0.14212149
104,-0.52568750,-0.21598770,0.00000000
105,-0.46147370,0.33737290,0.00000000
106,-0.27825812,0.21221721,0.29071041
107,-0.41262009,-0.02761235,0.27522825
108,-0.43790267,0.03048973,0.24460321
109,-0.06649175,0.22959894,0.28476244
110,-0.11625926,-0.40255966,0.20860246
111,-0.18851696,-0.41270999,0.19763693
