face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,840.1462,745.0690,171.1309,850.2140,970.2187,614.9965,840.1462,745.0690
1,1008.2218,16.9713,-597.1933,1438.6132,1288.6663,-263.4731,1008.2218,16.9713
2,983.3612,536.9898,284.6183,985.0508,1121.8652,398.4858,983.3612,536.9898
3,929.3884,754.3311,-59.5285,861.5930,947.7130,736.0065,929.3884,754.3311
4,767.7880,582.8187,109.8848,719.6658,818.9281,531.6786,767.7880,582.8187
5,609.3309,357.4235,-33.0486,533.4071,613.5945,353.1599,609.3309,357.4235
6,817.1470,833.9135,174.1003,879.0016,999.8323,651.2283,817.1470,833.9135
7,959.2206,654.2328,-159.4748,892.6745,1027.3771,586.0763,959.2206,654.2328
8,818.5306,807.6708,247.0271,918.8517,1060.1875,566.0140,818.5306,807.6708
9,906.6759,354.7246,43.6038,794.9682,910.0994,351.3012,906.6759,354.7246
10,975.1251,676.0816,-206.4571,936.2503,1080.5176,570.6891,975.1251,676.0816
11,915.4755,687.0591,73.2231,835.0118,936.9328,665.6018,915.4755,687.0591
12,985.5059,457.1276,-210.4749,928.7543,1059.0971,383.5364,985.5059,457.1276
13,604.9025,400.3220,-37.8855,536.9496,611.6930,393.5316,604.9025,400.3220
14,1151.1862,392.7869,288.1708,1129.8087,1248.2583,295.7148,1151.1862,392.7869
15,999.8278,560.9646,-235.7234,959.2525,1102.4455,458.3470,999.8278,560.9646
16,884.2184,767.0876,-105.3620,851.6431,946.1978,705.1082,884.2184,767.0876
17,934.7124,712.7759,-132.4831,876.4426,996.5612,650.9272,934.7124,712.7759
18,1042.6705,715.7624,-325.0545,1081.7367,1243.0538,515.3790,1042.6705,715.7624
19,1051.0776,183.3851,322.8641,1121.7691,1158.0305,76.4322,1051.0776,183.3851
20,1059.7931,763.2409,-361.3863,1135.1743,1302.1394,520.8946,1059.7931,763.2409
21,993.6474,749.4857,221.6180,975.5425,1124.5849,618.5482,993.6474,749.4857
22,1048.1458,467.2013,-316.1439,1061.6178,1186.9998,328.3472,1048.1458,467.2013
23,877.1977,772.5181,165.7236,878.0671,998.6502,651.0656,877.1977,772.5181
24,901.4029,742.3065,189.8792,895.8746,1027.7237,615.9858,901.4029,742.3065
25,782.7308,578.2347,-85.2127,718.4736,813.5837,547.3817,782.7308,578.2347
26,901.6178,613.7298,-165.4290,847.5432,976.9604,538.3872,901.6178,613.7298
27,884.4327,816.2400,-23.8871,853.3882,891.9675,808.7052,884.4327,816.2400
28,976.2863,728.5907,240.6056,972.7998,1123.0477,581.8293,976.2863,728.5907
29,1025.3012,544.6402,-295.8516,1025.6899,1166.1359,403.8055,1025.3012,544.6402
30,965.7649,605.6693,-169.0516,894.6163,1032.6901,538.7441,965.7649,605.6693
31,895.2111,854.2175,156.8166,916.6023,1032.8648,716.5638,895.2111,854.2175
32,651.2690,388.0186,-22.8889,568.8383,653.2443,386.0433,651.2690,388.0186
33,688.9659,448.1978,-77.0003,620.1204,711.4851,425.6786,688.9659,448.1978
34,941.4845,737.8076,203.3072,927.4266,1067.0331,612.2589,941.4845,737.8076
35,859.8238,593.0586,-232.5450,862.1608,994.5235,458.3589,859.8238,593.0586
36,775.6496,691.6444,-213.9017,825.1014,951.6336,515.6604,775.6496,691.6444
37,899.5664,553.4435,-144.7086,824.9133,952.0950,500.9149,899.5664,553.4435
38,922.6003,750.7081,112.9874,872.0372,978.6150,694.6934,922.6003,750.7081
39,1105.9855,666.0407,270.9911,1072.6096,1235.0461,536.9801,1105.9855,666.0407
40,905.1619,669.3079,-150.0697,853.8278,978.0953,596.3745,905.1619,669.3079
41,1101.2849,361.7301,-345.2337,1141.4324,1237.3944,225.6206,1101.2849,361.7301
42,941.1195,437.6170,221.0416,901.0787,1024.3878,354.3487,941.1195,437.6170
43,802.2460,525.7994,84.1315,720.7479,825.8368,502.2086,802.2460,525.7994
44,904.2611,818.5460,36.2493,866.8728,917.5354,805.2717,904.2611,818.5460
45,784.2431,581.0752,-122.6924,736.3027,841.9473,523.3710,784.2431,581.0752
46,955.1084,457.0297,299.2540,976.3474,1095.3935,316.7446,955.1084,457.0297
47,1254.6260,29.8882,365.4230,1392.1505,1355.3697,-70.8555,1254.6260,29.8882
48,1270.5645,82.8548,-355.6659,1376.7431,1368.9248,-15.5055,1270.5645,82.8548
49,888.5013,731.6409,147.1837,860.0339,976.8475,643.2948,888.5013,731.6409
50,828.5202,767.9411,88.5598,814.5263,891.8271,704.6342,828.5202,767.9411
51,764.3305,807.3773,20.3936,787.5302,815.5044,756.2034,764.3305,807.3773
52,917.2738,677.8219,8.1975,824.1887,917.5541,677.5416,917.2738,677.8219
53,966.4626,593.4425,-290.7193,982.9737,1125.3563,434.5489,966.4626,593.4425
54,1231.0916,-189.6768,454.7583,1550.9637,1364.1828,-322.7680,1231.0916,-189.6768
55,741.1270,366.2205,-55.2536,648.9450,749.1006,358.2468,741.1270,366.2205
56,921.5375,673.2462,-70.1009,834.7530,939.9621,654.8216,921.5375,673.2462
57,903.2370,855.8845,221.3067,960.3326,1102.1303,656.9912,903.2370,855.8845
58,921.1510,665.2844,-47.9634,827.7660,929.8465,656.5890,921.1510,665.2844
59,741.3342,783.7190,-48.1483,767.9511,815.1325,709.9207,741.3342,783.7190
60,887.8336,788.1363,142.3213,877.7468,988.7836,687.1863,887.8336,788.1363
61,919.4388,752.2646,256.4374,957.5432,1105.5681,566.1353,919.4388,752.2646
62,1031.5214,540.5597,293.2751,1027.9460,1168.4946,403.5865,1031.5214,540.5597
63,795.8408,790.0671,126.7830,822.8139,919.7698,666.1381,795.8408,790.0671
64,1167.3103,538.3988,392.6179,1219.2025,1355.8767,349.8324,1167.3103,538.3988
65,910.1979,684.0363,83.6964,833.5303,937.8024,656.4318,910.1979,684.0363
66,878.7366,530.1907,-99.4231,785.5171,905.1027,503.8246,878.7366,530.1907
67,822.6813,529.6394,48.8921,727.1653,830.6234,521.6973,822.6813,529.6394
68,641.6844,399.0581,29.0189,563.4387,645.1068,395.6356,641.6844,399.0581
69,984.8789,354.8032,-373.2140,1079.0272,1158.2441,181.4380,984.8789,354.8032
70,874.2234,286.0216,-29.0484,773.6663,875.6545,284.5906,874.2234,286.0216
71,719.1259,475.9184,-28.0519,635.4178,722.3195,472.7248,719.1259,475.9184
72,1177.6989,414.3908,454.0428,1299.6659,1389.1845,202.9052,1177.6989,414.3908
73,1106.6564,507.3304,-310.5777,1100.0035,1238.5677,375.4190,1106.6564,507.3304
74,946.7940,616.3802,-213.2383,910.5878,1051.3350,511.8392,946.7940,616.3802
75,890.2481,634.0813,-31.1215,795.6235,893.9748,630.3546,890.2481,634.0813
76,980.6542,722.5182,276.2559,1002.0612,1156.5057,546.6667,980.6542,722.5182
77,928.0608,816.8046,123.6453,903.4859,1008.0153,736.8501,928.0608,816.8046
78,901.8529,444.7921,-143.1800,819.4774,943.0013,403.6437,901.8529,444.7921
79,953.3442,496.7661,-279.4867,957.2832,1085.9273,364.1831,953.3442,496.7661
80,677.1069,399.9081,32.4971,592.2735,680.8657,396.1493,677.1069,399.9081
81,914.7761,840.8875,68.6235,888.1503,955.7681,799.8955,914.7761,840.8875
82,768.0115,561.6947,27.2446,690.0590,771.5486,558.1576,768.0115,561.6947
83,865.6689,706.2782,162.8564,846.3894,967.2842,604.6629,865.6689,706.2782
84,868.7165,693.8026,154.5090,839.6021,958.8032,603.7159,868.7165,693.8026
85,1172.4847,564.8679,412.6686,1241.9272,1381.1164,356.2361,1172.4847,564.8679
86,917.5614,739.5483,116.1834,866.4672,974.9131,682.1966,917.5614,739.5483
87,882.9657,674.0549,158.9477,845.3427,968.7084,588.3123,882.9657,674.0549
88,1489.2189,25.8186,537.5976,1745.5726,1665.4815,-150.4440,1489.2189,25.8186
89,1368.7660,-836.7388,299.8782,1997.1811,1408.8127,-876.7855,1368.7660,-836.7388
90,910.6761,732.7315,349.4270,1032.1061,1182.2801,461.1275,910.6761,732.7315
91,930.0896,781.2543,8.4747,865.4501,930.5706,780.7733,930.0896,781.2543
92,851.6852,535.3161,7.1579,745.7640,851.8471,535.1542,851.6852,535.3161
93,883.8845,751.8911,36.8066,828.2942,893.4543,742.3213,883.8845,751.8911
94,1209.2412,178.4864,296.6056,1241.8588,1288.4971,99.2305,1209.2412,178.4864
95,803.7565,835.2415,119.5074,845.6761,940.0388,698.9592,803.7565,835.2415
96,1534.0535,-882.7496,-656.2698,2403.9181,1700.7607,-1049.4569,1534.0535,-882.7496
97,933.0560,607.3362,-115.1510,844.1275,969.6531,570.7391,933.0560,607.3362
98,1467.2228,171.2575,724.0135,1871.7334,1790.8765,-152.3962,1467.2228,171.2575
99,723.8676,771.4439,119.6268,776.9289,869.6248,625.6867,723.8676,771.4439
100,990.8672,791.1041,143.6881,941.1287,1065.9788,715.9926,990.8672,791.1041
101,1069.5023,647.3474,218.6963,1006.9948,1162.3685,554.4811,1069.5023,647.3474
102,670.9855,390.5010,29.4180,585.9081,674.0377,387.4488,670.9855,390.5010
103,825.5913,610.3424,53.8742,747.6180,838.3223,597.6114,825.5913,610.3424
104,898.1878,645.9428,-16.8857,802.9078,899.3132,644.8174,898.1878,645.9428
105,889.4621,296.4343,-11.8900,784.7122,889.7004,296.1960,889.4621,296.4343
106,1066.4086,611.2350,-524.7519,1298.1151,1410.8010,266.8425,1066.4086,611.2350
107,890.4993,381.5883,-104.4918,794.7013,911.1186,360.9690,890.4993,381.5883
108,1023.8572,771.4604,210.2244,993.0521,1142.8533,652.4643,1023.8572,771.4604
109,865.9964,606.1308,81.1283,782.4210,889.2443,582.8828,865.9964,606.1308
110,910.2185,693.2088,215.0230,903.7529,1042.5625,560.8647,910.2185,693.2088
111,921.9489,592.6165,-211.1942,888.0489,1025.0847,489.4806,921.9489,592.6165
112,925.7892,747.4902,163.6447,896.7428,1022.9921,650.2873,925.7892,747.4902
113,949.5047,717.7957,193.6951,920.7567,1059.3492,607.9512,949.5047,717.7957
114,891.6625,677.6541,53.0357,811.4658,904.0848,665.2318,891.6625,677.6541
115,987.8370,642.9297,-221.1223,949.0816,1095.8032,534.9634,987.8370,642.9297
116,1028.5273,603.4708,-264.5679,1005.6579,1155.3579,476.6402,1028.5273,603.4708
