vid,x,y,z
0,-0.35289316,0.29107124,0.20162926
1,-0.34694077,0.21864684,0.25311564
2,-0.12860351,0.20241559,0.31078892
3,-0.17031942,-0.04735031,0.37893942
4,-0.33217185,-0.13350535,0.32504294
5,-0.10332523,-0.08472382,0.36197525
6,-0.06295720,-0.48729335,0.11457070
7,-0.06184698,-0.53515948,0.05668387
8,-0.23522693,-0.36236966,0.23513523
9,-0.34614439,-0.41666584,0.08290712
10,-0.33064565,-0.38535418,0.14881557
11,-0.27661729,-0.49621217,0.00000000
12,-0.22527745,-0.49566373,0.07366703
13,-0.20952992,-0.52697838,0.00000000
14,-0.11738193,0.35302495,0.23193243
15,-0.21011645,0.09834829,0.35419958
16,-0.16725982,0.15476764,0.33507933
17,-0.07342033,0.30468554,0.25312282
18,-0.30277609,0.45543682,0.07185105
19,-0.17926014,0.36347011,0.22393532
20,-0.29762207,0.34822134,0.19484094
21,-0.35819855,0.41047536,0.07556775
22,-0.52277692,-0.17272965,0.06806059
23,-0.50817826,-0.12783495,0.12886893
24,-0.51391233,-0.04468142,0.14351379
25,-0.49014232,-0.28910129,0.00000000
26,-0.46613656,-0.03581879,0.21677969
27,-0.34727309,0.06645610,0.31521059
28,-0.50201769,0.22604620,0.06075652
29,-0.50604785,0.26836975,0.00000000
30,-0.45883640,0.25703125,0.11036761
31,-0.42386052,0.31789985,0.10128736
32,-0.44922444,0.09313094,0.21862743
33,-0.48984356,0.08218396,0.16724298
34,-0.54569260,0.07068479,0.06482372
35,-0.56071654,0.11159827,0.00000000
36,-0.39926346,-0.38533851,0.04865828
37,-0.51214203,0.11298529,0.11912805
38,-0.48864417,0.18608394,0.11870727
39,-0.24342957,0.04468619,0.36294123
40,-0.22674843,-0.20070319,0.34352704
41,-0.15975666,-0.18620038,0.35155534
42,-0.38608681,-0.21948978,0.24712129
43,-0.15980257,0.31327679,0.25849833
44,-0.27172635,-0.13704997,0.35323736
45,-0.48319310,-0.20611365,0.12620348
46,-0.48943003,-0.25007956,0.06945997
47,-0.05463955,-0.37559733,0.21024055
48,-0.10826218,-0.01589274,0.36622298
49,-0.30649128,-0.34910061,0.21005760
50,-0.30545151,-0.06381054,0.35180845
51,-0.55383245,-0.13807553,0.00000000
52,-0.14631170,-0.53256342,0.04975521
53,-0.37362208,-0.32447899,0.17416288
54,-0.24297116,0.44957463,0.12651756
55,-0.56849906,-0.05554246,0.00000000
56,-0.17285574,-0.25091312,0.32381883
57,-0.18991597,0.48437830,0.10792238
58,-0.33661764,0.14648711,0.29556349
59,-0.40761706,0.16386427,0.23435809
60,-0.52925106,0.15075607,0.06271326
61,-0.38852399,-0.14605703,0.27895150
62,-0.42972129,-0.09164730,0.25309609
63,-0.39978790,-0.26818204,0.19676311
64,-0.04896395,0.01681274,0.33512439
65,0.00000000,0.05252958,0.29016797
66,-0.10525693,0.04402890,0.35725093
67,-0.29765183,-0.46356280,0.05680079
68,-0.27989428,-0.44225511,0.11741819
69,-0.54853425,-0.01112324,0.07137781
70,-0.05508595,0.50219958,0.10052723
71,-0.34502296,-0.28893496,0.23428795
72,-0.34637450,-0.19066372,0.29424780
73,-0.28835780,0.49767025,0.00000000
74,-0.05773492,0.08605279,0.32884421
75,-0.47146103,-0.16295026,0.17316682
76,-0.47625585,-0.10104230,0.19195850
77,-0.12880160,-0.45517659,0.16020061
78,-0.14098900,-0.49984368,0.10601355
79,0.00000000,-0.45165306,0.11185421
80,-0.05808213,-0.43350858,0.16477891
81,-0.35681114,-0.01104120,0.32146554
82,-0.39329424,0.03171719,0.28833038
83,-0.30128328,0.01713089,0.34948529
84,-0.43872654,-0.21931200,0.18626401
85,-0.44753907,-0.31951632,0.06590912
86,-0.39417129,-0.35371036,0.11212923
87,-0.23344087,0.33217675,0.23513447
88,-0.46627922,0.29850535,0.05318620
89,-0.10256050,0.53673127,0.05964989
90,-0.22003348,0.26938381,0.27706755
91,-0.19067873,-0.31527991,0.28386472
92,-0.11512128,-0.34690199,0.25469524
93,-0.24032879,-0.01848478,0.37319306
94,-0.07277431,0.44613427,0.15853642
95,-0.13568484,0.40502555,0.19735989
