face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,1058.2859,2303.4989,58.8493,1999.6764,2306.2740,1055.5109,1058.2859,2303.4989
1,1136.1642,2313.0389,-29.6883,2003.9137,2313.7873,1135.4158,1136.1642,2313.0389
2,1201.2165,2488.6572,-1.7587,2155.6736,2488.6596,1201.2141,1201.2165,2488.6572
3,1187.6013,2488.5149,-11.5245,2155.9541,2488.6170,1187.4992,1187.6013,2488.5149
4,871.5634,2214.1358,63.8067,1935.0644,2217.1614,868.5377,871.5634,2214.1358
5,830.2417,2235.0980,111.7630,1966.4093,2243.9337,821.4060,830.2417,2235.0980
6,880.8214,2273.7425,44.6184,1987.1997,2275.1703,879.3936,880.8214,2273.7425
7,880.4265,2044.9224,117.3870,1788.2376,2056.6377,868.7112,880.4265,2044.9224
8,997.5394,1844.5460,89.4617,1606.6853,1853.8919,988.1935,997.5394,1844.5460
9,1001.3929,1792.8589,53.3492,1558.9461,1796.4387,997.8130,1001.3929,1792.8589
10,957.6742,1946.3228,101.2598,1694.7359,1956.5875,947.4095,957.6742,1946.3228
11,1003.9583,2222.2136,87.6429,1933.4424,2228.4864,997.6854,1003.9583,2222.2136
12,916.2092,1858.9797,171.7443,1637.2290,1889.2917,885.8972,916.2092,1858.9797
13,1025.7194,1977.7243,-46.6891,1715.0636,1980.0086,1023.4351,1025.7194,1977.7243
14,887.5115,2285.7853,-44.7786,1997.4598,2287.2178,886.0790,887.5115,2285.7853
15,857.5893,2135.4879,-161.5754,1882.2105,2155.6007,837.4765,857.5893,2135.4879
16,1006.8486,2179.9861,-112.3432,1899.7448,2190.6475,996.1872,1006.8486,2179.9861
17,1126.0160,2427.7573,-1.7372,2104.3367,2427.7596,1126.0136,1126.0160,2427.7573
18,901.1013,1865.3150,-169.2023,1642.0822,1894.1450,872.2713,901.1013,1865.3150
19,1040.7484,1953.5836,-49.2467,1695.2088,1956.2327,1038.0993,1040.7484,1953.5836
20,1007.3125,2088.6890,-108.3457,1818.9431,2099.4376,996.5639,1007.3125,2088.6890
21,816.7401,2326.8579,20.0791,2045.0191,2327.1248,816.4732,816.7401,2326.8579
22,929.6222,2000.0354,-112.7862,1744.4838,2011.7902,917.8674,929.6222,2000.0354
23,803.4196,2234.1683,-34.6285,1961.0237,2235.0059,802.5819,803.4196,2234.1683
24,1084.9816,2176.1047,-33.5569,1885.4605,2177.1357,1083.9506,1084.9816,2176.1047
25,939.1799,2156.5816,-137.6735,1887.9478,2171.9566,923.8048,939.1799,2156.5816
26,916.8126,2251.8800,-106.7422,1970.0605,2260.3604,908.3322,916.8126,2251.8800
27,964.6551,2338.8910,-45.3044,2037.3770,2340.3829,963.1631,964.6551,2338.8910
28,898.3959,1943.9439,-180.5189,1713.8737,1974.2338,868.1060,898.3959,1943.9439
29,981.4965,2380.0679,-15.7576,2071.9013,2380.2454,981.3190,981.4965,2380.0679
30,931.6721,1850.8860,68.5069,1607.3122,1855.9636,926.5945,931.6721,1850.8860
31,914.7705,1847.2091,166.5886,1625.5674,1876.0778,885.9017,914.7705,1847.2091
