face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,1119.8590,2434.6140,57.5696,2113.0423,2437.1300,1117.3430,1119.8590,2434.6140
1,1194.9030,2443.4071,-29.0442,2116.8201,2444.0824,1194.2277,1194.9030,2443.4071
2,1258.1027,2615.8082,-1.6525,2265.9055,2615.8102,1258.1007,1258.1027,2615.8082
3,1244.9316,2615.7777,-11.2318,2266.2881,2615.8697,1244.8396,1244.9316,2615.7777
4,939.1799,2348.4663,62.5597,2050.2345,2351.2379,936.4083,939.1799,2348.4663
5,899.1026,2369.2296,109.0745,2080.1792,2377.2782,891.0540,899.1026,2369.2296
6,947.9756,2407.0629,43.7669,2101.5516,2408.3745,946.6639,947.9756,2407.0629
7,947.9782,2182.6890,114.3419,1906.0101,2193.1885,937.4787,947.9782,2182.6890
8,1061.0857,1987.8913,86.9483,1729.4426,1995.9778,1052.9992,1061.0857,1987.8913
9,1064.6779,1937.6781,51.6816,1683.1950,1940.7270,1061.6291,1064.6779,1937.6781
10,1022.5518,2086.4570,98.3254,1815.0505,2095.4678,1013.5409,1022.5518,2086.4570
11,1067.3216,2356.1079,85.7581,2048.8431,2361.7893,1061.6402,1067.3216,2356.1079
12,982.7107,2002.6869,166.6695,1758.3371,2029.2308,956.1668,982.7107,2002.6869
13,1088.1142,2116.5018,-45.3562,1834.8701,2118.4983,1086.1177,1088.1142,2116.5018
14,954.4146,2418.9696,-43.8101,2111.7242,2420.2789,953.1053,954.4146,2418.9696
15,925.8005,2271.8395,-157.3773,1997.3467,2289.9950,907.6450,925.8005,2271.8395
16,1070.1070,2314.5822,-109.6275,2015.3470,2324.1656,1060.5235,1070.1070,2314.5822
17,1185.3933,2556.8834,-1.7977,2216.2823,2556.8858,1185.3909,1185.3933,2556.8834
18,968.0883,2008.6893,-164.1627,1763.0335,2033.9729,942.8047,968.0883,2008.6893
19,1102.7692,2093.1796,-48.0298,1815.5240,2095.5033,1100.4454,1102.7692,2093.1796
20,1070.5151,2225.0623,-105.5316,1936.0663,2234.6292,1060.9483,1070.5151,2225.0623
21,885.7989,2459.0865,19.6648,2157.4638,2459.3323,885.5532,885.7989,2459.0865
22,995.6273,2138.8548,-109.8613,1863.5128,2149.3165,985.1657,995.6273,2138.8548
23,872.8899,2368.5755,-33.9899,2075.5835,2369.3475,872.1179,872.8899,2368.5755
24,1145.5550,2309.5901,-32.9029,2000.9968,2310.5194,1144.6257,1145.5550,2309.5901
25,1004.7280,2292.1385,-134.2107,2003.6065,2305.9809,990.8856,1004.7280,2292.1385
26,983.0082,2385.4707,-104.1863,2084.3230,2393.1682,975.3106,983.0082,2385.4707
27,1029.2049,2470.7220,-44.2452,2150.9820,2472.0788,1027.8481,1029.2049,2470.7220
28,965.4814,2085.2611,-175.4006,1832.8894,2112.0926,938.6499,965.4814,2085.2611
29,1045.5451,2510.6505,-15.5729,2184.5502,2510.8160,1045.3796,1045.5451,2510.6505
30,997.4929,1993.8584,66.5268,1730.5725,1998.2808,993.0705,997.4929,1993.8584
31,981.3196,1991.4004,161.7317,1747.2650,2016.6646,956.0554,981.3196,1991.4004
32,1114.2073,2268.0410,77.2576,1968.8337,2273.1910,1109.0574,1114.2073,2268.0410
33,1011.1750,1936.9094,4.6284,1677.9758,1936.9325,1011.1518,1011.1750,1936.9094
34,1101.4571,2155.7855,79.9252,1872.2387,2161.8100,1095.4326,1101.4571,2155.7855
35,1026.7822,1774.1387,-35.6747,1544.0252,1775.8377,1025.0832,1026.7822,1774.1387
36,1101.7556,2453.3885,42.7447,2129.6543,2454.7389,1100.4052,1101.7556,2453.3885
37,941.9341,2124.0408,167.9979,1866.2134,2147.4525,918.5224,941.9341,2124.0408
38,996.4185,2268.1408,127.8332,1981.4941,2280.8633,983.6960,996.4185,2268.1408
39,963.0333,2426.6372,79.9038,2120.9014,2430.9866,958.6840,963.0333,2426.6372
40,887.1245,2473.0805,-5.5103,2170.0871,2473.0997,887.1054,887.1245,2473.0805
41,1038.5277,1963.4068,-30.7624,1702.1435,1964.4288,1037.5056,1038.5277,1963.4068
42,1265.5546,2614.9546,-0.6007,2265.0054,2614.9549,1265.5543,1265.5546,2614.9546
43,1235.7265,2605.9612,-0.9257,2257.8310,2605.9618,1235.7259,1235.7265,2605.9612
44,1156.1875,2308.0063,53.6333,2000.9508,2310.4983,1153.6955,1156.1875,2308.0063
45,1004.7563,1892.0094,-135.8798,1656.3865,1912.3525,984.4132,1004.7563,1892.0094
46,1108.6847,2487.9842,-48.4488,2160.5321,2489.6839,1106.9850,1108.6847,2487.9842
47,1264.8739,2621.3338,-5.8162,2270.6258,2621.3587,1264.8489,1264.8739,2621.3338
48,1260.9107,2621.7197,-7.5486,2271.0629,2621.7616,1260.8689,1260.9107,2621.7197
49,1226.7220,2540.0986,-31.2967,2200.8842,2540.8439,1225.9766,1226.7220,2540.0986
50,1207.3884,2590.2384,1.1645,2244.9281,2590.2394,1207.3874,1207.3884,2590.2384
51,927.4868,2257.8468,158.3653,1984.7467,2276.4386,908.8949,927.4868,2257.8468
52,1207.1431,2403.0588,-5.8190,2081.1419,2403.0871,1207.1148,1207.1431,2403.0588
53,1063.0789,2334.0629,-103.4827,2031.9496,2342.4333,1054.7085,1063.0789,2334.0629
54,1019.6402,2462.6948,-29.8384,2143.8610,2463.3115,1019.0235,1019.6402,2462.6948
55,992.5074,2077.7427,-94.4672,1807.3967,2085.9045,984.3456,992.5074,2077.7427
56,988.4700,2286.9507,106.8251,1995.2116,2295.6805,979.7403,988.4700,2286.9507
57,981.1018,2361.2881,110.5899,2063.5573,2370.0932,972.2968,981.1018,2361.2881
58,1033.3089,2302.4064,-81.3365,2002.3867,2307.5980,1028.1173,1033.3089,2302.4064
59,1132.3388,2215.0027,59.8697,1921.2099,2218.3033,1129.0382,1132.3388,2215.0027
60,959.6646,2496.3555,16.2968,2181.2564,2496.5283,959.4917,959.6646,2496.3555
61,1158.2831,2222.1580,7.8929,1925.0727,2222.2166,1158.2245,1158.2831,2222.1580
62,1022.1518,2528.3199,-3.3853,2202.9307,2528.3275,1022.1442,1022.1518,2528.3199
63,1092.5297,2178.1520,-66.5374,1889.8554,2182.2149,1088.4669,1092.5297,2178.1520
64,1069.6593,1957.7256,41.6730,1699.4031,1959.6768,1067.7080,1069.6593,1957.7256
65,998.5840,2088.6416,102.7140,1818.1200,2098.2357,988.9899,998.5840,2088.6416
66,1231.9590,2499.3618,9.0464,2164.6401,2499.4264,1231.8944,1231.9590,2499.3618
67,1210.3501,2591.7296,-8.2675,2246.1777,2591.7790,1210.3006,1210.3501,2591.7296
68,1185.3539,2546.1508,-11.7947,2206.8700,2546.2530,1185.2516,1185.3539,2546.1508
69,1065.2155,2423.6846,-51.0698,2105.9461,2425.6018,1063.2983,1065.2155,2423.6846
70,1062.0189,1978.6026,-73.3041,1719.7557,1984.4281,1056.1934,1062.0189,1978.6026
71,1179.0990,2508.0530,-25.8330,2173.7901,2508.5550,1178.5970,1179.0990,2508.0530
72,1046.5489,2070.3982,-116.6244,1804.3958,2083.5146,1033.4324,1046.5489,2070.3982
73,1207.7113,2520.8346,-17.8488,2183.9618,2521.0772,1207.4687,1207.7113,2520.8346
74,1175.3056,2425.4846,-35.1996,2101.7493,2426.4749,1174.3154,1175.3056,2425.4846
75,1006.1685,2396.5599,-56.5216,2086.6518,2398.8538,1003.8746,1006.1685,2396.5599
76,1054.9710,2200.7398,80.1064,1911.4795,2206.3133,1049.3975,1054.9710,2200.7398
77,1228.5924,2467.2649,3.9919,2136.7312,2467.2778,1228.5795,1228.5924,2467.2649
78,1136.2768,2410.0696,72.5716,2092.0932,2414.1909,1132.1556,1136.2768,2410.0696
79,1195.7032,2504.1768,47.6984,2170.9861,2505.9132,1193.9667,1195.7032,2504.1768
80,1013.4622,2433.5414,-22.4789,2117.6504,2433.8972,1013.1065,1013.4622,2433.5414
81,1121.3891,2099.1318,-6.1845,1819.3512,2099.1709,1121.3500,1121.3891,2099.1318
82,947.4125,2158.7947,172.5734,1897.9095,2182.8998,923.3074,947.4125,2158.7947
83,1162.6465,2278.6358,-5.2973,1973.5157,2278.6610,1162.6214,1162.6465,2278.6358
84,1104.9753,2262.8137,-53.7859,1962.0453,2265.3069,1102.4821,1104.9753,2262.8137
85,969.3044,2295.7038,-102.3679,2003.9982,2303.5578,961.4504,969.3044,2295.7038
86,888.4839,2464.9732,-35.4600,2163.1412,2465.7704,887.6867,888.4839,2464.9732
87,893.5568,2402.8558,89.7341,2109.3194,2408.1722,888.2405,893.5568,2402.8558
88,1045.1362,2222.9600,-85.0406,1931.9059,2229.0684,1039.0278,1045.1362,2222.9600
89,1236.1461,2519.9132,5.4477,2182.4592,2519.9363,1236.1230,1236.1461,2519.9132
90,1142.7622,2539.5359,16.9508,2203.1623,2539.7415,1142.5565,1142.7622,2539.5359
91,1016.3241,2476.0843,65.2319,2158.7426,2478.9935,1013.4149,1016.3241,2476.0843
92,1206.0035,2551.1744,11.6305,2210.5691,2551.2749,1205.9030,1206.0035,2551.1744
93,1178.1151,2312.9833,-15.5471,2003.4000,2313.1963,1177.9021,1178.1151,2312.9833
94,1209.9578,2574.1291,-20.4239,2230.8748,2574.4348,1209.6521,1209.9578,2574.1291
95,1126.5058,2492.5853,-62.7940,2164.6973,2495.4657,1123.6254,1126.5058,2492.5853
96,1137.0108,2535.1175,-13.6878,2199.4819,2535.2515,1136.8768,1137.0108,2535.1175
97,1198.3455,2378.5418,-0.5018,2059.8978,2378.5420,1198.3453,1198.3455,2378.5418
98,1135.6448,2519.3082,-7.2455,2185.3423,2519.3461,1135.6068,1135.6448,2519.3082
99,960.1232,2477.7501,-43.9515,2165.1633,2479.0219,958.8514,960.1232,2477.7501
100,1000.8884,2080.1336,104.0806,1810.8700,2090.0793,990.9427,1000.8884,2080.1336
101,994.0843,1944.7875,50.8122,1686.6728,1947.4956,991.3762,994.0843,1944.7875
102,1064.9429,1975.3471,71.4393,1716.9095,1980.9188,1059.3711,1064.9429,1975.3471
103,1025.0742,1799.7101,74.6052,1568.9471,1806.8299,1017.9544,1025.0742,1799.7101
104,962.5426,2446.9659,64.0296,2138.0180,2449.7227,959.7858,962.5426,2446.9659
105,1003.3112,2289.0993,120.6534,1998.3998,2300.3229,992.0875,1003.3112,2289.0993
106,1075.0399,2179.5765,-71.2584,1891.6570,2184.1547,1070.4617,1075.0399,2179.5765
107,929.6824,2379.0630,-63.0080,2079.5160,2381.7969,926.9485,929.6824,2379.0630
108,955.9086,2348.1218,92.4095,2051.4546,2354.2288,949.8016,955.9086,2348.1218
109,1032.9957,2433.7149,-90.6347,2121.4795,2439.5551,1027.1555,1032.9957,2433.7149
110,1110.6818,2197.4507,-58.0190,1905.7371,2200.5394,1107.5932,1110.6818,2197.4507
111,929.8320,2196.8338,164.8398,1931.1904,2217.9286,908.7372,929.8320,2196.8338
112,886.7395,2447.6609,38.8376,2147.4260,2448.6266,885.7738,886.7395,2447.6609
113,1140.8823,2499.0598,24.2632,2167.3821,2499.4931,1140.4490,1140.8823,2499.0598
114,1166.2459,2549.7120,37.5026,2211.7389,2550.7279,1165.2300,1166.2459,2549.7120
115,890.3629,2419.5942,69.9741,2123.1002,2422.7894,887.1678,890.3629,2419.5942
116,1105.6531,2118.7644,51.2267,1837.6304,2121.3480,1103.0694,1105.6531,2118.7644
117,1019.9766,1900.9622,32.1343,1648.6875,1902.1327,1018.8061,1019.9766,1900.9622
118,1090.9163,2096.4222,-5.5274,1816.0823,2096.4526,1090.8859,1090.9163,2096.4222
119,1069.1958,2433.0037,44.1045,2113.5669,2434.4285,1067.7710,1069.1958,2433.0037
120,1173.6330,2497.5802,29.0619,2164.8585,2498.2178,1172.9954,1173.6330,2497.5802
121,1271.1430,2620.7197,-1.0578,2269.9494,2620.7205,1271.1421,1271.1430,2620.7197
122,1246.7745,2570.2795,-4.6906,2226.2728,2570.2961,1246.7579,1246.7745,2570.2795
123,1068.4262,2501.7796,-33.6944,2175.0575,2502.5713,1067.6346,1068.4262,2501.7796
124,1128.3616,2314.6505,-77.2924,2009.2204,2319.6653,1123.3468,1128.3616,2314.6505
125,1111.2529,2328.4494,-84.1984,2022.4568,2334.2461,1105.4561,1111.2529,2328.4494
126,1040.9457,2169.2209,-78.4601,1884.0154,2174.6509,1035.5158,1040.9457,2169.2209
127,1058.5474,2440.3497,43.4610,2120.9125,2441.7153,1057.1818,1058.5474,2440.3497
128,927.4688,2225.8478,159.2893,1956.0961,2245.1044,908.2122,927.4688,2225.8478
129,1215.5324,2577.3127,-6.8465,2233.2473,2577.3472,1215.4980,1215.5324,2577.3127
130,1200.8592,2481.1694,-44.5109,2150.5053,2482.7150,1199.3136,1200.8592,2481.1694
131,1140.4569,2355.9610,-60.6982,2043.3735,2358.9846,1137.4333,1140.4569,2355.9610
132,1148.9565,2524.8198,3.3098,2189.5069,2524.8277,1148.9485,1148.9565,2524.8198
133,993.6330,2437.0135,-17.3162,2122.6737,2437.2212,993.4253,993.6330,2437.0135
134,1053.2064,2107.0440,120.2065,1836.5932,2120.5815,1039.6689,1053.2064,2107.0440
135,936.9355,2293.8095,107.0107,2006.1436,2302.1971,928.5479,936.9355,2293.8095
136,966.7406,2265.8049,122.8463,1980.7290,2277.3198,955.2257,966.7406,2265.8049
137,1009.1330,1875.1319,127.1707,1640.3441,1893.4205,990.8444,1009.1330,1875.1319
138,1189.5774,2333.1915,16.1635,2020.9277,2333.4199,1189.3490,1189.5774,2333.1915
139,1050.2385,2135.8660,66.7693,1853.4104,2139.9571,1046.1474,1050.2385,2135.8660
140,1134.1489,2566.8661,-3.7436,2227.9876,2566.8759,1134.1391,1134.1489,2566.8661
141,1273.3726,2605.9024,-0.1245,2256.9716,2605.9025,1273.3726,1273.3726,2605.9024
142,1201.5816,2441.4111,-13.9419,2114.5484,2441.5679,1201.4248,1201.5816,2441.4111
143,1178.6784,2545.8035,8.9338,2206.7972,2545.8619,1178.6201,1178.6784,2545.8035
144,1058.1040,2522.1910,21.6916,2194.0152,2522.5124,1057.7827,1058.1040,2522.1910
145,1212.6320,2535.6106,-28.0667,2197.1341,2536.2057,1212.0368,1212.6320,2535.6106
146,1231.2291,2481.7263,0.8144,2149.2601,2481.7268,1231.2286,1231.2291,2481.7263
147,1157.5603,2512.9433,-30.9513,2179.1788,2513.6497,1156.8539,1157.5603,2512.9433
