face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,831.4251,743.9272,168.7897,843.5908,962.0434,613.3089,831.4251,743.9272
1,993.7586,23.9995,-587.8827,1414.6027,1270.9252,-253.1671,993.7586,23.9995
2,972.4830,538.4234,280.5321,973.7094,1110.1364,400.7700,972.4830,538.4234
3,921.0809,752.0103,-58.4445,855.2745,939.3170,733.7741,921.0809,752.0103
4,759.9490,582.7186,109.1660,714.1419,811.9391,530.7285,759.9490,582.7186
5,600.9350,359.3584,-31.9730,526.6660,605.0950,355.1984,600.9350,359.3584
6,805.2528,831.2834,170.9715,870.4967,989.7342,646.8019,805.2528,831.2834
7,950.7035,653.6223,-156.8170,885.1175,1018.1626,586.1632,950.7035,653.6223
8,806.4275,805.1732,242.4837,908.6861,1048.2848,563.3159,806.4275,805.1732
9,893.6691,357.9635,43.2592,782.6209,897.1398,354.4927,893.6691,357.9635
10,965.9442,674.6095,-202.7105,927.2463,1069.8976,570.6561,965.9442,674.6095
11,907.9968,686.5370,72.2043,829.4927,929.4583,665.0755,907.9968,686.5370
12,970.4913,459.6499,-205.2913,912.9505,1042.7659,387.3752,970.4913,459.6499
13,596.5255,402.1924,-36.3471,530.7040,603.1012,395.6167,596.5255,402.1924
14,1136.8184,395.7498,283.7124,1113.8028,1232.9622,299.6060,1136.8184,395.7498
15,989.3983,561.4321,-231.9858,948.7293,1091.0196,459.8107,989.3983,561.4321
16,874.7614,763.8102,-103.4663,844.1432,936.6861,701.8855,874.7614,763.8102
17,926.3464,711.0332,-130.2594,869.4397,987.6793,649.7003,926.3464,711.0332
18,1027.0786,715.1734,-319.5253,1066.8240,1226.6786,515.5734,1027.0786,715.1734
19,1038.1745,189.1978,318.0927,1104.8668,1144.1325,83.2398,1038.1745,189.1978
20,1042.4393,762.4977,-353.3017,1117.0010,1282.4868,522.4501,1042.4393,762.4977
21,983.2139,747.9411,218.4463,966.3828,1113.6846,617.4704,983.2139,747.9411
22,1035.3786,468.2529,-311.4211,1047.5686,1172.9939,330.6376,1035.3786,468.2529
