vid,x,y,z
0,-0.35193358,0.29026344,0.20190376
1,-0.34598047,0.21802344,0.25341556
2,-0.12821321,0.20171326,0.31084787
3,-0.16984400,-0.04721698,0.37908943
4,-0.33126383,-0.13312223,0.32536942
5,-0.10306609,-0.08446527,0.36208506
6,-0.06279189,-0.48568946,0.11466695
7,-0.06165023,-0.53339339,0.05674815
8,-0.23461741,-0.36130888,0.23536148
9,-0.34515279,-0.41546757,0.08302770
10,-0.32976777,-0.38430302,0.14901431
11,-0.27565340,-0.49448310,0.00000000
12,-0.22463446,-0.49419984,0.07375871
13,-0.20879980,-0.52514210,0.00000000
14,-0.11704451,0.35185278,0.23205382
15,-0.20949506,0.09799649,0.35435992
16,-0.16675845,0.15422877,0.33517923
17,-0.07320748,0.30363090,0.25315922
18,-0.30188671,0.45408592,0.07197007
19,-0.17874949,0.36232921,0.22411446
20,-0.29680654,0.34723103,0.19508243
21,-0.35714847,0.40926777,0.07570172
22,-0.52121200,-0.17221641,0.06817407
23,-0.50679030,-0.12748780,0.12908412
24,-0.51253060,-0.04455868,0.14375772
25,-0.48843440,-0.28809390,0.00000000
26,-0.46492989,-0.03572373,0.21711175
27,-0.34630026,0.06625179,0.31553181
28,-0.50048614,0.22536682,0.06087515
29,-0.50428450,0.26743460,0.00000000
30,-0.45753946,0.25631350,0.11056641
31,-0.42265077,0.31699271,0.10146428
32,-0.44804213,0.09288800,0.21895928
33,-0.48853605,0.08197148,0.16752496
34,-0.54404097,0.07047721,0.06494401
35,-0.55876270,0.11120940,0.00000000
36,-0.39802903,-0.38415433,0.04873365
37,-0.51071335,0.11267921,0.11934276
38,-0.48727659,0.18557374,0.11892363
39,-0.24271356,0.04451496,0.36315042
40,-0.22612940,-0.20006852,0.34376183
41,-0.15934004,-0.18559142,0.35172858
42,-0.38509206,-0.21890727,0.24744294
43,-0.15933476,0.31225585,0.25863722
44,-0.27096232,-0.13663059,0.35350731
45,-0.48187283,-0.20555453,0.12640776
46,-0.48797338,-0.24934185,0.06957154
47,-0.05453750,-0.37436894,0.21036021
48,-0.10797992,-0.01587288,0.36631755
49,-0.30569729,-0.34813943,0.21030695
50,-0.30458496,-0.06362685,0.35210425
51,-0.55190260,-0.13759440,0.00000000
52,-0.14587037,-0.53090825,0.04980902
53,-0.37264804,-0.32361556,0.17440375
54,-0.24228806,0.44827112,0.12669224
55,-0.56651810,-0.05534892,0.00000000
56,-0.17240942,-0.25010285,0.32401425
57,-0.18936936,0.48292936,0.10807297
58,-0.33567265,0.14605113,0.29586647
59,-0.40652552,0.16342218,0.23468817
60,-0.52764162,0.15030621,0.06283315
61,-0.38750540,-0.14566292,0.27930024
62,-0.42860755,-0.09140651,0.25344755
63,-0.39875454,-0.26747678,0.19704091
64,-0.04884818,0.01671037,0.33514643
65,0.00000000,0.05228769,0.29010965
66,-0.10497261,0.04383877,0.35732052
67,-0.29675851,-0.46215424,0.05687745
68,-0.27913204,-0.44100606,0.11756713
69,-0.54689770,-0.01108620,0.07150533
70,-0.05491990,0.50052129,0.10059888
71,-0.34413256,-0.28815321,0.23457676
72,-0.34545499,-0.19013032,0.29457732
73,-0.28735300,0.49593610,0.00000000
74,-0.05757913,0.08571327,0.32883871
75,-0.47022482,-0.16252366,0.17343900
76,-0.47501913,-0.10077913,0.19225971
77,-0.12846752,-0.45375425,0.16033404
78,-0.14059653,-0.49831385,0.10611601
79,0.00000000,-0.45015121,0.11195909
80,-0.05795692,-0.43208137,0.16489421
81,-0.35582584,-0.01101676,0.32180366
82,-0.39223217,0.03162512,0.28868419
83,-0.30041490,0.01706179,0.34976613
84,-0.43758906,-0.21874039,0.18654297
85,-0.44620125,-0.31856997,0.06601278
86,-0.39308191,-0.35273318,0.11229749
87,-0.23277982,0.33116707,0.23534567
88,-0.46484162,0.29759260,0.05328761
89,-0.10223953,0.53502433,0.05974330
90,-0.21939309,0.26852952,0.27725255
91,-0.19018775,-0.31429792,0.28407356
92,-0.11485454,-0.34578318,0.25485150
93,-0.23962832,-0.01844666,0.37340820
94,-0.07256827,0.44464550,0.15862781
95,-0.13529839,0.40372782,0.19751415
96,-0.43962489,0.21196577,0.17030152
97,-0.04996459,-0.25249980,0.28226308
98,0.00000000,-0.20914431,0.25237664
99,0.00000000,-0.27149040,0.22747777
100,0.00000000,0.51822320,0.05439433
101,-0.30217171,0.40309196,0.13848789
102,-0.43763151,-0.28001551,0.13388124
103,-0.20655376,-0.45658875,0.14233549
104,-0.52568750,-0.21598770,0.00000000
105,-0.46147370,0.33737290,0.00000000
106,-0.27845815,0.21239019,0.29109842
107,-0.41300111,-0.02763900,0.27565956
108,-0.43830877,0.03052401,0.24502472
109,-0.06649670,0.22963646,0.28486936
110,-0.11632804,-0.40274916,0.20878346
111,-0.18864302,-0.41298535,0.19787511
112,-0.17353198,0.02976621,0.37324269
113,-0.27347324,-0.30676109,0.26583140
114,-0.44503120,-0.34986910,0.00000000
115,-0.52028228,0.03540453,0.12594034
116,-0.36619490,0.35188396,0.13578376
117,-0.17119437,0.52059755,0.06109187
118,-0.53676180,0.19235820,0.00000000
119,-0.46509980,0.14471572,0.17642849
120,-0.39658377,0.09461197,0.27035931
121,-0.20207617,0.20982227,0.30971042
122,-0.28904960,0.28024638,0.24777281
123,-0.23033285,-0.08601810,0.37351988
124,-0.16017146,-0.11703551,0.37091129
125,-0.24034120,0.49280065,0.06438022
126,-0.39412828,0.23230103,0.20578438
127,-0.13157218,0.09787547,0.35093487
128,-0.53971967,-0.09100344,0.07239665
129,-0.40711108,0.28286441,0.15514697
130,0.00000000,-0.51216685,0.05497149
131,-0.03976489,0.54578076,0.04362266
132,-0.26076579,-0.40452895,0.17895439
133,-0.34697380,0.45676380,0.00000000
134,-0.24505366,-0.25781939,0.31013127
135,-0.29033080,-0.19688999,0.32445135
136,-0.21034713,-0.14594324,0.36402114
137,-0.11324765,-0.28766228,0.29342314
138,-0.22698462,0.39702844,0.18673469
139,-0.25246301,0.15441549,0.32612772
140,-0.37240625,-0.07880648,0.30784002
141,-0.07575324,0.15582401,0.31654712
142,-0.21795090,0.52975730,0.00000000
143,-0.04591719,-0.11835650,0.32513912
144,-0.34810250,-0.44666150,0.00000000
145,-0.06187058,0.37546384,0.20666434
146,-0.10006249,-0.15436971,0.34681978
147,-0.31664761,-0.24740131,0.28360204
148,-0.05294779,-0.31463830,0.25017887
149,0.00000000,-0.33229535,0.19602178
150,-0.16386946,0.44787126,0.15652354
151,-0.12221462,0.49217066,0.11451021
152,-0.28659931,0.09222647,0.33795751
153,-0.06839787,0.56933240,0.00000000
154,-0.43304291,-0.15793212,0.22699193
155,-0.14596640,0.55403970,0.00000000
156,-0.04663949,-0.18641968,0.30703553
157,-0.56873630,0.02701634,0.00000000
158,0.00000000,0.39565702,0.15969231
159,-0.04732273,-0.05040702,0.33528160
160,-0.48407449,0.02362700,0.18815911
161,-0.10416345,-0.22306465,0.32372896
162,-0.13949928,0.25775507,0.28700835
163,0.00000000,0.45492237,0.11214098
164,-0.07314713,-0.56030970,0.00000000
165,0.00000000,-0.07985241,0.28287221
166,0.00000000,0.18757987,0.27130767
167,0.00000000,-0.01481103,0.28887662
168,-0.17004296,-0.36849881,0.24123322
169,0.00000000,0.32763107,0.20600162
170,0.00000000,0.25876515,0.24342475
171,-0.40370300,0.40570920,0.00000000
172,-0.39836950,-0.40198980,0.00000000
173,-0.14563750,-0.54549380,0.00000000
174,-0.41456060,0.35837153,0.06389789
175,0.35193358,0.29026344,0.20190376
176,0.34598047,0.21802344,0.25341556
177,0.12821321,0.20171326,0.31084787
178,0.16984400,-0.04721698,0.37908943
179,0.33126383,-0.13312223,0.32536942
180,0.10306609,-0.08446527,0.36208506
181,0.06279189,-0.48568946,0.11466695
182,0.06165023,-0.53339339,0.05674815
183,0.23461741,-0.36130888,0.23536148
184,0.34515279,-0.41546757,0.08302770
185,0.32976777,-0.38430302,0.14901431
186,0.27565340,-0.49448310,0.00000000
187,0.22463446,-0.49419984,0.07375871
188,0.20879980,-0.52514210,0.00000000
189,0.11704451,0.35185278,0.23205382
190,0.20949506,0.09799649,0.35435992
191,0.16675845,0.15422877,0.33517923
192,0.07320748,0.30363090,0.25315922
193,0.30188671,0.45408592,0.07197007
194,0.17874949,0.36232921,0.22411446
195,0.29680654,0.34723103,0.19508243
196,0.35714847,0.40926777,0.07570172
197,0.52121200,-0.17221641,0.06817407
198,0.50679030,-0.12748780,0.12908412
199,0.51253060,-0.04455868,0.14375772
200,0.48843440,-0.28809390,0.00000000
201,0.46492989,-0.03572373,0.21711175
202,0.34630026,0.06625179,0.31553181
203,0.50048614,0.22536682,0.06087515
204,0.50428450,0.26743460,0.00000000
205,0.45753946,0.25631350,0.11056641
206,0.42265077,0.31699271,0.10146428
207,0.44804213,0.09288800,0.21895928
208,0.48853605,0.08197148,0.16752496
209,0.54404097,0.07047721,0.06494401
210,0.55876270,0.11120940,0.00000000
211,0.39802903,-0.38415433,0.04873365
212,0.51071335,0.11267921,0.11934276
213,0.48727659,0.18557374,0.11892363
214,0.24271356,0.04451496,0.36315042
215,0.22612940,-0.20006852,0.34376183
216,0.15934004,-0.18559142,0.35172858
217,0.38509206,-0.21890727,0.24744294
218,0.15933476,0.31225585,0.25863722
219,0.27096232,-0.13663059,0.35350731
220,0.48187283,-0.20555453,0.12640776
221,0.48797338,-0.24934185,0.06957154
222,0.05453750,-0.37436894,0.21036021
223,0.10797992,-0.01587288,0.36631755
224,0.30569729,-0.34813943,0.21030695
225,0.30458496,-0.06362685,0.35210425
226,0.55190260,-0.13759440,0.00000000
227,0.14587037,-0.53090825,0.04980902
228,0.37264804,-0.32361556,0.17440375
229,0.24228806,0.44827112,0.12669224
230,0.56651810,-0.05534892,0.00000000
231,0.17240942,-0.25010285,0.32401425
232,0.18936936,0.48292936,0.10807297
233,0.33567265,0.14605113,0.29586647
234,0.40652552,0.16342218,0.23468817
235,0.52764162,0.15030621,0.06283315
236,0.38750540,-0.14566292,0.27930024
237,0.42860755,-0.09140651,0.25344755
238,0.39875454,-0.26747678,0.19704091
239,0.04884818,0.01671037,0.33514643
240,0.10497261,0.04383877,0.35732052
241,0.29675851,-0.46215424,0.05687745
242,0.27913204,-0.44100606,0.11756713
243,0.54689770,-0.01108620,0.07150533
244,0.05491990,0.50052129,0.10059888
245,0.34413256,-0.28815321,0.23457676
246,0.34545499,-0.19013032,0.29457732
247,0.28735300,0.49593610,0.00000000
248,0.05757913,0.08571327,0.32883871
249,0.47022482,-0.16252366,0.17343900
250,0.47501913,-0.10077913,0.19225971
251,0.12846752,-0.45375425,0.16033404
252,0.14059653,-0.49831385,0.10611601
253,0.05795692,-0.43208137,0.16489421
254,0.35582584,-0.01101676,0.32180366
255,0.39223217,0.03162512,0.28868419
256,0.30041490,0.01706179,0.34976613
257,0.43758906,-0.21874039,0.18654297
258,0.44620125,-0.31856997,0.06601278
259,0.39308191,-0.35273318,0.11229749
260,0.23277982,0.33116707,0.23534567
261,0.46484162,0.29759260,0.05328761
262,0.10223953,0.53502433,0.05974330
263,0.21939309,0.26852952,0.27725255
264,0.19018775,-0.31429792,0.28407356
265,0.11485454,-0.34578318,0.25485150
266,0.23962832,-0.01844666,0.37340820
267,0.07256827,0.44464550,0.15862781
268,0.13529839,0.40372782,0.19751415
269,0.43962489,0.21196577,0.17030152
270,0.04996459,-0.25249980,0.28226308
271,0.30217171,0.40309196,0.13848789
272,0.43763151,-0.28001551,0.13388124
273,0.20655376,-0.45658875,0.14233549
274,0.52568750,-0.21598770,0.00000000
275,0.46147370,0.33737290,0.00000000
276,0.27845815,0.21239019,0.29109842
277,0.41300111,-0.02763900,0.27565956
278,0.43830877,0.03052401,0.24502472
279,0.06649670,0.22963646,0.28486936
280,0.11632804,-0.40274916,0.20878346
281,0.18864302,-0.41298535,0.19787511
282,0.17353198,0.02976621,0.37324269
283,0.27347324,-0.30676109,0.26583140
284,0.44503120,-0.34986910,0.00000000
285,0.52028228,0.03540453,0.12594034
286,0.36619490,0.35188396,0.13578376
287,0.17119437,0.52059755,0.06109187
288,0.53676180,0.19235820,0.00000000
289,0.46509980,0.14471572,0.17642849
290,0.39658377,0.09461197,0.27035931
291,0.20207617,0.20982227,0.30971042
292,0.28904960,0.28024638,0.24777281
293,0.23033285,-0.08601810,0.37351988
294,0.16017146,-0.11703551,0.37091129
295,0.24034120,0.49280065,0.06438022
296,0.39412828,0.23230103,0.20578438
297,0.13157218,0.09787547,0.35093487
298,0.53971967,-0.09100344,0.07239665
299,0.40711108,0.28286441,0.15514697
300,0.03976489,0.54578076,0.04362266
301,0.26076579,-0.40452895,0.17895439
302,0.34697380,0.45676380,0.00000000
303,0.24505366,-0.25781939,0.31013127
304,0.29033080,-0.19688999,0.32445135
305,0.21034713,-0.14594324,0.36402114
306,0.11324765,-0.28766228,0.29342314
307,0.22698462,0.39702844,0.18673469
308,0.25246301,0.15441549,0.32612772
309,0.37240625,-0.07880648,0.30784002
310,0.07575324,0.15582401,0.31654712
311,0.21795090,0.52975730,0.00000000
312,0.04591719,-0.11835650,0.32513912
313,0.00000000,0.57500000,0.00000000
314,0.34810250,-0.44666150,0.00000000
315,0.06187058,0.37546384,0.20666434
316,0.10006249,-0.15436971,0.34681978
317,0.31664761,-0.24740131,0.28360204
318,0.05294779,-0.31463830,0.25017887
319,0.16386946,0.44787126,0.15652354
320,0.12221462,0.49217066,0.11451021
321,0.28659931,0.09222647,0.33795751
322,0.06839787,0.56933240,0.00000000
323,0.43304291,-0.15793212,0.22699193
324,0.14596640,0.55403970,0.00000000
325,0.04663949,-0.18641968,0.30703553
326,0.56873630,0.02701634,0.00000000
327,0.00000000,-0.56637090,0.00000000
328,0.04732273,-0.05040702,0.33528160
329,0.48407449,0.02362700,0.18815911
330,0.10416345,-0.22306465,0.32372896
331,0.13949928,0.25775507,0.28700835
332,0.07314713,-0.56030970,0.00000000
333,0.00000000,-0.14518471,0.27084319
334,0.00000000,0.12050058,0.28553757
335,0.17004296,-0.36849881,0.24123322
336,0.00000000,-0.39183188,0.15754789
337,0.40370300,0.40570920,0.00000000
338,0.39836950,-0.40198980,0.00000000
339,0.14563750,-0.54549380,0.00000000
340,0.41456060,0.35837153,0.06389789
