face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,829.5254,744.5952,168.1462,842.4329,960.4859,613.6347,829.5254,744.5952
1,989.9213,25.9619,-584.8468,1407.4997,1265.8006,-249.9173,989.9213,25.9619
2,969.6008,539.5697,279.2690,970.6017,1107.0379,402.1326,969.6008,539.5697
3,918.7182,752.3195,-58.1303,853.8124,937.0140,734.0238,918.7182,752.3195
4,758.4919,583.9451,108.9478,713.4375,810.8117,531.6252,758.4919,583.9451
5,599.5944,360.8873,-31.7403,525.7275,603.7428,356.7390,599.5944,360.8873
6,801.7087,831.5540,170.1107,868.5435,987.3953,645.8674,801.7087,831.5540
7,948.4399,654.4243,-156.0863,883.2984,1015.8482,587.0160,948.4399,654.4243
8,802.8487,805.4239,241.1862,906.1746,1045.3259,562.9467,802.8487,805.4239
9,890.2887,360.0776,43.2735,779.3040,893.7973,356.5690,890.2887,360.0776
10,963.3058,675.0317,-201.6450,924.8492,1067.0320,571.3055,963.3058,675.0317
11,906.0678,687.5220,71.8925,828.3775,927.5966,665.9932,906.0678,687.5220
12,966.3560,461.0592,-203.4516,908.3226,1038.0898,389.3255,966.3560,461.0592
13,595.1613,403.6537,-36.0309,529.9141,601.7160,397.0991,595.1613,403.6537
14,1132.6626,397.0102,282.0832,1108.8625,1228.3740,301.2988,1132.6626,397.0102
15,986.4321,562.4340,-230.9442,945.8240,1087.9276,460.9386,986.4321,562.4340
16,871.9391,763.7011,-102.9051,842.2498,934.0885,701.5517,871.9391,763.7011
17,923.9709,711.4731,-129.6552,867.7368,985.3504,650.0936,923.9709,711.4731
18,1023.1341,715.4989,-317.9409,1062.9911,1222.5109,516.1221,1023.1341,715.4989
19,1034.7060,191.2925,316.5135,1099.9183,1140.2728,85.7257,1034.7060,191.2925
20,1038.1389,762.5742,-350.8926,1112.1918,1277.3308,523.3823,1038.1389,762.5742
21,980.4818,748.4721,217.5032,964.1653,1110.9821,617.9718,980.4818,748.4721
22,1031.7569,469.2892,-309.9815,1043.4692,1169.0694,331.9768,1031.7569,469.2892
23,864.9811,771.6248,163.4763,869.6722,988.3128,648.2931,864.9811,771.6248
24,891.2326,741.6417,186.5923,887.5825,1017.4621,615.4121,891.2326,741.6417
25,773.8421,579.9474,-83.7588,712.3409,805.0132,548.7763,773.8421,579.9474
26,891.0369,614.5587,-162.3849,838.5351,966.0556,539.5399,891.0369,614.5587
27,872.1672,812.3787,-23.1926,844.8186,880.1090,804.4370,872.1672,812.3787
28,962.9826,728.0238,235.7660,960.7480,1108.9174,582.0890,962.9826,728.0238
29,1011.8184,545.6511,-289.6767,1010.5194,1150.5419,406.9276,1011.8184,545.6511
30,954.0074,606.8985,-165.7025,884.2184,1020.4081,540.4978,954.0074,606.8985
