vid,x,y,z
0,-0.35203061,0.29035280,0.20203156
1,-0.34607718,0.21809250,0.25355572
2,-0.12822825,0.20174135,0.31092388
3,-0.16987754,-0.04722974,0.37917421
4,-0.33135566,-0.13316346,0.32550235
5,-0.10308810,-0.08448337,0.36215388
6,-0.06279883,-0.48573056,0.11470161
7,-0.06165435,-0.53342619,0.05677072
8,-0.23467700,-0.36140462,0.23546005
9,-0.34522421,-0.41555876,0.08308457
10,-0.32985705,-0.38441377,0.14910504
11,-0.27565340,-0.49448310,0.00000000
12,-0.22467532,-0.49429182,0.07380566
13,-0.20879980,-0.52514210,0.00000000
14,-0.11705752,0.35190374,0.23212646
15,-0.20953496,0.09801529,0.35446445
16,-0.16678446,0.15425515,0.33527078
17,-0.07320995,0.30365602,0.25320430
18,-0.30194038,0.45417002,0.07202817
19,-0.17878157,0.36240408,0.22421252
20,-0.29688218,0.34732913,0.19520195
21,-0.35721511,0.40934900,0.07576430
22,-0.52129477,-0.17224546,0.06822031
23,-0.50691717,-0.12752144,0.12917044
24,-0.51266680,-0.04457015,0.14385483
25,-0.48843440,-0.28809390,0.00000000
26,-0.46507559,-0.03573478,0.21724432
27,-0.34639583,0.06627204,0.31567505
28,-0.50055942,0.22540391,0.06092324
29,-0.50428450,0.26743460,0.00000000
30,-0.45764315,0.25637818,0.11065096
31,-0.42274162,0.31706772,0.10154362
32,-0.44817924,0.09292073,0.21909573
33,-0.48867321,0.08199833,0.16763811
34,-0.54412165,0.07048976,0.06499127
35,-0.55876270,0.11120940,0.00000000
36,-0.39808241,-0.38420967,0.04876796
37,-0.51083258,0.11270950,0.11942860
38,-0.48739099,0.18562290,0.11901171
39,-0.24276494,0.04452292,0.36326250
40,-0.22618216,-0.20011742,0.34386242
41,-0.15937564,-0.18562964,0.35181007
42,-0.38521265,-0.21898152,0.24757467
43,-0.15935928,0.31231400,0.25873049
44,-0.27102757,-0.13666759,0.35362166
45,-0.48199386,-0.20560971,0.12649150
46,-0.48805472,-0.24938643,0.06961858
47,-0.05454915,-0.37440578,0.21040309
48,-0.10799998,-0.01588026,0.36638585
49,-0.30578451,-0.34824583,0.21041614
50,-0.30466155,-0.06364611,0.35223170
51,-0.55190260,-0.13759440,0.00000000
52,-0.14588825,-0.53097184,0.04983728
53,-0.37275711,-0.32371703,0.17450886
54,-0.24233914,0.44837235,0.12677780
55,-0.56651810,-0.05534892,0.00000000
56,-0.17244890,-0.25015619,0.32409956
57,-0.18940235,0.48301874,0.10814230
58,-0.33576435,0.14609652,0.29600995
59,-0.40664777,0.16347790,0.23483007
60,-0.52771878,0.15033135,0.06288072
61,-0.38762525,-0.14571205,0.27943992
62,-0.42874378,-0.09143765,0.25358802
63,-0.39887626,-0.26756462,0.19715696
64,-0.04885799,0.01670378,0.33519106
65,0.00000000,0.05227350,0.29012739
66,-0.10498873,0.04384004,0.35738520
67,-0.29680423,-0.46222845,0.05691608
68,-0.27919786,-0.44111542,0.11763954
69,-0.54698580,-0.01108692,0.07155584
70,-0.05492210,0.50055470,0.10063104
71,-0.34423629,-0.28824694,0.23469858
72,-0.34555634,-0.19019142,0.29471019
73,-0.28735300,0.49593610,0.00000000
74,-0.05758445,0.08571368,0.32887828
75,-0.47036261,-0.16257452,0.17354872
76,-0.47516371,-0.10081136,0.19238014
77,-0.12849045,-0.45382895,0.16039298
78,-0.14061907,-0.49839326,0.10616560
79,0.00000000,-0.45015912,0.11197516
80,-0.05796621,-0.43212060,0.16493338
81,-0.35592643,-0.01102075,0.32194637
82,-0.39235001,0.03163603,0.28883140
83,-0.30048883,0.01706487,0.34989560
84,-0.43772189,-0.21881176,0.18665751
85,-0.44627527,-0.31862673,0.06605776
86,-0.39317731,-0.35282461,0.11237230
87,-0.23283084,0.33124918,0.23546094
88,-0.46490506,0.29763766,0.05333169
89,-0.10224929,0.53507720,0.05977926
90,-0.21943822,0.26859295,0.27736780
91,-0.19023224,-0.31437006,0.28416346
92,-0.11487953,-0.34584045,0.25491670
93,-0.23967923,-0.01845368,0.37351559
94,-0.07257229,0.44468679,0.15867358
95,-0.13531670,0.40379545,0.19759368
96,-0.43974795,0.21203235,0.17041964
97,-0.04997944,-0.25253048,0.28231250
98,0.00000000,-0.20916305,0.25241514
99,0.00000000,-0.27150861,0.22751287
100,0.00000000,0.51822726,0.05440199
101,-0.30224386,0.40319610,0.13858575
102,-0.43774755,-0.28009509,0.13396899
103,-0.20659899,-0.45669212,0.14240771
104,-0.52568750,-0.21598770,0.00000000
105,-0.46147370,0.33737290,0.00000000
106,-0.27852580,0.21244899,0.29123009
107,-0.41312976,-0.02764799,0.27580555
108,-0.43844589,0.03053564,0.24516728
109,-0.06649837,0.22964967,0.28490616
110,-0.11635093,-0.40281346,0.20884480
111,-0.18868534,-0.41307862,0.19795571
112,-0.17356340,0.02976817,0.37333092
113,-0.27354709,-0.30684990,0.26594362
114,-0.44503120,-0.34986910,0.00000000
115,-0.52040808,0.03541549,0.12602822
116,-0.36628655,0.35198025,0.13588424
117,-0.17121683,0.52066555,0.06113418
118,-0.53676180,0.19235820,0.00000000
119,-0.46523298,0.14476278,0.17654835
120,-0.39670338,0.09464461,0.27050678
121,-0.20211418,0.20986748,0.30981901
122,-0.28912272,0.28032642,0.24790285
123,-0.23038258,-0.08604022,0.37362145
124,-0.16020544,-0.11706091,0.37099289
125,-0.24037832,0.49287823,0.06442907
126,-0.39424148,0.23237591,0.20591580
127,-0.13159079,0.09788711,0.35100974
128,-0.53980819,-0.09101886,0.07244653
129,-0.40721920,0.28294762,0.15525757
130,0.00000000,-0.51217004,0.05497927
131,-0.03976559,0.54580010,0.04363895
132,-0.26083340,-0.40463977,0.17904713
133,-0.34697380,0.45676380,0.00000000
134,-0.24511485,-0.25788743,0.31023822
135,-0.29040698,-0.19694658,0.32457178
136,-0.21039357,-0.14597744,0.36411607
137,-0.11327388,-0.28771122,0.29349081
138,-0.22703368,0.39712424,0.18683948
139,-0.25251863,0.15445386,0.32625085
140,-0.37251661,-0.07883247,0.30798291
141,-0.07575700,0.15583362,0.31659226
142,-0.21795090,0.52975730,0.00000000
143,-0.04593113,-0.11837666,0.32519111
144,-0.34810250,-0.44666150,0.00000000
145,-0.06187281,0.37549201,0.20670369
146,-0.10008564,-0.15439815,0.34688800
147,-0.31673807,-0.24747824,0.28372699
148,-0.05296169,-0.31467269,0.25022543
149,0.00000000,-0.33231131,0.19605148
150,-0.16389662,0.44795650,0.15660560
151,-0.12223017,0.49224235,0.11457062
152,-0.28666797,0.09225047,0.33808754
153,-0.06839787,0.56933240,0.00000000
154,-0.43317991,-0.15798588,0.22712289
155,-0.14596640,0.55403970,0.00000000
156,-0.04665402,-0.18644552,0.30708681
157,-0.56873630,0.02701634,0.00000000
158,0.00000000,0.39565577,0.15969446
159,-0.04733560,-0.05042052,0.33533183
160,-0.48421871,0.02363615,0.18828130
161,-0.10418822,-0.22310306,0.32379650
162,-0.13951736,0.25779637,0.28709209
163,0.00000000,0.45492527,0.11214834
164,-0.07314713,-0.56030970,0.00000000
165,0.00000000,-0.07986902,0.28291137
166,0.00000000,0.18756447,0.27128208
167,0.00000000,-0.01482623,0.28891073
168,-0.17008119,-0.36857711,0.24131369
169,0.00000000,0.32762351,0.20599195
170,0.00000000,0.25875185,0.24340328
171,-0.40370300,0.40570920,0.00000000
172,-0.39836950,-0.40198980,0.00000000
173,-0.14563750,-0.54549380,0.00000000
174,-0.41462860,0.35843524,0.06395154
175,0.35203061,0.29035280,0.20203156
176,0.34607718,0.21809250,0.25355572
177,0.12822825,0.20174135,0.31092388
178,0.16987754,-0.04722974,0.37917421
179,0.33135566,-0.13316346,0.32550235
180,0.10308810,-0.08448337,0.36215388
181,0.06279883,-0.48573056,0.11470161
182,0.06165435,-0.53342619,0.05677072
183,0.23467700,-0.36140462,0.23546005
184,0.34522421,-0.41555876,0.08308457
185,0.32985705,-0.38441377,0.14910504
186,0.27565340,-0.49448310,0.00000000
187,0.22467532,-0.49429182,0.07380566
188,0.20879980,-0.52514210,0.00000000
189,0.11705752,0.35190374,0.23212646
190,0.20953496,0.09801529,0.35446445
191,0.16678446,0.15425515,0.33527078
192,0.07320995,0.30365602,0.25320430
193,0.30194038,0.45417002,0.07202817
194,0.17878157,0.36240408,0.22421252
195,0.29688218,0.34732913,0.19520195
196,0.35721511,0.40934900,0.07576430
197,0.52129477,-0.17224546,0.06822031
198,0.50691717,-0.12752144,0.12917044
199,0.51266680,-0.04457015,0.14385483
200,0.48843440,-0.28809390,0.00000000
201,0.46507559,-0.03573478,0.21724432
202,0.34639583,0.06627204,0.31567505
203,0.50055942,0.22540391,0.06092324
204,0.50428450,0.26743460,0.00000000
205,0.45764315,0.25637818,0.11065096
206,0.42274162,0.31706772,0.10154362
207,0.44817924,0.09292073,0.21909573
208,0.48867321,0.08199833,0.16763811
209,0.54412165,0.07048976,0.06499127
210,0.55876270,0.11120940,0.00000000
211,0.39808241,-0.38420967,0.04876796
212,0.51083258,0.11270950,0.11942860
213,0.48739099,0.18562290,0.11901171
214,0.24276494,0.04452292,0.36326250
215,0.22618216,-0.20011742,0.34386242
216,0.15937564,-0.18562964,0.35181007
217,0.38521265,-0.21898152,0.24757467
218,0.15935928,0.31231400,0.25873049
219,0.27102757,-0.13666759,0.35362166
220,0.48199386,-0.20560971,0.12649150
221,0.48805472,-0.24938643,0.06961858
222,0.05454915,-0.37440578,0.21040309
