face,S11,S22,S12,von_mises,principal_1,principal_2,T_wale_Nm,T_course_Nm
0,838.9952,741.2145,171.3509,848.2452,968.2940,611.9157,838.9952,741.2145
1,1009.0804,16.1002,-600.0085,1443.0130,1291.3795,-266.1989,1009.0804,16.1002
2,983.9591,533.7905,285.5715,986.1709,1122.4873,395.2623,983.9591,533.7905
3,930.4651,750.7540,-59.6979,861.1260,948.4885,732.7307,930.4651,750.7540
4,765.7587,577.8099,110.0178,717.0073,816.4740,527.0946,765.7587,577.8099
5,606.3027,353.2754,-32.9085,530.5314,610.5127,349.0654,606.3027,353.2754
6,819.4239,830.1584,174.4137,878.4232,999.2874,650.2949,819.4239,830.1584
7,959.6928,650.3955,-159.7276,892.4031,1027.3707,582.7176,959.6928,650.3955
8,820.7375,804.1262,247.6741,918.8470,1060.2451,564.6185,820.7375,804.1262
9,907.1807,349.5120,43.1720,796.0253,910.5030,346.1896,907.1807,349.5120
10,976.4283,672.8993,-206.9627,936.8396,1081.3076,568.0201,976.4283,672.8993
11,915.6505,682.5812,73.4449,833.9722,936.8637,661.3680,915.6505,682.5812
12,987.0378,454.0238,-212.6470,931.6109,1061.4776,379.5840,987.0378,454.0238
13,601.9868,396.3709,-37.6151,533.9781,608.6520,389.7057,601.9868,396.3709
14,1153.3913,390.6589,290.2148,1133.5860,1251.2587,292.7915,1153.3913,390.6589
15,1001.1935,557.4072,-236.1370,960.3650,1103.3332,455.2675,1001.1935,557.4072
16,886.0015,764.2350,-105.7064,851.7406,947.1044,703.1321,886.0015,764.2350
17,935.7806,709.2535,-132.6689,876.2553,996.9581,648.0760,935.7806,709.2535
18,1042.8455,713.8328,-325.8405,1082.2120,1243.3520,513.3263,1042.8455,713.8328
19,1052.0057,180.7780,324.3990,1124.6872,1159.5255,73.2582,1052.0057,180.7780
20,1059.6402,762.1526,-362.9330,1136.3396,1303.1273,518.6654,1059.6402,762.1526
21,994.0894,745.7766,222.2012,975.2682,1124.4682,615.3978,994.0894,745.7766
22,1049.8068,464.0864,-317.1582,1063.9724,1188.6367,325.2564,1049.8068,464.0864
23,875.9563,768.5676,166.0490,876.0598,996.7766,647.7473,875.9563,768.5676
24,901.0280,738.0913,190.2286,894.5111,1026.4993,612.6200,901.0280,738.0913
25,781.2673,573.9439,-85.1386,716.3325,811.7485,543.4627,781.2673,573.9439
26,901.4190,609.9679,-165.4804,846.7181,976.1921,535.1947,901.4190,609.9679
27,886.1351,813.1490,-24.0745,853.0097,893.3608,805.9234,886.1351,813.1490
28,977.2943,724.6328,241.2323,972.9319,1123.2731,578.6540,977.2943,724.6328
29,1026.7921,542.0124,-296.7171,1027.4573,1167.5391,401.2653,1026.7921,542.0124
30,966.8337,601.7610,-169.1412,894.9342,1033.1513,535.4434,966.8337,601.7610
31,896.9785,851.0806,156.9856,916.2101,1032.6836,715.3755,896.9785,851.0806
32,648.5428,383.3862,-22.8573,566.1428,650.4987,381.4302,648.5428,383.3862
33,686.5975,444.3141,-76.6899,617.5842,708.8317,422.0799,686.5975,444.3141
34,942.4534,733.5715,203.7361,927.0997,1066.9586,609.0663,942.4534,733.5715
35,859.5059,590.1118,-232.8501,861.6468,993.8116,455.8061,859.5059,590.1118
36,777.9031,688.2590,-214.8750,825.8018,952.5811,513.5810,777.9031,688.2590
37,899.1001,549.6192,-144.4709,823.9630,951.0887,497.6306,899.1001,549.6192
38,922.9592,746.3972,113.2638,870.9502,978.2826,691.0738,922.9592,746.3972
39,1107.1290,663.4968,272.1705,1074.0654,1236.4242,534.2015,1107.1290,663.4968
40,906.8788,665.3986,-150.5163,854.2330,979.0981,593.1793,906.8788,665.3986
41,1103.7187,360.1398,-347.0267,1145.2883,1240.5105,223.3480,1103.7187,360.1398
42,940.4514,434.0826,221.7119,901.1723,1023.8060,350.7279,940.4514,434.0826
43,800.7334,520.8388,84.3082,718.8307,824.1664,497.4058,800.7334,520.8388
44,903.4326,814.8989,36.0219,864.8336,916.2370,802.0945,903.4326,814.8989
45,782.9553,577.0845,-122.5959,734.3728,840.0994,519.9404,782.9553,577.0845
46,954.6278,454.8837,300.2430,976.9475,1095.3731,314.1385,954.6278,454.8837
47,1257.5775,28.7058,367.9997,1397.3177,1359.3505,-73.0672,1257.5775,28.7058
48,1274.2517,82.0930,-359.1036,1383.0097,1374.0646,-17.7199,1274.2517,82.0930
49,888.0812,727.1267,147.2211,858.2983,975.3854,639.8225,888.0812,727.1267
50,826.6476,764.0181,88.4187,811.7572,889.1330,701.5326,826.6476,764.0181
51,766.3441,803.5752,20.2082,786.4009,812.4353,757.4840,766.3441,803.5752
52,918.0509,673.4085,8.2624,823.5764,918.3297,673.1298,918.0509,673.4085
53,969.8412,590.2641,-291.8597,985.9450,1128.1931,431.9122,969.8412,590.2641
54,1233.3523,-192.3043,457.1697,1556.3837,1367.3583,-326.3103,1233.3523,-192.3043
55,739.6427,362.6640,-55.3826,647.7317,747.6106,354.6961,739.6427,362.6640
56,921.8984,669.1400,-70.0498,833.9586,940.0138,651.0247,921.8984,669.1400
57,905.0414,852.9880,221.6291,960.2382,1102.1668,655.8627,905.0414,852.9880
58,922.1292,660.9774,-48.0992,827.4342,930.7064,652.4002,922.1292,660.9774
59,743.2545,780.0195,-48.5386,766.9242,813.5399,709.7342,743.2545,780.0195
60,889.4642,783.9750,142.4907,877.1297,988.6590,684.7801,889.4642,783.9750
61,921.0398,748.3904,257.1138,957.8244,1105.9335,563.4967,921.0398,748.3904
62,1032.6354,538.7686,296.1791,1031.2236,1171.3160,400.0880,1032.6354,538.7686
63,793.9583,786.6262,126.8273,820.2790,917.1726,663.4119,793.9583,786.6262
64,1168.6257,536.9004,394.1792,1221.7382,1357.8833,347.6428,1168.6257,536.9004
65,909.2940,680.6489,83.7369,832.0001,936.6807,653.2622,909.2940,680.6489
66,878.0531,526.0379,-99.2071,784.4298,904.0869,500.0041,878.0531,526.0379
67,821.4569,524.8635,49.0986,725.5015,829.3735,516.9469,821.4569,524.8635
68,638.7192,394.0653,28.9803,560.4214,642.1052,390.6793,638.7192,394.0653
69,986.0014,353.4355,-374.9252,1081.8199,1160.2323,179.2046,986.0014,353.4355
70,874.7126,281.3465,-29.4885,775.1060,876.1744,279.8846,874.7126,281.3465
