vid,x,y,z
0,-0.35136449,0.28974174,0.20115515
1,-0.34541400,0.21762130,0.25259722
2,-0.12812490,0.20155339,0.31040965
3,-0.16964424,-0.04714154,0.37859778
4,-0.33072402,-0.13288161,0.32459501
5,-0.10293293,-0.08435784,0.36168262
6,-0.06274906,-0.48545140,0.11446498
7,-0.06162513,-0.53320378,0.05661685
8,-0.23426512,-0.36074999,0.23478559
9,-0.34473065,-0.41493036,0.08269025
10,-0.32924096,-0.38365278,0.14847978
11,-0.27565340,-0.49448310,0.00000000
12,-0.22439239,-0.49365815,0.07347988
13,-0.20879980,-0.52514210,0.00000000
14,-0.11696787,0.35155950,0.23163319
15,-0.20926070,0.09788902,0.35375529
16,-0.16660567,0.15407795,0.33465044
17,-0.07319275,0.30348933,0.25290131
18,-0.30157018,0.45359164,0.07162575
19,-0.17856124,0.36189531,0.22354370
20,-0.29636288,0.34665877,0.19438258
21,-0.35675561,0.40879025,0.07533084
22,-0.52072447,-0.17204557,0.06790065
23,-0.50604388,-0.12729028,0.12857587
24,-0.51172988,-0.04449127,0.14318656
25,-0.48843440,-0.28809390,0.00000000
26,-0.46407419,-0.03565890,0.21633483
27,-0.34574026,0.06613445,0.31469783
28,-0.50005467,0.22514884,0.06059054
29,-0.50428450,0.26743460,0.00000000
30,-0.45692966,0.25593399,0.11006786
31,-0.42211631,0.31655258,0.10099606
32,-0.44723755,0.09269682,0.21816000
33,-0.48773039,0.08181431,0.16686042
34,-0.54356625,0.07040358,0.06466487
35,-0.55876270,0.11120940,0.00000000
36,-0.39771389,-0.38382841,0.04852966
37,-0.51001249,0.11250162,0.11883724
38,-0.48660404,0.18528541,0.11840480
39,-0.24241171,0.04446991,0.36250128
40,-0.22581690,-0.19978356,0.34317723
41,-0.15912701,-0.18536807,0.35125443
42,-0.38438267,-0.21847271,0.24667170
43,-0.15919104,0.31192027,0.25809619
44,-0.27057768,-0.13641488,0.35284295
45,-0.48116026,-0.20523039,0.12591425
46,-0.48749384,-0.24907954,0.06929309
47,-0.05446544,-0.37415403,0.21010858
48,-0.10785894,-0.01582797,0.36591977
49,-0.30518299,-0.34751663,0.20966690
50,-0.30413492,-0.06351427,0.35136359
51,-0.55190260,-0.13759440,0.00000000
52,-0.14576415,-0.53053395,0.04964102
53,-0.37200529,-0.32302027,0.17378563
54,-0.24198766,0.44767928,0.12618929
55,-0.56651810,-0.05534892,0.00000000
56,-0.17217380,-0.24979184,0.32351782
57,-0.18917503,0.48240720,0.10766561
58,-0.33513575,0.14578744,0.29503076
59,-0.40580867,0.16309700,0.23385798
60,-0.52718755,0.15015856,0.06255201
61,-0.38680115,-0.14537571,0.27848406
62,-0.42780745,-0.09122421,0.25262569
63,-0.39803794,-0.26696181,0.19635955
64,-0.04878793,0.01675206,0.33488482
65,0.00000000,0.05237586,0.29000226
66,-0.10487569,0.04383368,0.35694534
67,-0.29648815,-0.46171698,0.05664769
68,-0.27874299,-0.44036330,0.11713943
69,-0.54637932,-0.01108191,0.07120714
70,-0.05490585,0.50032920,0.10041270
71,-0.34352169,-0.28760463,0.23386328
72,-0.34485889,-0.18977344,0.29380182
73,-0.28735300,0.49593610,0.00000000
74,-0.05754641,0.08571437,0.32860997
75,-0.46941439,-0.16222534,0.17279436
76,-0.47416942,-0.10059011,0.19155295
77,-0.12833052,-0.45331935,0.15998999
78,-0.14046267,-0.49785006,0.10582509
79,0.00000000,-0.45010330,0.11186075
80,-0.05789943,-0.43185353,0.16466523
81,-0.35523586,-0.01099312,0.32097242
82,-0.39154124,0.03156189,0.28782515
83,-0.29998125,0.01704458,0.34901429
84,-0.43680744,-0.21832186,0.18587021
85,-0.44576441,-0.31823572,0.06574610
86,-0.39251900,-0.35219547,0.11185538
87,-0.23248100,0.33069025,0.23467387
88,-0.46446777,0.29732757,0.05302621
89,-0.10218161,0.53471565,0.05953195
90,-0.21912903,0.26816247,0.27658303
91,-0.18992329,-0.31387761,0.28355006
92,-0.11470379,-0.34544944,0.25447121
93,-0.23932838,-0.01840495,0.37278612
94,-0.07254358,0.44440834,0.15836323
95,-0.13519048,0.40333630,0.19705155
96,-0.43890223,0.21157608,0.16960785
97,-0.04987309,-0.25231885,0.28197125
98,0.00000000,-0.20903033,0.25214185
99,0.00000000,-0.27137983,0.22726322
100,0.00000000,0.51819923,0.05434871
101,-0.30174765,0.40248255,0.13791235
102,-0.43694776,-0.27954792,0.13336393
103,-0.20628620,-0.45598380,0.14191137
104,-0.52568750,-0.21598770,0.00000000
105,-0.46147370,0.33737290,0.00000000
106,-0.27806234,0.21204925,0.29033258
107,-0.41224620,-0.02758620,0.27480663
108,-0.43750419,0.03045631,0.24419067
109,-0.06648687,0.22956450,0.28466062
110,-0.11619033,-0.40237506,0.20842586
111,-0.18839217,-0.41244114,0.19740406
112,-0.17334573,0.02975636,0.37273217
113,-0.27303759,-0.30624258,0.26517616
